ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4771.9 at 16:36 22/1/2010  Report at 19:06 Friday 22/1/2010. Processed 20:05 Friday 22/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,765.824,3.479,3.179,0.066,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.33,-2.5,0.33,0.355,0.365,0.33,-3.84,0.39,0.07
DDD,377.827,1.214,0.267,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.019,-0.2,0.02,0.025,0.021,0.019,-6.33,0.026,0.007
AAO,161,0.443,0.44,0.008,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.08,1,0.08,0.09,0.09,0.07,17.48,0.12,0.018
ARH,438.422,1.821,0.726,0.223,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.505,0.5,0.48,0.505,0.515,0.475,4.20,0.70,0.29
AAM,3250.09,10.182,1.089,0.065,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.375,,0.375,0.38,0.39,0.365,3.20,0.42,0.09
ABU,11531.1,47.149,4.73,0.034,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.035,-0.2,0.034,0.036,0.037,0.032,-2.21,0.07,0.006
AII,93.556,0.128,0.127,0.025,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.18,,0.18,0.20,0.18,0.18,3.20,0.25,0.13
ACB,2301.19,3.764,2.707,0.068,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.42,4,0.42,0.43,0.44,0.38,13.72,0.60,0.105
ACS,556.5,3.516,0.107,0.026,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.205,-1,0.205,0.215,0.215,0.19,-1.45,0.27,0.055
AEX,4829.87,82.929,10.536,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,-0.1,0.004,0.005,0.006,0.005,-13.47,0.008,0.003
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,-,0.003,0.003,3.20,0.003,0.003
AIV,332.95,1.087,0.495,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.09,-0.3,0.088,0.092,0.093,0.09,-0.03,0.12,0.032
AIVO,40,0.115,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.02,-0.5,0.012,0.02,0.025,0.02,-16.80,0.06,0.001
ADU,4924.38,8.007,0.728,0.124,-,-,-10.25,-,-,-,-,,Adamus Res,,0.435,-6,0.42,0.44,0.495,0.415,-8.92,0.53,0.165
ADD,784.815,1.326,0.965,0.007,0.03,1.3,-0.3,-,-,-,-,,Adavale Resource,,0.038,0.1,0.039,0.043,0.043,0.037,5.90,0.065,0.014
ADE,1689.36,6.528,1.602,0.027,-,-,1.39,10.8,-,-,-,,Adelaide Energy,,0.15,-0.5,0.145,0.15,0.16,0.145,-0.03,0.16,0.037
ADN,1623.12,5.26,1.935,0.026,-,-,4.86,4.8,-,-,-,,Adelaide Res,,0.235,-0.5,0.225,0.235,0.26,0.22,1.11,0.395,0.046
ADI,1044.11,3.052,0.52,0.026,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.175,0.5,0.17,0.175,0.18,0.16,6.14,0.185,0.045
ABY,1822.41,6.442,24.395,0.378,1.42,0.8,-17.34,-,-,-,-,,Aditya Birla,,1.205,-13,1.19,1.21,1.36,1.18,-6.54,1.65,0.096
ADY,44937.7,371.318,1291.72,0.036,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.017,,0.017,0.018,0.018,0.016,3.20,0.037,0.011
AVD,39.814,0.152,0.815,0.009,0.04,1.5,-1.06,-,-,-,-,,Advance Energy,,0.06,0.3,0.052,0.06,0.06,0.051,8.46,0.125,0.03
AED,1799.01,6.57,6.175,0.1,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.605,-7,0.605,0.61,0.69,0.595,-7.17,1.24,0.50
AFR,1130.51,4.491,1.987,0.034,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.12,-1.5,0.115,0.12,0.135,0.115,-7.91,0.24,0.018
ALG,221,0.236,-,0.005,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.24,5.5,0.20,0.24,0.245,0.185,32.93,0.245,0.14
AUQ,237.436,0.815,2.22,0.011,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.14,-1,0.14,0.155,0.16,0.14,-3.47,0.25,0.035
ALY,631.602,2.345,0.42,0.043,-,-,-3.27,-,-,-,-,,Alchemy Resource,,0.65,-5,0.645,0.665,0.755,0.64,-3.95,1.27,0.04
ALYO,60,0.271,0.37,0.009,-,-,-,-,-,-,-,,  opt aug10,,0.40,-6,0.40,0.45,0.47,0.40,-9.85,0.96,0.001
AYN,3810.42,14.555,-,0.025,-,-,-8.29,-,-,-,-,,Alcyone Res Ltd,,0.04,,0.038,0.04,0.041,0.038,3.20,0.06,0.036
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,3.20,0.021,0.021
ALK,1184.71,3.823,1.238,0.092,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.37,,0.37,0.395,0.40,0.36,3.20,0.49,0.155
AGS,2249.68,6.505,5.263,0.205,-,-,-8.3,-,-,-,-,,Alliance Res,,0.60,-7,0.595,0.60,0.67,0.585,-7.25,0.98,0.363
ALD,8971.23,23.863,3.739,0.316,0.29,1.1,-1.92,-,-,-,-,,Allied Gold Ltd,,0.305,1,0.305,0.32,0.34,0.295,6.59,0.57,0.28
AYR,265,0.722,0.482,0.002,-,-,-0.82,-,-,-,-,,Alloy Res,,0.03,-0.5,0.03,0.034,0.034,0.03,-11.09,0.045,0.011
AJM,76.76,0.434,0.647,0.048,-,-,-4.6,-,-,-,-,,Altura Min Ltd,,0.245,-1.5,0.245,0.255,0.27,0.24,-2.57,0.37,0.065
AJMO,27.2,0.03,-,-,-,-,-,-,-,-,-,,  opt may10,,0.026,-0.4,0.022,0.05,0.03,0.026,-10.14,0.08,0.01
AWC,78201.4,230.503,86.603,4.1,1.30,1.3,9.42,17.8,-,-,-,,Alumina Ltd,,1.68,-18,1.68,1.685,1.88,1.665,-6.48,2.06,0.683
AMU,2537.68,11.096,0.489,0.076,0.48,0.5,3.5,7.1,-,-,-,,Amadeus Energy,,0.25,-1.5,0.25,0.255,0.265,0.24,-2.46,0.43,0.205
AXZ,58.214,0.238,-,0.01,-,-,-5.32,-,-,-,-,,Amex Res,,0.20,,0.18,0.20,0.20,0.18,3.20,0.25,0.08
AMX,6149.08,8.649,0.351,0.099,-,-,-6.37,-,-,-,-,,Ampella Min,,0.67,4,0.67,0.70,0.765,0.63,9.55,0.765,0.068
AMXO,262.25,0.644,-,0.008,-,-,-,-,-,-,-,,  opt jul10,,0.50,5.5,0.485,0.55,0.595,0.44,15.56,0.595,0.03
AHR,440.898,0.939,-,0.008,-,-,-1.57,-,-,-,-,,Anchor Res,,0.21,3.5,0.19,0.21,0.22,0.18,23.20,0.22,0.032
AHRO,-,0.025,-,-,-,-,-,-,-,-,-,,  opt mar10,,0.007,,0.002,0.01,0.007,0.007,3.20,0.03,0.001
AND,1928.73,4.457,1.849,1.199,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.56,-6,2.54,2.58,2.69,2.49,0.91,2.72,0.85
ATM,-,-,0.004,2.022,-,-,0.36,294.4,2.94,0.12,2.77,,Aneka Tambang cdi 1:5,,1.06,,1.20,-,1.06,1.06,3.20,1.50,0.97
