ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Wednesday, December 24, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5369.5 at 2014-12-24T15:10:06. Report at Wednesday, December 24, 2014. Processed Saturday at 2014-12-27T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ACS,-,1.175,1.297,.025,-,-,-1.47,-,-,-,-,,Accent Res,,.14,-,.14,.19,.14,.14,-1.07,.23,.14,,
AIV,253.588,28.151,145.527,.011,-,-,-.21,-,-,-,-,,ActiveX,,.019,-,.019,.022,.019,.019,-1.07,.025,.011,,
ADD,-,9.867,12.412,-,-,-,-6.60,-,-,-,-,,Adavale Resources,†,.027,-,.027,.04,.027,.027,-1.07,.14,.002,,
ADN,15.410,53.421,276.219,.007,-,-,-2.96,-,-,-,-,,Adelaide Res,,.025,+.2,.025,.028,.025,.025,+7.63,.073,.023,,
ADNO,-,.522,-,-,-,-,-,-,-,-,-,,  opt sep16,,.005,-,.005,.009,.005,.005,-1.07,.009,.005,,
ABY,166.783,34.237,72.269,.061,1.07,.18,-53.74,-,-,-,-,,Aditya Birla,,.195,-1,.195,.21,.21,.195,-5.95,.38,.15,,
ADY,1973.64,123.966,48.740,.015,-,-,-.43,-,-,-,-,,Admiralty Res,,.02,-.7,.02,.025,.027,.02,-26.99,.034,.011,,
ADX,576.000,89.046,123.535,.005,-,-,-.60,-,-,-,-,,ADX Energy,,.007,+.1,.006,.007,.007,.006,+15.60,.018,.006,,
AQR,120.000,26.845,20.998,.030,-,-,-2.09,-,-,-,-,,AEON Metals,,.10,-,.095,.10,.10,.095,-1.07,.24,.09,,
ACJ,170.110,280.967,185.506,.005,-,-,-.12,-,-,-,-,,African Chrome Flds,,.004,+.1,.004,.006,.004,.003,+32.26,.009,.001,,
AFR,136.900,64.473,74.810,.037,-,-,-1.65,-,-,-,-,,African Energy Res,,.06,+.2,.06,.064,.06,.057,+2.38,.115,.051,,
AMN,-,19.583,4.077,.012,-,-,-.73,-,-,-,-,,Agrimin,,.14,-,.10,.13,.14,.14,-1.07,.20,.04,,
AMNOA,-,1.573,-,.001,-,-,-,-,-,-,-,,  opt dec15,,-,-,.06,.08,.08,.08,-1.07,.095,.03,,
AGR,512.500,34.532,65.811,.009,-,-,-7.57,-,-,-,-,,Aguia Res,,.035,-.1,.034,.038,.036,.03,-3.85,.075,.03,,
AQG,952.883,154.968,204.892,.191,-,-,-5.88,-,2.20,-,.99,,Alacer Gold,,2.22,-21,2.22,2.30,2.48,2.19,-9.71,3.63,1.815,,
AUQ,5244.77,179.877,117.973,.005,-,-,.30,7.0,-,-,-,,Alara Res,,.021,-.2,.019,.021,.026,.017,-9.76,.14,.007,,
ALY,85.000,30.149,24.597,.003,-,-,-1.00,-,-,-,-,,Alchemy Resources,,.015,-.2,.015,.022,.017,.015,-12.83,.038,.015,,
AWD,1266.18,1146.05,930.882,-,-,-,-1.65,-,-,-,-,,Aleator Energy,†,.005,+.1,.004,.005,.006,.004,+23.93,.09,.004,,
AWDO,-,.250,360.507,-,-,-,-,-,-,-,-,,  opt jan15,†,-,-,-,.001,.001,.001,-1.07,.002,.001,,
AQI,-,3.624,3.294,.003,-,-,-6.70,-,-,-,-,,Alicanto Min,,.07,-,.04,.14,.07,.07,-1.07,.33,.07,,
ALK,170.858,120.527,119.592,.085,-,-,-1.70,-,-,-,-,,Alkane Res,,.205,-.5,.205,.22,.215,.205,-3.45,.47,.17,,
AHQ,60.000,3.919,6.200,.004,-,-,-.86,-,-,-,-,,Allegiance Coal,,.023,-,.023,.028,.023,.023,-1.07,.028,.007,,
AGS,476.189,86.695,56.975,.028,-,-,-4.98,-,-,-,-,,Alliance Res,,.081,+.6,.081,.09,.085,.076,+6.93,.27,.072,,
AGE,2271.42,63.874,47.323,.009,-,-,-.47,-,-,-,-,,Alligator Energy,,.028,+.4,.02,.028,.028,.024,+15.60,.06,.022,,
AYR,900.000,226.266,363.275,.004,-,-,-.12,-,-,-,-,,Alloy Res,,.008,-,.007,.008,.008,.008,-1.07,.011,.005,,
