ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 18:55 Saturday 31/7/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,503.64,19.82,41.366,0.034,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.17,,0.16,0.17,0.17,0.16,-0.72,0.39,0.091
DDD,1040,9.717,5.59,0.006,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.029,0.9,0.025,0.029,0.029,0.02,44.28,0.029,0.014
AAO,391.425,7.416,6.923,0.008,-,-,-1.28,-,-,-,-,,A'asia Cons Ltd,,0.06,,0.06,0.08,0.062,0.059,-0.72,0.109,0.029
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,0.011,0.025,0.016,0.016,-0.72,0.02,0.012
ARH,119.989,15.105,10.859,0.108,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.245,-1.5,0.245,0.26,0.26,0.24,-6.49,0.67,0.21
AAM,2776.62,109.709,37.232,0.034,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.175,-0.5,0.175,0.18,0.185,0.17,-3.50,0.42,0.135
ABU,116866,816.457,189.211,0.048,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.027,0.1,0.027,0.028,0.035,0.026,3.13,0.07,0.016
AII,13.95,1.54,1.888,0.014,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.10,0.5,0.105,0.135,0.10,0.10,4.54,0.25,0.086
ACB,1517.66,36.698,34.301,0.058,0.14,2.6,-0.91,-,-,-,-,,A-Cap Res,,0.36,5,0.355,0.36,0.37,0.33,15.41,0.60,0.28
ACS,513.415,22.648,16.961,0.035,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.24,-0.5,0.23,0.24,0.24,0.215,-2.76,0.27,0.13
AEX,24470.2,1688.85,185.965,0.016,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.016,0.1,0.016,0.017,0.018,0.015,5.95,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.003,0.025,0.003,0.003,-0.72,0.003,0.003
AIV,1656.71,18.209,6.544,0.008,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.09,3.3,0.07,0.09,0.095,0.07,57.17,0.14,0.05
ADU,2692.05,107.002,11.54,0.191,-,-,-12.87,-,-,-,-,,Adamus Res,,0.49,,0.485,0.49,0.50,0.46,-0.72,0.595,0.303
ADD,96.535,21.265,18.769,0.005,0.02,1.3,-0.96,-,-,-,-,,Adavale Resource,,0.026,0.1,0.026,0.03,0.026,0.025,3.28,0.065,0.024
ADE,791.387,47.373,23.972,0.018,-,-,0.97,8.2,-,-,-,,Adelaide Energy,,0.08,-0.8,0.08,0.084,0.087,0.08,-9.81,0.215,0.08
ADN,412.512,34.485,26.59,0.02,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.18,1.5,0.17,0.185,0.19,0.165,8.37,0.395,0.10
ADI,88.506,176.505,36.596,0.071,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.405,-0.5,0.405,0.42,0.41,0.40,-1.94,0.425,0.06
ABY,3921.35,113.973,263.077,0.279,1.51,0.6,19.61,4.5,-,-,-,,Aditya Birla,,0.89,7,0.88,0.89,0.92,0.825,7.82,1.65,0.62
ADY,27045.3,2146.05,5020.19,0.016,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,,0.006,0.007,0.008,0.006,-0.72,0.025,0.005
AVD,-,10.322,8.549,0.003,-,-,-3.1,-,-,-,-,,Advance Energy,,0.015,,0.011,0.012,0.015,0.015,-0.72,0.125,0.007
ADX,5584.26,225.348,110.067,0.056,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.165,-1.5,0.155,0.165,0.19,0.155,-9.05,0.265,0.081
ADXO,98.933,5.16,-,0.002,-,-,-,-,-,-,-,,  opt mar11,,0.08,1.7,0.054,0.069,0.08,0.065,26.26,0.09,0.05
AED,1937.21,46.269,74.694,0.1,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.495,2.5,0.49,0.50,0.525,0.48,4.60,0.785,0.435
AFR,546.33,31.384,14.652,0.023,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.082,,0.082,0.085,0.09,0.082,-0.72,0.24,0.059
AAE,1166.81,102.368,-,0.005,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.011,,0.01,0.011,0.011,0.011,-0.72,0.027,0.009
ALG,63,1.165,0.089,0.003,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.15,-1.5,0.15,0.19,0.185,0.15,-9.81,0.245,0.145
ALGO,-,0.022,-,-,-,-,-,-,-,-,-,,  opt mar13,,0.03,,0.015,0.04,0.03,0.03,-0.72,0.03,0.03
AUQ,83.793,6.126,7.031,0.01,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.12,2.5,0.105,0.13,0.12,0.095,25.59,0.25,0.055
ALY,2346.69,70.435,35.982,0.037,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.48,-2.5,0.47,0.48,0.515,0.46,-5.67,1.27,0.205
ALYO,531.28,10.26,5.227,0.005,-,-,-,-,-,-,-,,  opt aug10,,0.22,-3,0.22,0.24,0.24,0.20,-12.72,0.96,0.05
AYN,26976.2,207.999,-,0.019,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.025,-0.3,0.025,0.026,0.028,0.023,-11.44,0.06,0.02
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-0.72,0.021,0.021
ALK,2743.73,34.895,29.919,0.088,-,-,0.93,38.2,-,-,-,,Alkane Res Ltd,,0.355,2.5,0.35,0.36,0.40,0.34,6.85,0.49,0.23
AGS,2833.23,55.85,97.246,0.118,-,-,-1.97,-,-,-,-,,Alliance Res,,0.345,1.5,0.34,0.345,0.385,0.325,3.82,0.865,0.28
ALD,2635.61,101.179,55.213,0.333,0.26,1.2,-3.42,-,-,-,-,,Allied Gold Ltd,,0.32,-4,0.315,0.32,0.365,0.29,-11.83,0.545,0.25
AYR,200,24.177,6.791,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.025,-0.2,0.021,0.025,0.027,0.02,-8.13,0.042,0.019
AJM,543.154,18.767,7.054,0.024,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.125,-1.1,0.125,0.135,0.136,0.12,-8.81,0.359,0.095
AWC,65139.1,2631.35,2171.56,3.782,1.21,1.3,-1.2,-,2,-,1.29,f,Alumina Ltd,,1.55,-0.5,1.55,1.555,1.615,1.55,-1.04,2.06,1.45
AMU,1450.19,79.966,25.014,0.073,0.34,0.7,-10.17,-,-,-,-,,Amadeus Energy,,0.24,,0.235,0.24,0.24,0.23,-0.72,0.34,0.175
AXZ,-,2.156,1.52,0.008,-,-,-2.85,-,-,-,-,,Amex Res,,0.16,,0.115,0.16,0.16,0.16,-0.72,0.25,0.11
AMX,1420.97,96.384,36.306,0.239,-,-,-7,-,-,-,-,,Ampella Min,,1.43,-4.5,1.40,1.43,1.46,1.35,-3.77,1.94,0.345
AHR,49.916,8.32,2.502,0.005,-,-,-2.05,-,-,-,-,,Anchor Res,,0.135,-1.5,0.135,0.145,0.135,0.135,-10.72,0.28,0.077
AND,1481.05,55.864,63.082,1.744,-,-,-4.64,-,-,-,-,,Andean Res Ltd,,3.70,3,3.59,3.71,3.71,3.52,0.10,3.88,1.85
ATM,-,0.012,0.012,2.289,0.10,12.0,0.7,171.4,1.37,0.51,1.14,,Aneka Tambang cdi,,1.20,1.4,-,-,1.186,1.186,0.44,1.30,1.00
AAR,8805.41,256.692,108.987,0.021,-,-,-0.14,-,-,-,-,,Anglo Aust,,0.04,-0.5,0.039,0.04,0.045,0.038,-11.83,0.066,0.018
AGG,125.702,2.077,4.37,0.785,8.69,1.0,-99.23,-,3.87,-,0.44,,Anglogold Ashanti,,8.80,-20,8.50,9.00,9.00,8.51,-2.94,10.50,7.65
AZZ,9397.71,188.648,57.491,0.138,-,-,-1.6,-,-,-,-,,Antares Energy,,0.46,-9.5,0.46,0.465,0.565,0.45,-17.84,0.885,0.21
AVM,9,3.38,4.572,0.029,-,-,-23.97,-,-,-,-,,Anvil Min cdi,,3.13,-13,3.17,3.36,3.25,3.13,-4.71,4.56,2.35
