ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:50 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
BCK,650.081,11.119,24.255,.210,-,-,-2.48,-,-,-,-,,Brockman Min,-,.025,-.5,.001,.035,.028,.025,-14.82,.053,.02,
BPL,686.401,9.776,4.144,.004,-,-,-.45,-,-,-,-,,Broken Hill Prospect,-,.031,-.1,.027,.031,.034,.031,-1.28,.067,.026,
BPLO,113.704,2.015,-,-,-,-,-,-,-,-,-,,  opt nov19,-,.008,-,.001,.08,.008,.008,+1.85,.012,.005,
BRK,16502.3,502.680,394.640,.005,-,-,-931.50,-,-,-,-,,Brookside Energy,X,.014,-.1,.013,.014,.015,.013,-4.82,.05,.001,
BNR,762.536,29.609,17.658,.006,-,-,-.45,-,-,-,-,,Bulletin Res,-,.033,+.6,.029,.033,.036,.028,+24.07,.036,.012,
BPF,1136.46,39.492,25.295,.047,-.02,-,4.23,7.9,-,-,-,,Bulletproof Grp,-,.335,+1,.335,.34,.34,.32,+4.92,.39,.18,
BYR,695.000,147.466,68.541,.014,-,-,-.22,-,-,-,-,,Burey Gold,-,.02,-,.02,.022,.021,.02,+1.85,.037,.012,
BYRO,181.039,4.239,-,-,-,-,-,-,-,-,-,,  opt jul17,-,.004,-.1,.004,.005,.005,.004,-18.15,.005,.001,
BUR,1055.93,127.698,122.406,.004,-,-,-.35,-,-,-,-,,Burleson Energy,-,.004,-,.004,.005,.005,.004,+1.85,.008,.001,
BRU,3097.52,132.487,201.521,.104,-,-,-10.32,-,-,-,-,,Buru Energy,-,.305,-2.5,.305,.31,.34,.29,-5.73,.69,.26,
BUX,1356.38,166.035,73.737,.008,-,-,-3.95,-,-,-,-,,Buxton Res,-,.086,-.4,.086,.087,.091,.084,-2.60,.325,.069,
BUXO,-,1.567,1.480,-,-,-,-,-,-,-,-,,  opt jan16,-,.03,-,-,.01,.03,.03,+1.85,.12,.01,
BYE,527.767,6.357,17.585,.044,-,-,-3.78,-,-,-,-,,Byron Energy,-,.23,+2,.215,.23,.23,.20,+11.37,.685,.135,
CAD,17018.0,514.521,378.077,.002,-,-,-.23,-,-,-,-,,Caeneus Minerals,-,.003,+.1,.002,.003,.003,.002,+51.85,.02,.002,
CGH,1317.97,20.848,21.901,.037,.05,2.10,-46.40,-,2.50,-,23.81,f,Calibre Grp,-,.105,-3,.105,.11,.135,.093,-20.38,.38,.093,
CAE,-,5.703,11.507,.001,-,-,-.84,-,-,-,-,,Cannindah Res,-,.016,-,.005,.017,.016,.016,+1.85,.028,.008,
CAY,1291.41,15.664,38.226,.008,-,-,-3.72,-,-,-,-,,Canyon Res,-,.055,+.5,.05,.055,.058,.051,+11.85,.058,.034,
CAYO,-,-,.750,-,-,-,-,-,-,-,-,,  opt feb16,-,.009,-,.001,.004,.009,.009,+1.85,.009,.007,
CAYOA,1500.00,8.759,4.466,-,-,-,-,-,-,-,-,,  opt jan17,-,.01,+.3,.007,.01,.01,.007,+44.70,.013,.005,
CFE,1852.20,264.981,300.961,.013,-,-,-28.52,-,-,-,-,f,Cape Lambert Res,-,.02,-,.019,.02,.021,.02,+1.85,.12,.014,
CMY,37326.1,1915.78,254.886,.007,-,-,-4.30,-,-,-,-,,Capital Min,X,.018,+.1,.018,.019,.019,.016,+7.73,.023,.001,
CMYO,-,42.742,17.480,-,-,-,-,-,-,-,-,,  opt dec16,X,-,-,.001,.009,.002,.002,+1.85,.002,.001,
CJC,225.694,120.584,357.806,.001,-,-,-5.07,-,-,-,-,,Carajas Copper Co,X,.009,+.2,.007,.012,.009,.007,+30.42,.04,.003,
CVV,1946.01,120.627,130.354,.005,-,-,-.38,-,-,-,-,,Caravel Min,-,.005,-,.004,.005,.005,.005,+1.85,.013,.004,
CVVOA,-,2.200,25.020,-,-,-,-,-,-,-,-,,  opt may16,-,.001,-,-,.001,.001,.001,+1.85,.002,.001,
CRB,3683.98,35.123,25.481,.010,-,-,-1.62,-,-,-,-,,Carbine Res,-,.07,+.8,.07,.076,.08,.07,+14.75,.085,.029,
CNQ,667.662,32.183,41.051,.012,-,-,-.79,-,-,-,-,,Carbine Tungsten,-,.04,-1.2,.02,.048,.053,.04,-21.23,.175,.04,
CNX,4317.09,269.564,725.111,.027,-,-,-.47,-,-,-,-,,Carbon Energy,-,.018,+.1,.017,.019,.019,.016,+7.73,.053,.012,
CNXO,500.000,55.545,190.414,.001,-,-,-,-,-,-,-,,  opt jul16,-,.003,+.1,.002,.003,.003,.002,+51.85,.016,.002,
CRM,-,.045,.180,.003,-,-,-.33,-,-,-,-,,Carbon Minerals,-,.18,-,.10,.18,.18,.18,+1.85,.25,.16,
CDV,4167.40,43.910,21.659,.020,-,-,-3.82,-,-,-,-,,Cardinal Res,-,.14,-2.5,.135,.14,.16,.135,-13.30,.17,.038,
CDVOA,1016.54,18.577,-,.006,-,-,-,-,-,-,-,,  opt sep19,-,.07,-.5,.067,.078,.075,.07,-4.82,.085,.012,
CVN,3718.48,384.470,1167.44,.119,-,-,2.50,4.8,-,-,-,,Carnarvon Pet,-,.12,-1,.12,.125,.13,.12,-5.85,.225,.09,
CVNO,372.285,5.149,16.256,.001,-,-,-,-,-,-,-,,  opt dec15,-,.027,-.3,.027,.035,.03,.027,-8.15,.13,.015,
CAV,1934.02,285.322,20.307,.003,-,-,-.28,-,-,-,-,,Carnavale Res,-,.01,-.1,.01,.012,.012,.009,-7.24,.045,.009,
CAP,192.028,4.898,8.674,.003,-,-,-2.50,-,-,-,-,,Carpentaria Expl,-,.028,-.2,.028,.032,.031,.028,-4.82,.062,.025,
CZI,399.756,96.609,219.984,.008,-,-,-4.23,-,-,-,-,,Cassini Res,-,.038,-,.035,.038,.039,.035,+1.85,.205,.033,
CCZ,200.000,161.823,183.667,-,-,-,-1.05,-,-,-,-,,Castillo Copper,R,.002,-,.002,.003,.002,.002,-18.15,.003,.001,
CDT,-,7.061,21.330,.001,-,-,-.60,-,-,-,-,,Castle Minerals,-,.01,-,.009,.011,.01,.01,+1.85,.017,.006,
CYL,107.211,4.386,.238,.016,-,-,-.47,-,-,-,-,,Catalyst Metals,-,.30,+1,.30,.35,.30,.29,+5.30,.42,.18,
CXU,28.650,7.373,36.823,.033,-,-,-2.91,-,-,-,-,,Cauldron Energy,-,.13,-1,.13,.14,.14,.13,-5.30,.245,.09,
CAZ,252.750,15.647,13.053,.004,-,-,-1.06,-,-,-,-,,Cazaly Res,-,.03,+.1,.03,.035,.03,.028,+5.30,.045,.018,
CLA,2470.00,14.306,444.588,.003,-,-,-.71,-,-,-,-,,Celsius Coal,-,.001,-,-,.001,.001,.001,+1.85,.001,.001,
CTM,260.215,98.327,29.065,.003,-,-,-3.83,-,-,-,-,,Centaurus Metals,-,.008,+.1,.006,.007,.008,.006,+16.13,.077,.004,
CTMO,-,.040,-,-,-,-,-,-,-,-,-,,  opt mar17,-,.001,-,.001,.002,.001,.001,+1.85,.001,.001,
CTP,9979.32,116.834,154.753,.088,-,-,-7.63,-,-,-,-,,Central Petroleum,-,.24,+.5,.24,.245,.305,.235,+3.97,.305,.076,
CXM,122.603,8.099,12.553,.023,-,-,-4.71,-,-,-,-,f,Centrex Metals,-,.073,+.5,.071,.075,.073,.068,+9.20,.11,.062,
CHN,331.316,33.607,48.609,.033,-,-,.12,95.8,-,-,-,,Chalice Gold Mines,-,.115,-,.11,.115,.12,.11,+1.85,.14,.095,
CEL,4275.34,54.280,79.325,.010,-,-,-.37,-,-,-,-,,Challenger Energy,-,.027,-.2,.025,.028,.03,.024,-5.05,.085,.024,
CELO,-,2.136,3.510,-,-,-,-,-,-,-,-,,  opt jun16,-,.005,-,-,.007,.005,.005,+1.85,.02,.003,
CIA,214.333,17.909,13.611,.039,-,-,-6.19,-,-,-,-,,Champion Iron,-,.195,-,.195,.205,.215,.19,+1.85,.25,.07,
CHZ,1127.76,145.504,119.853,.004,-,-,8.59,.4,-,-,-,,Chesser Res,-,.033,-,.033,.034,.033,.033,+1.85,.036,.019,
CMC,-,6.011,7.736,.007,.06,.58,-1.70,-,-,-,-,,China Magnesium,-,.035,-,.03,.04,.035,.035,+1.85,.09,.021,
CWC,103.362,63.747,79.562,.054,-,-,-2.18,-,-,-,-,,China Waste Corp,-,.60,-,.53,.60,.60,.53,+1.85,.75,.08,
CYU,485.600,20.278,22.614,.014,-,-,-1.65,-,-,-,-,,Chinalco Yunnan Cu,-,.03,-.3,.028,.033,.034,.03,-7.24,.035,.013,
CNW,12366.0,310.427,79.919,.007,-,-,-4.36,-,-,-,-,,Cirrus Networks,X,.022,-.3,.021,.022,.026,.021,-10.15,.039,.013,
CTR,568.570,247.990,1107.53,.004,-,-,-.91,-,-,-,-,,Citation Res,X,.065,-,.065,.069,.074,.065,+1.85,.30,.001,
CTRO,-,.923,229.468,-,-,-,-,-,-,-,-,,  opt dec15,X,.001,-,-,.001,.001,.001,+1.85,.01,.001,
CTO,3537.27,527.596,159.595,.038,-,-,-6.66,-,-,-,-,,Citigold Corp,-,.022,-.3,.021,.022,.025,.022,-10.15,.045,.013,
CLY,1097.47,36.847,39.523,.003,-,-,-.46,-,-,-,-,,Clancy Explore,-,.012,+.2,.011,.015,.012,.01,+21.85,.017,.007,
CLZ,2287.18,39.879,38.957,.002,-,-,-2.17,-,-,-,-,,Classic Minerals,-,.008,+.2,.007,.009,.009,.007,+35.18,.024,.004,
CZA,427.840,12.078,6.983,.100,-,-,-.61,-,-,-,-,,Coal of Africa,-,.052,-1.3,.052,.065,.065,.052,-18.15,.135,.027,
CBQ,300.000,30.104,109.633,.003,-,-,-.50,-,-,-,-,,Coalbank,-,.003,-,.002,.003,.003,.003,+1.85,.006,.001,
COK,1880.40,1498.56,847.305,.134,.01,.20,-.06,-,-,-,-,,Cockatoo Coal,-,.002,+.1,.001,.002,.002,.001,+101.8,.003,.001,
CHK,-,4.719,9.215,.001,-,-,-1.24,-,-,-,-,,Cohiba Min,X,.012,-,.014,.023,.012,.012,+1.85,.055,.006,
CKA,820.410,128.684,61.519,.042,-,-,-3.59,-,-,-,-,,Cokal,-,.085,-.2,.085,.089,.087,.084,-.45,.14,.042,
CRL,32.000,5.560,3.909,-,-,-,-.59,-,-,-,-,,Comet Res,-,.011,-.1,.011,.019,.012,.011,-6.49,.03,.011,
COI,1893.33,49.668,60.366,.046,-,-,-3.68,-,-,-,-,,Comet Ridge,-,.087,-.1,.087,.089,.10,.085,+.71,.145,.038,
CDB,1103.67,131.278,1384.60,.002,-,-,-836.10,-,-,-,-,,Condor Blanco Min,X,.016,-.2,.015,.016,.018,.016,-9.26,.06,.005,
CPD,105.372,6.740,3.250,.002,-,-,-.70,-,-,-,-,,Condoto Platinum,-,.02,-,.02,.024,.02,.02,+1.85,.021,.01,
CNJ,421.082,10.069,6.500,.002,-,-,-.33,-,-,-,-,,Conico,-,.011,-.2,.011,.015,.013,.011,-13.54,.014,.005,
CZL,9934.47,499.787,447.298,.009,-,-,-3.89,-,-,-,-,,Consolidated Zinc,X,.039,-.1,.039,.04,.046,.038,-.65,.08,.002,
CZLO,-,77.651,8.950,-,-,-,-,-,-,-,-,,  opt jul16,X,-,-,-,.03,.001,.001,+1.85,.001,.001,
CSD,1652.28,35.043,28.845,.014,-,-,-.60,-,-,-,-,,Consolidated Tin Min,-,.05,+.6,.046,.049,.059,.043,+15.48,.078,.037,
CSDO,-,.180,-,-,-,-,-,-,-,-,-,,  opt dec15,-,.005,-,-,.005,.005,.005,+1.85,.005,.005,
COE,1804.94,92.378,74.361,.070,.51,.41,6.70,3.1,-,-,-,,Cooper Energy,-,.21,-2.5,.21,.215,.24,.21,-8.79,.425,.165,
CSE,605.500,18.208,53.385,.022,-,-,-.13,-,-,-,-,,Copper Strike,-,.205,+.5,.205,.235,.23,.205,+4.35,.295,.175,
COY,-,32.681,18.721,.002,-,-,-.24,-,-,-,-,,Coppermoly,-,.006,-,.006,.009,.006,.006,+1.85,.012,.003,
CZN,5475.00,239.557,271.638,.003,-,-,.02,30.0,-,-,-,,Corazon Min,-,.006,+.1,.005,.006,.006,.005,+21.85,.01,.004,
CXO,4345.09,65.069,185.060,.004,-,-,-.86,-,-,-,-,,Core Exploration,-,.025,-,.024,.025,.026,.023,+1.85,.059,.02,
CMT,-,3.385,9.826,.002,-,-,-1.10,-,-,-,-,,Cott Oil & Gas,-,.022,-,.022,.085,.022,.022,+1.85,.10,.018,
CMTO,-,-,.580,-,-,-,-,-,-,-,-,,  opt dec15,-,.025,-,-,.02,.025,.025,+1.85,.025,.025,
CGM,-,25.104,33.689,.001,-,-,-.66,-,-,-,-,,Cougar Metals,-,.002,-,.001,.002,.002,.002,+1.85,.003,.001,
CCJ,-,5.679,7.446,.003,.03,.60,-11.57,-,-,-,-,,County Coal,-,.018,-,.006,.013,.018,.018,+1.85,.028,.013,
CVT,5723.98,292.942,346.371,.099,.02,12.75,-8.50,-,-,-,-,,Covata,-,.255,-5.5,.25,.26,.32,.245,-15.89,.685,.021,
CVE,25667.2,213.562,-,.009,-,-,.55,1.6,-,-,-,,Cove Res,-,.009,-,.009,.01,.01,.009,+1.85,.01,.003,
CVEO,8924.29,26.519,-,.003,-,-,-,-,-,-,-,,  opt jun19,-,.006,+.2,.005,.006,.006,.004,+51.85,.006,.001,
CYY,1245.99,230.306,7.799,.007,-,-,-.56,-,-,-,-,,Coventry Res,-,.035,-.6,.035,.037,.042,.034,-12.79,.11,.009,
CZR,1450.00,24.248,67.160,.013,-,-,-.45,-,-,-,-,,Coziron Res,-,.01,-.1,.009,.012,.011,.01,-7.24,.03,.003,
CXX,42.000,16.442,18.871,.029,-,-,-3.06,-,-,-,-,,Cradle Res,-,.225,-1.5,.215,.23,.24,.225,-4.40,.28,.13,
CGN,1508.10,14.760,13.896,.015,-,-,-1.79,-,-,-,-,,Crater Gold Mining,-,.08,-1.1,.079,.08,.093,.08,-10.24,.155,.079,
CRQ,40.000,6.026,4.627,.002,-,-,-.31,-,-,-,-,,Credo Res,-,.018,-.7,.015,.02,.025,.018,-26.15,.03,.012,
CTT,322.000,33.303,7.111,.003,-,-,-2.74,-,-,-,-,,Crest Min,-,.018,-.6,.016,.017,.021,.018,-23.15,.024,.003,
CUX,428.000,10.734,30.906,.003,-,-,-.58,-,-,-,-,,Crossland Metals,-,.007,-.2,.007,.008,.009,.007,-20.38,.012,.006,
CAS,48.517,10.041,50.567,.027,-,-,-8.88,-,-,-,-,,Crusader Res,-,.165,-.5,.155,.17,.18,.155,-1.09,.32,.11,
CUE,1057.56,226.474,71.553,.049,.12,.58,5.74,1.2,-,-,-,,Cue Energy Res,-,.07,-,.067,.07,.075,.07,+1.85,.11,.059,
CQC,500.000,4.874,9.769,.012,-,-,-.73,-,-,-,-,,Cuesta Coal,-,.022,-.3,.016,.025,.025,.022,-10.15,.07,.02,
CUL,2671.11,138.061,425.221,.006,-,-,-.13,-,-,-,-,,Cullen Res,-,.004,+.1,.002,.004,.004,.003,+35.18,.01,.003,
DCN,468.195,17.542,5.555,.069,-,-,-8.40,-,-,-,-,,Dacian Gold,-,.72,-16,.72,.74,.875,.72,-16.33,.94,.25,
DKO,-,12.058,342.195,.002,-,-,-.42,-,-,-,-,,Dakota Minerals,X,.025,-,.021,.025,.025,.025,+1.85,.10,.001,
DAU,3.573,4.437,14.582,.002,-,-,-2.43,-,-,-,-,,Dampier Gold,-,.027,+.2,.016,.027,.027,.025,+9.85,.027,.009,
DNK,684.578,28.928,37.715,.050,-,-,-5.43,-,-,-,-,,Danakali,-,.285,-1.5,.28,.30,.31,.28,-3.15,.565,.167,
DTM,38.330,29.170,27.271,.002,-,-,-1.33,-,-,-,-,,Dart Min,-,.01,-.3,.01,.014,.013,.01,-21.23,.045,.008,
DTR,350.000,6.975,7.932,.001,-,-,-6.16,-,-,-,-,,Dateline Res,-,.01,-,.011,.015,.01,.01,+1.85,.027,.008,
DEG,50.000,157.061,227.297,.001,-,-,-.05,-,-,-,-,,De Grey Min,-,.001,-,.001,.002,.001,.001,+1.85,.002,.001,
DYL,2645.37,205.132,408.551,.019,-,-,-1.12,-,-,-,-,,Deep Yellow,-,.01,-.1,.01,.011,.01,.009,-7.24,.019,.008,
DSB,6.380,3.756,3.229,.005,.34,.32,1.59,6.9,-,-,-,f,Delta SBD,-,.11,+1,.10,.13,.11,.11,+11.85,.20,.056,
DMI,-,1.208,3.890,.002,-,-,-1.22,-,-,-,-,,Dempsey Min,-,.075,-,.07,.075,.075,.075,+1.85,.08,.05,
DGO,-,13.191,55.862,.002,-,-,-1991.00,-,-,-,-,,DGO Gold,X,.33,-,.20,.31,.33,.33,+1.85,.40,.002,
DGR,128.000,55.242,53.227,.020,-,-,1.60,3.0,-,-,-,f,DGR Global,-,.048,-,.043,.048,.048,.046,+1.85,.049,.028,
DRX,431.818,22.397,28.532,.010,-,-,-1.07,-,-,-,-,,Diatreme Res,-,.012,+.3,.009,.012,.012,.011,+35.18,.019,.006,
DRXO,-,1.000,6.974,-,-,-,-,-,-,-,-,,  opt mar16,-,.002,-,-,.001,.002,.002,+1.85,.002,.002,
DAF,7.899,8.788,34.421,.001,-,-,-.86,-,-,-,-,,Discovery Africa,-,.005,-,.005,.008,.005,.005,+1.85,.023,.004,
DAFO,-,.662,6.884,-,-,-,-,-,-,-,-,,  opt dec16,-,.001,-,-,-,.001,.001,+1.85,.008,.001,
DME,-,.667,.342,.096,-,-,-1.32,-,-,-,-,,Dome Gold Mines,-,.42,-,-,.42,.42,.42,+1.85,.45,.26,
DRM,9767.73,120.850,115.191,.174,-,-,9.65,5.9,-,-,-,,Doray Minerals,-,.565,-3,.56,.57,.61,.55,-3.19,.62,.265,
DUO,73739.2,2491.83,30.658,.005,-,-,-3.90,-,-,-,-,,Dourado Res,X,.008,-.4,.007,.008,.012,.008,-31.49,.055,.005,
DLE,-,.688,.445,.001,-,-,-5.63,-,-,-,-,,Dragon Energy,-,.006,-,.006,.025,.006,.006,+1.85,.048,.006,
DRA,210.172,6.293,4.567,.015,.56,.29,14.73,1.1,-,-,-,,Dragon Min,-,.165,-1.5,.165,.175,.18,.155,-6.49,.23,.08,
DMG,-,23.510,24.129,.004,-,-,-.23,-,-,-,-,,Dragon Mtn Gold,-,.016,-,.01,.016,.016,.016,+1.85,.02,.012,
DRK,500.000,193.635,435.458,.002,-,-,-1.61,-,-,-,-,,Drake Res,-,.003,-,.003,.004,.003,.003,+1.85,.012,.003,
DRKOB,2450.00,31.650,-,-,-,-,-,-,-,-,-,,  opt aug17,-,.001,-,-,.001,.001,.001,+1.85,.002,.001,
DLS,17651.7,436.250,371.064,.365,.63,1.25,-1.80,-,-,-,-,,Drillsearch Energy,-,.79,-3.5,.775,.795,.837,.74,-2.40,1.30,.462,
DKM,301.836,28.143,15.599,.009,-,-,-3.90,-,-,-,-,,Duketon Mining,-,.11,-1,.11,.125,.12,.11,-6.49,.46,.096,
DMA,171.875,7.711,.946,.002,-,-,-.64,-,-,-,-,,Dynasty Resources,-,.006,-.4,.006,.008,.01,.005,-38.15,.021,.005,
EER,-,2.130,4.857,.002,-,-,-.66,-,-,-,-,,East Energy Res,-,.006,-,.005,.02,.006,.006,+1.85,.03,.006,
EFE,-,4.955,4.819,.002,-,-,-.25,-,-,-,-,,Eastern Iron,-,.014,-,.014,.018,.014,.014,+1.85,.04,.011,
EAR,157.500,10.708,16.212,.011,-,-,-.70,-,-,-,-,,Echo Res,-,.082,+.1,.082,.088,.082,.081,+3.08,.159,.057,
EPM,1293.00,74.704,80.238,.002,-,-,-.34,-,-,-,-,,Eclipse Metals,-,.003,-,.003,.004,.003,.003,+1.85,.006,.002,
EDE,17528.9,1058.43,103.481,.068,-,-,-.69,-,-,-,-,,Eden Energy,-,.069,-.7,.067,.069,.083,.066,-7.36,.095,.008,
EDEO,3928.32,93.511,-,.008,-,-,-,-,-,-,-,,  opt sep18,-,.038,-.7,.038,.041,.049,.038,-13.71,.065,.002,
ELM,2154.60,78.829,55.812,.089,-,-,-.97,-,-,-,-,,Elemental Min,-,.22,+1.5,.18,.22,.22,.17,+9.16,.28,.12,
ELMO,-,4.842,.551,.004,-,-,-,-,-,-,-,,  opt jan16,-,.045,-,-,.04,.045,.045,+1.85,.05,.024,
ELT,777.800,81.622,46.095,.008,-,-,-.36,-,-,-,-,,Elementos,-,.01,-.1,.01,.011,.012,.01,-7.24,.013,.004,
EXR,7087.52,211.208,97.951,.002,-,-,-.23,-,-,-,-,,Elixir Pet,-,.002,+.1,.001,.002,.002,.001,+101.8,.004,.001,
EXRO,-,-,10.650,-,-,-,-,-,-,-,-,,  opt sep16,-,.001,-,-,.001,.001,.001,+1.85,.001,.001,
ELK,-,21.005,29.382,.014,-,-,-1.85,-,-,-,-,,Elk Petroleum,-,.07,-,.066,.083,.07,.07,+1.85,.125,.02,
ELKO,-,10.145,2.574,-,-,-,-,-,-,-,-,,  opt jul17,-,.007,-,.005,.009,.007,.007,+1.85,.013,.001,
EYM,361.683,22.985,84.436,.005,-,-,-.30,-,-,-,-,,Elysium Res,-,.003,-,.002,.003,.003,.003,+1.85,.008,.002,
EYMO,-,-,.319,-,-,-,-,-,-,-,-,,  opt mar16,-,.001,-,-,-,.001,.001,+1.85,.001,.001,
EMR,3563.16,117.550,498.665,.026,-,-,-.11,-,-,-,-,,Emerald Res,-,.02,-,.02,.022,.021,.019,+1.85,.027,.016,
EMG,16994.2,183.456,16.118,.005,-,-,-1.48,-,-,-,-,,Emergent Res,-,.02,+.2,.02,.021,.022,.018,+12.96,.026,.007,
ERM,8293.49,126.530,182.923,.020,-,-,-.22,-,-,-,-,,Emmerson Res,-,.054,-.2,.053,.054,.057,.051,-1.72,.059,.021,
ERX,-,.265,-,.004,-,-,-.30,-,-,-,-,,Emperor Range Grp,-,.20,-,-,.16,.20,.20,+1.85,.23,.11,
EEG,2899.43,52.585,33.814,.010,-,-,-4.50,-,-,-,-,,Empire Energy,-,.03,+.7,.027,.03,.03,.023,+32.28,.118,.020,
EGO,26349.4,1689.65,882.735,.041,-,-,.10,4.0,-,-,-,,Empire Oil & Gas,-,.004,-,.004,.005,.005,.004,+1.85,.008,.004,
EGOO,375.000,206.277,-,-,-,-,-,-,-,-,-,,  opt apr18,-,.001,-.1,.001,.002,.002,.001,-48.15,.003,.001,
ERL,100.000,16.133,6.533,.004,-,-,-.33,-,-,-,-,,Empire Res,-,.017,+.2,.006,.015,.017,.015,+15.18,.023,.002,
EMU,146.000,2.270,.899,.002,-,-,-.70,-,-,-,-,,Emu Nickel,-,.049,+3,.049,.07,.05,.019,+159.7,.05,.017,
ENR,297.935,8.523,6.926,.021,-,-,.39,34.6,-,-,-,,Encounter Res,-,.135,-,.135,.15,.14,.135,+1.85,.21,.081,
EVR,95.648,20.306,55.476,.030,-,-,-68.76,-,-,-,-,,Endeavour Mining,-,.71,-,.68,.71,.76,.71,+1.85,.765,.415,
ENX,19.000,5.065,4.831,-,-,-,-.49,-,-,-,-,,Enegex NL,-,.009,-,.009,.011,.009,.009,+1.85,.018,.007,
EMX,714.000,136.144,179.463,.026,-,-,-.91,-,-,-,-,,Energia Minerals,-,.042,-.3,.042,.044,.045,.042,-4.82,.065,.024,
EME,40.000,2.931,.863,.019,-,-,-.43,-,-,-,-,,Energy Metals,-,.092,+.4,.08,.15,.092,.092,+6.39,.15,.088,
ERA,2020.13,118.093,90.955,.176,-,-,-61.00,-,-,-,-,,Energy Res,-,.34,+3.5,.33,.345,.355,.30,+13.32,1.405,.29,
EWC,3425.43,140.886,357.671,.434,.38,.66,1.88,13.3,-,-,-,,Energy World Corp,-,.25,+3.5,.24,.255,.25,.205,+18.13,.45,.175,
ENA,125.000,3.951,-,.006,-,-,-7.33,-,-,-,-,,Ensurance,-,.22,+2,.21,.22,.22,.20,+11.85,.26,.18,
ETE,1043.00,46.582,90.738,.006,-,-,.87,1.4,-,-,-,,Entek Energy,-,.012,-.1,.012,.013,.014,.012,-5.85,.035,.01,
ENT,511.324,102.378,163.643,.010,-,-,-2.70,-,-,-,-,,Enterprise Metals,-,.033,+.2,.031,.034,.033,.031,+8.30,.086,.011,
ENU,-,.637,1.781,.001,-,-,-4.80,-,-,-,-,,Enterprise Uranium,-,.019,-,.019,.022,.019,.019,+1.85,.038,.015,
ENZ,190.038,12.650,10.043,.011,-,-,-21.13,-,-,-,-,,Enzumo,X,.285,-6.5,.31,.285,.355,.285,-16.72,.40,.007,
EQX,239.810,24.718,50.559,.037,-,-,-3.19,-,-,-,-,,Equatorial Res,-,.30,+.5,.29,.305,.305,.29,+3.54,.33,.20,
EQE,620.447,52.307,37.398,.005,-,-,-.30,-,-,-,-,,Equus Min,-,.012,-,.01,.012,.012,.009,+1.85,.025,.008,
ESM,693.300,18.713,4.167,.004,-,-,-1.60,-,-,-,-,,Esperance Min,-,.039,-.6,.039,.046,.045,.039,-11.49,.05,.005,
ESR,1991.00,45.839,23.922,.005,-,-,-15.08,-,-,-,-,,Estrella Res,X,.03,-.2,.03,.032,.033,.029,-4.40,.161,.011,
GOLD,17.198,1.258,1.454,.431,-,-,63.17,245.4,-,-,-,,ETFS Physical Gold,-,155.00,+120,154.15,155.00,156.60,153.00,+2.63,159.42,126.89,
EUM,-,1.318,1.298,.001,-,-,-2.30,-,-,-,-,,Eumeralla Res,-,.027,-,.027,.049,.027,.027,+1.85,.066,.027,
EMH,5333.97,100.169,1.824,.019,-,-,-1.25,-,-,-,-,,European Metals,-,.22,+3.5,.21,.22,.22,.175,+20.77,.265,.04,
EMHO,596.521,26.387,-,.003,-,-,-,-,-,-,-,,  opt jun16,-,.12,+2.9,.105,.12,.12,.091,+33.72,.145,.005,
EVN,41905.2,1659.54,502.291,2.028,1.32,1.06,13.71,10.2,2.00,6.85,1.42,,Evolution Mining,-,1.405,-20.5,1.40,1.405,1.675,1.387,-10.89,1.685,.435,
EXM,585.253,12.960,13.372,-,-,-,-.59,-,-,-,-,,Excalibur Min,-,.004,-.1,.004,.005,.006,.004,-18.15,.008,.002,
EXG,6878.60,45.708,35.709,.039,-,-,-.68,-,-,-,-,,Excelsior Gold,-,.08,-,.077,.08,.096,.07,+1.85,.11,.051,
EXU,1622.28,123.296,20.483,.004,-,-,3.30,.7,-,-,-,,Explaurum,X,.023,-.4,.023,.026,.028,.022,-12.97,.06,.004,
EXC,2628.75,23.907,10.269,.005,-,-,-.60,-,-,-,-,,Exterra Res,-,.025,+.5,.025,.027,.026,.021,+26.85,.026,.008,
FCN,1432.23,79.460,13.205,.004,-,-,-.18,-,-,-,-,,Falcon Minerals,-,.015,-,.015,.016,.017,.015,+1.85,.018,.005,
FAR,34145.5,1419.74,3225.30,.291,-,-,-.41,-,-,-,-,,FAR,-,.083,-.4,.083,.084,.087,.082,-2.38,.144,.056,
FEL,262.833,8.315,15.775,.005,-,-,-.58,-,-,-,-,,Fe Ltd,-,.024,-.4,.024,.025,.028,.021,-12.44,.03,.006,
FCR,500.000,22.618,18.655,.005,-,-,-.50,-,-,-,-,,Ferrum Crescent,-,.008,-,.006,.008,.009,.008,+1.85,.017,.005,
FTZ,17.010,2.927,5.326,.007,-,-,-3.57,-,-,-,-,,Fertoz,-,.14,-1,.13,.14,.15,.14,-4.82,.435,.125,
