ASX Mining & Oil Market - Weekly
"Trading data for the week ending Friday, October 30, 2015"
"XAO 5288.6 at 2015-10-30T16:38:35. Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:50 PM."



ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change [see notes],Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ACS,-,.701,1.162,.024,-,-,-7.67,-,-,-,-,,Accent Resources,-,.13,-,.13,.15,.13,.13,+1.85,.36,.10,
AIV,-,36.915,22.332,.016,-,-,-.15,-,-,-,-,,ActiveX,-,.025,-,.008,.023,.025,.025,+1.85,.035,.014,
ADD,-,.563,8.760,-,-,-,-3.69,-,-,-,-,,Adavale Resources,X,.014,-,.013,.05,.014,.014,+1.85,.06,.002,
ADN,2553.10,29.601,50.076,.006,-,-,-.44,-,-,-,-,,Adelaide Resources,-,.018,-.4,.018,.019,.022,.018,-16.33,.041,.018,
ADNO,84.000,1.016,-,-,-,-,-,-,-,-,-,,  opt sep16,-,.007,+.1,.005,.007,.007,.006,+18.51,.009,.004,
ABY,581.228,26.209,30.710,.072,.91,.25,-70.11,-,-,-,-,,Aditya Birla,-,.23,+2.5,.23,.235,.25,.21,+14.04,.26,.145,
ADY,379.000,76.882,102.683,.018,-,-,-.48,-,-,-,-,,Admiralty Res,-,.018,-.1,.018,.02,.021,.018,-3.42,.037,.014,
ADX,214.398,88.152,60.774,.005,-,-,.01,70.0,-,-,-,,ADX Energy,-,.007,+.1,.007,.008,.008,.007,+18.51,.011,.003,
AQR,344.000,15.704,24.958,.015,-,-,-3.09,-,-,-,-,,AEON Metals,-,.043,+.4,.043,.055,.043,.039,+12.10,.12,.039,
AFR,396.843,47.825,48.131,.033,-,-,-1.17,-,-,-,-,,African Energy Res,-,.053,-.3,.053,.056,.056,.053,-3.51,.092,.045,
AMN,130.000,15.566,17.967,.018,-,-,-1.41,-,-,-,-,,Agrimin,-,.20,-2,.175,.22,.22,.20,-7.24,.25,.10,
AMNOA,-,2.063,1.123,.001,-,-,-,-,-,-,-,,  opt dec15,-,.125,-,.10,.25,.125,.125,+1.85,.15,.06,
AGR,2576.75,100.467,29.859,.066,-,-,-4.32,-,-,-,-,,Aguia Res,-,.18,+1.5,.175,.18,.195,.145,+10.94,.225,.025,
AQG,1302.89,55.876,126.734,.193,-,-,34.18,8.2,-,-,-,,Alacer Gold,-,2.80,-31,2.78,2.84,3.23,2.79,-8.12,3.39,1.815,
AUQ,5877.45,533.664,113.222,.002,-,-,-.67,-,-,-,-,,Alara Res,R,.009,-.1,.009,.01,.01,.009,-8.15,.042,.005,
ALY,186.252,52.238,29.158,.004,-,-,-2.41,-,-,-,-,,Alchemy Resources,-,.019,-.1,.019,.023,.02,.019,-3.15,.051,.013,
AWD,20007.8,1709.62,1139.69,.019,-,-,-24.57,-,-,-,-,,Aleator Energy,X,.027,-.3,.026,.027,.031,.026,-8.15,.048,.002,
AQI,-,4.568,3.517,.003,-,-,-5.00,-,-,-,-,,Alicanto Min,-,.045,-,.045,-,.045,.045,+1.85,.09,.04,
ALK,897.697,71.129,111.295,.101,-,-,-1.00,-,-,-,-,,Alkane Res,-,.245,+1,.245,.255,.255,.235,+6.10,.405,.20,
AHQ,-,7.182,3.703,-,-,-,-.34,-,-,-,-,,Allegiance Coal,-,.004,-,.004,.006,.004,.004,+1.85,.025,.004,
AGS,10221.0,164.165,72.666,.013,-,-,-.87,-,-,-,-,,Alliance Res,-,.031,-.1,.031,.032,.033,.028,-1.28,.038,.012,
AGE,1.000,41.207,36.760,.013,-,-,-.29,-,-,-,-,,Alligator Energy,-,.038,-.2,.032,.036,.04,.038,-3.15,.048,.021,
AYR,2053.70,67.500,206.728,.004,-,-,-.60,-,-,-,-,,Alloy Res,-,.008,-,.008,.009,.009,.008,+1.85,.011,.005,
ATC,4037.19,60.627,21.404,.015,-,-,-1.20,-,-,-,-,,Altech Chemicals,-,.10,-.5,.10,.11,.11,.095,-2.91,.15,.045,
ATCOA,100.000,.312,-,-,-,-,-,-,-,-,-,,  opt dec15,-,.025,+1.3,.025,.025,.025,.012,+110.2,.025,.01,
AOH,2308.60,155.960,126.322,.062,-,-,5.88,2.0,-,-,-,,Altona Mining,-,.115,+1.7,.105,.12,.115,.095,+19.19,.21,.08,
AJM,15992.5,978.767,52.776,.043,-,-,-6.09,-,-,-,-,,Altura Mining,-,.051,-.2,.051,.052,.056,.049,-1.93,.095,.009,
AJMO,2774.26,164.196,-,.006,-,-,-,-,-,-,-,,  opt jun16,-,.033,-.6,.031,.032,.036,.03,-13.54,.044,.003,
AWC,74388.3,3259.03,2807.75,3.125,.95,1.14,3.13,34.7,8.46,.37,7.80,f,Alumina,-,1.085,-10.5,1.085,1.09,1.205,1.08,-6.98,2.10,1.077,
AXZ,-,.856,.584,.046,-,-,-21.11,-,-,-,-,,Amex Resources,-,.48,-,-,.49,.48,.48,+1.85,.93,.35,
AEK,-,59.940,36.304,.019,-,-,-.67,-,-,-,-,,Anatolia Energy,-,.06,-,-,-,.06,.06,+1.85,.088,.052,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,-,.006,-,-,-,.006,.006,+1.85,.006,.006,
AHR,-,.117,-,.001,-,-,-2.06,-,-,-,-,,Anchor Res,-,.025,-,.006,.19,.025,.025,+1.85,.19,.025,
ATM,-,.004,.005,.002,-,-,564.55,.2,-,-,-,,Aneka Tambang,-,1.25,-,1.26,-,1.25,1.25,+1.85,1.25,.95,
AAR,853.750,11.912,17.997,.002,-,-,-4.11,-,-,-,-,,Anglo Aust Res,-,.01,+.5,.008,.01,.01,.005,+101.8,.013,.005,
AGG,11.025,.676,.731,.216,7.44,.33,-546.47,-,-,-,-,,Anglogold Ashanti,-,2.42,+2,2.36,2.42,2.50,2.40,+2.68,3.39,1.50,
AWV,785.402,41.606,40.599,.017,-,-,-1.40,-,-,-,-,,Anova Metals,-,.052,-.1,.052,.053,.053,.047,-.04,.06,.026,
AVD,26.769,9.140,55.756,.002,-,-,3.38,.9,-,-,-,,Antilles Oil & Gas,-,.03,-.7,.031,.039,.037,.03,-17.07,.20,.02,
AVDOB,-,.100,-,-,-,-,-,-,-,-,-,,  opt jan17,-,.025,-,.002,.01,.025,.025,+1.85,.025,.025,
AZY,20306.0,842.485,33.128,.010,-,-,-.21,-,-,-,-,,Antipa Min,-,.018,-.2,.018,.019,.022,.018,-8.15,.028,.003,
AZYO,7401.30,461.981,-,.003,-,-,-,-,-,-,-,,  opt may16,-,.009,-.1,.009,.01,.011,.009,-8.15,.013,.001,
AAL,-,2.892,3.765,-,-,-,-.32,-,-,-,-,,APAC Coal,-,.002,-,.002,.004,.002,.002,+1.85,.004,.002,
AQQ,214.285,16.536,27.158,.005,-,-,-.30,-,-,-,-,,Aphrodite Gold,-,.01,-,.01,.011,.01,.01,+1.85,.013,.006,
AOP,85.707,5.926,7.771,.004,-,-,-.50,-,-,-,-,,Apollo Cons,-,.04,-.5,.041,.048,.046,.04,-9.26,.046,.01,
AON,105.973,146.092,460.257,.003,-,-,-1.91,-,-,-,-,,Apollo Minerals,X,.044,-,.044,.045,.046,.044,+1.85,.16,.03,
AQP,946.009,89.854,116.679,.370,-,-,-8.58,-,-,-,-,,Aquarius Platinum,-,.245,-,.245,.25,.245,.245,+1.85,.315,.125,
AQS,40.000,5.744,2.262,.003,-,-,-2.40,-,-,-,-,,Aquis Entertain,-,.095,-,.08,.125,.095,.095,+1.85,.19,.06,
ARU,1165.95,36.608,62.169,.026,-,-,-.95,-,-,-,-,,Arafura Resources,-,.059,+.7,.051,.059,.059,.05,+15.31,.065,.037,
ARX,223.000,105.352,109.493,.001,-,-,-.15,-,-,-,-,,ARC Explore,-,.001,-.1,.001,.002,.002,.001,-48.15,.004,.001,
AXE,174.978,18.358,41.425,.008,-,-,-1.16,-,-,-,-,,Archer Explore,-,.089,-.2,.087,.089,.092,.089,-.35,.157,.081,
AWO,3853.02,89.558,25.615,.003,-,-,-1.28,-,-,-,-,,Ardent Res,-,.021,-,.018,.021,.022,.017,+1.85,.042,.006,
ADV,95391.5,634.553,46.468,.007,-,-,-.18,-,-,-,-,,Ardiden,-,.011,-.1,.011,.012,.016,.011,-6.49,.016,.004,
ARD,2629.34,57.899,29.507,.007,-,-,-.91,-,-,-,-,,Argent Minerals,-,.027,-.2,.024,.026,.029,.025,-5.05,.045,.019,
ARDO,-,20.990,3.028,-,-,-,-,-,-,-,-,,  opt mar16,-,.001,-,-,.001,.001,.001,+1.85,.015,.001,
