ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4754.5 at 16:47 9/10/2009 Report at 19:39 Friday 9/10/2009. Processed 17:01 Sunday 11/10/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,3482.27,56.006,52.341,0.045,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.225,-0.5,0.22,0.225,0.28,0.22,-5.40,0.28,0.048
DDD,630,10.043,7.626,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.02,,0.02,0.024,0.022,0.02,-3.22,0.03,0.007
AAO,215.271,13.425,5.749,0.009,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.085,,0.085,0.09,0.085,0.077,-3.22,0.09,0.014
ARH,739.897,18.121,38.638,0.23,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.52,-2.5,0.51,0.52,0.535,0.49,-7.81,0.70,0.26
AAM,2941.25,57.654,35.627,0.031,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.205,2,0.205,0.215,0.225,0.175,7.59,0.235,0.06
ABU,3472.57,288.121,32.142,0.029,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.038,,0.037,0.038,0.04,0.036,-3.22,0.07,0.006
AII,0.3,2.47,18.165,0.03,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.215,0.5,0.215,0.24,0.215,0.215,-0.84,0.33,0.13
ACB,1639.27,66.898,59.96,0.069,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.43,2,0.42,0.43,0.46,0.405,1.66,0.60,0.08
ACS,185.982,30.422,66.059,0.018,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.165,1.5,0.15,0.165,0.165,0.15,6.78,0.27,0.055
ACSN,-,-,-,-,-,-,-,-,-,-,-,, def x opt,,-,,-,-,-,-,-,-,-
AEX,4149.66,451.152,471.374,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,,0.005,0.006,0.006,0.005,-3.22,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,, ctg,,0.003,,0.001,-,0.003,0.003,-3.22,0.003,0.003
AIV,245,11.32,5.491,0.005,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.08,0.4,0.08,0.086,0.087,0.08,2.04,0.105,0.028
AIVO,13,0.853,-,-,-,-,-,-,-,-,-,, opt jul10,,0.05,2,0.035,0.05,0.05,0.03,63.44,0.05,0.001
ADU,3583.56,38.268,21.769,0.128,-,-,-10.25,-,-,-,-,,Adamus Res,,0.45,3,0.45,0.46,0.49,0.42,3.92,0.53,0.10
ADD,1266.9,39.515,38.504,0.009,0.03,1.7,-0.3,-,-,-,-,,Adavale Resource,,0.051,,0.049,0.051,0.051,0.041,-3.22,0.065,0.01
ADE,2110.69,42.805,40.305,0.018,-,-,1.39,9.7,-,-,-,,Adelaide Energy,,0.135,1,0.135,0.14,0.14,0.12,4.78,0.16,0.035
ADN,1567.81,58.135,35.612,0.02,-,-,4.86,4.3,-,-,-,,Adelaide Res,,0.21,-0.5,0.205,0.21,0.22,0.185,-5.55,0.37,0.04
ADI,5785.56,60.478,25.008,0.021,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.14,5.2,0.125,0.14,0.16,0.09,55.87,0.365,0.045
ABY,4026.46,323.718,301.327,0.472,1.31,1.1,-24.26,-,-,-,-,,Aditya Birla,,1.505,23,1.49,1.55,1.595,1.21,14.82,1.595,0.096
ADY,95925.7,6101,3413.72,0.03,-,-,-3.87,-,-,-,-,,Admiralty Res,,0.018,-0.1,0.017,0.018,0.019,0.014,-9.04,0.054,0.008
AVD,1828.18,17.665,8.021,0.017,0.04,2.8,-1.06,-,-,-,-,,Advance Energy,,0.11,,0.10,0.115,0.125,0.10,-3.22,0.125,0.025
AED,2847.08,101.093,249.084,0.105,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.635,-0.5,0.63,0.645,0.67,0.62,-4.00,1.425,0.555
