ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:06 Friday 15/1/2010. Processed 19:32 Friday 15/1/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,734.786,2.713,2.358,0.071,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.355,-1.5,0.35,0.36,0.39,0.33,-3.80,0.39,0.07
DDD,500,0.836,0.267,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.021,-0.1,0.02,0.025,0.022,0.021,-4.29,0.026,0.007
AAO,81.5,0.282,0.365,0.007,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.07,-0.5,0.07,0.09,0.075,0.07,-6.41,0.12,0.018
ARH,620.964,1.383,0.587,0.221,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.50,-1.5,0.505,0.515,0.525,0.50,-2.66,0.70,0.29
AAM,3862.26,6.932,0.879,0.065,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.375,0.5,0.375,0.38,0.39,0.35,1.61,0.42,0.076
ABU,13315.5,35.617,3.31,0.034,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.037,0.2,0.035,0.037,0.038,0.035,5.97,0.07,0.006
AII,30,0.034,0.083,0.025,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.18,-2,0.18,0.20,0.20,0.18,-9.74,0.25,0.13
ACB,943.057,1.463,1.174,0.061,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.38,0.5,0.38,0.385,0.385,0.36,1.59,0.60,0.105
ACS,2250.71,2.96,0.072,0.027,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.215,4.5,0.21,0.215,0.225,0.18,26.73,0.27,0.055
AEX,32440.6,78.099,8.456,0.005,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.006,0.1,0.005,0.006,0.006,0.005,20.26,0.008,0.003
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,-,0.003,0.003,0.26,0.003,0.003
AIV,295,0.754,0.117,0.007,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.093,0.3,0.093,0.095,0.095,0.09,3.59,0.12,0.032
AIVO,-,0.075,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.025,,0.023,0.035,0.025,0.025,0.26,0.06,0.001
ADU,1703.26,3.082,0.36,0.141,-,-,-10.25,-,-,-,-,,Adamus Res,,0.495,2,0.495,0.50,0.505,0.46,4.47,0.53,0.165
ADD,351.406,0.541,0.965,0.007,0.03,1.2,-0.3,-,-,-,-,,Adavale Resource,,0.037,-0.2,0.037,0.04,0.039,0.036,-4.87,0.065,0.014
