ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, January 21, 2011,,,,,,,,,,,,,,,,,,,,
"XAO 4860.9 at 2011-01-21T16:38:33. Report at Friday, January 21, 2011. Processed Saturday at 2011-01-22T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
ALK,9191.90,22.517,3.652,.284,-,-,4.80,23.7,-,-,-,,Alkane Res,,1.14,+8,1.135,1.14,1.25,1.01,+8.52,1.25,.23,,
AGS,2229.53,5.881,5.843,.155,-,-,-1.42,-,-,-,-,,Alliance Res,,.455,-1.5,.455,.46,.48,.445,-2.22,.62,.28,,
ALD,25923.5,38.588,23.609,.625,.33,1.8,1.31,45.8,-,-,-,,Allied Gold,,.60,-1,.60,.61,.625,.585,-.67,.70,.25,,
AYR,2807.22,19.327,.622,.005,-,-,-.50,-,-,-,-,,Alloy Res,,.052,+.6,.049,.052,.052,.046,+14.01,.067,.018,,
AOH,2879.42,12.444,35.228,.093,-,-,2.46,15.4,-,-,-,,Altona Min Ltd,†,.38,-6,.38,.385,.46,.365,-12.67,.48,.089,,
AJM,2818.10,6.968,.423,.057,-,-,-.54,-,-,-,-,,Altura Min,,.175,-.5,.17,.175,.185,.17,-1.81,.33,.115,,
AJMOA,1029.92,2.754,-,.005,-,-,-,-,-,-,-,,  opt aug11,,.041,-.4,.039,.043,.046,.041,-7.92,.065,.03,,
AWC,77907.0,251.441,211.505,5.905,1.22,2.0,.59,410.2,4.23,.14,1.75,f,Alumina,,2.42,-4,2.41,2.43,2.53,2.39,-.65,2.67,1.45,,
AMU,7189.99,30.983,10.876,.066,.38,.6,-.14,-,-,-,-,,Amadeus Energy,,.22,-1.5,.235,.23,.235,.22,-5.41,.27,.175,,
AXZ,389.351,1.088,.233,.015,-,-,-2.13,-,-,-,-,,Amex Res,,.25,+3,.24,.26,.27,.22,+14.61,.28,.115,,
AMX,3078.73,7.332,7.336,.604,-,-,-10.79,-,-,-,-,,Ampella Min,,3.00,+7,3.00,3.04,3.04,2.61,+3.36,3.42,.64,,
AHR,379.148,2.138,.886,.013,-,-,-1.46,-,-,-,-,,Anchor Res,,.265,+.5,.265,.275,.275,.26,+2.89,.28,.12,,
ATM,-,-,-,2.604,-,-,5.55,24.6,1.42,3.91,1.04,,Aneka Tambang,,1.365,-,1.365,-,1.365,1.365,+.97,1.365,1.06,,
AAR,5062.42,16.412,4.417,.016,-,-,-.15,-,-,-,-,,Anglo Aust,,.028,-.2,.028,.029,.031,.028,-5.70,.066,.018,,
