ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, February 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5366.9 at 2014-02-14T16:38:06. Report at Friday, February 14, 2014. Processed Saturday at 2014-02-15T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,933.916,3.094,.840,.027,-,-,-.92,-,-,-,-,,3D Oil,,.115,+.5,.115,.125,.12,.11,+1.03,.14,.075,,
DDD,145.416,2.329,2.068,.007,-,-,-.12,-,-,-,-,,3D Res,,.028,+.3,.015,.025,.029,.02,+8.48,.036,.012,,
ARH,748.417,1.080,1.173,.017,-,-,-4.70,-,-,-,-,,A'asian Resources,,.034,-.8,.033,.049,.042,.033,-22.57,.16,.021,,
AYC,106.163,.183,.286,.009,-,-,-.89,-,-,-,-,,A1 Gold,,.095,-.5,.085,.095,.10,.085,-8.52,.255,.085,,
ABU,38572.4,169.110,196.046,.099,-,-,-.46,-,-,-,-,,ABM Res,,.03,+.2,.029,.03,.031,.028,+3.62,.046,.021,,
AJC,1811.08,8.241,20.449,.008,-,-,-.08,-,-,-,-,,Acacia Coal,,.009,-,.009,.01,.01,.009,-3.52,.02,.007,,
ACB,686.714,2.167,3.358,.015,-,-,-.93,-,-,-,-,,A-Cap Res,,.059,+.4,.058,.06,.061,.055,+3.75,.13,.042,,
ACS,46.000,.304,.146,.033,-,-,-.40,-,-,-,-,,Accent Res,,.185,-3.5,.19,.23,.185,.185,-19.43,.24,.14,,
AIV,436.600,1.578,6.137,.004,-,-,-1.23,-,-,-,-,,ActiveX,,.011,-,.011,.012,.012,.011,-3.52,.021,.009,,
ADD,100.000,.375,1.260,-,-,-,-1.38,-,-,-,-,,Adavale Resources,,.003,-,.003,.004,.003,.003,-3.52,.019,.002,,
ADN,2059.18,5.155,4.137,.016,-,-,-3.63,-,-,-,-,,Adelaide Res,,.068,+.3,.068,.07,.07,.063,+1.10,.25,.036,,
ABY,1235.64,4.065,10.639,.102,1.59,.20,-.21,-,-,-,-,,Aditya Birla,,.325,-,.30,.325,.33,.30,-3.52,.57,.30,,
ADY,2027.10,10.734,3.468,.010,-,-,-2.90,-,-,-,-,,Admiralty Res,,.014,-.1,.014,.016,.016,.014,-10.18,.045,.013,,
AVD,-,-,97.563,.001,-,-,-.13,-,-,-,-,,Advance Energy,,.001,-,-,.001,.001,.001,-3.52,.002,.001,,
ADX,869.288,6.894,64.658,.008,-,-,-3.21,-,-,-,-,,ADX Energy,,.015,-,.015,.016,.015,.015,-3.52,.024,.012,,
AQR,172.727,.273,2.693,.021,-,-,-.04,-,-,-,-,,AEON Metals,,.115,-3,.11,.125,.145,.105,-24.21,.335,.105,,
AFR,922.314,4.591,15.351,.040,-,-,-3.86,-,-,-,-,,African Energy Res,,.091,-.8,.091,.10,.099,.088,-11.60,.175,.063,,
AGR,130.000,5.587,2.405,.013,-,-,-2.01,-,-,-,-,,Aguia Res,,.061,+.1,.062,.065,.061,.06,-1.85,.16,.045,,
AQG,6876.65,19.534,28.921,.272,-,-,-318.93,-,-,-,-,,Alacer Gold,,2.82,+30,2.80,2.85,2.86,2.53,+8.39,3.78,1.94,,
AUQ,2133.59,9.373,13.119,.018,-,-,-2.84,-,-,-,-,,Alara Res,,.074,-.9,.07,.074,.08,.07,-14.36,.205,.035,,
ALY,1386.07,8.176,3.296,.004,-,-,-1.36,-,-,-,-,,Alchemy Resources,,.025,+.1,.023,.024,.025,.023,+.65,.146,.023,,
AYN,309374,1192.63,80.232,.007,-,-,-.68,-,-,-,-,,Alcyone Res,,.001,-,.001,.002,.002,.001,-3.52,.021,.001,,
AYNO,-,-,.702,-,-,-,-,-,-,-,-,,  opt may15,,.001,-,-,.001,.001,.001,-3.52,.014,.001,,
AYNOA,-,.500,-,.001,-,-,-,-,-,-,-,,  opt jul15,,.001,-,-,.001,.001,.001,-3.52,.002,.001,,
AQI,45.000,.177,.176,.006,-,-,-4.80,-,-,-,-,,Alicanto Min,,.255,+2.5,.25,-,.255,.23,+7.35,.26,.145,,
ALK,2202.03,14.260,24.865,.160,-,-,19.00,2.3,-,-,-,,Alkane Res,,.43,-,.425,.435,.46,.39,-3.52,.67,.245,,
AHQ,-,.077,1.217,-,-,-,-.88,-,-,-,-,,Allegiance Coal,,.015,-,.015,.04,.015,.015,-3.52,.06,.012,,
AHQO,-,-,.131,-,-,-,-,-,-,-,-,,  opt mar14,,.001,-,-,.001,.001,.001,-3.52,.005,.001,,
AGS,2721.74,16.818,5.443,.058,-,-,-2.14,-,-,-,-,,Alliance Res,,.17,-1,.17,.175,.195,.165,-9.07,.205,.093,,
AGE,1479.98,6.036,2.060,.009,-,-,-.93,-,-,-,-,,Alligator Energy,,.043,+.3,.042,.065,.043,.037,+3.98,.085,.023,,
AYR,15625.1,84.339,50.811,.003,-,-,-.42,-,-,-,-,,Alloy Res,,.006,+.1,.006,.007,.006,.005,+16.48,.013,.003,,
AYM,-,-,.050,.005,-,-,-.52,-,-,-,-,,Altuis Mining,,.009,-,.004,.009,.009,.009,-3.52,.019,.005,,
AOH,843.932,8.570,23.196,.096,-,-,2.40,7.5,-,-,-,,Altona Min,,.18,+.5,.17,.18,.18,.165,-.66,.25,.115,,
AJM,2453.50,10.949,4.409,.089,-,-,-.22,-,-,-,-,,Altura Min,,.195,+1,.19,.195,.20,.19,+1.89,.20,.076,,
AWC,67366.9,399.571,540.207,3.634,1.01,1.28,-1.92,-,-,-,-,,Alumina,,1.295,+2.5,1.29,1.305,1.305,1.24,-1.55,1.34,.89,,
AQO,1646.00,8.251,15.186,.026,-,-,-3.78,-,-,-,-,,Ambassador Oil & Gas,,.18,-1,.18,.20,.21,.18,-8.78,.275,.13,,
AXZ,21.929,.191,1.069,.104,-,-,-4.51,-,-,-,-,,Amex Res,,1.25,-4,.90,1.25,1.30,1.25,-6.62,1.53,.92,,
AMX,7266.03,59.267,25.983,.042,-,-,-10.56,-,-,-,-,,Ampella Min,,.17,+2,.17,.175,.175,.15,+9.82,.375,.075,,
AEK,473.256,1.770,1.671,.015,-,-,-.60,-,-,-,-,,Anatolia Energy,,.067,+.2,.066,.075,.067,.065,-.44,.10,.032,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.002,-,.002,.002,-3.52,.002,.002,,
AHR,-,-,-,.010,-,-,-2.61,-,-,-,-,,Anchor Res,,.19,-,.05,.19,.19,.19,-3.52,.19,.19,,
ATM,-,-,-,.001,-,-,5.18,21.2,2.11,2.45,1.92,,Aneka Tambang,,1.10,-,-,-,1.079,1.079,-3.52,1.25,1.079,,
AAR,75.060,1.386,46.832,.003,-,-,-1.70,-,-,-,-,,Anglo Aust Res,†,.03,+.7,.025,.031,.03,.023,+26.92,.08,.004,,
AGG,63.512,.241,.125,.347,8.89,.44,-401.41,-,2.72,-,.70,,Anglogold Ashanti,,3.89,+59,3.60,3.94,3.89,3.36,+14.36,5.45,2.49,,
AWV,865.973,4.705,8.827,.006,-,-,-8.67,-,-,-,-,,Anova Metals,,.035,-.4,.035,.039,.037,.03,-13.77,.079,.019,,
AZZ,7714.13,25.871,13.556,.125,-,-,5.50,8.9,-,-,-,,Antares Energy,,.49,+8,.48,.495,.50,.422,+15.99,.585,.27,,
AZY,285.000,3.780,68.431,.004,-,-,-1.10,-,-,-,-,,Antipa Min,,.021,-.2,.022,.026,.026,.02,-12.21,.255,.02,,
AZYOA,300.000,.553,12.631,-,-,-,-,-,-,-,-,,  opt dec14,,.002,-,.002,.005,.002,.002,-3.52,.155,.002,,
AOM,676.911,18.052,1.978,.003,-,-,-9.20,-,-,-,-,,AO Energy,,.021,-.1,.023,.025,.022,.021,-8.06,.052,.009,,
AAL,-,.035,.075,-,-,-,-.11,-,-,-,-,,APAC Coal,,.002,-,.003,.012,.002,.002,-3.52,.004,.002,,
AQQ,650.000,2.194,136.871,.005,-,-,-.54,-,-,-,-,,Aphrodite Gold,,.021,-.1,.021,.022,.022,.021,-8.06,.064,.019,,
AOP,41.560,1.099,.891,.002,-,-,-2.13,-,-,-,-,,Apollo Cons,,.039,+.2,.039,.044,.044,.037,+1.89,.135,.021,,
AON,1653.24,4.103,6.302,.007,-,-,-.56,-,-,-,-,,Apollo Minerals,,.02,+.2,.019,.017,.02,.017,+7.59,.08,.016,,
AQP,797.939,7.489,36.227,.361,-,-,-34.48,-,-,-,-,,Aquarius Platinum,,.74,+.5,.73,.75,.755,.70,-2.84,.995,.535,,
AQA,2036.95,13.219,20.991,1.132,-,-,77.10,3.6,-,-,-,,Aquila Res,,2.75,+23,2.72,2.76,2.77,2.48,+5.61,2.93,1.63,,
ARU,445.148,9.948,17.071,.041,-,-,-2.80,-,-,-,-,,Arafura Resources,,.093,-,.094,.098,.098,.092,-3.52,.18,.062,,
ARX,1050.00,9.934,19.635,.006,-,-,-.06,-,-,-,-,,ARC Explore,,.007,+.1,.006,.007,.007,.006,+13.15,.009,.002,,
AXE,316.315,6.071,3.742,.015,-,-,-.64,-,-,-,-,,Archer Explore,,.18,-1,.18,.19,.195,.175,-8.78,.25,.11,,
ARD,70.950,2.373,1.787,.007,-,-,-2.40,-,-,-,-,,Argent Minerals,,.048,-.1,.043,.048,.048,.04,-5.56,.105,.027,,
AVK,218.000,1.015,.491,.004,-,-,-7.42,-,-,-,-,,Argentina Min,,.019,+.1,.016,.02,.019,.016,+2.04,.055,.008,,
AVKO,-,.058,.119,-,-,-,-,-,-,-,-,,  opt mar15,,.001,-,.001,.003,.001,.001,-3.52,.006,.001,,
AXT,385.000,.900,7.612,.002,-,-,-7.08,-,-,-,-,,Argo Explore,,.015,-,.016,.025,.017,.015,-3.52,.032,.015,,
ARE,481.654,4.523,9.621,.007,-,-,-4.33,-,-,-,-,,Argonaut Res,,.024,+.4,.024,.025,.024,.019,+16.48,.062,.018,,
AGY,1.080,.015,.422,.004,-,-,-1.22,-,-,-,-,,Argosy Minerals,,.031,-,.031,.048,.031,.031,-3.52,.145,.02,,
AHK,-,-,.906,.003,-,-,-8.22,-,-,-,-,,Ark Mines,,.095,-,.002,.07,.095,.095,-3.52,.14,.05,,
AJQ,451.443,4.118,22.727,.038,-,-,.53,32.1,-,-,-,,Armour Energy,,.17,+2,.17,.18,.175,.15,+9.82,.375,.15,,
AJQO,206.430,.728,2.693,-,-,-,-,-,-,-,-,,  opt aug14,,.017,-.3,.01,.017,.02,.01,-18.52,.135,.005,,
ARV,1790.00,10.455,90.970,.003,-,-,-.23,-,-,-,-,,Artemis Res,,.004,-,.003,.004,.004,.004,-3.52,.013,.003,,
ARVO,-,-,-,-,-,-,-,-,-,-,-,,  opt mar14,,.001,-,-,.001,.001,.001,-3.52,.001,.001,,
ARVOA,333.333,7.939,-,-,-,-,-,-,-,-,-,,  opt aug16,,.001,-,.001,.002,.001,.001,-3.52,.002,.001,,
AAJ,140.000,3.572,3.344,.002,-,-,-2.31,-,-,-,-,,Aruma Res,,.016,-,.011,.016,.016,.016,-3.52,.065,.015,,
AJY,-,-,.022,.006,-,-,-.21,-,-,-,-,,Asaplus Res,,.245,-,-,-,.245,.245,-3.52,.245,.225,,
AZQ,347.258,3.911,.373,.004,-,-,-8.63,-,-,-,-,,Ascot Res,,.08,+.1,.078,.085,.08,.07,-2.25,.19,.048,,
AKM,1088.31,9.478,145.890,.033,-,-,-1.22,-,-,-,-,,Aspire Min,,.05,+.6,.05,.054,.055,.044,+10.12,.13,.033,,
ARO,-,1.700,70.365,.003,-,-,-.02,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,-3.52,.001,.001,,
AROOA,-,-,-,-,-,-,-,-,-,-,-,,  opt jun14,,.001,-,-,.001,.001,.001,-3.52,.001,.001,,
AHN,250.000,.999,.382,.004,-,-,.02,175.0,-,-,-,,Athena Res,,.035,-.1,.035,.04,.036,.033,-6.30,.05,.015,,
ATI,-,.995,4.252,.027,-,-,-14.80,-,-,-,-,,Atlantic,,.175,-,-,-,.175,.175,-3.52,.28,.12,,
ATV,231.000,2.687,3.395,.016,-,-,-.33,-,-,-,-,,Atlantic Gold,,.02,+.4,.017,.02,.02,.016,+21.48,.033,.014,,
ATVCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,.001,-,.001,-,.001,.001,-3.52,.003,.001,,
AGO,63006.5,517.538,324.090,1.002,1.62,.68,-27.00,-,3.00,-,2.74,,Atlas Iron,,1.095,+5.5,1.09,1.095,1.11,1.015,+1.77,1.86,.685,,
ATU,1677.79,4.389,30.578,.123,-,-,-10.84,-,-,-,-,,Atrum Coal,,1.62,+27,1.60,1.64,1.64,1.35,+16.48,2.10,.52,,
AYA,287.590,.721,1.769,.033,-,-,-33.45,-,-,-,-,,Attila Res,,.47,-.5,.47,.75,.50,.45,-4.57,.79,.33,,
AYAO,52.500,.052,.105,.003,-,-,-,-,-,-,-,,  opt jun14,,.25,-20,.14,.30,.25,.20,-47.96,.54,.20,,
ACP,-,.068,-,.021,-,-,-.36,-,-,-,-,,Audalia Res,,.09,-,.09,.15,.09,.09,-3.52,.25,.039,,
ACPO,-,.300,.005,-,-,-,-,-,-,-,-,,  opt apr14,,.015,-,-,.014,.015,.015,-3.52,.02,.015,,
AUK,185.000,3.584,.882,.015,-,-,-.51,-,-,-,-,,Augur Res,,.055,+1.3,.046,.059,.055,.042,+27.43,.084,.011,,
AEE,505.000,12.112,6.610,.007,-,-,-1.65,-,-,-,-,,Aura Energy,,.04,+.1,.038,.047,.04,.038,-.95,.155,.035,,
AEEO,-,.272,5.176,-,-,-,-,-,-,-,-,,  opt dec14,,.002,-,.002,.005,.002,.002,-3.52,.035,.001,,
AOU,159.992,.250,1.083,.004,-,-,-2.20,-,-,-,-,,Auroch Min,,.105,-,.095,.135,.11,.105,-3.52,.27,.06,,
