ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, June 28, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 4775.4 at 2013-06-28T16:44:35. Report at Friday, June 28, 2013. Processed Saturday at 2013-06-29T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AXZ,28.000,1.916,1.703,.087,-,-,-4.67,-,-,-,-,,Amex Res,,1.10,-,1.005,1.10,1.10,1.05,-1.09,1.73,.73,,
AMX,1747.65,80.729,131.741,.032,-,-,-16.08,-,-,-,-,,Ampella Min,,.13,-1,.13,.135,.17,.13,-7.34,.79,.13,,
AEK,208.440,5.222,1.767,.006,-,-,-1.15,-,-,-,-,,Anatolia Energy,,.032,-1,.032,.045,.042,.032,-24.90,.08,.032,,
AEKO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun17,,.002,-,.001,-,.002,.002,-1.09,.002,.002,,
AHR,-,-,.017,.010,-,-,-2.31,-,-,-,-,,Anchor Res,,.19,-,.051,.18,.19,.19,-1.09,.20,.12,,
ATM,-,.002,-,.001,-,-,5.64,19.5,2.11,2.67,1.92,,Aneka Tambang,,1.10,-,-,-,1.079,1.079,-1.09,1.25,1.079,,
AAR,8031.30,102.294,46.148,.002,-,-,-1.15,-,-,-,-,,Anglo Aust Res,,.003,-.1,.003,.004,.004,.003,-26.09,.012,.003,,
AGG,25.155,7.315,1.471,.254,14.37,.20,207.05,1.4,4.69,44.15,1.65,,Anglogold Ashanti,,2.85,-48,2.85,4.00,3.25,2.80,-15.51,7.06,2.80,,
AWV,494.000,22.731,21.459,.004,-,-,-10.35,-,-,-,-,,Anova Metals,,.023,-.1,.022,.026,.023,.02,-5.85,.08,.02,,
AZZ,19341.6,73.515,54.449,.120,-,-,-3.10,-,-,-,-,,Antares Energy,,.47,+16,.465,.475,.58,.27,+50.52,.60,.27,,
AZY,2424.78,196.201,6.027,.008,-,-,-1.44,-,-,-,-,,Antipa Min,,.042,-.5,.042,.048,.05,.038,-12.20,.255,.035,,
AZYOA,2085.44,44.028,-,-,-,-,-,-,-,-,-,,  opt dec14,,.015,-.1,.014,.02,.014,.012,-8.79,.155,.01,,
AOM,1211.77,9.031,178.371,.001,-,-,-8.14,-,-,-,-,,AO Energy,†,.021,+.6,.018,.02,.023,.012,+38.91,.07,.001,,
AAL,150.000,.556,1.055,-,-,-,-.25,-,-,-,-,,APAC Coal,,.004,+.2,.003,.018,.004,.002,+98.91,.006,.002,,
AXM,6.520,140.454,1884.85,.004,-,-,-46.09,-,-,-,-,,Apex Minerals,,.011,-,-,-,.011,.011,-1.09,.117,.01,,
AQQ,1143.20,232.018,28.670,.006,-,-,-.41,-,-,-,-,,Aphrodite Gold,,.026,-.7,.026,.032,.034,.024,-22.31,.088,.024,,
AQQO,-,18.505,9.208,-,-,-,-,-,-,-,-,,  opt dec13,,.001,-,-,.001,.001,.001,-1.09,.015,.001,,
AOP,44.050,2.709,4.249,.001,-,-,-10.32,-,-,-,-,,Apollo Cons,,.031,-.6,.031,.036,.037,.031,-17.31,.295,.031,,
AON,1077.03,72.775,21.104,.008,-,-,-1.03,-,-,-,-,,Apollo Minerals,,.026,-,.025,.028,.028,.023,-1.09,.08,.023,,
AQP,2907.65,100.841,227.074,.316,-,-,-46.34,-,-,-,-,,Aquarius Platinum,,.65,+4,.615,.67,.655,.57,+5.46,1.20,.475,,
AQA,4339.57,81.828,55.565,.733,-,-,62.34,2.9,-,-,-,,Aquila Res,,1.78,-12,1.74,1.80,1.845,1.685,-7.41,3.27,1.63,,
