ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4532.5 at 16:45 5/2/2010  Report at 19:07 Friday 5/2/2010. Processed 18:02 Sunday 7/2/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,1512.63,5.94,4.555,0.052,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.26,-5,0.26,0.27,0.31,0.26,-14.73,0.39,0.07
DDD,200,2.034,0.28,0.003,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.021,-0.1,0.02,0.024,0.022,0.021,-3.15,0.026,0.007
AAO,268.944,0.752,0.901,0.007,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.07,-1,0.07,0.072,0.08,0.06,-11.10,0.12,0.018
ARH,839.464,3.218,0.974,0.21,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.475,3.5,0.47,0.49,0.50,0.42,9.35,0.70,0.29
AAM,2748,16.01,3.581,0.057,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.33,,0.325,0.33,0.375,0.305,1.40,0.42,0.11
ABU,26203.3,85.657,5.23,0.029,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.03,-0.6,0.03,0.031,0.037,0.028,-15.27,0.07,0.006
AII,115.614,0.243,0.334,0.025,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.18,,0.17,0.19,0.18,0.17,1.40,0.25,0.13
ACB,1243.31,8.324,3.93,0.06,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.37,-3.5,0.37,0.38,0.415,0.36,-7.24,0.60,0.105
ACS,622.108,4.701,0.495,0.025,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.175,-2,0.175,0.185,0.195,0.165,-8.86,0.27,0.055
AEX,2640.87,94.328,16.202,0.004,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.005,,0.004,0.005,0.005,0.004,1.40,0.008,0.003
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,-,0.003,0.003,1.40,0.003,0.003
AIV,900.391,2.306,0.772,0.007,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.082,-0.9,0.082,0.086,0.088,0.082,-8.49,0.12,0.032
AIVO,-,0.135,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.02,,0.012,0.03,0.02,0.02,1.40,0.06,0.001
ADU,1369.4,11.242,1.653,0.114,-,-,-10.25,-,-,-,-,,Adamus Res,,0.40,-1.5,0.40,0.41,0.44,0.385,-2.21,0.53,0.24
ADD,1571.75,3.532,1.383,0.005,0.03,0.9,-0.3,-,-,-,-,,Adavale Resource,,0.027,-1.3,0.027,0.03,0.043,0.024,-31.10,0.065,0.014
