ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:08 Friday 24/9/2010. Processed 22:18 Sunday 26/9/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,503.565,25.153,50.371,0.04,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.20,,0.20,0.21,0.25,0.20,0.72,0.39,0.14
DDD,2926.29,24.596,9.021,0.006,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.032,-0.1,0.03,0.032,0.034,0.028,-2.31,0.049,0.016
AAO,1156.62,10.16,12.944,0.011,-,-,-1.28,-,-,-,-,,A'asia Cons Ltd,,0.09,3,0.089,0.09,0.09,0.06,50.72,0.109,0.044
AAOO,61.25,0.302,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.02,,0.02,0.03,0.028,0.02,0.72,0.028,0.011
ARH,513.956,18.931,17.05,0.091,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.205,-0.5,0.205,0.22,0.22,0.20,-1.66,0.58,0.20
AAM,5527.17,182.642,51.984,0.031,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.155,0.5,0.15,0.155,0.16,0.14,4.05,0.42,0.105
ABU,71145.7,1541.36,277.517,0.068,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.038,-0.3,0.038,0.039,0.041,0.033,-6.60,0.05,0.016
AII,90.29,1.759,2.38,0.017,-,-,-1.98,-,-,-,-,,Abra Min Ltd,,0.12,,0.11,0.12,0.12,0.12,0.72,0.25,0.086
ACB,786.882,42.566,56.131,0.053,0.14,2.4,-0.91,-,-,-,-,,A-Cap Res,,0.33,2.5,0.325,0.335,0.34,0.30,8.91,0.535,0.28
ACS,452.812,28.722,29.587,0.042,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.25,-1,0.25,0.255,0.27,0.235,-3.13,0.285,0.13
AEX,9326.42,1814.73,410.775,0.018,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.017,-0.1,0.016,0.017,0.017,0.015,-4.84,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.003,0.01,0.003,0.003,0.72,0.003,0.003
AIV,564.691,22.445,10.719,0.006,-,-,-1.13,-,-,-,-,,Activex Ltd,,0.065,0.7,0.06,0.065,0.065,0.058,12.79,0.14,0.05
ADU,6844.54,137.04,31.584,0.277,-,-,-28.16,-,-,-,-,,Adamus Res,*,0.66,2.6,0.66,0.67,0.70,0.645,4.76,0.70,0.344
ADURA,472.673,0.473,-,0.003,-,-,-,-,-,-,-,,  rts07octd,,0.11,,0.09,0.15,0.13,0.08,-,0.13,0.08
ADD,268.308,25.588,35.595,0.004,0.02,1.0,-1.13,-,-,-,-,,Adavale Resource,,0.02,,0.02,0.024,0.024,0.02,0.72,0.06,0.02
ADE,565.995,53.835,39.098,0.02,-,-,0.97,9.2,-,-,-,,Adelaide Energy,,0.089,0.4,0.088,0.089,0.09,0.085,5.42,0.215,0.08
ADN,1602.33,38.774,54.102,0.019,-,-,-0.63,-,-,-,-,,Adelaide Res,,0.17,-1.5,0.17,0.18,0.215,0.17,-7.39,0.395,0.125
ABY,1581.33,135.071,314.089,0.354,1.51,0.7,19.61,5.8,-,-,-,,Aditya Birla,,1.13,-0.5,1.11,1.13,1.14,1.10,0.28,1.65,0.62
ADY,14771,2490.47,5958.43,0.017,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,0.1,0.007,0.008,0.007,0.006,17.38,0.025,0.005
AVD,50,13.259,12.03,0.002,0.03,0.4,-2.4,-,-,-,-,,Advance Energy,,0.012,0.2,0.01,0.012,0.012,0.01,20.72,0.125,0.007
ADX,10598.6,335.41,151.679,0.037,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.11,2,0.105,0.11,0.115,0.089,22.94,0.265,0.081
ADXO,507.334,8.506,-,-,-,-,-,-,-,-,-,,  opt mar11,,0.03,1,0.023,0.029,0.04,0.03,50.72,0.09,0.014
AED,715.989,58.977,91.972,0.102,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.505,-1,0.50,0.525,0.525,0.495,-1.23,0.73,0.435
AFR,14365.4,56.95,36.75,0.048,-,-,-0.76,-,-,-,-,,African Energy Res cdi,,0.17,3.5,0.165,0.17,0.18,0.135,26.64,0.24,0.064
AAE,167.911,111.182,-,0.005,-,-,3.8,0.3,-,-,-,,Agri Energy Ltd,,0.011,0.1,0.011,0.012,0.011,0.011,10.72,0.027,0.009
ALG,80,1.54,0.376,0.005,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.20,,0.20,0.25,0.22,0.20,0.72,0.245,0.15
ALGO,-,0.045,-,-,-,-,-,-,-,-,-,,  opt mar13,,0.04,,0.03,0.08,0.04,0.04,0.72,0.04,0.03
AUQ,484.471,8.688,10.49,0.014,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.17,1,0.165,0.17,0.175,0.14,6.97,0.25,0.08
ALY,1560.92,83.23,74.232,0.033,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.34,-2,0.34,0.35,0.39,0.335,-4.84,1.27,0.33
AYN,60951.1,458.26,-,0.022,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.029,-0.1,0.029,0.03,0.032,0.027,-2.62,0.06,0.02
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,0.72,0.021,0.021
ALK,5806.3,101.88,52.294,0.163,-,-,4.8,13.6,-,-,-,,Alkane Res Ltd,,0.655,-1.5,0.65,0.655,0.705,0.60,-1.52,0.73,0.23
AGS,4140.33,71.306,134.462,0.142,-,-,-1.97,-,-,-,-,,Alliance Res,,0.415,10,0.41,0.415,0.425,0.315,32.46,0.75,0.28
