ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4913.5 at 16:37 23/4/2010  Report at 19:07 Friday 23/4/2010. Processed 20:03 Friday 23/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,443.69,13.92,9.824,0.04,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.20,1,0.195,0.20,0.20,0.18,7.14,0.39,0.08
DDD,420.746,5.155,1.575,0.003,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,-0.1,0.02,0.021,0.021,0.02,-2.89,0.026,0.007
AAO,255.5,3.827,3.033,0.007,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.06,-1,0.06,0.065,0.07,0.06,-12.41,0.109,0.023
AAOO,48.732,0.049,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.012,,0.015,-,0.012,0.012,-,0.012,0.012
ARH,241.173,8.332,4.974,0.201,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.455,-3,0.46,0.47,0.48,0.45,-4.31,0.70,0.375
AAM,1796.62,53.777,13.558,0.046,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.235,,0.235,0.24,0.245,0.225,1.87,0.42,0.11
ABU,12065,282.841,32.806,0.037,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.024,-0.2,0.023,0.024,0.026,0.023,-5.82,0.07,0.006
AII,-,0.613,0.744,0.026,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.185,,0.145,0.18,0.185,0.185,1.87,0.25,0.14
ACB,1351.83,24.644,10.288,0.06,0.14,2.6,-0.91,-,-,-,-,,A-Cap Res,,0.37,-3,0.37,0.38,0.40,0.37,-5.63,0.60,0.23
ACS,487,16.602,2.604,0.027,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.19,-1.5,0.19,0.20,0.21,0.19,-5.44,0.27,0.087
AEX,7616.47,1449.02,46.572,0.017,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.017,-0.1,0.016,0.017,0.019,0.017,-3.68,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.025,0.003,0.003,1.87,0.003,0.003
AEXO,-,-,-,-,-,-,-,-,-,-,-,,  opt jun10,,-,,-,0.003,-,-,-,-,-
AIV,418.428,11.982,2.823,0.01,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.115,-2,0.115,0.125,0.135,0.115,-12.94,0.14,0.05
AIVO,100,2.353,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.044,-0.6,0.03,0.049,0.05,0.044,-10.13,0.06,0.001
ADU,4176.15,44.02,6.712,0.158,-,-,-12.87,-,-,-,-,,Adamus Res,,0.405,-1.5,0.405,0.425,0.45,0.40,-1.70,0.517,0.303
ADD,476.042,11.329,9.297,0.007,0.02,2.0,-0.96,-,-,-,-,,Adavale Resource,,0.039,0.4,0.039,0.04,0.042,0.034,13.30,0.065,0.018
ADE,1043.49,28.335,10.882,0.034,-,-,0.97,17.0,-,-,-,,Adelaide Energy,,0.165,0.5,0.16,0.165,0.17,0.155,5.00,0.215,0.091
ADN,1153.96,23.982,16.722,0.021,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.19,-1.5,0.19,0.21,0.205,0.19,-5.44,0.395,0.065
ADI,1128.72,22.073,5.785,0.043,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.295,1.5,0.29,0.295,0.295,0.255,7.23,0.385,0.048
ABY,4100.4,55.969,128.341,0.353,1.42,0.8,-17.34,-,-,-,-,,Aditya Birla,,1.125,0.5,1.10,1.125,1.155,1.04,2.32,1.65,0.26
ADY,79570.4,1608.44,3090.71,0.025,-,-,0.09,12.2,-,-,-,,Admiralty Res,,0.011,,0.01,0.011,0.012,0.01,1.87,0.037,0.009
AVD,90,0.87,3.077,0.007,-,-,-3.1,-,-,-,-,,Advance Energy,,0.042,,0.04,0.049,0.043,0.042,1.87,0.125,0.036
AED,1237.01,25.584,30.287,0.114,1.03,0.6,-48.17,-,-,-,-,,AED Oil Ltd,,0.60,-2.5,0.60,0.61,0.635,0.575,-2.13,1.24,0.50
AFR,1064.02,19.183,5.189,0.027,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.095,-1.5,0.09,0.105,0.11,0.095,-11.76,0.24,0.035
AAE,1780.25,42.798,-,0.005,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.013,,0.012,0.014,0.013,0.013,1.87,0.027,0.009
ALG,-,0.649,0.01,0.004,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.19,,0.18,0.22,0.19,0.19,1.87,0.245,0.14
