ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, November 14, 2014,,,,,,,,,,,,,,,,,,,,
"XAO 5433.8 at 2014-11-14T16:38:06. Report at Friday, November 14, 2014. Processed Saturday at 2014-11-15T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AXZ,-,.653,2.582,.081,-,-,-17.05,-,-,-,-,,Amex Res,,.90,-,.70,.89,.90,.90,+1.60,1.35,.79,,
AEK,3748.85,40.269,32.397,.024,-,-,-1.00,-,-,-,-,,Anatolia Energy,,.078,+1.6,.074,.08,.08,.06,+27.41,.105,.06,,
AEKO,-,-,.250,-,-,-,-,-,-,-,-,,  opt jun17,,.006,-,.002,-,.006,.006,+1.60,.006,.002,,
AHR,-,-,.023,.010,-,-,-2.05,-,-,-,-,,Anchor Res,,.19,-,.05,.19,.19,.19,+1.60,.19,.19,,
ATM,-,.005,.002,.001,-,-,-3998.73,-,.38,-,.35,,Aneka Tambang,,1.10,-,-,-,1.10,1.10,+1.60,1.10,1.075,,
AAR,329.500,18.406,149.111,-,-,-,-.67,-,-,-,-,,Anglo Aust Res,†,.01,-,.01,.012,.01,.01,+1.60,.04,.004,,
AGG,1.775,.740,9.152,.190,8.89,.24,-401.41,-,-,-,-,,Anglogold Ashanti,,2.13,-12,1.99,2.29,2.13,2.07,-3.73,4.31,1.98,,
AWV,175.000,42.869,45.377,.010,-,-,-1.61,-,-,-,-,,Anova Metals,,.038,-.2,.033,.038,.04,.038,-3.40,.05,.019,,
AZZ,8971.01,138.493,118.979,.094,-,-,1.00,37.0,-,-,-,,Antares Energy,,.37,-3.5,.365,.40,.407,.365,-7.04,.68,.36,,
AVD,24.605,55.618,202.741,.005,-,-,-1120.00,-,-,-,-,,Antilles Oil & Gas,†,.18,-.5,.18,.20,.185,.18,-1.10,.21,.001,,
AZY,1244.03,37.072,224.995,.001,-,-,-.73,-,-,-,-,,Antipa Min,,.006,+.1,.005,.006,.006,.005,+21.60,.03,.004,,
AZYOA,-,7.278,54.490,-,-,-,-,-,-,-,-,,  opt dec14,,.003,-,-,.001,.003,.003,+1.60,.008,.001,,
AAL,-,3.765,.686,-,-,-,-.32,-,-,-,-,,APAC Coal,,.003,-,.002,.004,.003,.003,+1.60,.007,.002,,
AQQ,572.364,28.610,239.787,.003,-,-,-.12,-,-,-,-,,Aphrodite Gold,,.011,-.2,.011,.013,.013,.011,-13.79,.029,.01,,
AOP,108.334,7.942,3.913,.001,-,-,-1.50,-,-,-,-,,Apollo Cons,,.021,+.1,.021,.026,.021,.02,+6.60,.08,.018,,
AON,7516.08,473.529,97.408,.008,-,-,-3.78,-,-,-,-,,Apollo Minerals,,.013,-.1,.013,.015,.016,.012,-5.54,.044,.012,,
AQP,8896.64,134.923,124.014,.388,-,-,-1.47,-,-,-,-,,Aquarius Platinum,,.265,-2,.255,.27,.305,.26,-5.42,.50,.26,,
ARU,776.572,64.275,82.673,.023,-,-,-1.60,-,-,-,-,,Arafura Resources,,.053,-.2,.053,.059,.06,.05,-2.04,.105,.05,,
ARX,28.922,114.114,226.452,.004,-,-,-.24,-,-,-,-,,ARC Explore,,.004,-,.004,.005,.004,.004,+1.60,.007,.003,,
AXE,159.006,42.151,45.475,.013,-,-,-.80,-,-,-,-,,Archer Explore,,.155,+1,.15,.155,.155,.145,+8.50,.235,.14,,
AWO,-,25.615,1.788,.001,-,-,-.25,-,-,-,-,,Ardent Res,,.013,-,.009,.014,.013,.013,+1.60,.017,.005,,
ARD,1971.46,32.476,22.625,.005,-,-,-.06,-,-,-,-,,Argent Minerals,,.032,+.3,.03,.032,.032,.027,+11.94,.059,.02,,
ARDO,-,3.362,-,-,-,-,-,-,-,-,-,,  opt mar16,,.009,-,.006,.012,.009,.009,+1.60,.015,.009,,
AVK,774.143,26.444,2.995,.005,-,-,-7.42,-,-,-,-,,Argentina Min,,.023,-,.022,.026,.023,.021,+1.60,.031,.007,,
AVKO,-,.570,.469,-,-,-,-,-,-,-,-,,  opt mar15,,.001,-,-,.001,.001,.001,+1.60,.001,.001,,
AVKOA,-,.200,-,-,-,-,-,-,-,-,-,,  opt dec16,,.004,-,-,.005,.004,.004,+1.60,.004,.004,,
AXT,-,4.478,20.408,.003,-,-,-.06,-,-,-,-,,Argo Explore,,.024,-,.018,.024,.024,.024,+1.60,.029,.01,,
ARE,100.809,38.465,29.877,.006,-,-,-.72,-,-,-,-,,Argonaut Res,,.014,-.2,.012,.016,.016,.014,-10.90,.035,.014,,
AREO,5.527,.059,-,-,-,-,-,-,-,-,-,,  opt mar17,,.002,-,.002,-,.002,.002,+1.60,.005,.002,,
AGY,745.216,49.260,5.437,-,-,-,-.60,-,-,-,-,,Argosy Minerals,,.002,-,.002,.003,.002,.002,+1.60,.017,.002,,
AHK,337.000,1.311,3.002,.003,-,-,-1.21,-,-,-,-,,Ark Mines,,.079,-.1,.01,.069,.079,.074,+.35,.095,.01,,
AJQ,398.681,57.821,92.176,.023,-,-,-.56,-,-,-,-,,Armour Energy,,.077,+.4,.074,.077,.077,.074,+7.08,.265,.066,,
ARV,2333.13,111.961,398.524,.004,-,-,-.29,-,-,-,-,,Artemis Res,,.003,-,.002,.003,.003,.002,+1.60,.005,.002,,
ARVOA,-,15.439,22.763,-,-,-,-,-,-,-,-,,  opt aug16,,.002,-,-,.001,.002,.002,+1.60,.002,.001,,
ARVOB,-,.004,-,-,-,-,-,-,-,-,-,,  opt jul16,,.001,-,.001,.002,.001,.001,+1.60,.001,.001,,
AAJ,624.289,32.779,14.458,.004,-,-,-.93,-,-,-,-,,Aruma Res,,.027,-.1,.023,.027,.029,.027,-1.97,.044,.015,,
AJY,-,.005,.116,.006,-,-,-.54,-,-,-,-,,Asaplus Res,,.24,-,-,.24,.24,.24,+1.60,.245,.24,,
AZQ,70.000,18.368,7.220,.021,-,-,-16.72,-,-,-,-,,Ascot Res,†,.16,-2,.16,.20,.18,.16,-9.51,.24,.096,,
AKM,2189.54,54.938,240.210,.027,-,-,-.43,-,-,-,-,,Aspire Min,,.039,-.8,.039,.047,.047,.039,-15.42,.079,.031,,
ARO,-,11.410,119.652,.003,-,-,-.03,-,-,-,-,,Astro Res,,.001,-,-,.001,.001,.001,+1.60,.001,.001,,
AHN,6.250,9.881,8.695,.003,-,-,-.27,-,-,-,-,,Athena Res,,.02,-,.02,.025,.02,.02,+1.60,.06,.02,,
AGB,18.002,.991,-,.014,-,-,-,-,-,-,-,,Atlantic Gold Corp,,.31,+8,.235,.28,.31,.27,+36.38,.50,.07,,
AGBO,-,.133,-,.001,-,-,-,-,-,-,-,,  opt aug18,,.05,-,.05,.14,.05,.05,+1.60,.15,.002,,
AGO,74295.3,2842.82,3186.65,.188,1.61,.13,1.91,10.7,2.00,.95,9.76,,Atlas Iron,,.205,-3,.205,.21,.267,.20,-11.17,1.24,.20,,
ATU,423.319,27.849,91.761,.201,-,-,-12.20,-,-,-,-,,Atrum Coal,,1.18,-7,1.15,1.19,1.28,1.15,-4.00,2.04,1.15,,
AYA,241.049,10.815,7.636,.024,-,-,-10.22,-,-,-,-,,Attila Res,,.29,-.5,.28,.30,.30,.26,-.10,.59,.25,,
ACP,-,.242,.328,.048,-,-,-.23,-,-,-,-,,Audalia Res,,.21,-,.05,.20,.21,.21,+1.60,.23,.05,,
AUK,-,14.498,13.067,.007,-,-,-.97,-,-,-,-,,Augur Res,,.023,-,.02,.023,.023,.023,+1.60,.084,.022,,
AEE,9144.33,75.190,27.390,.009,-,-,-2.07,-,-,-,-,,Aura Energy,,.035,+.9,.035,.039,.041,.029,+36.21,.058,.019,,
AEEO,-,.496,12.369,-,-,-,-,-,-,-,-,,  opt dec14,,.005,-,-,.004,.005,.005,+1.60,.005,.001,,
AMI,1140.80,65.508,45.093,.089,-,-,-3.54,-,-,-,-,,Aurelia Metals,,.26,-,.26,.265,.28,.255,+1.60,.435,.195,,
AOU,-,1.760,4.452,.001,-,-,-1.50,-,-,-,-,,Auroch Min,,.042,-,.03,.05,.042,.042,+1.60,.18,.042,,
ARM,961.055,28.634,15.683,.002,-,-,-1.66,-,-,-,-,,Aurora Minerals,,.021,-.6,.021,.032,.028,.021,-20.62,.07,.021,,
ANW,3199.79,68.933,48.768,.004,-,-,-.11,-,-,-,-,,Aus Tin Mining,,.004,-,.004,.005,.004,.004,+1.60,.009,.003,,
AIW,-,417.130,221.394,.004,-,-,-3.27,-,-,-,-,,Aust-American Min,,.003,-,-,-,.003,.003,+1.60,.007,.002,,
AUC,202.100,38.617,33.955,.007,-,-,-1.90,-,-,-,-,,Ausgold,,.03,-1.5,.026,.03,.03,.027,-31.73,.081,.01,,
AUCO,-,11.887,-,-,-,-,-,-,-,-,-,,  opt may15,,.012,-,-,.015,.012,.012,+1.60,.04,.012,,
AOA,-,24.129,1.446,-,-,-,-.35,-,-,-,-,,Ausmon Resources,,.006,-,.006,.008,.006,.006,+1.60,.013,.006,,
AQC,4309.16,459.451,385.957,.003,-,-,-.22,-,-,-,-,,Aust Pacific Coal,,.003,+.1,.002,.003,.003,.002,+51.60,.012,.002,,
AQD,1197.00,99.885,46.852,.003,-,-,-1.19,-,-,-,-,,AusQuest,,.011,-,.011,.012,.013,.01,+1.60,.035,.01,,
