ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4972.9 at 16:33 9/4/2010  Report at 19:08 Friday 9/4/2010. Processed 19:28 Friday 9/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
AIV,777.131,9.891,2.02,0.01,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.12,0.5,0.115,0.12,0.12,0.105,3.39,0.12,0.05
AIVO,132.6,1.752,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.04,2.4,0.032,0.038,0.04,0.04,149.00,0.06,0.001
ADU,5297.8,35.471,6.061,0.15,-,-,-12.87,-,-,-,-,,Adamus Res,*,0.46,4,0.455,0.47,0.505,0.43,8.57,0.517,0.303
ADUN,-,-,-,-,-,-,-,-,-,-,-,,  def,,-,,-,-,-,-,-,-,-
ADD,84.201,9.182,6.375,0.006,0.02,1.7,-0.96,-,-,-,-,,Adavale Resource,,0.033,-0.2,0.033,0.037,0.037,0.033,-6.67,0.065,0.017
ADE,1629.34,24.663,8.933,0.034,-,-,0.97,17.5,-,-,-,,Adelaide Energy,,0.17,-2,0.17,0.175,0.195,0.165,-11.48,0.215,0.085
ADN,993.411,22.08,16.015,0.022,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.20,1,0.20,0.21,0.215,0.19,4.31,0.395,0.06
ADI,596.357,20.13,4.126,0.044,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.30,-0.5,0.29,0.295,0.31,0.285,-2.59,0.385,0.045
ABY,4210.39,48.794,84.561,0.374,1.42,0.8,-17.34,-,-,-,-,,Aditya Birla,,1.195,6.5,1.19,1.205,1.32,1.155,4.80,1.65,0.26
ADY,42493.1,1191.65,2877.33,0.023,-,-,0.09,11.1,-,-,-,,Admiralty Res,,0.01,0.1,0.01,0.011,0.011,0.009,10.16,0.037,0.009
AVD,-,0.756,2.726,0.008,-,-,-3.1,-,-,-,-,,Advance Energy,,0.05,,0.042,0.049,0.05,0.05,-0.96,0.125,0.036
AED,1002.94,23.264,27.16,0.123,1.03,0.6,-48.17,-,-,-,-,,AED Oil Ltd,,0.65,-1,0.64,0.65,0.67,0.615,-2.47,1.24,0.50
AFR,1925.97,17.237,4.899,0.031,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.11,1.5,0.11,0.12,0.115,0.095,14.83,0.24,0.03
AAE,12676.5,37.127,-,0.005,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.013,0.3,0.012,0.014,0.013,0.01,29.04,0.027,0.009
