ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:06 Friday 18/6/2010. Processed 20:19 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,70,17.292,36.198,0.039,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.195,0.5,0.18,0.20,0.195,0.18,1.36,0.39,0.088
DDD,147,8.463,3.462,0.004,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,,0.02,0.025,0.02,0.02,-1.27,0.026,0.01
AAO,418.075,5.374,5.782,0.006,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.05,-0.8,0.045,0.051,0.058,0.045,-15.07,0.109,0.027
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,0.011,-,0.016,0.016,-1.27,0.02,0.012
ARH,352.018,13.282,9.224,0.128,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.29,1,0.28,0.29,0.29,0.26,2.30,0.67,0.215
AAM,1582.01,86.768,29.076,0.048,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.245,-1.5,0.245,0.25,0.26,0.24,-7.04,0.42,0.13
ABU,41758.4,496.067,159.479,0.037,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.023,0.3,0.022,0.023,0.024,0.02,13.73,0.07,0.016
AII,112.1,0.896,1.274,0.017,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.12,,0.12,0.13,0.13,0.12,-1.27,0.25,0.11
ACB,357.384,30.056,28.077,0.048,0.14,2.1,-0.91,-,-,-,-,,A-Cap Res,,0.295,1.5,0.29,0.30,0.30,0.28,4.08,0.60,0.28
ACS,380,19.453,13.951,0.02,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.14,-1,0.14,0.16,0.15,0.14,-7.94,0.27,0.13
AEX,4060.5,1587.15,137.416,0.014,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.014,0.1,0.014,0.015,0.014,0.012,6.42,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,0.025,0.003,0.003,-1.27,0.003,0.003
AIV,75,15.14,4.232,0.006,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.067,-1.3,0.067,0.08,0.08,0.067,-17.52,0.14,0.05
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,0.001,0.01,0.01,0.01,-1.27,0.06,0.001
ADU,1750.19,89.021,9.545,0.211,-,-,-12.87,-,-,-,-,,Adamus Res,,0.54,3,0.525,0.55,0.54,0.495,4.61,0.58,0.303
ADD,617,17.333,13.923,0.006,0.02,1.5,-0.96,-,-,-,-,,Adavale Resource,,0.03,,0.027,0.03,0.03,0.026,-1.27,0.065,0.019
ADE,1940.84,44.449,21.858,0.024,-,-,0.97,10.8,-,-,-,,Adelaide Energy,,0.105,0.5,0.10,0.105,0.105,0.098,3.73,0.215,0.095
ADN,711.823,29.837,22.659,0.014,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.13,,0.13,0.14,0.14,0.125,-1.27,0.395,0.089
ADI,1394.46,66.609,27.722,0.069,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.41,,0.41,0.415,0.415,0.41,-1.27,0.42,0.06
ABY,3020.72,93.321,228.01,0.252,1.51,0.5,19.61,4.1,-,-,-,,Aditya Birla,,0.805,6,0.805,0.81,0.86,0.755,6.78,1.65,0.50
ADY,13615.3,1950.65,4518.74,0.016,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,-0.1,0.007,0.008,0.009,0.007,-13.77,0.028,0.007
AVD,1447,4.662,6.446,0.002,-,-,-3.1,-,-,-,-,,Advance Energy,,0.01,-0.5,0.01,0.011,0.013,0.01,-34.61,0.125,0.01
ADX,15760.2,153.836,92.289,0.061,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.18,0.5,0.175,0.18,0.195,0.17,1.58,0.212,0.081
ADXO,584.533,1.462,-,0.002,-,-,-,-,-,-,-,,  opt mar11,,0.063,-1.2,0.063,0.08,0.08,0.06,-17.27,0.08,0.05
AED,1358.75,37.641,64.976,0.103,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.51,-0.5,0.50,0.51,0.53,0.495,-2.25,0.87,0.485
AFR,487.986,25.931,10.314,0.021,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.075,-0.2,0.071,0.075,0.077,0.07,-3.87,0.24,0.05
AAE,5128.77,78.531,-,0.004,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.01,0.1,0.01,0.011,0.01,0.01,9.84,0.027,0.009
ALG,15,0.859,0.05,0.004,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.17,,0.17,0.19,0.17,0.17,-1.27,0.245,0.14
AUQ,262.861,4.984,5.535,0.007,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.086,0.4,0.085,0.099,0.086,0.082,3.60,0.25,0.048
ALY,879.523,54.193,24.887,0.033,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.43,-3.5,0.425,0.43,0.48,0.42,-8.80,1.27,0.16
ALYO,336.698,4.5,5.011,0.004,-,-,-,-,-,-,-,,  opt aug10,,0.185,-2.5,0.175,0.20,0.22,0.18,-13.18,0.96,0.041
AYN,2932.58,124.825,-,0.016,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.023,,0.022,0.023,0.024,0.02,-1.27,0.06,0.02
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,-1.27,0.021,0.021
ALK,920.681,24.995,24.834,0.067,-,-,0.93,29.0,-,-,-,,Alkane Res Ltd,,0.27,,0.26,0.27,0.275,0.245,-1.27,0.49,0.245
AGS,4005.58,43.355,60.462,0.102,-,-,-1.97,-,-,-,-,,Alliance Res,,0.30,-5.5,0.30,0.31,0.35,0.30,-16.77,0.98,0.30
ALD,1653.97,89.495,44.692,0.385,0.26,1.4,-3.42,-,-,-,-,,Allied Gold Ltd,,0.37,-1,0.37,0.375,0.375,0.345,-3.91,0.545,0.25
AYR,565,20.719,4.918,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.024,0.3,0.024,0.025,0.026,0.024,13.01,0.042,0.019
AJM,805.331,14.922,5.224,0.034,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.175,0.5,0.16,0.175,0.185,0.155,1.67,0.37,0.098
