ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:06 Friday 25/6/2010. Processed 21:03 Sunday 27/6/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,179.1,17.472,37.791,0.039,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.195,,0.18,0.195,0.20,0.18,2.94,0.39,0.088
DDD,-,8.463,3.509,0.004,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,,-,-,0.02,0.02,2.94,0.026,0.01
AAO,245.05,5.619,5.813,0.006,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.045,-0.5,-,-,0.05,0.045,-7.06,0.109,0.027
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,-,-,0.016,0.016,2.94,0.02,0.012
ARH,328.849,13.611,9.696,0.113,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.255,-3.5,0.255,0.265,0.29,0.255,-9.12,0.67,0.215
AAM,2794.93,89.563,30.592,0.043,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.22,-2.5,0.22,0.225,0.25,0.215,-7.26,0.42,0.13
ABU,30368.2,526.435,162.496,0.035,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.022,-0.1,0.02,0.022,0.024,0.02,-1.40,0.07,0.016
AII,107.198,1.003,1.342,0.014,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.10,-2,0.06,0.13,0.12,0.10,-13.72,0.25,0.10
ACB,1176.41,31.232,29.028,0.063,0.14,2.8,-0.91,-,-,-,-,,A-Cap Res,,0.39,9.5,0.365,0.39,0.39,0.285,35.15,0.60,0.28
ACS,315.05,19.768,14.314,0.02,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.14,,-,-,0.15,0.135,2.94,0.27,0.13
AEX,11387.4,1598.53,143.119,0.014,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.014,,0.014,0.015,0.017,0.013,2.94,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,-,0.003,0.003,2.94,0.003,0.003
AIV,115,15.255,4.484,0.006,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.07,0.3,0.07,0.08,0.09,0.067,7.42,0.14,0.055
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,-,-,0.01,0.01,2.94,0.06,0.001
ADU,7035.92,96.056,9.973,0.211,-,-,-12.87,-,-,-,-,,Adamus Res,,0.54,,0.54,0.55,0.595,0.535,2.94,0.595,0.303
ADD,1283.31,18.616,14.723,0.006,0.02,1.7,-0.96,-,-,-,-,,Adavale Resource,,0.033,0.3,-,-,0.036,0.03,12.94,0.065,0.019
ADE,838.617,45.287,22.484,0.022,-,-,0.97,10.1,-,-,-,,Adelaide Energy,,0.098,-0.7,0.097,0.098,0.105,0.098,-3.72,0.215,0.095
ADN,1087.6,30.925,23.147,0.016,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.14,1,-,-,0.14,0.13,10.64,0.395,0.089
ADI,33296.2,99.905,29.824,0.071,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.42,1,0.42,0.425,0.425,0.41,5.38,0.425,0.06
ABY,4213.93,97.535,235.624,0.227,1.51,0.5,19.61,3.7,-,-,-,,Aditya Birla,,0.725,-8,0.72,0.74,0.84,0.72,-6.99,1.65,0.50
ADY,57047.8,2007.7,4608.17,0.016,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,,0.006,0.007,0.008,0.006,2.94,0.025,0.006
AVD,3872.26,8.534,6.922,0.002,-,-,-3.1,-,-,-,-,,Advance Energy,,0.01,,0.011,0.012,0.011,0.007,2.94,0.125,0.007
ADX,24616.6,178.453,95.943,0.084,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.25,7,0.245,0.255,0.265,0.18,41.83,0.265,0.081
ADXO,378.217,1.84,-,0.002,-,-,-,-,-,-,-,,  opt mar11,,0.085,2.2,-,-,0.08,0.058,37.87,0.08,0.05
AED,2211.61,39.852,66.699,0.102,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.505,-0.5,0.50,0.505,0.525,0.49,1.96,0.85,0.485
AFR,1078.82,27.01,10.415,0.02,-,-,-1.13,-,-,-,-,,African Energy Res cdi,,0.07,-0.5,0.07,0.08,0.084,0.07,-3.72,0.24,0.05
AAE,2063.6,80.595,-,0.005,-,-,15.8,0.1,-,-,-,,Agri Energy Ltd,,0.011,0.1,0.01,0.011,0.011,0.01,12.94,0.027,0.009
ALG,120,0.979,0.05,0.004,-,-,-1.34,-,-,-,-,,Alamar Res Ltd,,0.17,,-,-,0.17,0.17,2.94,0.245,0.14
AUQ,456.165,5.44,5.648,0.007,-,-,-1.9,-,-,-,-,,Alara Res Ltd,,0.081,-0.5,0.08,0.099,0.095,0.081,-2.87,0.25,0.048
ALY,1949.56,56.143,31.011,0.031,-,-,-3.2,-,-,-,-,,Alchemy Resource,,0.41,-2,0.41,0.42,0.47,0.40,-1.71,1.27,0.16
ALYO,505.5,5.005,5.061,0.004,-,-,-,-,-,-,-,,  opt aug10,,0.18,-0.5,0.18,0.205,0.20,0.18,0.24,0.96,0.05
AYN,15512.5,140.337,-,0.016,-,-,-6.05,-,-,-,-,,Alcyone Res Ltd,,0.023,,0.022,0.024,0.025,0.021,2.94,0.06,0.02
AYNOB,-,-,-,-,-,-,-,-,-,-,-,,  opt sep11,,-,,-,-,0.021,0.021,2.94,0.021,0.021
ALK,648.361,25.643,25.953,0.065,-,-,0.93,28.0,-,-,-,,Alkane Res Ltd,,0.26,-1,0.26,0.275,0.275,0.255,-0.76,0.49,0.245
AGS,2291.48,45.646,64.816,0.104,-,-,-1.97,-,-,-,-,,Alliance Res,,0.305,0.5,0.295,0.305,0.315,0.29,4.61,0.98,0.29
ALD,1437.78,90.933,48.096,0.359,0.26,1.3,-3.42,-,-,-,-,,Allied Gold Ltd,,0.345,-2.5,0.345,0.355,0.385,0.34,-3.81,0.545,0.25
AYR,998.748,21.718,5.454,0.003,-,-,-0.62,-,-,-,-,,Alloy Res,,0.03,0.6,0.025,0.033,0.03,0.023,27.94,0.042,0.019
AJM,77.157,15,5.704,0.031,-,-,-5.11,-,-,-,-,,Altura Min Ltd,,0.16,-1.5,-,-,0.17,0.155,-5.63,0.37,0.098
AWC,71421.1,2249.01,1784.1,3.868,1.21,1.3,-1.2,-,2,-,1.26,f,Alumina Ltd,,1.585,-3,1.585,1.59,1.675,1.565,1.09,2.06,1.285
AMU,2049.98,72.995,17.275,0.068,0.34,0.7,-10.17,-,-,-,-,,Amadeus Energy,,0.225,-0.5,0.225,0.23,0.24,0.22,0.77,0.35,0.175
AXZ,373.694,1.79,0.63,0.006,-,-,-2.85,-,-,-,-,,Amex Res,,0.12,-2,-,-,0.14,0.12,-11.34,0.25,0.09
AMX,1715.27,89.297,28.482,0.286,-,-,-7,-,-,-,-,,Ampella Min,,1.74,6,1.68,1.80,1.82,1.655,6.52,1.94,0.275
AMXO,-,2.403,1.16,0.019,-,-,-,-,-,-,-,,  opt jul10,,1.50,,-,-,1.50,1.50,2.94,1.755,0.13
AHR,248.623,7.662,1.361,0.005,-,-,-2.05,-,-,-,-,,Anchor Res,,0.14,-1.5,0.14,0.15,0.155,0.14,-6.73,0.28,0.046
AND,2600.75,46.321,57.646,1.564,-,-,-4.64,-,-,-,-,,Andean Res Ltd,,3.32,-16,3.25,3.33,3.51,3.20,-1.65,3.58,1.74
