ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:06 Friday 16/7/2010. Processed 12:52 Sunday 18/7/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,528.594,18.849,39.45,0.036,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.18,-1,0.18,0.19,0.20,0.18,-5.77,0.39,0.088
DDD,15,8.677,5.429,0.004,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,,0.02,0.025,0.02,0.02,-0.51,0.026,0.012
AAO,77,6.975,6.477,0.008,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.06,1.4,0.048,0.06,0.06,0.046,29.93,0.109,0.029
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,0.011,0.025,0.016,0.016,-0.51,0.02,0.012
ARH,217.616,14.875,10.153,0.108,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.245,0.5,0.24,0.255,0.265,0.24,1.57,0.67,0.21
AAM,8108.65,103.518,34.226,0.033,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.17,-1.5,0.165,0.17,0.18,0.15,-8.62,0.42,0.135
ABU,77307.4,685.793,178.485,0.048,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.027,0.3,0.027,0.028,0.03,0.026,11.99,0.07,0.016
AII,300,1.526,1.447,0.013,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.095,,0.105,0.13,0.095,0.095,-0.51,0.25,0.086
ACB,888.884,33.858,32.641,0.054,0.14,2.4,-0.91,-,-,-,-,,A-Cap Res,,0.335,5.5,0.33,0.335,0.335,0.28,19.13,0.60,0.28
ACS,470.086,20.873,16.263,0.023,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.16,2.5,0.16,0.17,0.165,0.15,18.01,0.27,0.13
AEX,1212.31,1605.27,172.597,0.012,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.012,-0.1,0.012,0.013,0.013,0.012,-8.20,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,0.025,0.003,0.003,-0.51,0.003,0.003
AIV,60,16.19,5.174,0.006,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.07,,0.064,0.07,0.07,0.07,-0.51,0.14,0.055
AIVO,-,2.523,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.01,,-,0.01,0.01,0.01,-0.51,0.06,0.001
ADU,1349.91,102.576,10.832,0.197,-,-,-12.87,-,-,-,-,,Adamus Res,,0.505,2.5,0.50,0.505,0.535,0.48,4.70,0.595,0.303
ADD,240.324,20.331,16.28,0.005,0.02,1.4,-0.96,-,-,-,-,,Adavale Resource,,0.028,,0.026,0.034,0.028,0.026,-0.51,0.065,0.019
ADE,647.391,46.36,23.231,0.022,-,-,0.97,9.8,-,-,-,,Adelaide Energy,,0.095,1,0.092,0.095,0.099,0.085,11.26,0.215,0.085
ADN,793.452,33.026,24.556,0.018,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.16,1,0.15,0.165,0.165,0.14,6.16,0.395,0.089
ADI,8977.49,176.126,35.078,0.074,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.42,,0.26,0.425,0.425,0.42,-0.51,0.425,0.06
ABY,2384.37,106.537,253.188,0.226,1.51,0.5,19.61,3.7,-,-,-,,Aditya Birla,,0.72,2,0.715,0.725,0.76,0.71,2.35,1.65,0.60
ADY,15960.9,2106.26,4787.67,0.016,-,-,0.09,7.8,-,-,-,,Admiralty Res,,0.007,,0.007,0.008,0.008,0.006,-0.51,0.025,0.005
AVD,70,10.102,8.079,0.003,-,-,-3.1,-,-,-,-,,Advance Energy,,0.015,0.3,0.015,0.02,0.015,0.015,24.49,0.125,0.007
ADX,10136.4,211.764,103.117,0.064,-,-,-0.89,-,-,-,-,,ADX Energy Ltd,,0.19,-1.5,0.185,0.19,0.23,0.175,-7.83,0.265,0.081
ADXO,534.529,3.686,-,0.002,-,-,-,-,-,-,-,,  opt mar11,,0.066,,0.063,0.066,0.066,0.06,-0.51,0.09,0.05
AED,516.493,43.706,71.771,0.094,1.03,0.5,-48.17,-,-,-,-,,AED Oil Ltd,,0.465,-0.5,0.46,0.475,0.48,0.455,-1.57,0.84,0.435
