ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4722.6 at 16:47 13/11/2009  Report at 19:05 Friday 13/11/2009. Processed 13:29 Sunday 15/11/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,845.722,62.611,113.688,0.056,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.28,1.5,0.26,0.28,0.28,0.25,3.09,0.325,0.048
DDD,78.125,12.295,7.956,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.019,-0.1,0.02,0.025,0.02,0.019,-7.57,0.026,0.007
AAO,144.752,16.975,5.968,0.01,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.098,-0.2,0.085,0.095,0.10,0.09,-4.57,0.12,0.014
ARH,263.933,20.376,43.514,0.206,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.465,-0.5,0.46,0.47,0.48,0.455,-3.63,0.70,0.29
AAM,10603.2,80.32,38.113,0.051,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.315,7,0.315,0.32,0.34,0.25,26.00,0.34,0.06
ABU,9970.13,317.012,80.281,0.026,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.035,0.1,0.034,0.035,0.035,0.033,0.37,0.07,0.006
AII,75,2.887,18.72,0.032,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.225,2,0.215,0.225,0.225,0.215,7.19,0.31,0.13
ACB,1370.93,75.254,62.161,0.068,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.42,4.5,0.40,0.42,0.45,0.375,9.43,0.60,0.08
ACS,987.504,34.839,67.3,0.018,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.15,-1,0.15,0.16,0.16,0.15,-8.82,0.27,0.055
AEX,16312.2,577.366,492.292,0.005,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.006,,0.006,0.007,0.007,0.005,-2.57,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,-,0.003,0.003,-2.57,0.003,0.003
AIV,231.333,17.249,7.376,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.091,-0.9,0.085,0.09,0.099,0.09,-11.57,0.12,0.028
AIVO,30,0.987,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.045,,0.045,0.055,0.045,0.045,-2.57,0.06,0.001
ADU,2065.43,48.892,22.238,0.125,-,-,-10.25,-,-,-,-,,Adamus Res,,0.44,2.5,0.43,0.44,0.44,0.415,3.46,0.53,0.10
ADD,789.412,49.243,42.316,0.01,0.03,1.8,-0.3,-,-,-,-,,Adavale Resource,,0.054,0.6,0.054,0.057,0.055,0.046,9.93,0.065,0.01
ADE,797.923,46.534,43.405,0.017,-,-,1.39,9.4,-,-,-,,Adelaide Energy,,0.13,,0.13,0.135,0.135,0.125,-2.57,0.16,0.035
ADN,2683.55,86.669,41.194,0.028,-,-,4.86,5.1,-,-,-,,Adelaide Res,,0.25,-0.5,0.245,0.255,0.28,0.24,-4.53,0.37,0.04
ADI,1273.02,70.916,30.411,0.021,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.145,0.5,0.14,0.155,0.17,0.135,1.00,0.19,0.045
ABY,7049.72,359.451,341.119,0.439,1.42,1.0,-17.34,-,-,-,-,,Aditya Birla,,1.40,15,1.385,1.40,1.435,1.23,9.43,1.65,0.096
ADY,83988.5,6665.13,3833.51,0.036,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.017,0.1,0.017,0.018,0.019,0.016,3.68,0.054,0.008
AVD,25,20.188,7.923,0.015,0.04,2.4,-1.06,-,-,-,-,,Advance Energy,,0.095,,0.084,0.09,0.095,0.09,-2.57,0.125,0.025
