ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4706.7 at 16:47 20/11/2009  Report at 19:06 Friday 20/11/2009. Processed 19:54 Friday 20/11/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,531.75,63.143,118.423,0.054,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.27,-1,0.27,0.28,0.27,0.265,-3.24,0.325,0.06
DDD,258,12.553,7.956,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.02,0.1,0.02,0.025,0.02,0.019,5.60,0.026,0.007
AAO,63.086,17.038,6.06,0.01,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.095,-0.3,0.085,0.095,0.097,0.085,-2.73,0.12,0.014
ARH,1194.65,21.571,44.173,0.232,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.525,6,0.525,0.53,0.53,0.465,13.24,0.70,0.29
AAM,5381.19,85.701,38.295,0.047,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.28,-3.5,0.275,0.28,0.34,0.275,-10.77,0.34,0.063
ABU,9588.71,326.601,80.731,0.028,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.037,0.2,0.037,0.038,0.038,0.033,6.05,0.07,0.006
AII,3.3,2.89,18.72,0.032,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.23,0.5,0.23,0.35,0.23,0.225,2.56,0.25,0.13
ACB,1799.65,77.054,62.56,0.065,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.405,-1.5,0.405,0.41,0.42,0.39,-3.24,0.60,0.084
ACS,793.558,35.632,67.78,0.018,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.145,-0.5,0.14,0.15,0.16,0.14,-3.00,0.27,0.055
AEX,13234,590.6,495.718,0.005,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.006,,0.006,0.007,0.007,0.005,0.34,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,-,-,0.003,0.003,0.34,0.003,0.003
AIV,74.981,17.324,7.389,0.005,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.085,-0.6,0.08,0.09,0.091,0.085,-6.26,0.12,0.028
AIVO,-,0.987,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.045,,0.045,0.055,0.045,0.045,0.34,0.06,0.001
ADU,3803.34,52.696,22.643,0.128,-,-,-10.25,-,-,-,-,,Adamus Res,,0.45,1,0.45,0.47,0.495,0.44,2.61,0.53,0.11
ADD,1131.84,50.375,42.732,0.008,0.03,1.5,-0.3,-,-,-,-,,Adavale Resource,,0.046,-0.8,0.047,0.048,0.055,0.046,-14.48,0.065,0.01
ADE,356.564,46.89,43.634,0.017,-,-,1.39,9.4,-,-,-,,Adelaide Energy,,0.13,,0.125,0.13,0.13,0.12,0.34,0.16,0.035
ADN,5501.74,92.171,42.079,0.033,-,-,4.86,6.2,-,-,-,,Adelaide Res,,0.30,5,0.295,0.30,0.325,0.255,20.34,0.37,0.04
ADI,1255.25,72.171,30.838,0.021,-,-,-5.87,-,-,-,-,,Adelphi Energy,,0.14,-0.5,0.135,0.14,0.15,0.13,-3.11,0.185,0.045
ABY,5847.76,365.299,347.713,0.428,1.42,1.0,-17.34,-,-,-,-,,Aditya Birla,,1.365,-3.5,1.36,1.37,1.49,1.33,-2.16,1.65,0.096
ADY,34492.5,6699.62,3911.06,0.036,-,-,-2.73,-,-,-,-,,Admiralty Res,,0.017,,0.017,0.018,0.018,0.016,0.34,0.054,0.009
AVD,298,20.486,8.4,0.013,0.04,2.0,-1.06,-,-,-,-,,Advance Energy,,0.08,-1.5,0.07,0.08,0.095,0.08,-15.45,0.125,0.025
AED,2464.73,114.672,258.195,0.096,-,-,-66.9,-,-,-,-,,AED Oil Ltd,,0.58,1,0.58,0.605,0.625,0.565,2.09,1.305,0.50
AFR,2489.64,111.5,23.606,0.046,-,-,-1.5,-,-,-,-,,African Energy Res cdi,,0.18,-3,0.195,0.185,0.22,0.17,-13.95,0.24,0.01
ALG,58.864,0.656,0.609,0.004,-,-,-1.12,-,-,-,-,,Alamar Res Ltd,,0.20,-3,0.19,0.24,0.20,0.19,-12.71,0.23,0.14
AUQ,582.758,20.6,15.845,0.019,-,-,-11.01,-,-,-,-,,Alara Res Ltd,,0.235,5.5,0.225,0.235,0.235,0.17,30.89,0.245,0.026
ALY,8434.06,163.356,10.779,0.049,-,-,-3.27,-,-,-,-,,Alchemy Resource,,0.98,-5,0.95,0.98,1.14,0.92,-4.52,1.27,0.035
ALYO,1267.42,26.859,1.57,0.013,-,-,-,-,-,-,-,,  opt aug10,,0.66,-6,0.65,0.75,0.86,0.65,-8.00,0.96,0.001
AYN,194787,194.787,115.334,0.032,-,-,-8.29,-,-,-,-,,Alcyone Res Ltd,,0.053,0.9,0.052,0.053,0.06,0.044,20.79,0.06,0.044
AYNOB,-,-,0.294,-,-,-,-,-,-,-,-,,  opt sep11,,-,,0.011,-,0.021,0.021,0.34,0.021,0.021
ALK,2005.86,68.119,73.237,0.102,-,-,-0.25,-,-,-,-,,Alkane Res Ltd,,0.41,1.5,0.405,0.41,0.44,0.41,4.13,0.49,0.10
AGS,5917.2,175.644,97.55,0.198,-,-,-8.3,-,-,-,-,,Alliance Res,,0.58,-3,0.575,0.585,0.63,0.575,-4.58,0.98,0.333
ALD,2114.27,82.392,82.132,0.201,0.29,1.3,-1.92,-,-,-,-,,Allied Gold Ltd,,0.38,-3,0.37,0.38,0.41,0.35,-6.98,0.57,0.22
AYR,2374.96,18.016,12.011,0.002,-,-,-0.82,-,-,-,-,,Alloy Res,,0.026,-0.1,0.026,0.028,0.029,0.026,-3.37,0.045,0.011
AWC,97968.7,3409.71,1783.43,4.026,1.30,1.3,9.42,17.5,12,0.79,7.27,,Alumina Ltd,,1.65,1.5,1.645,1.655,1.74,1.615,1.25,2.00,0.683
AMU,2225.68,103.68,45.669,0.087,0.48,0.6,3.5,8.1,-,-,-,,Amadeus Energy,,0.285,1.5,0.28,0.285,0.29,0.27,5.89,0.43,0.205
AXZ,170.556,4.218,4.459,0.008,-,-,-5.32,-,-,-,-,,Amex Res,,0.18,0.5,0.18,0.20,0.19,0.18,3.19,0.25,0.08
AMX,1248.5,60.017,21.285,0.082,-,-,-6.37,-,-,-,-,,Ampella Min,,0.64,4,0.65,0.655,0.68,0.60,7.00,0.68,0.043
AMXO,113.37,3.198,-,0.007,-,-,-,-,-,-,-,,  opt jul10,,0.45,2,0.37,0.54,0.45,0.43,4.99,0.45,0.03
AHR,210.785,5.709,2.246,0.006,-,-,-1.57,-,-,-,-,,Anchor Res,,0.19,-1,0.175,0.19,0.20,0.19,-4.66,0.20,0.033
AHRO,663.5,1.532,0.66,-,-,-,-,-,-,-,-,,  opt mar10,,0.008,-1.2,0.002,0.02,0.008,0.001,-59.66,0.03,0.001
AND,4334.68,128.727,66.871,1.188,-,-,-1.8,-,-,-,-,,Andean Res Ltd,,2.54,14,2.51,2.55,2.58,2.46,6.17,2.58,0.515
ATM,-,0.013,0.023,2.118,-,-,0.36,308.3,2.94,0.12,2.65,,Aneka Tambang cdi 1:5,,1.11,,1.11,-,1.11,1.11,0.34,2.50,0.97
AAR,2499.2,182.61,321.232,0.018,-,-,-0.16,-,-,-,-,,Anglo Aust,,0.036,-0.1,0.036,0.037,0.039,0.035,-2.37,0.044,0.011
AGP,-,0.003,0.006,0.283,-,-,45.18,5.9,15.87,2.85,5.99,,Anglo Pacific Grp,,2.65,6.9,2.75,3.55,2.581,2.581,2.99,3.50,2.581
AGG,27.786,6.355,5.493,0.878,-,-,-71.44,-,3.33,-,0.34,,Anglogold Ashanti cdi 5:1,,9.84,60,9.45,9.85,9.90,9.46,6.83,11.50,5.10
AZZ,6411.35,138.844,119.045,0.101,-,-,0.26,161.5,-,-,-,,Antares Energy,,0.42,3.5,0.415,0.425,0.45,0.395,9.43,0.45,0.035
AVM,119.913,11.389,1.944,0.032,-,-,-370.7,-,-,-,-,,Anvil Min cdi,,3.32,1,3.31,3.40,3.50,3.30,0.64,3.62,0.84
AAL,88.642,3.568,4.033,0.007,-,-,-0.75,-,-,-,-,,Apac Coal,,0.068,0.8,0.04,0.067,0.068,0.06,13.67,0.115,0.03
AXM,132395,1575.95,209.158,0.146,-,-,-31.41,-,-,-,-,,Apex Min NL,,0.044,0.2,0.043,0.044,0.045,0.041,5.10,0.414,0.039
AXMO,49969.2,253.011,-,0.01,-,-,-,-,-,-,-,,  opt nov12,,0.014,0.2,0.013,0.014,0.015,0.012,17.00,0.025,0.01
AON,411.9,19.587,21.23,0.016,-,-,-8.92,-,-,-,-,,Apollo Min Ltd,,0.24,-3,0.23,0.24,0.27,0.23,-10.77,0.40,0.125
AQP,14947.9,264.292,129.786,2.819,-,-,-16.39,-,12.08,-,1.98,,Aquarius Platinum,,6.10,81,6.02,6.12,6.35,5.43,15.65,6.39,2.307
AQA,3204.49,128.215,68.032,2.266,-,-,-10.5,-,-,-,-,,Aquila Res,,9.10,98,9.05,9.12,9.38,8.16,12.41,9.38,1.90
ARU,2031.08,143.955,75.32,0.203,-,-,-7.7,-,-,-,-,,Arafura Resource,,0.785,-6,0.78,0.80,0.865,0.775,-6.76,1.285,0.245
AAG,470.044,4.441,5.51,0.011,-,-,-3.81,-,-,-,-,,Aragon Res,,0.16,1,0.15,0.16,0.17,0.125,7.00,0.27,0.055
AAGO,-,1.371,2.016,-,-,-,-,-,-,-,-,,  opt sep10,,0.03,,0.01,0.03,0.03,0.03,0.34,0.042,0.002
ARX,2165.3,39.563,595.34,0.005,-,-,16.13,0.2,-,-,-,,ARC Explore Ltd,,0.031,0.1,0.035,0.039,0.04,0.022,3.67,0.044,0.007
