ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:07 Friday 3/9/2010. Processed 11:59 Sunday 5/9/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,701.385,22.249,45.642,0.032,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.16,0.5,0.155,0.17,0.175,0.16,-0.71,0.39,0.12
DDD,1045.05,18.531,6.439,0.007,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.035,-0.4,0.035,0.036,0.04,0.035,-14.20,0.049,0.016
AAO,492.992,8.051,8.986,0.006,-,-,-1.28,-,-,-,-,,A'asia Cons Ltd,,0.051,-0.1,0.052,0.074,0.055,0.051,-5.86,0.109,0.044
AAOO,83.104,0.196,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.011,-0.5,0.011,0.051,0.016,0.011,-35.19,0.02,0.011
ARH,179.321,16.042,13.791,0.106,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.24,-0.5,0.235,0.24,0.25,0.24,-5.98,0.67,0.21
AAM,3914.47,166.922,42.361,0.028,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.14,-0.5,0.135,0.14,0.15,0.13,-7.39,0.42,0.105
ABU,210921,1196.95,233.324,0.07,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.039,1,0.039,0.04,0.04,0.028,30.54,0.07,0.016
AII,109.404,1.664,2.151,0.019,-,-,-1.98,-,-,-,-,,Abra Min Ltd,,0.135,,0.125,0.135,0.135,0.125,-3.94,0.25,0.086
ACB,517.275,40.511,46.147,0.054,0.14,2.4,-0.91,-,-,-,-,,A-Cap Res,,0.335,-1,0.33,0.335,0.345,0.32,-6.84,0.60,0.28
ACS,280.202,26.044,27.786,0.035,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.245,,0.225,0.24,0.245,0.225,-3.94,0.25,0.13
AEX,7586.7,1794.97,271.943,0.018,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.018,,0.018,0.019,0.018,0.016,-3.94,0.029,0.004
