ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, September 6, 2013,,,,,,,,,,,,,,,,,,,,
"XAO 5144.0 at 2013-09-06T16:47:06. Report at Friday, September 6, 2013. Processed Saturday at 2013-09-07T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
TDO,2192.47,19.741,21.518,.022,-,-,-3.61,-,-,-,-,,3D Oil,,.091,-.9,.085,.135,.091,.085,-9.36,.14,.065,,
DDD,453.500,7.485,14.647,.006,-,-,-.10,-,-,-,-,,3D Res,,.027,-,.021,.027,.027,.021,-.36,.043,.014,,
ARH,206.636,10.463,14.499,.020,-,-,-2.33,-,-,-,-,,A'asian Resources,,.04,+.6,.04,.043,.04,.034,+17.28,.09,.021,,
AYC,4.000,1.975,2.507,.010,-,-,-.47,-,-,-,-,,A1 Gold,,.165,-.5,.155,.17,.17,.165,-3.31,.29,.125,,
ABU,20099.5,1073.49,1391.77,.118,-,-,-.46,-,-,-,-,,ABM Res,,.036,-.1,.036,.037,.038,.036,-3.07,.065,.021,,
AJC,453.763,113.704,215.432,.012,-,-,-.42,-,-,-,-,,Acacia Coal,,.013,+.1,.012,.013,.012,.011,+8.73,.023,.007,,
ACB,390.235,28.775,44.392,.016,-,-,-1.08,-,-,-,-,,A-Cap Res,,.06,-.5,.056,.061,.065,.06,-8.06,.155,.045,,
ACS,25.900,.950,91.061,.034,-,-,-.86,-,-,-,-,,Accent Res,,.19,+1,.18,.25,.19,.18,+5.19,.275,.15,,
AIV,-,140.344,21.153,.008,-,-,-1.33,-,-,-,-,,ActiveX,,.022,-,.012,.019,.022,.022,-.36,.022,.010,,
ADD,-,10.001,24.984,.001,-,-,-1.58,-,-,-,-,,Adavale Resources,,.004,-,.003,.007,.004,.004,-.36,.021,.002,,
ADN,864.709,264.683,68.518,.017,-,-,-3.84,-,-,-,-,,Adelaide Res,,.073,+.3,.073,.074,.075,.07,+3.92,.25,.036,,
ABY,545.731,64.354,74.311,.118,1.63,.23,-2.66,-,5.00,-,13.33,,Aditya Birla,,.375,-,.365,.375,.375,.365,-.36,.60,.335,,
ADY,1009.11,34.649,65.954,.013,-,-,-2.52,-,-,-,-,,Admiralty Res,,.018,-.1,.017,.021,.02,.017,-5.63,.045,.017,,
AVD,-,200.211,31.417,.001,-,-,-.30,-,-,-,-,,Advance Energy,,.001,-,-,.001,.001,.001,-.36,.007,.001,,
ADX,6707.60,107.968,189.892,.010,-,-,-3.10,-,-,-,-,,ADX Energy,,.02,+.2,.019,.02,.022,.016,+10.75,.04,.012,,
AQR,437.299,20.018,9.113,.033,-,-,-.13,-,-,-,-,,AEON Metals,,.18,+2,.16,.18,.18,.13,+12.14,.335,.06,,
AFR,531.657,55.262,213.135,.033,-,-,-3.36,-,-,-,-,,African Energy Res,,.077,-.3,.076,.081,.081,.075,-4.11,.19,.063,,
AGR,4006.09,50.452,18.565,.015,-,-,-11.68,-,-,-,-,,Aguia Res,,.08,+2.4,.081,.088,.09,.066,+36.00,.215,.045,,
AQG,3529.03,146.851,117.405,.317,-,-,-318.93,-,-,-,-,,Alacer Gold,,3.13,-45,3.06,3.15,3.55,3.06,-12.93,6.860,1.94,,
AUQ,2878.29,78.422,46.199,.013,-,-,-2.58,-,-,-,-,,Alara Res,,.055,-.5,.055,.06,.058,.049,-8.70,.30,.038,,
ALY,105.185,17.772,24.036,.008,-,-,-.39,-,-,-,-,,Alchemy Resources,,.05,-,.05,.067,.052,.05,-.36,.16,.028,,
