ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4671.9 at 16:47 18/12/2009  Report at 19:06 Friday 18/12/2009. Processed 20:44 Saturday 19/12/2009.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,3012.95,69.57,122.864,0.069,-,-,-0.46,-,-,-,-,,3D Oil Ltd,,0.345,7.5,0.34,0.345,0.36,0.25,27.34,0.36,0.07
DDD,870.012,14.994,8.076,0.002,-,-,-4.66,-,-,-,-,,3D Res Ltd,,0.016,-0.4,0.015,0.025,0.025,0.016,-20.44,0.026,0.007
AAO,469.36,18.969,6.267,0.008,-,-,-5.03,-,-,-,-,,A'asia Gold,,0.08,-1.3,0.075,0.08,0.093,0.08,-14.42,0.12,0.018
ARH,209.575,23.073,45.045,0.199,-,-,-2.85,-,-,-,-,,A'asian Resour,,0.45,,0.45,0.47,0.46,0.44,-0.44,0.70,0.29
AAM,3801.65,109.585,39.489,0.054,-,-,-3.99,-,-,-,-,,A1 Min Ltd,,0.315,-4.5,0.31,0.325,0.36,0.29,-12.94,0.42,0.076
ABU,33252.8,438.073,83.986,0.033,-,-,-0.65,-,-,-,-,,ABM Res NL,,0.037,-0.8,0.037,0.038,0.05,0.035,-18.22,0.07,0.006
AII,-,2.945,18.901,0.025,-,-,-1.39,-,-,-,-,,Abra Min Ltd,,0.18,,0.19,0.25,0.18,0.18,-0.44,0.25,0.13
ACB,870.602,84.966,64.841,0.06,-,-,-2.93,-,-,-,-,,A-Cap Res,,0.37,-3,0.37,0.38,0.41,0.36,-7.94,0.60,0.085
ACS,1610.02,38.761,68.596,0.02,-,-,-1.37,-,-,-,-,,Accent Res NL,,0.16,2,0.15,0.17,0.16,0.14,13.84,0.27,0.055
AEX,4036.6,616.87,508.598,0.005,-,-,-1.52,-,-,-,-,,Acclaim Explore,,0.006,0.1,0.005,0.006,0.006,0.005,19.56,0.008,0.003
AEXCD,-,-,0.726,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.001,0.02,0.003,0.003,-0.44,0.003,0.003
AIV,123.174,18.76,7.669,0.006,-,-,-1.66,-,-,-,-,,Activex Ltd,,0.085,,0.086,0.098,0.09,0.085,-0.44,0.12,0.032
AIVO,-,1.057,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.026,,0.005,0.038,0.026,0.026,-0.44,0.06,0.001
ADU,3242.1,67.395,24.164,0.125,-,-,-10.25,-,-,-,-,,Adamus Res,,0.44,1,0.42,0.44,0.455,0.385,1.88,0.53,0.16
ADD,209.667,51.667,45.826,0.008,0.03,1.5,-0.3,-,-,-,-,,Adavale Resource,,0.046,0.2,0.04,0.046,0.046,0.044,4.10,0.065,0.014
