ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,
Trading data for the week ending Friday, August 3, 2012,,,,,,,,,,,,,,,,,,,,
"XAO 4243.0 at 2012-08-03T16:48:37. Report at Friday, August 3, 2012. Processed Saturday at 2012-08-04T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS c,P/E Ratio,Div c Shr,Div Cvr,Div Yld %,Franked Div,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low,
AOH,2273.27,126.623,253.488,.145,-,-,-4.72,-,-,-,-,,Altona Min,,.275,+.5,.27,.28,.28,.265,+1.65,.315,.19,,
AJM,1142.00,76.010,81.924,.073,-,-,-.39,-,-,-,-,,Altura Min,,.16,-2,.16,.17,.175,.16,-11.31,.23,.14,,
AWC,67073.7,2808.37,2289.79,1.611,1.04,.6,5.12,12.9,5.68,.90,8.61,f,Alumina,,.66,-1.5,.66,.665,.72,.66,-2.43,1.975,.625,,
AMU,993.717,105.379,126.446,.050,.30,.7,.35,60.0,-,-,-,,Amadeus Energy,,.21,-,-,-,.21,.20,-.20,.23,.19,,
AQO,250.285,50.206,-,.008,-,-,-1.20,-,-,-,-,,Ambassador Oil & Gas,,.098,+.4,.092,.098,.10,.091,+4.05,.245,.09,,
AQOO,137.527,3.044,-,.002,-,-,-,-,-,-,-,,  opt oct13,,.035,+.9,.012,.03,.035,.025,+34.41,.052,.02,,
AXZ,13.550,1.989,9.978,.075,-,-,-3.46,-,-,-,-,,Amex Res,,1.00,+5,.92,1.00,1.00,.95,+5.06,1.36,.83,,
AMX,11096.0,182.186,68.381,.099,-,-,-12.25,-,-,-,-,,Ampella Min,,.40,-13.5,.40,.405,.545,.395,-25.44,2.31,.35,,
AEK,1.379,2.608,7.961,.010,-,-,-2.18,-,-,-,-,,Anatolia Energy,,.065,-.5,.04,.064,.07,.065,-7.35,.195,.05,,
AHR,-,.020,13.250,.010,-,-,-4.79,-,-,-,-,,Anchor Res,,.19,-,-,-,.19,.19,-.20,.28,.15,,
ATM,-,-,-,.002,-,-,2.16,57.9,4.05,.53,3.24,,Aneka Tambang,,1.25,-,-,-,1.209,1.209,-.20,1.25,1.209,,
AAR,2004.66,51.189,128.092,.006,-,-,-.11,-,-,-,-,,Anglo Aust Res,,.009,+.2,-,-,.009,.008,+28.37,.015,.006,,
AGG,184.031,1.691,2.778,.566,14.62,.4,1979.13,.3,11.59,170.76,1.83,,Anglogold Ashanti,,6.35,-6,6.35,6.80,6.41,6.35,-1.14,9.48,6.02,,
AZZ,1256.47,64.034,168.627,.103,-,-,-1.40,-,-,-,-,,Antares Energy,,.40,-2,.40,.42,.425,.395,-4.97,.525,.35,,
AZY,398.522,6.927,9.653,.003,-,-,-.84,-,-,-,-,,Antipa Min,,.05,-1.2,.045,.05,.062,.049,-19.56,.31,.044,,
AZYO,325.000,2.695,4.848,-,-,-,-,-,-,-,-,,  opt mar13,,.005,-,.005,.019,.005,.005,-.20,.13,.005,,
AAL,-,1.105,3.551,.001,-,-,-.07,-,-,-,-,,APAC Coal,,.006,-,.005,.01,.006,.006,-.20,.018,.005,,
AXM,2686.61,1944.92,2220.01,.021,-,-,7.00,1.6,-,-,-,,Apex Minerals,†,.11,-,.11,.115,.115,.105,-.20,1.30,.10,,
AXMO,-,.632,145.328,-,-,-,-,-,-,-,-,,  opt nov12,†,.05,-,-,-,.05,.05,-.20,.05,.001,,
AQQ,1584.91,33.842,53.888,.007,-,-,-.49,-,-,-,-,,Aphrodite Gold,,.041,-.3,-,-,.045,.041,-7.02,.128,.033,,
AQQO,1550.00,12.203,11.326,-,-,-,-,-,-,-,-,,  opt dec13,,.004,-.1,.003,.007,.005,.004,-20.20,.035,.002,,
AOP,202.099,5.916,481.528,.004,-,-,-.08,-,-,-,-,,Apollo Cons,†,.09,-1,.081,.09,.10,.09,-10.20,.20,.002,,
AON,592.600,24.833,20.623,.009,-,-,-1.11,-,-,-,-,,Apollo Minerals,,.035,-.3,.035,.037,.038,.035,-8.10,.08,.03,,
AQP,12613.8,281.546,198.817,.235,-,-,-46.14,-,3.76,-,7.52,,Aquarius Platinum,,.50,-10,.495,.515,.61,.475,-16.87,4.08,.475,,
AQA,5679.84,74.242,61.256,.906,-,-,-20.60,-,-,-,-,,Aquila Res,,2.20,+33,2.20,2.22,2.36,1.865,+17.44,6.83,1.86,,
ARU,6208.80,219.642,279.265,.063,-,-,-1.91,-,-,-,-,,Arafura Resources,,.16,-2,.16,.165,.18,.155,-11.31,.76,.155,,
ARX,1974.07,274.204,547.202,.005,-,-,-.41,-,-,-,-,,ARC Explore,,.005,-.1,.005,.006,.006,.005,-16.87,.023,.004,,
AXE,3033.13,181.271,19.205,.015,-,-,-1.60,-,-,-,-,,Archer Explore,,.18,-1,.18,.185,.20,.175,-5.47,.45,.11,,
ARD,275.700,23.161,117.763,.009,-,-,-5.10,-,-,-,-,,Argent Minerals,,.06,+.2,.056,.059,.06,.054,+3.24,.25,.05,,
AVK,46.600,8.714,18.824,.003,-,-,-1.34,-,-,-,-,,Argentina Min,,.075,-,-,-,.077,.075,-.20,.195,.073,,
AVKO,20.000,1.697,5.872,-,-,-,-,-,-,-,-,,  opt mar15,,.016,-.4,.007,.016,.02,.016,-20.20,.07,.012,,
AXT,-,18.373,38.684,.002,-,-,-2.33,-,-,-,-,,Argo Explore,,.022,-,.019,.02,.022,.022,-.20,.06,.017,,
ARE,145.000,38.346,64.396,.011,-,-,-1.62,-,-,-,-,,Argonaut Res,,.042,+.2,-,-,.042,.04,+4.80,.078,.039,,
AGY,59.000,5.028,29.836,.006,-,-,-1.06,-,-,-,-,,Argosy Minerals,,.048,-,.042,.06,.048,.042,-.20,.17,.041,,
AHK,-,4.477,3.876,.002,-,-,-6.16,-,-,-,-,,Ark Mines,,.09,-,-,-,.09,.09,-.20,.425,.078,,
AJQ,1189.08,49.917,-,.040,-,-,-,-,-,-,-,,Armour Energy,,.18,-5,.16,.18,.23,.18,-21.94,.50,.18,,
AJQO,680.000,9.483,-,.002,-,-,-,-,-,-,-,,  opt aug14,,.04,-1,.025,.04,.06,.03,-20.20,.135,.03,,
ARV,2155.41,79.945,191.222,.006,-,-,-.26,-,-,-,-,,Artemis Res,,.013,+.1,.013,.014,.013,.01,+8.13,.036,.01,,
