ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:18 Thursday 1/4/2010. Processed 18:10 Thursday 1/4/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,844.144,11.681,8.576,0.048,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.24,,0.24,0.245,0.25,0.225,-0.42,0.39,0.072
DDD,355,4.429,0.33,0.003,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.02,0.1,0.02,0.023,0.021,0.02,4.84,0.026,0.007
AAO,378.917,2.807,2.706,0.007,-,-,-1.28,-,-,-,-,,A'asia Gold,,0.065,,0.065,0.075,0.078,0.061,-0.42,0.109,0.023
ARH,172.786,7.315,2.724,0.19,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.43,-1,0.43,0.445,0.455,0.425,-2.69,0.70,0.35
AAM,2808.98,43.313,11.427,0.047,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.24,-0.5,0.235,0.24,0.245,0.23,-2.46,0.42,0.11
ABU,15544.2,215.436,25.204,0.036,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.025,0.1,0.025,0.026,0.025,0.023,3.74,0.07,0.006
AII,1.141,0.528,0.613,0.023,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.16,-0.5,0.125,0.155,0.165,0.14,-3.45,0.25,0.14
ACB,642.163,19.811,8.189,0.068,0.14,3.0,-0.91,-,-,-,-,,A-Cap Res,,0.42,2,0.41,0.415,0.425,0.40,4.58,0.60,0.20
ACS,545.573,14.394,2.276,0.029,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.20,-1.5,0.20,0.215,0.21,0.195,-7.40,0.27,0.075
AEX,21578.3,1395.36,33.052,0.02,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.02,,0.019,0.02,0.021,0.017,-0.42,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.002,0.025,0.003,0.003,-0.42,0.003,0.003
AIV,3333.6,9.113,2.02,0.01,-,-,-1.49,-,-,-,-,,Activex Ltd,,0.115,2.2,0.11,0.115,0.115,0.097,23.23,0.12,0.05
AIVO,-,1.62,-,-,-,-,-,-,-,-,-,,  opt jul10,,0.016,,0.02,0.04,0.016,0.016,-0.42,0.06,0.001
ADU,1851.44,30.174,5.159,0.133,-,-,-12.87,-,-,-,-,,Adamus Res,*,0.42,-0.5,0.425,0.43,0.43,0.405,-1.60,0.517,0.303
ADUR,6893.51,10.393,-,0.003,-,-,-,-,-,-,-,,  rts 06apr,,0.05,1.3,0.05,0.06,0.05,0.03,34.71,0.05,0.025
ADD,735.727,9.097,5.96,0.006,0.02,1.8,-0.96,-,-,-,-,,Adavale Resource,,0.035,-0.4,0.033,0.037,0.042,0.035,-10.68,0.065,0.017
ADE,5426.33,23.034,8.097,0.038,-,-,0.97,19.6,-,-,-,,Adelaide Energy,,0.19,3.5,0.19,0.195,0.215,0.155,22.16,0.215,0.075
ADN,492.321,21.086,3.674,0.021,-,-,-0.56,-,-,-,-,,Adelaide Res,,0.19,-0.5,0.19,0.195,0.20,0.18,-2.99,0.395,0.058
ADI,1165.68,19.534,3.633,0.045,-,-,-4.27,-,-,-,-,,Adelphi Energy,,0.305,2,0.305,0.325,0.335,0.29,6.60,0.385,0.045
