ASX Mining & Oil Market - Weekly,,,,,,,,,,,,,,,,,,,,,,,
XAO 4480.9 at 16:36 13/8/2010  Report at 19:07 Friday 13/8/2010. Processed 20:04 Saturday 14/8/2010.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ASX Code,Weekly Vol 100's,YTD Vol Mil,PCP Vol Mil,Mkt Cap Bil,NTA,Mkt/Mkt NTA,EPS ¢,P/E Ratio,Div ¢ Shr,Div Cvr,Div Yld %,Franked,Security Description,Stock Change,Last Sale,Wk Mv + or -,Buy,Sell,Nat Wk High,Nat Wk Low,Move Ref to Mkt,52 Wk High,52 Wk Low
TDO,178.144,20.31,42.934,0.033,-,-,-0.27,-,-,-,-,,3D Oil Ltd,,0.165,,0.165,0.17,0.17,0.165,2.30,0.39,0.095
DDD,1503,11.747,6.169,0.006,-,-,-1.9,-,-,-,-,,3D Res Ltd,,0.032,0.5,0.03,0.032,0.032,0.027,20.82,0.032,0.014
AAO,61,7.478,7.433,0.006,-,-,-1.28,-,-,-,-,,A'asia Cons Ltd,,0.048,-1.2,0.048,0.06,0.06,0.048,-17.70,0.109,0.037
AAOO,-,0.113,-,-,-,-,-,-,-,-,-,,  opt apr13,,0.016,,0.011,0.053,0.016,0.016,2.30,0.02,0.012
ARH,252.469,15.561,11.907,0.111,-,-,-1.4,-,-,-,-,,A'asian Resour,,0.25,-1.5,0.245,0.26,0.26,0.245,-3.36,0.67,0.21
AAM,19097.8,138.964,40.229,0.022,-,-,-3.56,-,-,-,-,,A1 Min Ltd,,0.11,-5.5,0.105,0.115,0.165,0.105,-31.04,0.42,0.105
ABU,43967.5,920.57,202.66,0.052,-,-,-4.09,-,-,-,-,,ABM Res NL,,0.029,,0.027,0.029,0.029,0.026,2.30,0.07,0.016
AII,-,1.54,1.899,0.014,-,-,-1.94,-,-,-,-,,Abra Min Ltd,,0.10,,0.10,0.135,0.10,0.10,2.30,0.25,0.086
ACB,825.606,38.661,36.416,0.058,0.14,2.6,-0.91,-,-,-,-,,A-Cap Res,,0.36,-1,0.35,0.36,0.39,0.34,-0.41,0.60,0.28
ACS,637.2,23.776,17.497,0.032,-,-,-1.53,-,-,-,-,,Accent Res NL,,0.22,1,0.21,0.235,0.24,0.21,7.06,0.27,0.13
AEX,13955.3,1759.81,230.131,0.018,-,-,-0.38,-,-,-,-,,Acclaim Explore,,0.018,,0.018,0.019,0.02,0.016,2.30,0.029,0.004
AEXCD,-,-,-,-,-,-,-,-,-,-,-,,  ctg,,0.003,,0.003,0.025,0.003,0.003,2.30,0.003,0.003
