50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4733.1 at 16:47 1/12/2009  Report at 19:05 Tuesday 1/12/2009. Processed 19:17 Tuesday 1/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.00,0.683,Alumina Ltd,1.545,0.5,1.54,1.55,12,,0.79,1.30,7.77,16.4
2.72,0.53,Andean Res Ltd,2.61,7,2.51,2.62,-,,-,-,-,-
2.50,0.97,Aneka Tambang cdi 1:5,1.06,,1.06,-,2.94,,0.12,-,2.77,294.4
11.50,6.30,Anglogold Ashanti cdi 5:1,9.75,-10,9.39,9.80,3.33,,-,-,0.34,-
6.66,2.459,Aquarius Platinum,6.52,32,6.43,6.53,12.08,,-,-,1.85,-
11.50,1.90,Aquila Res,10.29,-64,10.29,10.39,-,,-,-,-,-
4.73,1.865,Arrow Energy,3.85,-5,3.84,3.85,-,,-,0.82,-,7.4
2.10,0.615,Atlas Iron Ltd,1.855,-4,1.85,1.86,-,,-,-,-,-
3.06,2.10,AWE Ltd,2.66,-2,2.66,2.67,-,,-,1.80,-,15.3
0.956,0.678,Beach Pet,0.84,,0.84,0.845,1.75,p,14.41,-,2.08,3.3
41.99,25.75,BHP Billiton Ltd,41.34,4,41.30,41.35,113.63,f,1.15,8.84,2.75,31.8
2.50,0.75,Centamin Egypt,2.34,5,2.33,2.38,-,,-,-,-,-
3.66,1.51,Centennial Coal,3.36,7,3.35,3.37,11,f,1.77,1.77,3.27,17.2
2.25,0.95,CGA Min Ltd,2.25,4,2.26,2.29,-,,-,-,-,-
108.50,67.50,Coal & Allied Ind  ,77.80,-10,76.52,77.80,710,f,1.52,15.40,9.13,7.2
2.39,0.73,Coal of Africa,1.725,1.5,1.70,1.725,-,,-,-,-,-
6.59,1.20,Cudeco Ltd,5.26,-1,5.25,5.29,-,,-,-,-,-
1.165,0.315,Eastern Star Gas,0.78,-5,0.78,0.785,-,,-,-,-,-
28.28,15.01,Energy Res,23.69,-29,23.57,23.90,34,f,4.79,-,1.44,14.6
0.72,0.175,Energy World Corp,0.40,-2,0.395,0.40,-,,-,-,-,-
