50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:12 Tuesday 20/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.45,Alumina Ltd,1.465,-2,1.465,1.47,2,f,-,1.21,1.37,-
3.58,1.80,Andean Res Ltd,3.34,4,3.29,3.37,-,,-,-,-,-
1.30,1.00,Aneka Tambang cdi,1.20,,1.20,-,1.37,,0.51,0.10,1.14,171.4
10.50,7.65,Anglogold Ashanti,9.49,4,9.40,9.52,3.87,,-,8.69,0.41,-
7.95,3.89,Aquarius Platinum,3.97,-129,3.96,3.99,2.26,,9.20,-,0.57,19.1
11.38,4.846,Aquila Res,7.26,-26,7.23,7.30,-,,-,-,-,-
5.31,3.26,Arrow Energy,5.00,4,4.95,5.00,-,,-,2.13,-,32.5
3.05,1.57,Atlas Iron Ltd,1.92,-6,1.92,1.94,-,,-,-,-,-
2.99,1.48,Avoca Res,2.75,-17,2.74,2.78,-,,-,0.79,-,22.0
3.17,1.575,AWE Ltd,1.62,-6.5,1.615,1.62,-,,-,1.74,-,113.3
1.04,0.655,Beach Energy Ltd,0.685,-1.5,0.685,0.69,1.75,p,9.17,1.27,2.55,4.3
44.93,35.58,BHP Billiton Ltd,37.75,-40,37.74,37.77,95.15,f,1.95,8.76,2.52,20.4
5.97,2.38,Centennial Coal,5.91,,5.91,5.92,8,p,1.98,1.87,1.35,37.4
2.61,1.52,CGA Min Ltd,2.20,4,2.16,2.23,-,,-,-,-,118.3
0.444,0.21,Citadel Resource Grp,0.29,-0.5,0.285,0.29,-,,-,-,-,-
108.50,74.06,Coal & Allied Ind  ,95.30,-158,94.50,97.28,510,f,1.33,16.99,5.35,14.1
2.60,1.54,Coal of Africa,1.89,-2.5,1.85,1.895,-,,-,-,-,-
1.165,0.615,Eastern Star Gas,0.845,-0.5,0.84,0.85,-,,-,-,-,-
27.37,12.51,Energy Res,13.49,-41,13.43,13.54,39,f,3.66,5.10,2.89,9.4
0.66,0.25,Energy World Corp,0.44,-2,0.435,0.445,-,,-,0.30,-,14.6
4.87,2.69,Equinox Min Ltd cdi,4.61,4,4.51,4.63,-,,-,-,-,-
150.00,110.60,ETFS Metals etfs gold,133.95,-85,133.75,134.65,-,,-,-,-,212.0
11.45,6.29,Extract Res,6.53,-22,6.51,6.55,-,,-,-,-,-
5.57,3.28,Fortescue Metals Grp,4.04,,4.03,4.08,-,,-,-,-,-
1.45,0.765,Gindalbie Metals,0.925,-2,0.925,0.93,-,,-,-,-,-
12.48,5.31,Gloucester Coal,12.43,-2,9.00,12.44,-,,-,2.21,-,18.2
5.52,2.92,Iluka Res,5.35,-8,5.30,5.46,-,,-,2.58,-,-
12.10,4.51,Karoon Gas Aust,6.41,-26,6.40,6.44,-,,-,-,-,-
10.90,6.32,Kingsgate Cons,9.33,-24,9.33,9.40,30,,2.73,2.69,3.22,11.4
4.48,2.41,Lihir Gold Ltd,4.14,-7,4.14,4.15,2.96,,-,1.22,0.71,-
0.72,0.319,Lynas Corp,0.655,-3,0.65,0.655,-,,-,-,-,-
17.17,7.23,Macarthur Coal,12.05,-53,12.03,12.05,21,f,2.16,4.15,1.74,26.6
4.89,2.182,Medusa Min Ltd,3.93,-17,3.90,3.97,-,,-,0.91,-,11.1
1.39,0.58,Minara Res,0.685,-1.5,0.675,0.685,-,,-,0.74,-,16.5
3.43,1.87,Mirabela Nickel,2.14,,2.05,2.19,-,,-,-,-,-
2.09,0.92,Mount Gibson Iron,1.38,-5,1.375,1.38,-,,-,0.78,-,21.0
3.12,1.33,Murchison Metals,1.80,-10,1.795,1.805,-,,-,-,-,-
