50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:34 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.45,Alumina Ltd,1.815,4,1.81,1.815,4.23,f,0.14,1.22,2.33,307.6
6.40,2.00,Andean Res Ltd,6.40,151,6.70,6.11,-,,-,-,-,-
1.30,1.02,Aneka Tambang cdi,1.20,,-,1.30,1.42,,0.49,0.10,1.18,171.4
10.50,7.65,Anglogold Ashanti,9.73,20,9.25,9.75,4.16,,-,8.69,0.43,-
7.95,3.89,Aquarius Platinum,5.17,17,5.02,5.19,2.26,,3.16,-,0.44,72.3
11.38,6.009,Aquila Res,8.87,2,8.70,8.90,-,,-,-,-,-
6.35,5.50,Aston Res Ltd,5.96,,5.87,5.98,-,,-,-,-,-
3.05,1.585,Atlas Iron Ltd,2.20,,2.18,2.20,-,,-,-,-,-
3.35,1.48,Avoca Res,3.32,14,3.30,3.35,-,,-,0.93,-,15.9
3.17,1.465,AWE Ltd,1.625,-1,1.62,1.63,-,,-,1.60,-,-
1.04,0.595,Beach Energy Ltd,0.665,0.5,0.66,0.665,1.75,p,1.78,-,2.63,21.3
44.93,35.58,BHP Billiton Ltd,38.33,1,38.33,38.40,98.54,f,2.72,10.21,2.57,14.3
6.07,3.05,Centennial Coal,6.03,,6.02,6.03,8,p,1.69,1.90,1.33,44.7
2.61,1.52,CGA Min Ltd,2.20,10,2.13,2.20,-,,-,-,-,118.3
0.444,0.235,Citadel Resource Grp,0.345,-0.5,0.34,0.35,-,,-,-,-,-
100.98,74.06,Coal & Allied Ind  ,100.33,33,96.00,100.45,800,f,1.10,19.26,7.97,11.4
2.60,1.275,Coal of Africa,1.37,5.5,1.355,1.40,-,,-,-,-,-
1.055,0.615,Eastern Star Gas,0.88,0.5,0.88,0.885,-,,-,-,-,-
27.15,12.51,Energy Res,13.51,-30,13.50,13.55,33,f,2.66,-,2.44,15.4
5.52,3.08,Equinox Min Ltd cdi,5.31,-6,5.30,5.35,-,,-,-,-,73.5
150.00,110.77,ETFS Metals etfs gold,134.31,27,134.30,134.42,-,,-,-,-,212.6
11.45,6.03,Extract Res,6.31,8,6.13,6.31,-,,-,-,-,-
5.57,3.28,Fortescue Metals Grp,4.80,-9,4.80,4.84,-,,-,0.51,-,21.7
1.45,0.785,Gindalbie Metals,0.93,0.5,0.93,0.935,-,,-,-,-,-
12.53,5.148,Gloucester Coal,12.45,15,12.31,12.47,-,,-,1.99,-,31.2
6.01,3.22,Iluka Res,5.94,28,5.90,6.00,-,,-,2.57,-,-
4.153,2.45,Ivanhoe Aust,2.60,-2,2.60,2.65,-,,-,-,-,-
11.45,4.51,Karoon Gas Aust,6.83,-7,6.83,6.88,-,,-,-,-,-
10.90,7.01,Kingsgate Cons,10.58,51,10.56,10.58,35,,2.15,3.16,3.31,14.1
4.51,2.57,Lihir Gold Ltd,4.48,,-,-,2.96,,3.06,1.31,0.66,49.4
1.09,0.375,Lynas Corp,1.075,3,1.075,1.08,-,,-,-,-,-
17.17,8.04,Macarthur Coal,11.68,-3,11.65,11.73,25,f,1.97,4.34,2.14,23.7
4.89,2.464,Medusa Min Ltd,4.41,16,4.39,4.44,-,,-,1.19,-,9.9
0.94,0.514,Minara Res,0.755,0.5,0.75,0.765,-,,-,0.78,-,9.8
3.43,1.645,Mirabela Nickel,1.83,14,1.80,1.83,-,,-,1.59,-,20.0
2.09,1.00,Mount Gibson Iron,1.78,2,1.77,1.79,-,,-,0.86,-,14.5
5.50,3.92,New Hope Corp,4.74,7,4.68,4.80,9.5,f,3.05,2.67,2.00,16.3
39.75,29.73,Newcrest Min,38.72,65,38.70,38.75,25,,4.61,10.19,0.65,33.6
3.90,0.99,OceanaGold Corp cdi,3.74,13,3.74,3.78,-,,-,2.35,-,88.6
6.93,4.97,Oil Search Ltd,5.95,,5.93,5.99,4.47,,3.07,-,0.75,43.4
2.13,1.335,OM Hldgs Ltd,1.55,1.5,1.51,1.55,2.75,,2.41,0.56,1.77,23.4
1.385,0.945,OZ Minerals,1.36,5.5,1.36,1.365,3,,5.07,0.95,2.21,8.9
5.18,3.37,Paladin Energy,3.87,3,3.86,3.89,-,,-,1.53,-,-
0.655,0.40,PanAust Ltd,0.64,1,0.635,0.64,-,,-,0.23,-,16.3
2.98,0.94,Perseus Min Ltd,2.94,13,2.93,2.94,-,,-,-,-,-
81.25,55.61,Rio Tinto Ltd,73.79,67,73.70,73.79,100.83,f,4.61,15.37,1.37,15.9
11.24,5.12,Riversdale Min,9.45,-2,9.36,9.49,-,,-,1.96,-,-
5.94,1.80,Sandfire Res,5.80,55,5.80,5.82,-,,-,-,-,-
16.05,11.24,Santos Ltd,13.92,-14,13.90,13.93,42,f,1.51,-,3.02,21.9
0.395,0.21,St Barbara Ltd,0.38,1.5,0.375,0.38,-,,-,0.18,-,-
5.83,3.52,Western Areas NL,5.17,4,5.13,5.21,6,,1.33,0.95,1.16,64.6
3.84,1.955,White Energy Co,3.65,,3.50,3.65,-,,-,-,-,-
6.47,3.38,Whitehaven Coal,5.97,-1,5.94,5.99,5.6,f,4.32,1.98,0.94,24.7
53.869,39.63,Woodside Pet,43.38,15,43.33,43.40,111.34,f,2.41,16.79,2.57,16.2
12.65,8.51,Zimplats Hldgs,10.90,,10.85,11.00,-,,-,-,-,8.2
