50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4286.3 at 16:36 25/5/2010  Report at 19:05 Tuesday 25/5/2010. Processed 15:47 Wednesday 26/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.265,Alumina Ltd,1.535,-6.5,1.535,1.54,2,f,-,1.21,1.30,-
3.58,1.68,Andean Res Ltd,3.10,-5,3.05,3.15,-,,-,-,-,-
1.30,1.00,Aneka Tambang cdi,1.20,,1.20,-,2.94,,0.24,0.10,2.45,171.4
11.00,7.65,Anglogold Ashanti,9.31,,9.25,9.75,3.87,,-,8.69,0.42,-
7.95,3.74,Aquarius Platinum,6.05,-18,6.01,6.06,2.26,,9.20,-,0.37,29.1
11.38,3.709,Aquila Res,8.17,-53,8.15,8.47,-,,-,-,-,-
5.31,3.04,Arrow Energy,4.70,-9,4.69,4.72,-,,-,2.13,-,30.6
3.05,1.475,Atlas Iron Ltd,1.775,-17,1.775,1.78,-,,-,-,-,-
2.37,1.48,Avoca Res,2.13,-2,2.11,2.20,-,,-,0.79,-,17.1
3.17,1.915,AWE Ltd,2.04,-9,2.03,2.04,-,,-,1.74,-,142.7
1.04,0.655,Beach Energy Ltd,0.74,-2.5,0.735,0.74,1.75,p,9.17,1.27,2.36,4.6
44.93,31.33,BHP Billiton Ltd,36.28,-152,36.28,36.30,95.15,f,1.95,8.76,2.62,19.6
5.00,2.07,Centennial Coal,3.58,-25,3.57,3.60,8,p,1.98,1.87,2.23,22.7
2.61,1.36,CGA Min Ltd,2.50,-1,2.42,2.52,-,,-,-,-,134.4
108.50,74.06,Coal & Allied Ind  ,86.52,10,86.30,89.99,510,f,1.33,16.99,5.89,12.8
2.60,1.40,Coal of Africa,1.93,3,1.91,1.95,-,,-,-,-,-
1.165,0.615,Eastern Star Gas,0.705,-2.5,0.705,0.71,-,,-,-,-,-
27.37,12.51,Energy Res,13.13,-30,13.00,13.30,39,f,3.66,5.10,2.97,9.2
0.72,0.25,Energy World Corp,0.41,-2,0.40,0.41,-,,-,0.30,-,13.6
4.78,2.18,Equinox Min Ltd cdi,3.74,-22,3.70,3.83,-,,-,-,-,-
142.66,110.60,ETFS Metals etfs gold,142.15,190,142.11,142.31,-,,-,-,-,225.0
11.45,4.272,Extract Res,6.72,-11,6.60,6.84,-,,-,-,-,-
5.57,2.54,Fortescue Metals Grp,3.44,-28,3.43,3.45,-,,-,-,-,-
1.45,0.695,Gindalbie Metals,0.935,-3.5,0.935,0.95,-,,-,-,-,-
12.40,4.52,Gloucester Coal,11.60,4,11.35,11.69,13.5,,5.06,2.21,1.16,17.0
5.04,2.70,Iluka Res,4.35,-10,4.25,4.45,-,,-,2.58,-,-
12.10,4.51,Karoon Gas Aust,7.55,-40,7.51,7.62,-,,-,-,-,-
10.30,5.89,Kingsgate Cons,8.20,-14,8.20,8.30,30,,2.73,2.69,3.66,10.0
4.18,2.41,Lihir Gold Ltd,3.86,-5,3.85,3.86,2.96,,-,1.22,0.77,-
0.72,0.30,Lynas Corp,0.50,-0.5,0.50,0.505,-,,-,-,-,-
