50 Leading Mining & Oil Stocks,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:33 Thursday 8/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52 Wk High,52 Wk Low,Company Name,Last Sale,+ or -,Quote Buy,Quote Sell,Div ¢ per Share,Franking,Div Tms Cov,NTA,Div Yld %,P/E ratio
2.06,1.285,Alumina Ltd,1.49,-3,1.485,1.49,2,f,-,1.21,1.34,-
3.58,1.745,Andean Res Ltd,3.15,-3,3.14,3.15,-,,-,-,-,-
1.30,1.00,Aneka Tambang cdi,1.20,,1.20,-,1.37,,0.51,0.10,1.14,171.4
10.50,7.65,Anglogold Ashanti,9.50,-25,9.50,10.04,3.87,,-,8.69,0.41,-
7.95,3.74,Aquarius Platinum,5.54,12,5.53,5.64,2.26,,9.20,-,0.41,26.6
11.38,4.727,Aquila Res,7.52,-23,7.48,7.80,-,,-,-,-,-
5.31,3.08,Arrow Energy,4.85,-1,4.84,4.85,-,,-,2.13,-,31.5
3.05,1.52,Atlas Iron Ltd,2.09,-4,2.09,2.10,-,,-,-,-,-
2.79,1.48,Avoca Res,2.56,-12,2.55,2.56,-,,-,0.79,-,20.5
3.17,1.575,AWE Ltd,1.59,-6,1.58,1.605,-,,-,1.74,-,111.2
1.04,0.655,Beach Energy Ltd,0.685,1.5,0.685,0.69,1.75,p,9.17,1.27,2.55,4.3
44.93,31.96,BHP Billiton Ltd,37.43,28,37.40,37.45,95.15,f,1.95,8.76,2.54,20.2
5.97,2.12,Centennial Coal,5.92,3,5.92,5.95,8,p,1.98,1.87,1.35,37.5
2.61,1.39,CGA Min Ltd,2.24,,2.06,2.35,-,,-,-,-,120.4
0.465,0.185,Citadel Resource Grp,0.27,,0.265,0.27,-,,-,-,-,-
108.50,74.06,Coal & Allied Ind  ,90.80,-45,89.00,90.80,510,f,1.33,16.99,5.62,13.4
2.60,1.40,Coal of Africa,1.71,3,1.70,1.71,-,,-,-,-,-
1.165,0.615,Eastern Star Gas,0.785,-1.5,0.785,0.79,-,,-,-,-,-
27.37,12.51,Energy Res,13.62,3,13.50,13.68,39,f,3.66,5.10,2.86,9.5
0.66,0.25,Energy World Corp,0.40,-2,0.39,0.41,-,,-,0.30,-,13.2
4.78,2.18,Equinox Min Ltd cdi,4.42,11,4.40,4.44,-,,-,-,-,-
150.00,110.60,ETFS Metals etfs gold,136.50,-350,136.50,138.00,-,,-,-,-,216.1
11.45,5.713,Extract Res,6.50,7,6.50,6.65,-,,-,-,-,-
5.57,3.28,Fortescue Metals Grp,4.18,1,4.14,4.19,-,,-,-,-,-
1.45,0.695,Gindalbie Metals,0.955,-1.5,0.95,0.96,-,,-,-,-,-
12.48,4.85,Gloucester Coal,12.42,-3,6.30,12.45,-,,-,2.21,-,18.2
5.14,2.71,Iluka Res,4.87,12,4.65,4.90,-,,-,2.58,-,-
12.10,4.51,Karoon Gas Aust,5.89,-9,5.86,6.00,-,,-,-,-,-
10.90,6.26,Kingsgate Cons,9.50,-20,9.45,9.55,30,,2.73,2.69,3.16,11.6
4.48,2.41,Lihir Gold Ltd,4.13,-8,4.12,4.14,2.96,,-,1.22,0.72,-
0.72,0.308,Lynas Corp,0.545,-1.5,0.54,0.545,-,,-,-,-,-
17.17,6.40,Macarthur Coal,12.63,-21,12.62,12.65,21,f,2.16,4.15,1.66,27.9
4.89,2.091,Medusa Min Ltd,3.76,-19,3.73,3.77,-,,-,0.91,-,10.6
1.39,0.58,Minara Res,0.71,5,0.71,0.715,-,,-,0.74,-,17.1
3.43,1.87,Mirabela Nickel,1.96,-4,1.95,1.97,-,,-,-,-,-
2.09,0.825,Mount Gibson Iron,1.535,-4.5,1.53,1.54,-,,-,0.78,-,23.4
3.12,1.18,Murchison Metals,1.89,-4.5,1.89,1.90,-,,-,-,-,-
5.50,3.804,New Hope Corp,4.46,-16,4.45,4.48,9.5,f,3.05,2.67,2.13,15.4
39.75,28.47,Newcrest Min,33.48,-68,33.45,33.49,20,,2.77,9.20,0.60,60.4
3.90,0.845,OceanaGold Corp cdi,3.06,-13,3.06,3.07,-,,-,2.35,-,8.6
6.93,4.97,Oil Search Ltd,5.56,-10,5.54,5.60,4.47,,2.88,-,0.80,43.2
2.13,1.245,OM Hldgs Ltd,1.50,-2,1.495,1.59,2,,2.79,0.54,1.33,26.8
1.325,0.85,OZ Minerals,1.035,1.5,1.035,1.045,-,,-,0.82,-,-
5.18,3.37,Paladin Energy,3.46,-3,3.45,3.50,-,,-,1.58,-,29.6
0.65,0.305,PanAust Ltd,0.48,-1,0.48,0.485,-,,-,0.20,-,50.0
2.48,0.685,Perseus Min Ltd,2.16,-9,2.15,2.17,-,,-,-,-,-
81.25,46.40,Rio Tinto Ltd,65.84,74,65.80,65.99,51.56,f,5.97,13.56,0.78,21.4
11.35,5.17,Riversdale Min,10.34,-17,10.30,10.34,-,,-,2.04,-,-
16.10,11.24,Santos Ltd,12.45,-11,12.42,12.55,42,f,1.24,-,3.37,23.9
0.395,0.169,St Barbara Ltd,0.33,-0.5,0.325,0.335,-,,-,0.21,-,-
6.60,3.52,Western Areas NL,3.75,-7,3.75,3.81,3,,-,0.63,0.80,-
3.84,1.85,White Energy Co,3.09,,3.00,3.23,-,,-,-,-,-
6.05,2.88,Whitehaven Coal,4.92,-8,4.81,4.93,8.8,f,3.22,2.09,1.79,17.4
53.869,38.795,Woodside Pet,41.30,-35,41.01,41.44,110,f,2.35,-,2.66,15.9
12.65,7.50,Zimplats Hldgs,10.61,1,10.01,11.00,-,,-,-,-,30.2
