Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:06 Friday 3/9/2010. Processed 17:38 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.40,,,,,,,,,,,,
Dec,10,1.40,0.02,0.02,20,70,40.60,-0.09,3.59,,,
Feb,11,1.80,0.16,0.17,2,-,37.10,-0.41,18.39,,,
AXA Asia Pacific Last Sale Price $5.75,,,,,,,,,,,,
Sep,10,5.50,0.14,0.17,15,502,46.20,-0.31,40.81,,,
Sep,10,5.75,0.25,0.26,4,101,47.30,-0.47,74.06,,,
Sep,10,6.00,0.36,0.48,20,130,40.60,-0.65,33.25,,,
Sep,10,6.25,0.54,0.37,20,165,36.60,-0.83,10.58,,,
BHP Billiton Ltd Last Sale Price $38.33,,,,,,,,,,,,
Sep,10,30.00,0.00,0.02,14,267,34.40,-,-,,,
Sep,10,33.00,0.05,0.10,20,381,34.40,-0.03,2.27,,,
Sep,10,34.00,0.08,0.07,68,1234,31.40,-0.04,3.63,,,
Sep,10,35.00,0.14,0.13,33,2404,28.90,-0.08,6.58,,,
Sep,10,35.50,0.19,0.17,29,827,27.20,-0.10,8.39,,,
Sep,10,36.00,0.26,0.23,467,3414,26.30,-0.14,11.56,,,
Sep,10,36.50,0.34,0.30,542,1161,24.80,-0.18,15.19,,,
Sep,10,37.00,0.46,0.44,122,3878,23.80,-0.24,20.86,,,
Sep,10,37.01,0.41,-,16,5,22.00,-0.22,18.36,,,
Sep,10,37.50,0.63,0.58,104,2736,23.10,-0.31,28.57,,,
Sep,10,38.00,0.83,0.77,66,2950,22.00,-0.40,37.86,,,
Sep,10,38.50,1.09,1.05,59,1068,20.80,-0.51,41.72,,,
Sep,10,39.00,1.42,1.33,18,3908,20.30,-0.62,34.01,,,
Sep,10,39.50,1.80,1.70,8,1242,19.90,-0.73,28.79,,,
Sep,10,40.00,2.23,2.14,55,1536,19.30,-0.83,25.39,,,
Sep,10,40.01,2.21,2.12,1,152,19.70,-0.82,23.81,,,
Sep,10,40.50,2.70,2.50,13,312,19.40,-0.91,24.03,,,
Sep,10,41.00,3.21,2.92,25,1346,23.70,-0.90,24.71,,,
Sep,10,41.50,3.69,3.54,18,233,23.30,-0.96,23.58,,,
Sep,10,42.00,4.18,4.08,14,635,22.90,-1.00,23.13,,,
Sep,10,42.50,4.68,5.35,2,121,26.40,-0.99,23.35,,,
Sep,10,43.00,5.17,4.66,25,394,2.00,-1.00,22.90,,,
Sep,10,43.01,5.10,3.90,16,67,22.20,-1.00,19.05,,,
Sep,10,43.50,5.67,3.98,1,109,7.70,-1.00,22.90,,,
Sep,10,44.00,6.17,6.20,3,1161,13.40,-1.00,22.90,,,
Sep,10,45.00,7.17,7.85,2,319,24.80,-1.00,22.90,,,
