Derivatives: Put Options - daily trades,,,,,,,,,,,,,,,,,,,,
Monday, May 25, 2015.,,,,,,,,,,,,,,,,,,,,
"XAO 5719.9 at 2015-05-25T16:38:06. Report at Monday, May 25, 2015. Processed Tuesday at 2015-05-26T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS,
AGL Energy Last Sale Price $15.48,
May,15,12.00,-,.00,50,80,54.40,-,.59,,
May,15,15.50,.13,.13,270,100,21.70,-.51,64.84,,
Jun,15,14.88,.11,.12,50,5648,18.70,-.20,8.11,,
Jun,15,15.36,.27,.28,100,57,18.40,-.40,19.53,,
Aug,15,14.25,.24,.24,40,69,20.50,-.17,5.96,,
Sep,15,15.36,.73,.72,850,450,19.10,-.40,13.99,,
,
Amcor Last Sale Price $14.24,
May,15,14.01,.05,.11,125,1650,26.20,-.24,32.04,,
May,15,14.25,.14,.12,20,681,25.30,-.50,80.10,,
May,15,14.51,.30,-,125,1000,24.40,-.80,22.43,,
,
AMP Last Sale Price $6.53,
May,15,6.51,.06,.17,400,850,28.00,-.44,76.86,,
May,15,6.76,.23,.47,200,500,27.90,-.92,6.99,,
Jun,15,6.26,.08,.09,35,235,25.10,-.25,13.97,,
Jun,15,6.50,.16,.14,350,16838,23.80,-.44,27.95,,
Jun,15,6.51,.17,-,600,250,23.70,-.45,28.82,,
Aug,15,6.00,.13,.14,30,2119,26.50,-.21,7.35,,
,
ANZ Banking Grp Last Sale Price $32.32,
May,15,31.50,.06,.04,30,1086,26.60,-.14,15.53,,
May,15,32.00,.18,.34,110,4781,27.00,-.33,50.82,,
May,15,32.50,.42,.31,10,4179,28.00,-.58,69.17,,
May,15,33.00,.79,.71,210,6034,29.70,-.77,29.64,,
May,15,33.50,1.23,1.16,11,5347,32.20,-.89,12.70,,
May,15,33.51,1.24,1.31,100,1927,32.20,-.89,12.70,,
May,15,34.00,1.70,2.12,20,2368,35.30,-.95,5.65,,
May,15,34.01,1.71,.95,315,1426,35.40,-.95,5.65,,
May,15,34.51,2.20,2.45,210,2626,39.30,-.97,2.82,,
May,15,35.00,2.69,3.01,8,1295,43.70,-.98,2.82,,
May,15,35.01,2.69,2.60,5,155,43.80,-.98,1.41,,
Jun,15,27.51,.03,-,135,-,29.80,-.03,1.06,,
Jun,15,28.50,.07,.09,25,155,28.20,-.05,2.29,,
Jun,15,29.01,.09,.09,100,685,27.10,-.07,3.18,,
Jun,15,30.01,.17,.32,150,354,24.50,-.13,5.82,,
Jun,15,31.50,.41,.40,200,8254,20.60,-.30,14.29,,
Jun,15,32.00,.56,.55,18,4762,19.60,-.39,19.76,,
Jun,15,33.00,1.04,1.23,1000,2940,18.10,-.63,12.88,,
Jun,15,33.51,1.39,1.58,235,583,17.70,-.75,7.06,,
Jun,15,34.00,1.79,2.00,1000,3254,17.70,-.85,3.88,,
Jun,15,34.01,1.78,2.05,330,1561,17.70,-.85,3.35,,
Jun,15,35.00,2.71,2.55,11,1555,18.60,-1.00,1.06,,
Jul,15,29.50,.27,.25,20,270,22.90,-.14,4.47,,
Jul,15,30.01,.33,.38,142,20,21.90,-.17,5.48,,
Jul,15,32.00,.81,.76,15,1218,18.40,-.40,13.57,,
Jul,15,33.00,1.26,1.65,150,1390,17.10,-.57,9.86,,
Jul,15,33.50,1.56,1.72,20,147,16.60,-.67,6.49,,
Jul,15,34.01,1.90,.72,142,1040,16.30,-.77,3.54,,
Jul,15,35.01,2.71,2.70,3,-,16.20,-.96,.42,,
Aug,15,32.00,.98,.94,15,70,18.50,-.39,11.65,,
Aug,15,35.01,2.75,2.70,3,-,15.80,-.91,.77,,
Sep,15,28.00,.32,.31,45,998,24.50,-.11,2.89,,
Sep,15,35.01,2.83,2.70,3,1139,16.10,-.86,1.29,,
Oct,15,31.50,1.13,1.06,20,568,19.40,-.34,8.04,,
Dec,15,27.00,.53,.51,200,1510,24.10,-.11,2.89,,
Dec,15,32.01,1.91,1.57,750,195,18.90,-.39,10.42,,
,
ASX Last Sale Price $41.97,
May,15,43.00,1.10,1.11,15,799,24.80,-.86,14.13,,
Jul,15,40.00,.59,.64,400,-,20.20,-.24,7.66,,
,
Alumina Last Sale Price $1.73,
Sep,15,1.55,.08,.07,1000,-,40.00,-.26,13.76,,
Dec,15,1.85,.26,.26,35,4610,35.90,-.53,13.29,,
Dec,15,3.01,1.27,-,35,1375,43.10,-1.00,-,,
,
Bendigo&Adelaide Bk Last Sale Price $12.22,
May,15,12.50,.29,.32,120,435,20.10,-.89,7.47,,
Aug,15,12.50,.77,.77,49,50,17.70,-.55,15.41,,
Aug,15,12.75,.95,.95,49,50,17.50,-.65,13.21,,
Aug,15,13.50,1.60,1.60,49,-,17.80,-.95,9.90,,
Sep,15,13.50,1.62,1.62,50,-,17.50,-.91,8.14,,
,
BHP Billiton Last Sale Price $29.48,
May,15,20.57,-,.00,90,198,124.40,-,.31,,
May,15,23.38,.00,.00,245,1215,91.00,-,.31,,
May,15,24.31,.00,.00,20,2504,77.80,-,.62,,
May,15,24.78,.00,.00,74,1167,71.60,-,.62,,
May,15,25.25,.00,.04,100,2282,65.90,-,.62,,
May,15,26.65,.01,.01,1405,5020,51.90,-.01,2.17,,
May,15,28.99,.19,.17,1650,3230,36.80,-.30,58.81,,
May,15,29.00,.20,.16,30,2144,36.80,-.30,60.36,,
May,15,29.46,.36,.40,1310,6476,34.90,-.48,111.43,,
May,15,29.47,.36,.57,150,1150,34.80,-.48,112.98,,
May,15,29.92,.62,.64,130,4513,33.30,-.68,55.72,,
May,15,29.93,.63,.65,350,3272,33.30,-.68,54.17,,
May,15,30.39,.97,1.40,10,1692,32.10,-.85,20.12,,
May,15,30.40,.98,1.31,850,1841,32.00,-.85,18.57,,
May,15,30.86,1.40,1.55,110,2811,31.30,-.95,4.64,,
May,15,30.87,1.41,1.70,390,2675,31.30,-.95,4.64,,
May,15,31.33,1.85,2.00,10,1168,31.10,-1.00,-,,
May,15,31.81,2.33,3.05,100,1373,31.70,-1.00,-,,
May,15,32.27,2.79,2.77,120,1383,33.50,-1.00,-,,
May,15,32.74,3.25,2.60,119,509,37.30,-1.00,-,,
May,15,33.68,4.20,-,7,149,51.80,-1.00,-,,
May,15,35.55,6.07,6.15,10,190,69.00,-1.00,-,,
Jun,15,22.45,.01,.03,50,265,39.50,-,.35,,
Jun,15,25.25,.09,.12,100,5934,36.00,-.06,3.29,,
Jun,15,26.18,.15,.18,50,4669,34.10,-.10,5.80,,
Jun,15,26.19,.15,.20,30,3550,34.00,-.10,5.80,,
Jun,15,27.12,.26,.24,40,6686,32.00,-.16,10.06,,
Jun,15,28.05,.44,.41,69,7620,30.10,-.25,16.83,,
Jun,15,28.52,.56,.56,15,3265,29.30,-.32,21.86,,
Jun,15,28.99,.72,.72,975,3628,28.50,-.38,28.05,,
Jun,15,29.46,.92,.90,20,5761,27.90,-.46,35.60,,
Jun,15,29.92,1.16,1.31,20,7952,27.30,-.54,27.66,,
Jun,15,29.93,1.16,1.28,625,2108,27.30,-.54,27.28,,
Jun,15,30.39,1.43,1.37,1010,2299,26.90,-.62,20.12,,
Jun,15,30.40,1.43,1.00,100,390,26.90,-.62,19.73,,
Jun,15,30.86,1.75,2.45,10,4813,26.50,-.70,14.12,,
Jun,15,30.87,1.75,3.15,220,414,26.50,-.70,13.74,,
Jun,15,31.33,2.10,2.15,10,311,26.30,-.77,9.48,,
Jun,15,32.74,3.30,4.22,80,971,26.10,-.95,1.55,,
Jun,15,33.68,4.19,3.46,7,757,26.70,-1.00,-,,
Jul,15,24.78,.20,.20,98,12845,33.90,-.09,3.79,,
Jul,15,26.65,.45,.45,40,633,31.10,-.18,8.32,,
Jul,15,27.12,.55,.56,160,680,30.40,-.22,10.07,,
Jul,15,28.05,.78,.75,100,531,29.10,-.30,14.41,,
Jul,15,29.93,1.53,1.48,160,327,27.10,-.50,20.05,,
Jul,15,30.86,2.08,2.10,100,2223,26.20,-.62,12.84,,
Jul,15,30.87,2.06,-,100,67,26.10,-.62,12.47,,
Jul,15,31.81,2.71,3.42,54,161,25.40,-.74,6.93,,
Jul,15,32.27,3.05,-,20,178,25.10,-.80,4.80,,
Aug,15,26.65,.66,.65,40,650,31.10,-.21,8.60,,
Aug,15,27.59,.90,.88,5,183,30.00,-.28,11.73,,
Aug,15,30.87,2.32,-,10,-,26.90,-.59,12.12,,
Aug,15,33.20,4.00,3.98,20,10,25.30,-.83,3.71,,
Sep,15,35.07,6.33,7.91,150,530,24.40,-.98,7.45,,
