Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:13 Tuesday 6/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.02,,,,,,,,,,,,
Apr,10,44.00,0.60,0.57,683,775,20.70,-0.36,20.45,,,
Apr,10,44.01,0.60,0.53,4,18,20.70,-0.36,20.45,,,
Apr,10,44.50,0.81,0.79,64,247,20.50,-0.44,27.60,,,
Apr,10,45.00,1.03,0.94,48,74,19.70,-0.54,22.49,,,
Apr,10,45.50,1.29,1.19,4,4,18.80,-0.63,14.31,,,
Apr,10,46.00,1.61,1.50,32,80,17.80,-0.74,8.18,,,
May,10,33.00,-,0.05,5,14,25.30,-,0.79,,,
May,10,37.00,0.03,0.10,5,1088,25.30,-0.02,0.47,,,
May,10,38.00,0.06,0.13,1,264,25.30,-0.03,0.94,,,
May,10,39.00,0.12,0.17,7,251,25.30,-0.06,1.81,,,
May,10,40.00,0.27,0.27,144,676,27.00,-0.11,4.25,,,
May,10,41.00,0.39,0.51,6,536,25.90,-0.16,6.13,,,
May,10,41.50,0.46,0.42,40,330,25.10,-0.18,7.16,,,
May,10,42.00,0.53,0.53,51,702,24.20,-0.21,8.34,,,
May,10,42.50,0.64,0.59,65,2476,23.70,-0.25,10.07,,,
May,10,43.00,0.75,0.70,511,340,22.90,-0.29,11.72,,,
May,10,43.50,0.89,0.88,30,475,22.30,-0.33,13.92,,,
May,10,44.00,1.04,1.02,70,494,21.70,-0.38,16.36,,,
May,10,44.50,1.26,1.21,44,43,21.50,-0.44,19.82,,,
May,10,45.00,1.48,1.47,74,26,20.90,-0.50,17.38,,,
May,10,45.50,1.74,-,20,2,20.70,-0.56,13.68,,,
Jun,10,35.00,0.13,0.17,2,803,33.20,-0.04,1.33,,,
Jun,10,35.50,0.14,0.33,5,106,32.40,-0.05,1.48,,,
Jun,10,36.00,0.17,0.14,12,459,31.80,-0.05,1.69,,,
Jun,10,36.50,0.17,0.17,7,135,30.40,-0.06,1.74,,,
Jun,10,37.00,0.20,0.21,4,1833,30.00,-0.07,2.10,,,
Jun,10,38.00,0.28,0.27,10,4042,29.20,-0.09,2.86,,,
Jun,10,38.50,0.32,0.31,48,44,28.30,-0.10,3.22,,,
Jun,10,39.00,0.37,0.35,9,2140,28.10,-0.12,3.78,,,
Jun,10,40.00,0.50,0.64,347,2187,27.00,-0.15,5.06,,,
Jun,10,41.50,0.73,0.68,12,615,25.30,-0.22,7.46,,,
Jun,10,42.00,0.83,0.79,62,1234,24.70,-0.25,8.54,,,
Jun,10,42.50,0.96,0.90,7,1267,24.30,-0.28,9.81,,,
Jun,10,43.00,1.11,1.05,5,1512,23.90,-0.31,11.30,,,
Jun,10,43.50,1.27,1.21,4,170,23.60,-0.35,12.98,,,
Jun,10,44.50,1.64,1.61,20,10,22.60,-0.43,16.71,,,
Jun,10,45.00,1.87,1.78,78,52,22.30,-0.48,15.28,,,
Jun,10,48.00,3.73,3.58,1,1,20.90,-0.77,3.68,,,
Jun,10,49.00,4.54,4.51,11,24,20.50,-0.87,1.69,,,
Jul,10,38.50,0.46,0.52,1,33,27.10,-0.12,3.27,,,
Jul,10,40.00,0.75,0.70,21,72,27.00,-0.18,5.33,,,
Jul,10,40.50,0.84,0.95,10,50,26.60,-0.20,5.97,,,
Jul,10,41.50,1.06,1.00,2,20,25.80,-0.25,7.54,,,
Jul,10,42.00,1.18,1.12,2,32,25.40,-0.27,8.39,,,
Jul,10,43.00,1.43,1.77,5,30,24.10,-0.33,10.13,,,
Jul,10,46.00,2.77,2.64,27,-,22.90,-0.54,9.92,,,
Jul,10,48.00,3.98,3.87,15,-,21.70,-0.70,4.34,,,
Aug,10,40.00,0.97,0.91,10,23,27.50,-0.20,5.58,,,
Aug,10,41.00,1.20,1.90,2,2,26.80,-0.24,6.83,,,
Aug,10,42.00,1.43,1.40,11,50,25.90,-0.29,8.18,,,
Aug,10,44.00,2.12,-,2,-,24.70,-0.39,12.12,,,
Aug,10,45.00,2.54,2.49,4,-,24.20,-0.45,12.44,,,
Sep,10,39.00,1.03,1.00,3,358,28.10,-0.18,4.93,,,
Sep,10,40.00,1.24,1.58,4,155,27.40,-0.21,5.91,,,
Sep,10,42.00,1.78,1.74,5,454,26.20,-0.29,8.54,,,
Sep,10,46.00,3.40,3.32,2,75,23.90,-0.51,9.73,,,
Dec,10,37.00,1.11,1.10,4,328,29.30,-0.15,3.46,,,
Dec,10,38.00,1.32,1.29,13,775,29.00,-0.18,4.12,,,
Dec,10,40.00,1.78,1.95,1,448,27.80,-0.24,5.57,,,
Dec,10,45.00,3.52,4.21,1,531,24.90,-0.43,9.82,,,
Jun,11,36.00,1.76,1.76,2,46,30.60,-0.15,3.25,,,
Jun,11,38.00,2.21,6.54,16,7,29.50,-0.22,4.08,,,
Dec,11,22.00,0.39,0.39,20,1772,37.70,-0.03,0.51,,,
Dec,12,46.00,7.12,-,3,-,28.20,-0.41,4.75,,,
Boral Ltd Last Sale Price $5.70,,,,,,,,,,,,
May,10,5.75,0.22,0.23,3,70,24.50,-0.49,20.93,,,
BlueScope Steel Last Sale Price $3.00,,,,,,,,,,,,
Apr,10,2.75,0.02,0.02,25,1542,33.30,-0.13,10.14,,,
Apr,10,3.00,0.09,0.09,606,1243,30.30,-0.47,45.62,,,
May,10,2.75,0.04,0.04,73,172,31.00,-0.19,9.36,,,
Jun,10,2.75,0.06,0.06,15,424,29.90,-0.22,9.13,,,
