Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:06 Wednesday 16/6/2010. Processed 19:17 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.84,,,,,,,,,,,,
Jul,10,29.50,0.30,0.30,4,9,21.80,-0.22,8.16,,,
Jul,10,30.50,0.59,0.61,2,70,21.00,-0.37,15.92,,,
Jul,10,33.50,2.56,4.15,28,6,20.40,-0.89,1.74,,,
Aug,10,32.50,1.82,2.70,7,80,18.90,-0.69,5.23,,,
Aug,10,33.50,2.58,-,28,25,17.80,-0.88,1.23,,,
Sep,10,35.00,4.54,4.44,2,4,20.50,-0.95,6.36,,,
Dec,10,35.50,5.13,5.11,5,-,20.50,-0.89,3.85,,,
Alumina Ltd Last Sale Price $1.62,,,,,,,,,,,,
Jun,10,1.60,0.03,0.03,215,1768,44.00,-0.40,75.10,,,
Jun,10,1.70,0.10,0.09,35,753,42.80,-0.76,37.55,,,
Jun,10,1.90,0.28,0.29,5,387,42.80,-1.00,-,,,
Jul,10,1.40,0.02,0.05,6,190,44.90,-0.14,10.24,,,
Jul,10,1.50,0.04,0.04,25,470,40.70,-0.25,20.48,,,
Jul,10,1.60,0.07,0.09,6,527,38.90,-0.42,38.40,,,
Jul,10,1.80,0.20,-,50,20,39.40,-0.76,12.80,,,
Jul,10,1.90,0.29,0.25,260,142,39.40,-0.88,5.12,,,
Aug,10,1.70,0.16,0.14,3,495,39.80,-0.56,23.47,,,
Aug,10,1.90,0.30,0.28,100,80,39.80,-0.80,6.26,,,
Aug,10,2.00,0.39,-,210,-,39.80,-0.89,3.13,,,
Sep,10,1.60,0.12,0.12,47,286,40.10,-0.41,25.91,,,
Dec,10,1.65,0.19,0.23,47,403,40.80,-0.44,18.87,,,
AXA Asia Pacific Last Sale Price $5.74,,,,,,,,,,,,
Jun,10,5.50,0.06,0.05,38,412,44.90,-0.24,42.39,,,
BHP Billiton Ltd Last Sale Price $39.23,,,,,,,,,,,,
Jun,10,32.50,0.00,0.13,2,399,48.30,-,0.31,,,
Jun,10,34.00,0.02,0.02,50,1442,47.70,-0.02,2.07,,,
Jun,10,34.50,0.03,0.04,71,442,45.90,-0.03,2.58,,,
Jun,10,35.00,0.04,0.04,106,2099,43.60,-0.03,3.62,,,
Jun,10,35.50,0.06,0.06,101,903,42.60,-0.05,5.69,,,
Jun,10,36.00,0.07,0.06,65,1920,39.10,-0.06,6.72,,,
Jun,10,36.50,0.10,0.10,63,1164,37.70,-0.09,9.82,,,
Jun,10,37.00,0.14,0.16,51,3095,36.20,-0.13,14.47,,,
Jun,10,37.50,0.20,0.20,28,1824,34.80,-0.18,20.68,,,
Jun,10,38.00,0.29,0.30,338,5156,33.70,-0.25,30.50,,,
Jun,10,38.01,0.30,0.31,10,59,33.80,-0.25,31.01,,,
