Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010. Processed 18:04 Saturday 7/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $15.18,,,,,,,,,,,,
Oct,10,39.50,1.23,1.28,15,79,24.90,-0.31,12.99,,,
Oct,10,40.00,1.40,1.45,2,615,24.30,-0.35,14.79,,,
Oct,10,41.50,2.00,2.05,1,55,22.40,-0.48,17.27,,,
Oct,10,42.00,2.25,2.54,5,23,21.70,-0.53,14.63,,,
Oct,10,43.00,2.87,2.98,1,2,21.00,-0.64,10.56,,,
Oct,10,44.00,3.63,3.87,7,23,21.00,-0.74,8.03,,,
Oct,10,48.00,7.24,7.55,1,26,21.00,-1.00,3.86,,,
Nov,10,39.50,1.50,1.64,4,22,25.40,-0.32,11.92,,,
Nov,10,40.00,1.69,1.72,5,10,24.90,-0.36,13.35,,,
Dec,10,34.00,0.62,0.63,5,349,31.90,-0.12,3.93,,,
Dec,10,36.00,0.91,0.96,2,688,29.60,-0.18,5.74,,,
Dec,10,37.00,1.12,1.17,1,1044,28.70,-0.21,7.07,,,
Dec,10,38.00,1.31,1.43,58,1412,27.30,-0.25,8.30,,,
Dec,10,38.50,1.47,1.48,4,48,27.10,-0.28,9.32,,,
Dec,10,39.00,1.64,1.75,300,832,26.80,-0.31,10.36,,,
Dec,10,39.50,1.76,1.89,47,13,26.00,-0.33,11.19,,,
Dec,10,40.00,1.97,2.06,3,548,25.70,-0.36,12.46,,,
Jan,11,33.00,0.61,0.65,4,4,31.90,-0.11,3.12,,,
Jan,11,39.00,1.89,2.02,1,-,27.00,-0.31,9.56,,,
Mar,11,38.50,2.15,2.90,4,31,27.50,-0.30,8.28,,,
Mar,11,39.00,2.40,2.47,1,116,27.70,-0.32,9.24,,,
Jun,11,42.00,4.25,3.73,3,43,26.60,-0.44,9.33,,,
Dec,11,35.00,2.67,2.70,10,456,31.50,-0.22,4.69,,,
Dec,13,38.00,5.91,6.00,2,26,31.20,-0.27,4.25,,,
Dec,13,54.00,15.03,14.70,10,31,28.20,-0.70,1.55,,,
Boral Ltd Last Sale Price $4.38,,,,,,,,,,,,
Sep,10,4.18,0.12,0.13,470,19,30.70,-0.30,20.41,,,
Sep,10,4.43,0.25,0.29,20,78,32.20,-0.50,34.01,,,
Sep,10,4.92,0.63,0.72,1,1187,35.30,-0.80,15.31,,,
Dec,10,4.18,0.23,0.24,10,-,30.50,-0.33,13.39,,,
Jun,11,4.67,0.64,-,1,-,29.90,-0.50,9.06,,,
BlueScope Steel Last Sale Price $2.45,,,,,,,,,,,,
Aug,10,2.25,0.02,0.02,20,1875,39.40,-0.16,14.19,,,
Sep,10,2.25,0.05,0.05,80,536,38.30,-0.23,15.20,,,
Sep,10,2.44,0.12,0.12,130,357,37.20,-0.44,36.48,,,
Oct,10,2.25,0.07,0.07,8,57,33.80,-0.25,11.53,,,
Dec,10,1.88,0.04,0.04,13,21,39.80,-0.10,3.72,,,
Brambles Ltd Last Sale Price $5.41,,,,,,,,,,,,
Aug,10,5.00,0.04,0.11,20,310,36.50,-0.16,12.85,,,
Aug,10,5.25,0.10,0.09,22,536,35.10,-0.33,32.13,,,
Aug,10,5.50,0.22,0.20,40,796,35.10,-0.55,41.77,,,
Aug,10,6.00,0.64,0.56,28,202,45.30,-0.82,14.46,,,
Aug,10,6.50,1.10,1.05,10,88,51.10,-0.94,3.21,,,
Sep,10,5.25,0.23,0.22,10,392,33.60,-0.36,30.98,,,
Oct,10,5.50,0.41,0.37,34,-,31.70,-0.49,26.10,,,
C'wlth Bank  of Aust  Last Sale Price $52.59,,,,,,,,,,,,
Aug,10,47.00,0.14,0.20,30,132,28.30,-0.04,4.63,,,
Aug,10,48.00,0.26,0.26,46,801,28.10,-0.07,8.59,,,
Aug,10,49.00,0.40,0.45,20,658,26.20,-0.11,13.22,,,
Aug,10,50.00,0.63,0.63,54,1104,24.90,-0.17,20.82,,,
Aug,10,51.00,0.98,1.00,164,717,23.90,-0.27,32.55,,,
Aug,10,52.00,1.51,1.56,16,546,23.60,-0.39,49.91,,,
Aug,10,53.00,2.17,2.14,22,254,23.50,-0.53,58.33,,,
Aug,10,54.00,2.96,2.93,17,161,23.20,-0.67,51.06,,,
Sep,10,42.00,0.07,0.13,4,250,30.50,-0.02,0.92,,,
Sep,10,47.00,0.47,0.54,14,136,27.50,-0.11,6.73,,,
Sep,10,48.00,0.63,0.70,3,350,26.10,-0.14,8.85,,,
Sep,10,49.00,0.84,0.86,255,233,25.20,-0.19,11.97,,,
Sep,10,50.00,1.13,1.17,4,687,24.20,-0.24,16.01,,,
Sep,10,51.00,1.49,1.12,2,594,23.30,-0.32,21.10,,,
