Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:06 Friday 30/7/2010. Processed 20:36 Friday 30/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.77,,,,,,,,,,,,
Sep,10,38.50,0.94,0.95,8,668,25.40,-0.29,15.35,,,
Sep,10,39.00,1.10,1.09,9,2585,24.60,-0.34,17.79,,,
Sep,10,39.50,1.29,1.24,39,220,24.10,-0.39,20.96,,,
Sep,10,40.00,1.50,1.48,2,737,23.20,-0.44,24.29,,,
Sep,10,41.00,2.00,1.97,3,1178,21.90,-0.56,18.28,,,
Oct,10,35.50,0.59,0.63,5,69,28.80,-0.15,5.90,,,
Oct,10,36.00,0.70,0.69,10,93,28.70,-0.18,7.05,,,
Oct,10,36.50,0.81,0.81,5,62,28.30,-0.20,8.10,,,
Oct,10,37.00,0.92,0.92,8,61,27.70,-0.23,9.20,,,
Oct,10,37.50,1.03,1.00,14,67,27.10,-0.26,10.35,,,
Oct,10,38.00,1.17,1.14,2,98,26.40,-0.28,11.70,,,
Oct,10,38.50,1.32,1.33,2,118,25.80,-0.32,13.20,,,
Oct,10,39.00,1.50,1.48,1,383,25.30,-0.35,14.95,,,
Oct,10,40.00,1.90,1.92,10,106,24.30,-0.43,19.00,,,
Oct,10,41.00,2.38,2.36,20,37,23.20,-0.52,15.05,,,
Oct,10,41.50,2.66,6.62,20,13,22.70,-0.57,12.80,,,
Nov,10,34.00,0.61,0.60,2,30,31.50,-0.13,4.66,,,
Nov,10,36.00,0.97,1.08,7,51,29.60,-0.21,7.45,,,
Nov,10,37.00,1.19,1.16,4,89,28.30,-0.25,9.06,,,
Nov,10,37.50,1.35,1.28,1,20,28.10,-0.27,10.28,,,
Nov,10,38.50,1.65,1.66,7,36,27.10,-0.33,12.58,,,
Nov,10,40.50,2.46,2.40,10,-,25.10,-0.46,15.86,,,
Dec,10,24.00,0.07,0.07,1,703,41.10,-0.01,0.40,,,
Dec,10,31.00,0.43,0.42,1,442,34.90,-0.09,2.66,,,
Dec,10,36.50,1.31,1.30,3,238,29.40,-0.24,8.11,,,
Dec,10,37.50,1.59,1.60,1,136,28.50,-0.29,9.84,,,
Dec,10,38.00,1.74,1.75,2,1439,28.10,-0.31,10.77,,,
Dec,10,39.00,2.09,2.12,10,842,27.20,-0.36,12.93,,,
Dec,10,42.50,3.92,3.80,1,52,25.60,-0.59,9.53,,,
Dec,10,45.00,5.78,5.44,1,538,25.60,-0.75,5.54,,,
Dec,10,50.00,10.24,13.23,150,146,25.60,-1.00,2.23,,,
Jan,11,34.00,0.99,0.95,10,2,31.60,-0.17,4.95,,,
Mar,11,40.50,3.56,3.54,55,21,27.80,-0.43,12.14,,,
Mar,11,41.00,3.79,3.76,3,65,27.50,-0.46,11.12,,,
Jun,11,32.00,1.39,1.37,4,85,33.00,-0.15,3.83,,,
Jun,11,36.50,2.61,2.50,1,2,30.70,-0.27,7.22,,,
Jun,11,37.00,2.79,2.75,10,42,30.60,-0.29,7.72,,,
Jun,11,39.00,3.56,3.52,6,152,29.60,-0.36,9.84,,,
Jun,11,40.00,3.98,4.11,1,222,28.90,-0.40,11.01,,,
Dec,11,40.00,5.09,4.88,10,185,30.40,-0.38,9.05,,,
Dec,11,50.00,11.12,14.00,10,604,26.80,-0.78,2.21,,,
Boral Ltd Last Sale Price $4.24,,,,,,,,,,,,
Aug,10,4.18,0.14,0.14,21,591,31.30,-0.40,41.51,,,
Sep,10,4.18,0.20,0.20,5,14,32.30,-0.41,29.98,,,
Sep,10,4.92,0.72,0.72,2,1189,2.00,-1.00,6.92,,,
Sep,10,5.16,0.96,0.95,2,18,2.00,-1.00,6.92,,,
BlueScope Steel Last Sale Price $2.37,,,,,,,,,,,,
Aug,10,2.50,0.16,0.14,10,1240,28.40,-0.74,13.75,,,
Sep,10,2.06,0.03,0.03,10,55,38.50,-0.14,8.25,,,
Sep,10,2.25,0.08,0.07,40,523,37.90,-0.32,22.00,,,
Sep,10,2.44,0.16,0.14,110,248,34.20,-0.54,23.38,,,
Mar,11,2.44,0.29,0.50,100,78,36.30,-0.45,14.56,,,
Brambles Ltd Last Sale Price $5.40,,,,,,,,,,,,
Aug,10,5.00,0.07,0.11,30,293,37.40,-0.20,15.69,,,
Aug,10,5.25,0.13,0.12,30,538,33.60,-0.35,30.18,,,
Aug,10,5.50,0.25,0.25,6,508,33.80,-0.55,35.00,,,
Aug,10,5.75,0.41,0.41,6,764,32.80,-0.74,14.48,,,
Sep,10,5.50,0.39,0.38,50,436,34.00,-0.51,34.40,,,
Sep,10,6.75,1.44,1.12,2,10,34.20,-1.00,10.86,,,
Mar,11,6.25,1.14,-,2,1,33.80,-0.65,8.24,,,
C'wlth Bank  of Aust  Last Sale Price $52.56,,,,,,,,,,,,
Aug,10,38.00,0.01,0.01,105,418,44.40,-,0.25,,,
Aug,10,40.00,0.02,0.02,100,363,40.40,-,0.50,,,
Aug,10,42.00,0.04,0.04,152,113,36.40,-,0.87,,,
Aug,10,44.00,0.10,0.09,2,96,34.90,-0.02,2.36,,,
Aug,10,46.00,0.17,0.17,10,289,30.30,-0.04,4.22,,,
Aug,10,47.00,0.25,0.25,22,124,28.80,-0.06,6.20,,,
Aug,10,48.00,0.36,0.34,134,706,27.30,-0.09,9.05,,,
Aug,10,49.00,0.52,0.52,170,621,25.50,-0.14,12.90,,,
Aug,10,49.01,0.53,1.32,15,32,25.60,-0.14,13.02,,,
Aug,10,50.00,0.80,0.78,197,950,24.80,-0.20,19.72,,,
Aug,10,51.00,1.17,1.12,43,670,23.90,-0.29,28.89,,,
Aug,10,52.00,1.65,1.53,8,223,22.90,-0.40,40.80,,,
Aug,10,53.00,2.31,2.29,17,128,23.00,-0.52,46.25,,,
Aug,10,54.00,3.11,3.15,7,170,24.10,-0.63,41.29,,,
Sep,10,42.00,0.16,0.14,2,253,33.90,-0.03,1.92,,,
Sep,10,44.00,0.26,0.25,3,90,31.30,-0.06,3.22,,,
Sep,10,46.00,0.44,0.40,12,323,28.70,-0.09,5.39,,,
Sep,10,48.00,0.74,0.70,3,361,26.50,-0.16,9.18,,,
Sep,10,50.00,1.25,1.33,2,690,24.40,-0.26,15.50,,,
Sep,10,50.01,1.22,1.20,1,14,24.10,-0.26,15.13,,,
Sep,10,51.00,1.61,1.63,2,449,23.30,-0.32,19.90,,,
Sep,10,53.00,2.65,2.64,6,97,22.20,-0.49,27.41,,,
Sep,10,54.00,3.34,7.40,1,42,22.10,-0.59,23.56,,,
Sep,10,55.00,4.12,5.80,1,37,22.10,-0.67,20.77,,,
Oct,10,45.00,0.59,0.58,20,21,28.80,-0.11,4.54,,,
Oct,10,48.00,1.14,1.12,5,47,26.30,-0.20,8.70,,,
Oct,10,50.00,1.75,1.70,19,167,25.10,-0.29,13.32,,,
Oct,10,52.00,2.56,2.55,5,32,23.50,-0.41,19.50,,,
Oct,10,53.00,3.07,3.06,8,14,22.80,-0.47,20.07,,,
Nov,10,49.00,1.74,1.66,2,109,26.10,-0.26,10.15,,,
Dec,10,22.00,0.00,0.03,10,147,40.70,-,-,,,
Dec,10,34.00,0.20,0.19,2,367,40.20,-0.03,0.92,,,
Dec,10,35.00,0.25,0.47,50,37,39.70,-0.03,1.18,,,
Dec,10,40.00,0.51,0.55,55,524,34.00,-0.07,2.39,,,
Dec,10,50.00,2.40,2.40,1,194,26.10,-0.31,11.31,,,
Jun,11,45.00,2.66,-,5,-,29.60,-0.20,5.61,,,
Jun,11,59.00,9.78,6.12,1,9,26.40,-0.63,7.04,,,
Coca-Cola Amatil Last Sale Price $11.47,,,,,,,,,,,,
Aug,10,11.00,0.16,0.17,100,720,24.20,-0.23,18.18,,,
Sep,10,10.00,0.03,0.05,40,36,22.60,-0.04,1.70,,,
Sep,10,11.00,0.24,0.25,100,50,22.80,-0.27,13.64,,,
Sep,10,11.50,0.45,0.37,3,31,21.10,-0.47,23.87,,,
Oct,10,10.50,0.17,0.17,125,-,22.90,-0.17,5.77,,,
Oct,10,11.00,0.27,0.28,1,1,20.10,-0.28,9.44,,,
Computershare Ltd Last Sale Price $10.11,,,,,,,,,,,,
Aug,10,9.25,0.06,-,30,-,28.10,-0.11,7.09,,,
Aug,10,9.50,0.11,0.10,34,14,27.90,-0.18,13.54,,,
Aug,10,10.00,0.26,0.27,5,402,25.40,-0.40,33.52,,,
Sep,10,11.00,1.08,1.02,1,138,28.10,-0.76,11.93,,,
Dec,10,10.50,0.88,0.68,1,112,26.80,-0.53,11.91,,,
Mar,11,9.75,0.69,0.70,4,1,28.40,-0.35,10.54,,,
Mar,11,10.00,0.80,0.80,41,9,27.60,-0.39,12.06,,,
CSL Ltd Last Sale Price $33.14,,,,,,,,,,,,
Aug,10,30.50,0.09,0.32,10,42,23.50,-0.08,3.34,,,
Aug,10,31.50,0.17,0.20,43,318,21.20,-0.16,6.88,,,
Aug,10,32.00,0.26,0.26,62,678,20.30,-0.23,10.23,,,
Aug,10,32.50,0.41,0.37,30,178,20.10,-0.33,15.93,,,
Aug,10,33.00,0.58,0.50,13,200,19.30,-0.43,23.01,,,
Aug,10,33.50,0.81,0.78,6,122,18.30,-0.55,17.50,,,
Sep,10,30.00,0.16,0.40,14,360,20.90,-0.09,3.05,,,
Sep,10,31.50,0.47,0.68,30,20,20.70,-0.22,9.15,,,
Sep,10,32.00,0.60,0.60,41,88,20.20,-0.28,11.90,,,
Sep,10,32.50,0.79,1.52,20,45,19.80,-0.35,15.54,,,
Sep,10,34.50,1.94,1.98,1,12,18.80,-0.69,11.31,,,
Oct,10,32.00,0.87,0.86,2,12,20.80,-0.31,10.53,,,
Oct,10,33.00,1.29,1.28,102,14,20.20,-0.42,15.61,,,
Jun,11,30.00,1.34,1.44,5,-,24.10,-0.24,4.49,,,
CSR Ltd Last Sale Price $1.72,,,,,,,,,,,,
Aug,10,1.96,0.24,-,10,-,20.40,-1.00,-,,,
Sep,10,1.96,0.25,0.26,10,36,28.20,-0.91,1.89,,,
Foster's Grp Last Sale Price $5.76,,,,,,,,,,,,
Aug,10,5.50,0.04,0.04,10,820,23.20,-0.20,10.18,,,
Aug,10,5.75,0.14,0.10,18,325,23.50,-0.46,30.55,,,
Sep,10,5.75,0.20,0.20,15,730,16.70,-0.44,23.20,,,
Fortescue Metals Grp Last Sale Price $4.29,,,,,,,,,,,,
Aug,10,4.00,0.06,0.07,10,227,36.40,-0.21,16.71,,,
Aug,10,4.25,0.14,0.14,5,236,36.50,-0.43,44.06,,,
Dec,10,4.25,0.39,0.40,25,55,40.90,-0.41,22.28,,,
GPT Grp Last Sale Price $2.86,,,,,,,,,,,,
Dec,10,2.80,0.17,0.16,100,1040,29.50,-0.38,14.76,,,
Harvey Norman Last Sale Price $3.50,,,,,,,,,,,,
Sep,10,3.50,0.13,0.11,10,40,25.10,-0.45,23.28,,,
Oct,10,3.50,0.16,0.13,25,-,24.90,-0.44,17.76,,,
Dec,10,3.50,0.26,0.25,10,24,29.20,-0.43,18.09,,,
Insurance Aust Grp Last Sale Price $3.41,,,,,,,,,,,,
Aug,10,3.50,0.14,0.15,15,87,24.80,-0.62,19.11,,,
Oct,10,3.00,0.05,0.05,20,-,28.40,-0.14,5.88,,,
Incitec Pivot Last Sale Price $3.25,,,,,,,,,,,,
Aug,10,3.00,0.03,0.03,35,429,32.90,-0.16,10.03,,,
Aug,10,3.25,0.09,0.10,3,131,26.20,-0.47,36.10,,,
Sep,10,3.00,0.06,0.06,7,1279,32.40,-0.22,11.03,,,
James Hardie Ind Last Sale Price $6.51,,,,,,,,,,,,
Sep,10,6.25,0.20,0.20,10,11,32.50,-0.33,19.52,,,
Leighton Hldgs Last Sale Price $29.49,,,,,,,,,,,,
Aug,10,26.50,0.16,0.17,3,-,34.40,-0.11,6.85,,,
Aug,10,27.00,0.22,0.42,90,4,33.50,-0.15,9.50,,,
Aug,10,28.00,0.36,0.47,90,20,30.70,-0.24,16.13,,,
Aug,10,28.50,0.50,0.51,3,42,29.80,-0.31,21.88,,,
Aug,10,29.00,0.65,0.66,15,58,28.60,-0.38,28.51,,,
Aug,10,30.00,1.15,0.96,12,26,28.40,-0.56,28.07,,,
Aug,10,33.00,3.54,-,5,14,28.00,-0.96,1.11,,,
Sep,10,30.00,1.85,1.85,4,37,29.90,-0.51,29.62,,,
Sep,10,32.50,3.69,-,5,5,29.80,-0.79,15.14,,,
Oct,10,28.00,1.19,1.24,7,17,30.60,-0.31,16.19,,,
Lihir Gold Ltd Last Sale Price $4.07,,,,,,,,,,,,
