Derivatives: Put Options - daily trades ,,,,,,,,,,,,
XAO 4409.7 at 17:32 28/6/2010  Report at 19:06 Monday 28/6/2010. Processed 19:41 Monday 28/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
PUT OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.53,,,,,,,,,,,,
Jul,10,35.50,0.35,0.33,46,242,32.30,-0.17,10.37,,,
Jul,10,36.00,0.44,0.46,116,1333,31.60,-0.21,13.04,,,
Jul,10,36.50,0.53,0.53,49,577,30.60,-0.25,15.56,,,
Jul,10,37.00,0.64,0.66,188,1464,29.50,-0.29,18.97,,,
Jul,10,37.50,0.79,0.81,133,719,28.80,-0.34,23.41,,,
Jul,10,38.00,0.94,0.95,167,1054,27.70,-0.40,28.00,,,
Jul,10,38.50,1.16,1.16,127,1852,27.20,-0.47,33.93,,,
Jul,10,39.00,1.38,1.39,295,1757,26.20,-0.53,25.78,,,
Jul,10,39.50,1.68,1.67,47,326,26.10,-0.60,19.71,,,
Jul,10,40.00,1.94,1.90,22,956,24.40,-0.68,12.74,,,
Jul,10,42.00,3.58,3.59,21,448,24.40,-0.91,2.07,,,
Jul,10,43.00,4.54,3.21,9,218,26.30,-0.96,0.89,,,
Jul,10,43.50,5.01,5.58,16,103,14.10,-1.00,-,,,
Jul,10,44.00,5.51,5.38,14,34,2.00,-1.00,-,,,
Aug,10,31.00,0.23,0.23,26,244,41.00,-0.07,3.64,,,
Aug,10,34.00,0.52,0.44,1,167,35.90,-0.16,8.14,,,
Aug,10,35.00,0.68,0.68,10,470,34.30,-0.21,10.67,,,
Aug,10,36.00,0.89,0.88,13,397,32.80,-0.26,13.99,,,
Aug,10,36.50,1.00,1.00,3,979,32.10,-0.30,15.88,,,
Aug,10,37.00,1.15,1.11,6,760,31.40,-0.33,18.18,,,
Aug,10,37.50,1.30,1.31,5,184,30.60,-0.37,20.55,,,
Aug,10,38.00,1.49,1.44,47,1800,29.90,-0.41,23.55,,,
Aug,10,38.50,1.69,1.36,22,50,29.30,-0.45,26.47,,,
Aug,10,39.00,1.92,1.77,22,356,28.60,-0.50,22.21,,,
Aug,10,40.00,2.43,2.37,4,160,27.40,-0.60,14.54,,,
Sep,10,28.00,0.17,0.20,10,229,42.10,-0.04,1.89,,,
Sep,10,30.00,0.30,0.31,25,252,39.50,-0.07,3.29,,,
Sep,10,35.00,1.05,1.04,9,1086,33.40,-0.23,11.31,,,
Sep,10,36.00,1.30,1.30,5,2036,32.10,-0.28,14.06,,,
Sep,10,36.50,1.46,1.39,6,44,31.40,-0.31,15.68,,,
Sep,10,37.00,1.61,1.60,11,1653,30.80,-0.34,17.35,,,
Sep,10,37.50,1.84,1.69,23,1517,30.70,-0.37,19.77,,,
Sep,10,38.00,2.02,2.03,2,2260,30.00,-0.41,21.71,,,
Sep,10,38.50,2.23,2.73,10,697,29.20,-0.44,23.87,,,
Sep,10,39.00,2.47,2.45,7,407,28.90,-0.48,21.12,,,
Sep,10,39.50,2.73,2.05,40,172,28.20,-0.52,18.48,,,
Sep,10,41.50,3.98,3.17,12,38,27.00,-0.68,10.51,,,
Sep,10,43.00,5.13,4.99,27,321,26.40,-0.80,6.74,,,
Sep,10,43.50,5.46,6.71,16,57,24.30,-0.87,4.80,,,
Sep,10,44.00,5.92,5.88,13,1083,24.90,-0.90,4.36,,,
Sep,10,44.01,5.85,-,5,-,25.20,-0.89,3.56,,,
Oct,10,35.50,1.50,1.48,6,5,32.80,-0.27,11.60,,,
Oct,10,39.00,2.83,2.35,40,14,29.30,-0.47,17.85,,,
Oct,10,44.00,6.11,6.01,3,-,26.00,-0.82,4.59,,,
Dec,10,22.00,0.14,0.10,50,432,45.70,-0.02,0.72,,,
Dec,10,24.00,0.21,0.21,4,703,43.30,-0.04,1.11,,,
Dec,10,36.00,2.13,2.14,10,513,32.70,-0.31,11.28,,,
Dec,10,36.50,2.26,2.40,10,31,31.80,-0.33,11.97,,,
Dec,10,37.00,2.47,1.95,2,985,31.60,-0.35,13.09,,,
Dec,10,38.00,2.89,2.84,25,1066,31.20,-0.40,15.31,,,
Dec,10,41.00,4.44,3.36,2,78,29.30,-0.56,10.22,,,
Dec,10,41.50,4.71,4.64,154,189,28.60,-0.59,9.01,,,
Mar,11,30.00,1.19,1.19,1,12,36.60,-0.14,4.18,,,
Mar,11,34.00,2.17,2.17,1,127,34.20,-0.25,7.62,,,
Mar,11,35.00,2.43,2.34,3,11,33.10,-0.28,8.53,,,
Jun,11,36.00,3.38,3.32,11,70,33.00,-0.31,8.88,,,
Dec,13,37.00,6.51,6.50,1,17,32.50,-0.30,4.86,,,
Boral Ltd Last Sale Price $5.02,,,,,,,,,,,,
Dec,10,5.75,0.89,0.89,17,121,30.60,-0.70,6.30,,,
Mar,11,4.75,0.38,0.39,1,1,31.30,-0.33,10.10,,,
BlueScope Steel Last Sale Price $2.17,,,,,,,,,,,,
Jul,10,1.90,0.02,0.02,1,155,43.80,-0.13,10.51,,,
Jul,10,2.00,0.04,0.04,100,1681,43.80,-0.23,21.03,,,
Jul,10,2.25,0.14,0.14,301,2289,36.70,-0.60,28.91,,,
Jul,10,2.50,0.34,0.29,25,1224,42.50,-0.87,7.88,,,
Aug,10,2.00,0.08,0.07,40,446,45.70,-0.28,22.43,,,
Sep,10,2.44,0.34,0.31,21,188,42.60,-0.67,13.38,,,
Sep,10,2.81,0.66,0.61,310,398,45.90,-0.87,3.82,,,
Oct,10,2.81,0.68,0.69,305,61,48.00,-0.80,5.47,,,
Dec,10,2.06,0.17,0.17,3,50,42.00,-0.35,16.44,,,
Dec,10,3.00,0.85,0.81,1,1763,43.60,-0.86,2.35,,,
Dec,10,3.19,1.02,0.45,32,100,40.60,-0.99,0.47,,,
Brambles Ltd Last Sale Price $5.56,,,,,,,,,,,,
Jul,10,5.75,0.34,0.30,15,185,38.20,-0.59,31.80,,,
Jul,10,6.25,0.72,0.57,5,141,36.80,-0.86,6.15,,,
Aug,10,7.00,1.45,1.12,7,107,39.90,-0.95,1.09,,,
Sep,10,5.25,0.25,0.26,61,5,35.00,-0.31,18.65,,,
Sep,10,7.00,1.51,1.23,7,60,33.30,-0.98,5.59,,,
Sep,10,7.25,1.76,0.89,1,92,36.20,-1.00,5.22,,,
Oct,10,5.75,0.58,-,5,-,35.20,-0.50,20.82,,,
Mar,11,5.50,0.63,0.59,3,25,35.70,-0.39,15.20,,,
Dec,12,6.50,1.67,-,1,300,36.70,-0.47,5.28,,,
C'wlth Bank  of Aust  Last Sale Price $49.95,,,,,,,,,,,,
Jul,10,45.00,0.40,0.38,3,190,36.30,-0.14,9.02,,,
Jul,10,46.00,0.50,0.49,18,271,33.90,-0.18,11.42,,,
Jul,10,46.75,0.60,0.59,15,347,32.50,-0.21,13.82,,,
Jul,10,48.00,0.89,0.87,132,243,30.70,-0.30,20.21,,,
Jul,10,48.50,1.01,1.00,24,187,29.80,-0.33,23.06,,,
Jul,10,49.00,1.18,1.20,243,326,29.40,-0.38,26.95,,,
Jul,10,50.00,1.54,1.50,100,868,27.60,-0.47,34.02,,,
Jul,10,50.75,1.86,1.28,4,67,26.30,-0.55,24.09,,,
Jul,10,51.00,2.00,2.09,228,360,25.90,-0.58,21.69,,,
Jul,10,52.00,2.62,2.58,21,419,25.00,-0.69,12.90,,,
