Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4771.9 at 16:36 22/1/2010  Report at 19:05 Friday 22/1/2010. Processed 19:36 Friday 22/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Datasquirt Ltd fpo nz,DSQ,0.125,8.3,197.60,,,,,,,,
Entellect Solutions,ESN,0.003,0.1,50.00,,,,,,,,
Datadot Tech,DDT,0.052,1.6,44.44,,,,,,,,
Comtel Corp Ltd,CMO,0.025,0.7,38.89,,,,,,,,
Multi Channel,MUT,0.004,0.1,33.33,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.041,0.9,28.13,,,,,,,,
Greencross Ltd,GXL,0.93,16.5,21.57,,,,,,,,
OBJ Ltd,OBJ,0.052,0.9,20.93,,,,,,,,
ETT Ltd fpo nz,ETT,0.006,0.1,20.00,,,,,,,,
Rheochem Plc cdi 1:1,RHE,0.18,3,20.00,,,,,,,,
Enviromission Ltd,EVM,0.062,1,19.23,,,,,,,,
Murchison Hldgs,MCH,0.65,9,16.07,,,,,,,,
ETW Corp Ltd,ETW,0.023,0.3,15.00,,,,,,,,
National Leisure,NLG,0.031,0.4,14.81,,,,,,,,
RNY Prop Tr unt,RNY,0.12,1.5,14.29,,,,,,,,
Compumedics Ltd,CMP,0.21,2.5,13.51,,,,,,,,
Marine Produce Aust,MPA,0.035,0.4,12.90,,,,,,,,
Webfirm Grp Ltd,WFM,0.038,0.4,11.76,,,,,,,,
APA Financial,APP,0.01,0.1,11.11,,,,,,,,
Medivac Ltd,MDV,0.01,0.1,11.11,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.01,0.1,11.11,,,,,,,,
Legend Corp,LGD,0.155,1.5,10.71,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.26,2.5,10.64,,,,,,,,
Actinogen Ltd,ACW,0.055,0.5,10.00,,,,,,,,
Mooter Media Ltd,MMZ,0.011,0.1,10.00,,,,,,,,
Xceed Capital Ltd,XCD,0.022,0.2,10.00,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.045,0.4,9.76,,,,,,,,
ING Re Com Grp stpld,ILF,0.115,1,9.52,,,,,,,,
Coventry Res,CVY,0.25,2,8.70,,,,,,,,
Stirling Res,SRE,0.13,1,8.33,,,,,,,,
NSL Cons Ltd,NSL,0.041,0.3,7.89,,,,,,,,
Morning Star,MSH,0.14,1,7.69,,,,,,,,
Aquacarotene Ltd,AQL,0.015,0.1,7.14,,,,,,,,
Nomad Bld,NOD,0.30,2,7.14,,,,,,,,
Clean Teq Hldgs,CLQ,0.31,2,6.90,,,,,,,,
Powerlan Ltd,PWR,0.08,0.5,6.67,,,,,,,,
Lifestyle Communit,LIC,0.065,0.4,6.56,,,,,,,,
Mission Newenergy,MBT,0.41,2.5,6.49,,,,,,,,
Paragon Care Ltd,PGC,0.033,0.2,6.45,,,,,,,,
Acuvax Ltd,ACU,0.017,0.1,6.25,,,,,,,,
Hansen Tech,HSN,0.68,4,6.25,,,,,,,,
Multiplex European unt,MUE,0.19,1,5.56,,,,,,,,
Cool or Cosy Ltd,COS,0.10,0.5,5.26,,,,,,,,
E & A Ltd,EAL,0.40,2,5.26,,,,,,,,
Quickstep Hldgs,QHL,0.51,2.5,5.15,,,,,,,,
PharmAust Ltd,PAA,0.041,0.2,5.13,,,,,,,,
Benitec Ltd,BLT,0.042,0.2,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Stirling Products opt jun10,STIOA,0.005,0.4,400.00,,,,,,,,
Namibian Copper,NCO,0.20,6,42.86,,,,,,,,
Astro Res NL opt nov12,AROOB,0.004,0.1,33.33,,,,,,,,
Minerals Corp,MSC,0.004,0.1,33.33,,,,,,,,
Sthn Cross Expl,SXX,0.032,0.6,23.08,,,,,,,,
Indo Mines Ltd,IDO,0.365,6.5,21.67,,,,,,,,
Argosy Min cdi,AGY,0.06,1,20.00,,,,,,,,
Baraka Pet,BKP,0.006,0.1,20.00,,,,,,,,
Carbine Res,CRB,0.15,2.5,20.00,,,,,,,,
Lincoln Min opt jun10,LMLO,0.12,2,20.00,,,,,,,,
Strategic Energy,SER,0.026,0.4,18.18,,,,,,,,
Carpentaria Exp,CAP,0.14,2,16.67,,,,,,,,
ARC Explore Ltd,ARX,0.036,0.5,16.13,,,,,,,,
Orocobre Ltd,ORE,2.10,28,15.38,,,,,,,,
Equatorial Coal,EQX,0.031,0.4,14.81,,,,,,,,
Nex Metals Explor opt nov11,NMEO,0.057,0.7,14.00,,,,,,,,
Phoenix Copper,PNX,0.25,3,13.64,,,,,,,,
Batavia Min opt jun12,BTVO,0.095,1.1,13.10,,,,,,,,
Artemis Res opt jun11,ARVOB,0.045,0.5,12.50,,,,,,,,
Magnetic Res,MAU,0.545,6,12.37,,,,,,,,
Axiom Min Ltd cdi,AVQ,0.03,0.3,11.11,,,,,,,,
K2 Energy Ltd,KTE,0.04,0.4,11.11,,,,,,,,
Windy Knob Res,WKR,0.08,0.8,11.11,,,,,,,,
Apex Min NL opt nov12,AXMO,0.011,0.1,10.00,,,,,,,,
Jupiter Energy opt jun10,JPROA,0.011,0.1,10.00,,,,,,,,
Lodestar Min,LSR,0.115,1,9.52,,,,,,,,
Clancy Explore,CLY,0.175,1.5,9.37,,,,,,,,
Encounter Res,ENR,0.24,2,9.09,,,,,,,,
Pegasus Metals,PUN,0.12,1,9.09,,,,,,,,
Heritage Gold NZ,HTM,0.025,0.2,8.70,,,,,,,,
Trafford Res,TRF,1.025,8,8.47,,,,,,,,
Astro Res NL,ARO,0.013,0.1,8.33,,,,,,,,
Redbank Copper,RCP,0.013,0.1,8.33,,,,,,,,
Solimar Energy,SGY,0.13,1,8.33,,,,,,,,
Ironclad Min,IFE,1.31,10,8.26,,,,,,,,
Drake Res,DRK,0.205,1.5,7.89,,,,,,,,
Regal Res,RER,0.055,0.4,7.84,,,,,,,,
A-Cap Res,ACB,0.42,3,7.69,,,,,,,,
Superior Res,SPQ,0.07,0.5,7.69,,,,,,,,
Beacon Min,BCN,0.03,0.2,7.14,,,,,,,,
Chesser Res,CHZ,0.15,1,7.14,,,,,,,,
Elementos Ltd,ELT,0.225,1.5,7.14,,,,,,,,
Macq Harbour opt aug12,MHMO,0.15,1,7.14,,,,,,,,
Sino Gas Energy,SEH,0.15,1,7.14,,,,,,,,
Buka Gold Ltd,BKG,0.155,1,6.90,,,,,,,,
Strike Res,SRK,0.80,5,6.67,,,,,,,,
Nupower Res,NUP,0.083,0.5,6.41,,,,,,,,
Callabonna Uranium,CUU,0.017,0.1,6.25,,,,,,,,
Nyota Min Ltd,NYO,0.18,1,5.88,,,,,,,,
Wildhorse Energy,WHE,0.455,2.5,5.81,,,,,,,,
Aust Bauxite Ltd,ABZ,0.37,2,5.71,,,,,,,,
Aura Energy,AEE,0.19,1,5.56,,,,,,,,
Western Uranium opt jun10,WTNO,0.39,2,5.41,,,,,,,,
Mineral Commodities,MRC,0.04,0.2,5.26,,,,,,,,
Pancontinental Oil,PCL,0.04,0.2,5.26,,,,,,,,
Regal Res opt nov11,REROB,0.02,0.1,5.26,,,,,,,,
Fairstar Res,FAS,0.081,0.4,5.19,,,,,,,,
Global Pet,GBP,0.205,1,5.13,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Coretrack Ltd opt feb10,CKKO,0.02,-1,-33.33,,,,,,,,
Facilitate Digital,FAC,0.04,-2,-33.33,,,,,,,,
Westoz Inv Ltd opt jun12,WICO,0.10,-5,-33.33,,,,,,,,
Capitol Health opt apr12,CAJO,0.009,-0.3,-25.00,,,,,,,,
