Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4389.4 at 16:37 26/8/2010  Report at 19:05 Thursday 26/8/2010. Processed 19:28 Thursday 26/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Aust Leaders opt nov10,ALFO,0.02,1.9,1900.00,,,,,,,,
M2M Corp,MCL,0.002,0.1,100.00,,,,,,,,
Farm Pride Foods,FRM,0.20,5,33.33,,,,,,,,
Global Health Ltd,GLH,0.004,0.1,33.33,,,,,,,,
Pro Medicus Ltd   ,PME,0.55,10,22.22,,,,,,,,
PharmAust Ltd,PAA,0.03,0.5,20.00,,,,,,,,
  opt mar12,PAAO,0.006,0.1,20.00,,,,,,,,
Global Prop,GPB,1.35,20,17.39,,,,,,,,
Strathfield Grp,SRA,0.007,0.1,16.67,,,,,,,,
DKN Financial Grp,DKN,0.60,8.5,16.50,,,,,,,,
bioMD Ltd,BOD,0.024,0.3,14.29,,,,,,,,
Medivac Ltd,MDV,0.008,0.1,14.29,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.017,0.2,13.33,,,,,,,,
Circadian Tech,CIR,0.645,7.5,13.16,,,,,,,,
Virgin Blue Hldgs,VBA,0.315,3.5,12.50,,,,,,,,
Aacl Hldgs Ltd,AAY,0.07,0.7,11.11,,,,,,,,
Devine Ltd,DVN,0.25,2.5,11.11,,,,,,,,
BSA Ltd,BSA,0.255,2.5,10.87,,,,,,,,
Medic Vision Ltd,MVH,0.031,0.3,10.71,,,,,,,,
E-Pay Asia Ltd,EPY,0.099,0.9,10.00,,,,,,,,
GEO Prop Grp stp,GPM,0.22,2,10.00,,,,,,,,
CTI Logistics,CLX,1.00,9,9.89,,,,,,,,
Bisalloy Steel,BIS,0.17,1.5,9.68,,,,,,,,
Qmastor Ltd,QML,0.23,2,9.52,,,,,,,,
Geodynamics Ltd,GDY,0.465,4,9.41,,,,,,,,
Eastland Medical,EMS,0.047,0.4,9.30,,,,,,,,
Green Invest Ltd,GNV,0.06,0.5,9.09,,,,,,,,
Media Grp Int Ltd,MUI,0.012,0.1,9.09,,,,,,,,
OBJ Ltd,OBJ,0.026,0.2,8.33,,,,,,,,
Cabcharge Aust,CAB,4.60,35,8.24,,,,,,,,
Adultshop Com,ASC,0.014,0.1,7.69,,,,,,,,
Wasabi Energy Ltd,WAS,0.014,0.1,7.69,,,,,,,,
GoConnect Ltd,GCN,0.044,0.3,7.32,,,,,,,,
CL Asset Hldgs,CLS,0.75,5,7.14,,,,,,,,
Viralytics Ltd,VLA,0.03,0.2,7.14,,,,,,,,
Vita Grp Ltd,VTG,0.30,2,7.14,,,,,,,,
Centrebet Internat,CIL,1.60,10.5,7.02,,,,,,,,
Centro Retail stp,CER,0.155,1,6.90,,,,,,,,
Genetic Tech,GTG,0.032,0.2,6.67,,,,,,,,
Hawkley Oil And Gas,HOG,0.16,1,6.67,,,,,,,,
Ludowici Ltd,LDW,3.20,20,6.67,,,,,,,,
ECO Quest,ECQ,0.099,0.6,6.45,,,,,,,,
HFA Hldgs Ltd,HFA,0.17,1,6.25,,,,,,,,
NSL Cons Ltd,NSL,0.09,0.5,5.88,,,,,,,,
Air New Zealand,AIZ,1.005,5.5,5.79,,,,,,,,
Nufarm Finance (Nz) exc.nov11,NFNG,59.499,324.9,5.78,,,,,,,,
Breville Grp Ltd,BRG,2.41,13,5.70,,,,,,,,
Collection House,CLH,0.84,4.5,5.66,,,,,,,,
ISS Grp Ltd,ISS,0.19,1,5.56,,,,,,,,
Global Masters Fund,GFL,0.77,4,5.48,,,,,,,,
Penrice Soda,PSH,0.385,2,5.48,,,,,,,,
Symex Hldgs,SYM,0.58,3,5.45,,,,,,,,
Gunns Ltd,GNS,0.595,3,5.31,,,,,,,,
Macq Telecom Gp,MAQ,5.95,30,5.31,,,,,,,,
Charter Pacific,CHF,0.04,0.2,5.26,,,,,,,,
LBT Innovations,LBT,0.08,0.4,5.26,,,,,,,,
RTL Corp Ltd,RTL,0.02,0.1,5.26,,,,,,,,
Smarttrans Hldgs,SMA,0.02,0.1,5.26,,,,,,,,
WDS Ltd,WDS,0.41,2,5.13,,,,,,,,
Fiducian Portfolio,FPS,1.26,6,5.00,,,,,,,,
National Can Ind,NCI,1.26,6,5.00,,,,,,,,
Pienets Ltd,PIE,0.021,0.1,5.00,,,,,,,,
Staging Connections,STG,0.021,0.1,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.06,3,100.00,,,,,,,,
Marion Energy opt dec11,MAEO,0.005,0.2,66.67,,,,,,,,
China Yunnan Copper,CYU,0.155,5,47.62,,,,,,,,
Proto Resource & opt dec11,PRWOB,0.004,0.1,33.33,,,,,,,,
Marion Energy,MAE,0.033,0.8,32.00,,,,,,,,
XState Res,XST,0.195,4.5,30.00,,,,,,,,
Northern Uranium opt sep12,NTUOA,0.059,1.3,28.26,,,,,,,,
Sihayo Gold Ltd opt jan11,SIHO,0.028,0.6,27.27,,,,,,,,
White Cliff Nickel,WCN,0.068,1.3,23.64,,,,,,,,
Kairiki Energy,KIK,0.08,1.4,21.21,,,,,,,,
Pilbara Min Ltd,PLS,0.084,1.4,20.00,,,,,,,,
