Stocks that moved by more than 5% for the day,,,,
,,,,
"XAO 4734.1 at 2011-03-21T16:38:31. Report at Monday, March 21, 2011. Processed Friday at 2011-03-25.",,,,
,,,,
,,,,
,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%)
Bigair Grp Ltd,BGL,0.19,1,5.56
Netcomm Ltd,NTC,0.19,1,5.56
CO2 Grp Ltd opt nov11,COZO,0.04,0.2,5.26
Solco Ltd,SOO,0.1,0.5,5.26
Healthzone Ltd,HZL,0.405,2,5.19
Geodynamics Ltd,GDY,0.305,1.5,5.17
Platinum Asset,PTM,4.69,23,5.16
Goodman Grp forus,GMG,0.715,3.5,5.15
Mirvac Industrial unt,MIX,0.041,0.2,5.13
TPG Telecom Ltd,TPM,1.36,6.5,5.02
Orchid Capital,ORC,0.042,0.2,5
Pienets Ltd,PIE,0.021,0.1,5
RISES - MINING,,,,
Grand Gulf Energy opt jun13,GGEO,0.003,0.1,50
Peninsula Energy opt jun12,PENOA,0.078,2.5,47.17
  opt dec15,PENOC,0.085,2.5,41.67
Global Nickel Invest opt jun12,GNIOA,0.007,0.2,40
Grand Gulf Energy,GGE,0.007,0.2,40
Callabonna Uranium,CUU,0.09,2.3,34.33
Peninsula Energy,PEN,0.11,2.8,34.15
Padbury Min Ltd opt may11,PDYOB,0.012,0.3,33.33
Renison Cons,RSN,0.004,0.1,33.33
Azimuth Res Ltd,AZH,0.23,5.5,31.43
RED Metal Ltd,RDM,0.21,5,31.25
Every Day Mine Serv,EDS,0.03,0.7,30.43
Imperial Corp Ltd,IMP,0.155,3.5,29.17
Emerald Oil & Gas opt aug12,EMRO,0.018,0.4,28.57
Jervois Min,JRV,0.005,0.1,25
Burleson Energy opt sep13,BUROA,0.016,0.3,23.08
Laguna Res NL,LRC,0.027,0.5,22.73
Black Range Min,BLR,0.049,0.9,22.5
Gold Anomaly Ltd opt jun12,GOAOA,0.017,0.3,21.43
Carbon Polymers,CBP,0.4,7,21.21
Icon Energy Ltd,ICN,0.26,4.5,20.93
Avonlea Min,AVZ,0.145,2.5,20.83
Great Western Exp opt jun12,GTEO,0.145,2.5,20.83
Crescent Gold,CRE,0.047,0.8,20.51
Berkeley Res opt may13,BKYO,0.36,6,20
Blaze Intl,BLZ,0.006,0.1,20
Orion Metals Ltd,ORM,0.18,3,20
RAM Res opt mar12,RMRO,0.006,0.1,20
Voyager Res,VOR,0.079,1.3,19.7
Innamincka Pet,INP,0.215,3.5,19.44
Ausamerican Min,AIW,0.056,0.9,19.15
Catalyst Metals,CYL,0.25,4,19.05
Eagle Eye Metals,EYE,0.125,2,19.05
Monto Min Ltd,MOO,0.025,0.4,19.05
Synergy Metals,SML,0.013,0.2,18.18
TNG Ltd,TNG,0.13,2,18.18
General Min Corp,GMM,0.23,3.5,17.95
Ausgold Ltd opt mar13,AUCO,1,15,17.65
Petratherm Ltd,PTR,0.135,2,17.39
Elemental Min,ELM,2.25,32.5,16.88
Gullewa Ltd,GUL,0.175,2.5,16.67
Rubicon Res,RBR,0.049,0.7,16.67
Aspire Min Ltd,AKM,0.87,12,16
QLD Min Corp opt may12,QMNO,0.029,0.4,16
Emergent Res,EMG,0.22,3,15.79
US Nickel Ltd,USN,0.185,2.5,15.62
Marion Energy opt dec12,MAEOA,0.015,0.2,15.38
Sheffield Res Ltd,SFX,0.3,4,15.38
Impact Min,IPT,0.115,1.5,15
Industrial Min,IDM,0.23,3,15
Overland Res,OVR,0.23,3,15
Ausgold Ltd,AUC,1.28,16.5,14.8
Metaliko Res,MKO,0.235,3,14.63
Extract Res,EXT,8.01,101,14.43
Cauldron Energy,CXU,0.24,3,14.29
Signature Metals,SBL,0.032,0.4,14.29
U308 Ltd,UTO,0.16,2,14.29
Vector Res Ltd,VEC,0.12,1.5,14.29
Galilee Energy,GLL,0.245,3,13.95
Northern Min,NMI,0.082,1,13.89
Falcon Min Ltd,FCN,0.165,2,13.79
Vital Metals Ltd,VML,0.125,1.5,13.64
Burey Gold Ltd,BYR,0.335,4,13.56
Equatorial Res,EQX,2.86,34,13.49
Avalon Min,AVI,0.26,3,13.04
Wildhorse Energy,WHE,0.395,4.5,12.86
A-Cap Res,ACB,0.405,4.5,12.5
Caspian Oil & Gas,CIG,0.009,0.1,12.5
RED Sky Energy,ROG,0.018,0.2,12.5
Elemental Min opt jan12,ELMO,1.91,21,12.35
Forte Energy NL,FTE,0.092,1,12.2
Marmota Energy,MEU,0.092,1,12.2
Avanco Res Ltd,AVB,0.14,1.5,12
Burey Gold Ltd opt jun11,BYRO,0.28,3,12
Emmerson Res,ERM,0.14,1.5,12
Gulf Mines Ltd,GLM,0.028,0.3,12
Atomic Res,ATQ,0.48,5,11.63
Brighton Min,BTN,0.24,2.5,11.63
Haranga Res Ltd,HAR,0.48,5,11.63
Lonrho Min Ltd,LOM,0.039,0.4,11.43
West African Res,WAF,0.49,5,11.36
Aura Energy,AEE,0.345,3.5,11.29
Southerncross Gold,SXG,0.079,0.8,11.27
Great Western Exp,GTE,0.4,4,11.11
Kentor Gold Ltd,KGL,0.15,1.5,11.11
Latin Res Ltd opt mar13,LRSO,0.05,0.5,11.11
Manhattan Corp,MHC,0.9,9,11.11
Maximus Res,MXR,0.02,0.2,11.11
Renaissance Min,RNS,0.3,3,11.11
Resolute Min 12% cn12,RSGG,1.135,11,10.73
Argo Explore,AXT,0.105,1,10.53
Siburan Res Ltd,SBU,0.21,2,10.53
Mungana Gold Ltd,MUX,0.74,7,10.45
Alkane Res Ltd,ALK,1.495,14,10.33
Tribune Res Ltd,TBR,2.25,21,10.29
ROX Res,RXL,0.054,0.5,10.2
Bannerman Res,BMN,0.49,4.5,10.11
Havilah Res NL opt oct13,HAVO,0.22,2,10
Heron Res,HRR,0.22,2,10
Hillgrove Res Ltd,HGO,0.275,2.5,10
Kairiki Energy optaug11d,KIKO,0.022,0.2,10
Marathon Res,MTN,0.44,4,10
Resolute Min opt dec11,RSGO,0.55,5,10
Toro Energy Ltd,TOE,0.11,1,10
Axiom Min Ltd cdi,AVQ,0.045,0.4,9.76
Pelican Res,PEL,0.09,0.8,9.76
Ventnor Res Ltd,VRX,0.225,2,9.76
Mozambi Coal Ltd,MOZ,0.285,2.5,9.62
Mundo Min,MUN,0.115,1,9.52
PAC Niugini Ltd,PNR,0.46,4,9.52
United Uranium,UUL,0.115,1,9.52
IMX Res Ltd,IXR,0.58,5,9.43
Marenica Energy,MEY,0.058,0.5,9.43
Gold Road Res Ltd opt jun11,GORO,0.35,3,9.37
Northern Min Ltd opt mar12,NTUOB,0.35,3,9.37
Sihayo Gold Ltd,SIH,0.235,2,9.3
Proto Resource &,PRW,0.059,0.5,9.26
Energia Min Ltd,EMX,0.18,1.5,9.09
L&M Energy Ltd,LME,0.12,1,9.09
Lindian Res,LIN,0.12,1,9.09
Octanex NL ctg,OXXCA,0.24,2,9.09
Union Res Ltd,UCL,0.012,0.1,9.09
Whinnen Res,WWW,0.12,1,9.09
Deep Yellow Ltd,DYL,0.245,2,8.89
Alliance Res,AGS,0.31,2.5,8.77
Cobar Cons,CCU,0.935,7.5,8.72
Glory Res Ltd,GLY,0.25,2,8.7
Northwest Res,NWR,0.125,1,8.7
Challenger Energy,CEL,0.19,1.5,8.57
Greenland Min En opt jun11,GGGO,0.83,6.5,8.5
Apex Min NL,AXM,0.013,0.1,8.33
Crusader Res,CAS,1.195,9,8.14
Uraniumsa Ltd,USA,0.335,2.5,8.06
3D Res Ltd,DDD,0.054,0.4,8
Hodges Res,HDG,0.405,3,8
Horseshoe Metals opt jun12,HORO,0.27,2,8
Kimberley Metals,KBL,0.27,2,8
Poseidon Nick Ltd,POS,0.27,2,8
ELK Pet,ELK,0.275,2,7.84
Stonehenge Metals opt dec12,SHEOA,0.07,0.5,7.69
Truscott Min Corp,TRM,0.28,2,7.69
Kasbah Res,KAS,0.285,2,7.55
Empire Res,ERL,0.086,0.6,7.5
PAC Ore Ltd,PSF,0.145,1,7.41
Finders Res,FND,0.44,3,7.32
Greenearth Energy,GER,0.088,0.6,7.32
Allied Gold Ltd,ALD,0.665,4.5,7.26
A'asian Resour,ARH,0.3,2,7.14
Activex Ltd,AIV,0.06,0.4,7.14
Auspaccoal Ltd,AQC,0.06,0.4,7.14
Botswana Metals opt jun13,BMLO,0.045,0.3,7.14
Curnamona Energy,CUY,0.15,1,7.14
Minemakers Ltd,MAK,0.525,3.5,7.14
Ramelius Res,RMS,1.36,9,7.09
Aussie Q Res,AQR,0.38,2.5,7.04
Montezuma Min Co,MZM,0.76,5,7.04
Zenith Min Ltd,ZNC,0.61,4,7.02
FE Ltd,FEL,0.23,1.5,6.98
