Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4692.0 at 16:36 5/5/2010  Report at 19:05 Wednesday 5/5/2010. Processed 19:16 Wednesday 5/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Sun Biomedical,SBN,0.002,0.1,100.00,,,,,,,,
Acuvax Ltd,ACU,0.013,0.5,62.50,,,,,,,,
Cervantes Corp,CVS,0.023,0.8,53.33,,,,,,,,
Eumundi Grp Ltd,EBG,0.04,1,33.33,,,,,,,,
Beyond Sportswear,BSI,0.018,0.4,28.57,,,,,,,,
AWH Corp Ltd,AWL,0.005,0.1,25.00,,,,,,,,
Medical Develop,MVP,0.21,4,23.53,,,,,,,,
Medtech Global,MDG,0.07,1.3,22.81,,,,,,,,
Aust China Hldgs,AAK,0.006,0.1,20.00,,,,,,,,
Global Prop,GPB,0.30,5,20.00,,,,,,,,
Sunshine Heart cdi,SHC,0.036,0.6,20.00,,,,,,,,
Multi Channel,MUT,0.007,0.1,16.67,,,,,,,,
ASF Grp Ltd,AFA,0.16,2,14.29,,,,,,,,
bioMD Ltd,BOD,0.035,0.4,12.90,,,,,,,,
Maxitrans Ind,MXI,0.38,4,11.76,,,,,,,,
Stirling Products,STI,0.01,0.1,11.11,,,,,,,,
Adultshop Com,ASC,0.011,0.1,10.00,,,,,,,,
Antaria Ltd,ANO,0.035,0.3,9.38,,,,,,,,
Metal Storm Ltd,MST,0.013,0.1,8.33,,,,,,,,
Clever Com Aus,CVA,0.105,0.8,8.25,,,,,,,,
ITL Ltd,ITD,0.075,0.5,7.14,,,,,,,,
IPGA Ltd,IPP,0.385,2.5,6.94,,,,,,,,
Dyesol Ltd,DYE,1.25,8,6.84,,,,,,,,
Altera Res Ltd,AEA,0.32,2,6.67,,,,,,,,
MobileActive Ltd,MBA,0.034,0.2,6.25,,,,,,,,
Bigair Grp Ltd,BGL,0.18,1,5.88,,,,,,,,
Prophecy Intl ,PRO,0.40,2,5.26,,,,,,,,
Viagold Capital,VIA,0.31,1.5,5.08,,,,,,,,
Powerlan Ltd,PWR,0.042,0.2,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
XState Res,XST,0.085,3.5,70.00,,,,,,,,
Sierra Min opt dec10,SRMO,0.02,0.5,33.33,,,,,,,,
Dart Min NL,DTM,0.105,2.3,28.05,,,,,,,,
Global Iron Ltd,GFE,0.32,7,28.00,,,,,,,,
Jervois Min,JRV,0.005,0.1,25.00,,,,,,,,
Tasman Res Ltd opt jun12,TASOB,0.10,2,25.00,,,,,,,,
Base Iron Ltd,BSE,0.10,1.9,23.46,,,,,,,,
Golden Deeps,GED,0.062,1.1,21.57,,,,,,,,
Apex Min NL opt nov12,AXMO,0.006,0.1,20.00,,,,,,,,
Contl Coal Ltd opt feb13,CCCO,0.026,0.4,18.18,,,,,,,,
Resolute Min opt dec11,RSGO,0.50,6.5,14.94,,,,,,,,
Fairstar Res opt aug11,FASOA,0.048,0.6,14.29,,,,,,,,
Pacrim Energy,PRE,0.008,0.1,14.29,,,,,,,,
