Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4825.5 at 16:34 11/3/2010  Report at 19:06 Thursday 11/3/2010. Processed 19:18 Thursday 11/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Anteo Diagnostics opt feb11,ADOOA,0.02,0.5,33.33,,,,,,,,
BPH Corp Ltd opt may10,BPHO,0.004,0.1,33.33,,,,,,,,
GSF Corp Ltd,GSF,0.004,0.1,33.33,,,,,,,,
Multi Channel,MUT,0.004,0.1,33.33,,,,,,,,
Authorised Invest,AIY,0.013,0.3,30.00,,,,,,,,
ASF Grp Ltd,AFA,0.16,3.5,28.00,,,,,,,,
Q Ltd,QXQ,0.088,1.8,25.71,,,,,,,,
Verticon Grp Ltd,VGP,0.005,0.1,25.00,,,,,,,,
Green Invest Ltd,GNV,0.056,1,21.74,,,,,,,,
IPGA Ltd,IPP,0.265,4.5,20.45,,,,,,,,
Pac Star Net,PNW,0.06,1,20.00,,,,,,,,
Manaccom Corp Ltd,MNL,0.405,6.5,19.12,,,,,,,,
Vesture Ltd,VES,0.10,1.5,17.65,,,,,,,,
Virax Hldgs cn dec11,VHLG,0.27,4,17.39,,,,,,,,
Brain Resource,BRC,0.30,4,15.38,,,,,,,,
Redisland Aust,RLA,0.015,0.2,15.38,,,,,,,,
Apollo Cons,AOP,0.008,0.1,14.29,,,,,,,,
RER Grp Ltd opt dec10,RGDO,0.21,2.5,13.51,,,,,,,,
Biosignal Ltd,BOS,0.017,0.2,13.33,,,,,,,,
Headline Grp Ltd,HLD,0.34,4,13.33,,,,,,,,
ISS Grp Ltd,ISS,0.22,2.5,12.82,,,,,,,,
MGM Wireless Ltd,MWR,0.009,0.1,12.50,,,,,,,,
CO2 Grp Ltd opt nov11,COZO,0.056,0.6,12.00,,,,,,,,
Mooter Media Ltd,MMZ,0.019,0.2,11.76,,,,,,,,
Avita Medical Ltd,AVH,0.145,1.5,11.54,,,,,,,,
Konekt Ltd,KKT,0.145,1.5,11.54,,,,,,,,
Brisbane Broncos,BBL,0.39,4,11.43,,,,,,,,
Mint Wireless,MNW,0.039,0.4,11.43,,,,,,,,
India Equities Fund opt aug10,INEO,0.055,0.5,10.00,,,,,,,,
Robe Aust Ltd,ROB,0.011,0.1,10.00,,,,,,,,
Cbio Ltd,CBZ,0.40,3.5,9.59,,,,,,,,
Intermoco Ltd,INT,0.012,0.1,9.09,,,,,,,,
Pharmanet Grp,PNO,0.012,0.1,9.09,,,,,,,,
Orotongrp Ltd,ORL,6.83,55,8.76,,,,,,,,
Neptune Marine opt dec10,NMSO,0.25,2,8.70,,,,,,,,
Plan B Grp Hld,PLB,0.79,6,8.22,,,,,,,,
RP Data Ltd,RPX,1.24,9,7.83,,,,,,,,
pSivida Corp cdi,PVA,4.20,29,7.42,,,,,,,,
RCG Corp Ltd,RCG,0.58,4,7.41,,,,,,,,
Ainsworth Game Tech 10% cn11,AGIG,0.82,5.5,7.19,,,,,,,,
Atlantic Ltd,ATI,0.031,0.2,6.90,,,,,,,,
Aust Leaders opt nov10,ALFO,0.047,0.3,6.82,,,,,,,,
Pulse Health Ltd,PHG,0.05,0.3,6.38,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.017,0.1,6.25,,,,,,,,
Multiplex European unt,MUE,0.17,1,6.25,,,,,,,,
Probiomics Ltd,PCC,0.017,0.1,6.25,,,,,,,,
Resourc & En Grp,REZ,0.17,1,6.25,,,,,,,,
Infigen Energy stp,IFN,1.38,8,6.15,,,,,,,,
Maryborough Sugar,MSF,1.90,11,6.15,,,,,,,,
Connxion Ventures,CXN,0.052,0.3,6.12,,,,,,,,
Razor Risk Tech,RZR,0.035,0.2,6.06,,,,,,,,
Adv Surg Dsgn & Mnft,AMT,0.54,3,5.88,,,,,,,,
Ascent Pharmahealth,APH,0.27,1.5,5.88,,,,,,,,
EFTEL Ltd,EFT,0.018,0.1,5.88,,,,,,,,
Legend Corp,LGD,0.19,1,5.56,,,,,,,,
K2 Asset Mgmt,KAM,0.695,3.5,5.30,,,,,,,,
Dulhunty Power,DUL,0.042,0.2,5.00,,,,,,,,
Matrix C & E Ltd,MCE,2.10,10,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Aust Mines Ltd,AUZ,0.002,0.1,100.00,,,,,,,,
Lion Energy Ltd opt aug11,LIOO,0.002,0.1,100.00,,,,,,,,
Torrens Energy opt mar10,TEYO,0.004,0.2,100.00,,,,,,,,
Nickelore Ltd,NIO,0.033,1.2,57.14,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.003,0.1,50.00,,,,,,,,
Riviera Res opt dec14,RVEO,0.018,0.5,38.46,,,,,,,,
Black Fire Min opt jun10,BFEO,0.015,0.4,36.36,,,,,,,,
K2 Energy Ltd,KTE,0.091,2.3,33.82,,,,,,,,
Astro Res NL opt nov12,AROOB,0.004,0.1,33.33,,,,,,,,
Orion Pet Ltd opt sep10,OIPO,0.004,0.1,33.33,,,,,,,,
Mount Burgess Min,MTB,0.014,0.3,27.27,,,,,,,,
Nimrodel Res,NMR,0.052,1.1,26.83,,,,,,,,
Baraka Pet,BKP,0.005,0.1,25.00,,,,,,,,
Monitor Energy,MHL,0.005,0.1,25.00,,,,,,,,
Cazaly Res opt feb11,CAZO,0.21,4,23.53,,,,,,,,
Blackham Res opt oct11,BLKO,0.11,2,22.22,,,,,,,,
Kings Min NL,KMN,0.14,2.5,21.74,,,,,,,,
Hampton Hill Min,HHM,0.46,8,21.05,,,,,,,,
Montezuma Min Co,MZM,0.24,4,20.00,,,,,,,,
Sinovus Min Ltd,SNV,0.03,0.5,20.00,,,,,,,,
Sth American Cor,SAY,0.06,1,20.00,,,,,,,,
Yellow Rock,YRR,0.048,0.8,20.00,,,,,,,,
Catalpa Res opt jun10,CAHO,0.45,7,18.42,,,,,,,,
WHL Energy Ltd,WHN,0.045,0.7,18.42,,,,,,,,
Meteoric Res,MEI,0.13,2,18.18,,,,,,,,
Convergent Min,CVG,0.10,1.5,17.65,,,,,,,,
