Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4665.9 at 16:35 24/2/2010  Report at 19:05 Wednesday 24/2/2010. Processed 19:37 Wednesday 24/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Healthlinx Ltd opt mar11,HTXO,0.03,1.9,172.70,,,,,,,,
Healthlinx Ltd ,HTX,0.175,9.3,113.40,,,,,,,,
Adultshop Com opt dec11,ASCO,0.003,0.1,50.00,,,,,,,,
Diversa Ltd,DVA,0.125,3.5,38.89,,,,,,,,
Brainz Instruments,BZI,0.08,2,33.33,,,,,,,,
TVN Corp Ltd,TVN,0.009,0.2,28.57,,,,,,,,
Hexima Ltd,HXL,0.46,8,21.05,,,,,,,,
Austock Grp Ltd,ACK,0.30,5,20.00,,,,,,,,
Coonawarra Aust unt,CNR,0.12,2,20.00,,,,,,,,
Stanfield Funds,SFN,0.013,0.2,18.18,,,,,,,,
Ipernica Ltd,IPR,0.14,2,16.67,,,,,,,,
Smarttrans Hldgs,SMA,0.022,0.3,15.79,,,,,,,,
Pro-Pac Packaging,PPG,0.31,4,14.81,,,,,,,,
CO2 Grp Ltd,COZ,0.195,2.5,14.71,,,,,,,,
Careers Multilist,CGR,0.24,3,14.29,,,,,,,,
Longreach Grp,LRG,0.034,0.4,13.33,,,,,,,,
QRxPharma Ltd,QRX,0.98,11,12.64,,,,,,,,
AWH Corp Ltd,AWL,0.009,0.1,12.50,,,,,,,,
CathRx Ltd,CXD,0.28,3,12.00,,,,,,,,
MAC Services (The),MSL,2.44,24,10.91,,,,,,,,
Bisalloy Steel,BIS,0.21,2,10.53,,,,,,,,
Healthzone Ltd,HZL,0.32,3,10.34,,,,,,,,
Patrys Ltd,PAB,0.16,1.5,10.34,,,,,,,,
Quickstep Hldgs,QHL,0.43,4,10.26,,,,,,,,
Adultshop Com,ASC,0.011,0.1,10.00,,,,,,,,
Altium Ltd,ALU,0.275,2.5,10.00,,,,,,,,
Nusep Ltd,NSP,0.295,2.5,9.26,,,,,,,,
Rabinov Prop Tr unt,RBV,0.60,5,9.09,,,,,,,,
RMG Ltd,RMG,0.012,0.1,9.09,,,,,,,,
TPL Corp Ltd,TPL,0.024,0.2,9.09,,,,,,,,
Neptune Marine,NMS,0.44,3.5,8.64,,,,,,,,
Empire Beer Grp,EEE,0.065,0.5,8.33,,,,,,,,
Frigrite Ltd,FRR,0.13,1,8.33,,,,,,,,
Landmark White,LMW,0.40,3,8.11,,,,,,,,
Keycorp Ltd,KYC,0.54,4,8.00,,,,,,,,
Solagran Ltd,SLA,0.21,1.5,7.69,,,,,,,,
Calzada Ltd,CZD,0.03,0.2,7.14,,,,,,,,
Cryosite Ltd,CTE,0.15,1,7.14,,,,,,,,
Transpacific Indust,TPI,1.28,8.5,7.11,,,,,,,,
CEC Grp Ltd,CEG,0.23,1.5,6.98,,,,,,,,
