Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4702.7 at 16:39 15/9/2010  Report at 19:05 Wednesday 15/9/2010. Processed 19:08 Wednesday 15/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
QED Occtech Ltd,QED,0.041,2.1,105.00,,,,,,,,
IM Medical Ltd,IMI,0.002,0.1,100.00,,,,,,,,
Altium Ltd,ALU,0.25,10,66.67,,,,,,,,
Transol Corp,TNC,0.006,0.2,50.00,,,,,,,,
Broad Invest,BRO,0.004,0.1,33.33,,,,,,,,
C @ Ltd opt apr12,CEOO,0.004,0.1,33.33,,,,,,,,
Olea Australis,OLE,0.004,0.1,33.33,,,,,,,,
Biotron Ltd opt dec11,BITO,0.015,0.3,25.00,,,,,,,,
TSV Hldgs Ltd,TSH,0.087,1.7,24.29,,,,,,,,
Metals Finance,MFC,0.068,1.2,21.43,,,,,,,,
Enerji Ltd,ERJ,0.023,0.4,21.05,,,,,,,,
JV Global Ltd,JVG,0.006,0.1,20.00,,,,,,,,
Phoslock Water,PHK,0.073,1.2,19.67,,,,,,,,
Aquacarotene Ltd,AQL,0.19,3,18.75,,,,,,,,
Webfirm Grp Ltd,WFM,0.18,2.5,16.13,,,,,,,,
Digislide Hldgs,DGI,0.15,2,15.38,,,,,,,,
Tyrian Diagnostics,TDX,0.015,0.2,15.38,,,,,,,,
Freedom Nutritional,FNP,0.35,4.5,14.75,,,,,,,,
Souls Private Equity opt feb15,SOEOA,0.016,0.2,14.29,,,,,,,,
Agenix Ltd,AGX,0.033,0.4,13.79,,,,,,,,
Eastland Medical,EMS,0.052,0.6,13.04,,,,,,,,
Neptune Marine opt dec10,NMSO,0.08,0.9,12.68,,,,,,,,
Artist & Entertain,AEM,0.009,0.1,12.50,,,,,,,,
Medivac Ltd,MDV,0.009,0.1,12.50,,,,,,,,
Biotron Ltd,BIT,0.06,0.6,11.11,,,,,,,,
Carbon Conscious,CCF,0.10,1,11.11,,,,,,,,
Structural Monitor cdi,SMN,0.01,0.1,11.11,,,,,,,,
Becton Prop Grp stp,BEC,0.042,0.4,10.53,,,,,,,,
Altera Res Ltd opt feb12,AEAO,0.11,1,10.00,,,,,,,,
Viralytics Ltd,VLA,0.034,0.3,9.68,,,,,,,,
Avita Medical Ltd,AVH,0.115,1,9.52,,,,,,,,
C @ Ltd,CEO,0.012,0.1,9.09,,,,,,,,
Penrice Soda,PSH,0.42,3.5,9.09,,,,,,,,
Valad Prop forus,VPG,0.084,0.7,9.09,,,,,,,,
Dyesol Ltd,DYE,0.87,7,8.75,,,,,,,,
Monteray Grp,MRY,0.013,0.1,8.33,,,,,,,,
Global Prop,GPB,1.50,11.5,8.30,,,,,,,,
Clean Teq Hldgs,CLQ,0.20,1.5,8.11,,,,,,,,
Saunders Intl Ltd,SND,0.475,3.5,7.95,,,,,,,,
Adultshop Com,ASC,0.014,0.1,7.69,,,,,,,,
Viridis Clean Energy unt,VIR,0.029,0.2,7.41,,,,,,,,
Centrepoint Alliance,CAF,0.15,1,7.14,,,,,,,,
Pan Asia Corp Ltd,PZC,0.015,0.1,7.14,,,,,,,,
Skilled Grp Ltd,SKE,1.445,9,6.64,,,,,,,,
Challenger Div Pro stp,CDI,0.52,3,6.12,,,,,,,,
MacarthurCook PSF unt,MPS,0.087,0.5,6.10,,,,,,,,
Hyro Ltd,HYO,0.018,0.1,5.88,,,,,,,,
Nufarm Finance (Nz) exc.nov11,NFNG,56.50,300,5.61,,,,,,,,
Ceramic Fuel Cells,CFU,0.19,1,5.56,,,,,,,,
Industrea Ltd,IDL,0.385,2,5.48,,,,,,,,
Konekt Ltd,KKT,0.195,1,5.41,,,,,,,,
Austal Ltd,ASB,2.40,12,5.26,,,,,,,,
Cbio Ltd,CBZ,0.20,1,5.26,,,,,,,,
ECO Quest,ECQ,0.10,0.5,5.26,,,,,,,,
Funtastic Ltd,FUN,0.20,1,5.26,,,,,,,,
GBST Hldgs,GBT,0.90,4.5,5.26,,,,,,,,
K & S Corp,KSC,2.80,14,5.26,,,,,,,,
Quest Min Ltd,QNL,0.04,0.2,5.26,,,,,,,,
Allied Brands Ltd,ABQ,0.021,0.1,5.00,,,,,,,,
Cellmid Ltd,CDY,0.021,0.1,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Luiri Gold Ltd cdi,LGM,0.20,10.9,119.80,,,,,,,,
Orion Metals Ltd opt feb11,ORMO,0.093,5,116.30,,,,,,,,
Consolidated Tin Min opt dec13,CSDO,0.011,0.5,83.33,,,,,,,,
Orion Metals Ltd,ORM,0.215,9,72.00,,,,,,,,
Norton Gold Fields opt oct10,NGFO,0.016,0.6,60.00,,,,,,,,
Sinovus Min Ltd,SNV,0.021,0.7,50.00,,,,,,,,
Burey Gold Ltd opt jun11,BYRO,0.07,2.3,48.94,,,,,,,,
Mamba Min,MAB,0.014,0.4,40.00,,,,,,,,
Altura Min Ltd opt aug11,AJMOA,0.055,1.5,37.50,,,,,,,,
Fission Energy opt feb11,FISO,0.015,0.4,36.36,,,,,,,,
Macq Harbour opt aug12,MHMO,0.17,4.5,36.00,,,,,,,,
Gold Anomaly Ltd opt jun12,GOAOA,0.02,0.5,33.33,,,,,,,,
Mantle Min Corp opt dec10,MNMOA,0.004,0.1,33.33,,,,,,,,
Sihayo Gold Ltd opt jan11,SIHO,0.04,1,33.33,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.039,0.9,30.00,,,,,,,,
Resource Star Ltd opt sep12,RSLO,0.022,0.5,29.41,,,,,,,,
Northern Star,NST,0.155,3.5,29.17,,,,,,,,
Gold Anomaly Ltd,GOA,0.027,0.6,28.57,,,,,,,,
Resource Star Ltd,RSL,0.115,2.5,27.78,,,,,,,,
Noble Min Res opt jul11,NMGO,0.089,1.9,27.14,,,,,,,,
Burey Gold Ltd,BYR,0.125,2.6,26.26,,,,,,,,
Caspian Oil & Gas,CIG,0.01,0.2,25.00,,,,,,,,
Proto Resource & opt dec11,PRWOB,0.005,0.1,25.00,,,,,,,,
Renison Cons,RSN,0.005,0.1,25.00,,,,,,,,
Silver Mines Ltd opt may11,SVLO,0.075,1.5,25.00,,,,,,,,
Macq Harbour,MHM,0.29,5.5,23.40,,,,,,,,
RAM Res opt mar12,RMRO,0.011,0.2,22.22,,,,,,,,
Apex Min NL opt nov12,AXMO,0.006,0.1,20.00,,,,,,,,
Northern Uranium rts27sepd,NTURB,0.12,2,20.00,,,,,,,,
Planet Metals Ltd,PMQ,0.12,2,20.00,,,,,,,,
Aragon Res,AAG,0.215,3.5,19.44,,,,,,,,
Outback Metals,OUM,0.031,0.5,19.23,,,,,,,,
Noble Min Res opt jul13,NMGOA,0.13,2,18.18,,,,,,,,
Olympus Pacific Min,OYM,0.425,6.5,18.06,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.165,2.5,17.86,,,,,,,,
Carnavale Res opt feb13,CAVO,0.02,0.3,17.65,,,,,,,,
Resource Generation,RES,0.705,10.5,17.50,,,,,,,,
Oil Basins Ltd,OBL,0.048,0.7,17.07,,,,,,,,
Artemis Res opt jun11,ARVOB,0.021,0.3,16.67,,,,,,,,
Hawthorn Res,HAW,0.007,0.1,16.67,,,,,,,,
Strzelecki Metals,STZ,0.015,0.2,15.38,,,,,,,,
Thor Min Plc cdi,THR,0.015,0.2,15.38,,,,,,,,
Resolute Min opt dec11,RSGO,0.70,9,14.75,,,,,,,,
Newport Min Ltd,NMN,0.49,6,13.95,,,,,,,,
Red Emperor Res,RMP,0.125,1.5,13.64,,,,,,,,
Atticus Resource,ACZ,0.17,2,13.33,,,,,,,,
Sovereign Metals,SVM,0.17,2,13.33,,,,,,,,
Trafford Res opt jul12,TRFO,0.17,2,13.33,,,,,,,,
Uranex NL,UNX,0.17,2,13.33,,,,,,,,
Range River Gold,RNG,0.026,0.3,13.04,,,,,,,,
Elemental Min opt jan12,ELMO,0.35,4,12.90,,,,,,,,
Argent Min opt jun11,ARDO,0.045,0.5,12.50,,,,,,,,
Gondwana Res,GDA,0.009,0.1,12.50,,,,,,,,
Proto Resource &,PRW,0.018,0.2,12.50,,,,,,,,
Saracen Min opt jun13,SARO,0.36,4,12.50,,,,,,,,
Noble Min Res,NMG,0.37,4,12.12,,,,,,,,
MEO Aust Ltd,MEO,0.435,4.5,11.54,,,,,,,,
D'aguilar Gold,DGR,0.078,0.8,11.43,,,,,,,,
Cobar Cons,CCU,0.245,2.5,11.36,,,,,,,,
Apac Coal,AAL,0.03,0.3,11.11,,,,,,,,
Lachlan Star Ltd,LSA,0.01,0.1,11.11,,,,,,,,
Ramelius Res,RMS,0.90,8.5,10.43,,,,,,,,
Alamar Res Ltd,ALG,0.215,2,10.26,,,,,,,,
Aurora Min Ltd,ARM,0.43,4,10.26,,,,,,,,
Strike Energy Ltd,STX,0.215,2,10.26,,,,,,,,
Eldore Min,EDM,0.011,0.1,10.00,,,,,,,,
Helix Res opt may11,HLXOA,0.022,0.2,10.00,,,,,,,,
Lefroy Res Ltd,LEF,0.077,0.7,10.00,,,,,,,,
QLD Min Corp opt may12,QMNO,0.022,0.2,10.00,,,,,,,,
Sth American Cor,SAY,0.055,0.5,10.00,,,,,,,,
Sun Res NL,SUR,0.077,0.7,10.00,,,,,,,,
Chameleon Min NL,CHM,0.023,0.2,9.52,,,,,,,,
Global Nickel Invest,GNI,0.023,0.2,9.52,,,,,,,,
Gunson Res,GUN,0.092,0.8,9.52,,,,,,,,
Reward Min Ltd,RWD,0.58,5,9.43,,,,,,,,
Ausgold Ltd opt mar13,AUCO,0.105,0.9,9.37,,,,,,,,
Uranium Explore,UXA,0.047,0.4,9.30,,,,,,,,
Alcyone Res Ltd,AYN,0.024,0.2,9.09,,,,,,,,
ERO Min Ltd,ERO,0.024,0.2,9.09,,,,,,,,
Golden Rim Res,GMR,0.18,1.5,9.09,,,,,,,,
Impact Min,IPT,0.12,1,9.09,,,,,,,,
Northern Uranium,NTU,0.30,2.5,9.09,,,,,,,,
Westralian Gas & Pwr,WGP,0.012,0.1,9.09,,,,,,,,
Aussie Q Res,AQR,0.545,4.5,9.00,,,,,,,,
West African Res,WAF,0.365,3,8.96,,,,,,,,
General Min Corp,GMM,0.125,1,8.70,,,,,,,,
Victorian Gold Mines,VGM,0.25,2,8.70,,,,,,,,
Castlemaine,CGT,0.038,0.3,8.57,,,,,,,,
QLD Min Corp,QMN,0.089,0.7,8.54,,,,,,,,
Gascoyne Res Ltd,GCY,0.09,0.7,8.43,,,,,,,,
AXG Min Ltd,AXC,0.013,0.1,8.33,,,,,,,,
Zamia Metals,ZGM,0.079,0.6,8.22,,,,,,,,
Tango Pet Ltd opt may11,TNPO,0.04,0.3,8.11,,,,,,,,
Auzex Res opt feb12,AZXOA,0.135,1,8.00,,,,,,,,
Jabiru Metals Ltd,JML,0.405,3,8.00,,,,,,,,
Nexus Energy Ltd,NXS,0.405,3,8.00,,,,,,,,
Northern Uranium opt mar12,NTUOB,0.135,1,8.00,,,,,,,,
Allied Gold Ltd,ALD,0.48,3.5,7.87,,,,,,,,
Bassari Res,BSR,0.28,2,7.69,,,,,,,,
Coppermoly Ltd,COY,0.14,1,7.69,,,,,,,,
MIL Res,MGK,0.028,0.2,7.69,,,,,,,,
Phosphate Aus Ltd,POZ,0.14,1,7.69,,,,,,,,
Red Sky Energy,ROG,0.014,0.1,7.69,,,,,,,,
Pac Niugini Ltd,PNR,0.285,2,7.55,,,,,,,,
Northern Min,NMI,0.10,0.7,7.53,,,,,,,,
Resolute Min,RSG,1.29,9,7.50,,,,,,,,
Auzex Res,AZX,0.295,2,7.27,,,,,,,,
North Queensland,NQM,0.37,2.5,7.25,,,,,,,,
Aphrodite Gold opt dec13,AQQO,0.03,0.2,7.14,,,,,,,,
Empire Oil & Gas,EGO,0.015,0.1,7.14,,,,,,,,
