Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4628.8 at 16:34 2/2/2010  Report at 19:05 Tuesday 2/2/2010. Processed 19:26 Tuesday 2/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.11,2.9,35.80,,,,,,,,
Tooth & Co,TTH,0.016,0.4,33.33,,,,,,,,
Biopharmica Ltd opt may10,BPHO,0.005,0.1,25.00,,,,,,,,
Smarttrans Hldgs,SMA,0.03,0.6,25.00,,,,,,,,
Essa Aust,ESS,0.235,4.5,23.68,,,,,,,,
Virax Hldgs cn dec11,VHLG,0.17,3,21.43,,,,,,,,
Connxion Ventures,CXN,0.053,0.9,20.45,,,,,,,,
Carbon Conscious,CCF,0.30,5,20.00,,,,,,,,
Mooter Media Ltd,MMZ,0.012,0.2,20.00,,,,,,,,
Aust Power,APK,0.45,7,18.42,,,,,,,,
Verus Invest opt jun10,VILO,0.007,0.1,16.67,,,,,,,,
Pro-Pac Packaging,PPG,0.23,3,15.00,,,,,,,,
Praemium Ltd,PPS,0.12,1.5,14.29,,,,,,,,
Virax Hldgs,VHL,0.082,1,13.89,,,,,,,,
Redcape Prop Grp stpld,RPF,0.29,3.5,13.73,,,,,,,,
Digislide Hldgs,DGI,0.295,3.5,13.46,,,,,,,,
Hills Ind Ltd,HIL,2.17,24.5,12.73,,,,,,,,
Autodom Ltd,AIE,0.08,0.9,12.68,,,,,,,,
Apollo Cons,AOP,0.009,0.1,12.50,,,,,,,,
Galileo Japan Tr unt,GJT,0.047,0.5,11.90,,,,,,,,
Ceramic Fuel Cells,CFU,0.19,2,11.76,,,,,,,,
Metal Storm Ltd,MST,0.019,0.2,11.76,,,,,,,,
Vita Grp Ltd,VTG,0.30,3,11.11,,,,,,,,
Runge Ltd,RUL,0.85,8,10.39,,,,,,,,
Cyclopharm Ltd,CYC,0.11,1,10.00,,,,,,,,
Planet Platinum,PPN,0.28,2.5,9.80,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.023,0.2,9.52,,,,,,,,
Valad Prop forus,VPG,0.115,1,9.52,,,,,,,,
Astro Jap Prop stp,AJA,0.355,3,9.23,,,,,,,,
Atcor Medical,ACG,0.18,1.5,9.09,,,,,,,,
Gage Roads Brewing,GRB,0.12,1,9.09,,,,,,,,
Flexigrp Ltd,FXL,1.55,12.5,8.77,,,,,,,,
Sirtex Medical,SRX,6.24,49,8.52,,,,,,,,
Clean Seas Tuna,CSS,0.26,2,8.33,,,,,,,,
Moko Mobi Ltd,MKB,0.13,1,8.33,,,,,,,,
Nomad Bld,NOD,0.265,2,8.16,,,,,,,,
Solagran Ltd,SLA,0.265,2,8.16,,,,,,,,
Global Min,GMI,1.155,8.5,7.94,,,,,,,,
Bell Financial Grp,BFG,1.10,8,7.84,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.028,0.2,7.69,,,,,,,,
Neptune Marine,NMS,0.425,3,7.59,,,,,,,,
ISS Grp Ltd,ISS,0.215,1.5,7.50,,,,,,,,
QRxPharma Ltd,QRX,0.86,6,7.50,,,,,,,,
Eneabba Gas Ltd,ENB,0.22,1.5,7.32,,,,,,,,
Somnomed Ltd,SOM,0.965,6.5,7.22,,,,,,,,
Biotron Ltd,BIT,0.105,0.7,7.14,,,,,,,,
China Century Capitl,CCY,0.045,0.3,7.14,,,,,,,,
Global Masters Fund,GFL,0.75,5,7.14,,,,,,,,
IFC Capital Ltd,IFC,0.15,1,7.14,,,,,,,,
Pharmanet Grp,PNO,0.015,0.1,7.14,,,,,,,,
Prima BioMed Ltd,PRR,0.15,1,7.14,,,,,,,,
RTL Corp Ltd,RTL,0.015,0.1,7.14,,,,,,,,
Universal Biosensors cdi,UBI,1.75,11.5,7.03,,,,,,,,
OBJ Ltd,OBJ,0.031,0.2,6.90,,,,,,,,
Sims Metal Mgmt,SGM,22.07,141,6.82,,,,,,,,
Comtel Corp Ltd,CMO,0.016,0.1,6.67,,,,,,,,
Legacy Iron Ore,LCY,0.16,1,6.67,,,,,,,,
Paragon Care Ltd,PGC,0.032,0.2,6.67,,,,,,,,
Marine Produce Aust,MPA,0.033,0.2,6.45,,,,,,,,
XRF Scientific,XRF,0.17,1,6.25,,,,,,,,
Auckland Airport fpo nz,AIA,1.555,9,6.14,,,,,,,,
APN European Retail stpld,AEZ,0.07,0.4,6.06,,,,,,,,
Hudson Invest,HGL,0.09,0.5,5.88,,,,,,,,
Tyrian Diagnostics,TDX,0.018,0.1,5.88,,,,,,,,
Clover Corp,CLV,0.275,1.5,5.77,,,,,,,,
OneSteel Ltd,OST,3.16,17,5.69,,,,,,,,
Peet Ltd,PPC,2.12,11,5.47,,,,,,,,
Emeco Hldgs,EHL,0.68,3.5,5.43,,,,,,,,
Cervantes Corp,CVS,0.039,0.2,5.41,,,,,,,,
Macq Fortress frn aug35,MFNHA,0.195,1,5.41,,,,,,,,
Macq Office unt,MOF,0.295,1.5,5.36,,,,,,,,
GPT Grp stpld,GPT,0.60,3,5.26,,,,,,,,
Tissue Therapies,TIS,0.20,1,5.26,,,,,,,,
BlueScope Steel,BSL,2.63,13,5.20,,,,,,,,
AVJennings,AVJ,0.52,2.5,5.05,,,,,,,,
Incitec Pivot,IPL,3.33,16,5.05,,,,,,,,
Forge Grp Ltd,FGE,1.99,9.5,5.01,,,,,,,,
Cheviot Bridge,CVB,0.042,0.2,5.00,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.021,0.1,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Burleson Energy opt aug10,BURO,0.01,0.5,100.00,,,,,,,,
Desert Energy opt apr10,DSNO,0.015,0.6,66.67,,,,,,,,
Eldore Min,EDM,0.032,1,45.45,,,,,,,,
Trafford Res,TRF,0.82,25.5,45.13,,,,,,,,
Aussie Q Res,AQR,0.375,11,41.51,,,,,,,,
GB Energy Ltd opt sep11,GBXO,0.004,0.1,33.33,,,,,,,,
Resource Min Corp opt mar12,RMIO,0.004,0.1,33.33,,,,,,,,
Ironclad Min,IFE,1.18,28,31.11,,,,,,,,
Austral Gold,AGD,0.18,4,28.57,,,,,,,,
Fall River Res cdi,FRV,0.044,0.9,25.71,,,,,,,,
Robust Res,ROL,1.78,35,24.48,,,,,,,,
Matsa Res,MAT,0.44,8.5,23.94,,,,,,,,
Aura Energy,AEE,0.17,3,21.43,,,,,,,,
Resolute Min opt dec11,RSGO,0.46,8,21.05,,,,,,,,
Central Pet opt jun10,CTPOA,0.012,0.2,20.00,,,,,,,,
Desert Energy,DSN,0.18,3,20.00,,,,,,,,
Imperial Corp Ltd,IMP,0.006,0.1,20.00,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.006,0.1,20.00,,,,,,,,
Monax Min Ltd opt nov11,MOXO,0.03,0.5,20.00,,,,,,,,
Monitor Energy,MHL,0.006,0.1,20.00,,,,,,,,
Sthn Gold,SAU,0.12,2,20.00,,,,,,,,
Vector Res Ltd opt jun12,VECO,0.025,0.4,19.05,,,,,,,,
Central Pet,CTP,0.115,1.8,18.56,,,,,,,,
Lincoln Min,LML,0.395,6,17.91,,,,,,,,
Navigator Res opt nov11,NAVO,0.053,0.8,17.78,,,,,,,,
Genesis Res,GES,0.17,2.5,17.24,,,,,,,,
Lakes Oil NL,LKO,0.007,0.1,16.67,,,,,,,,
Stirling Min opt dec13,SMZOA,0.035,0.5,16.67,,,,,,,,
Drummond Gold Ltd,DGO,0.052,0.7,15.56,,,,,,,,
Cortona Res,CRC,0.15,2,15.38,,,,,,,,
Eastern Corp,ECU,0.305,4,15.09,,,,,,,,
Uraniumsa Ltd,USA,0.195,2.5,14.71,,,,,,,,
Resolute Min,RSG,1.035,13,14.36,,,,,,,,
Burleson Energy,BUR,0.072,0.9,14.29,,,,,,,,
Sumatra Copper cdi 1:1,SUM,0.24,3,14.29,,,,,,,,
Target Energy opt oct12,TEXOB,0.016,0.2,14.29,,,,,,,,
United Uranium,UUL,0.20,2.5,14.29,,,,,,,,
Global Geoscience,GSC,0.105,1.3,14.13,,,,,,,,
CGA Min Ltd,CGX,2.17,26,13.61,,,,,,,,
NKWE Platinum com,NKP,0.55,6.5,13.40,,,,,,,,
Macarthur Coal,MCC,9.89,114,13.03,,,,,,,,
Magnetic Res,MAU,0.44,5,12.82,,,,,,,,
A'asia Gold,AAO,0.08,0.9,12.68,,,,,,,,
Aust Renewable,ARW,0.018,0.2,12.50,,,,,,,,
Golden State Res opt nov10,GDNOA,0.009,0.1,12.50,,,,,,,,
Minemakers Ltd opt may10,MAKO,0.027,0.3,12.50,,,,,,,,
New Guinea Energy,NGE,0.135,1.5,12.50,,,,,,,,
Strategic Energy,SER,0.027,0.3,12.50,,,,,,,,
Drillsearch Energy,DLS,0.073,0.8,12.31,,,,,,,,
FerrAus Ltd,FRS,0.735,8,12.21,,,,,,,,
Comet Ridge Ltd,COI,0.325,3.5,12.07,,,,,,,,
Corvette Res,COV,0.24,2.5,11.63,,,,,,,,
Prime Min,PIM,0.058,0.6,11.54,,,,,,,,
OceanaGold Corp cdi,OGC,1.935,20,11.53,,,,,,,,
Medusa Min Ltd,MML,3.22,33,11.42,,,,,,,,
Silver Lake Resource,SLR,0.94,9.5,11.24,,,,,,,,
Korab Res,KOR,0.25,2.5,11.11,,,,,,,,
Liberty Resource,LBY,0.10,1,11.11,,,,,,,,
Pacrim Energy,PRE,0.01,0.1,11.11,,,,,,,,
Platinum Aust,PLA,1.00,10,11.11,,,,,,,,
Pryme Oil & Gas,PYM,0.07,0.7,11.11,,,,,,,,
Royal Res,ROY,0.20,2,11.11,,,,,,,,
Perseus Min Ltd,PRU,1.655,16.5,11.07,,,,,,,,
Cazaly Res,CAZ,0.41,4,10.81,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.31,3,10.71,,,,,,,,
Pegasus Metals,PUN,0.105,1,10.53,,,,,,,,
Saracen Min,SAR,0.42,4,10.53,,,,,,,,
Shaw River Res,SRR,0.21,2,10.53,,,,,,,,
Peak Res,PEK,0.16,1.5,10.34,,,,,,,,
Carbon Energy,CNX,0.59,5.5,10.28,,,,,,,,
Apex Min NL opt nov12,AXMO,0.011,0.1,10.00,,,,,,,,
Eastern Iron,EFE,0.11,1,10.00,,,,,,,,
Heritage Gold NZ,HTM,0.022,0.2,10.00,,,,,,,,
Monto Min Ltd,MOO,0.011,0.1,10.00,,,,,,,,
Natasa Min Ltd,NSN,1.10,10,10.00,,,,,,,,
Oilex Ltd,OEX,0.11,1,10.00,,,,,,,,
Redbank Copper,RCP,0.011,0.1,10.00,,,,,,,,
Richmond Min,RHM,0.165,1.5,10.00,,,,,,,,
Triton Gold Ltd,TON,0.22,2,10.00,,,,,,,,
Moly Mines Ltd,MOL,0.945,8.5,9.88,,,,,,,,
Western Areas NL,WSA,4.25,38,9.82,,,,,,,,
Murchison Metals,MMX,2.25,20,9.76,,,,,,,,
Thundelarra Explor,THX,0.395,3.5,9.72,,,,,,,,
Fox Res,FXR,0.17,1.5,9.68,,,,,,,,
Ironbark Gold,IBG,0.17,1.5,9.68,,,,,,,,
Golden Cross,GCR,0.023,0.2,9.52,,,,,,,,
Gunson Res,GUN,0.115,1,9.52,,,,,,,,
Zinc Co Aust,ZNC,0.175,1.5,9.37,,,,,,,,
A1 Min Ltd,AAM,0.36,3,9.09,,,,,,,,
Chrysalis Res,CYS,0.30,2.5,9.09,,,,,,,,
Greenland Min En,GGG,0.60,5,9.09,,,,,,,,
Icon Energy Ltd,ICN,0.30,2.5,9.09,,,,,,,,
PanAust Ltd,PNA,0.48,4,9.09,,,,,,,,
Planet Gas Ltd,PGS,0.12,1,9.09,,,,,,,,
Tasman Res Ltd,TAS,0.12,1,9.09,,,,,,,,
Vulcan Res,VCN,0.12,1,9.09,,,,,,,,
Aurora Min Ltd,ARM,1.025,8.5,9.04,,,,,,,,
Aviva Corp,AVA,0.074,0.6,8.82,,,,,,,,
Crescent Gold,CRE,0.185,1.5,8.82,,,,,,,,
Ausmon Resources,AOA,0.31,2.5,8.77,,,,,,,,
Hillgrove Res Ltd,HGO,0.375,3,8.70,,,,,,,,
Westralian Gas & Pwr,WGP,0.025,0.2,8.70,,,,,,,,
Aurox Res,AXO,0.315,2.5,8.62,,,,,,,,
Coeur D'alene Mines cdi 1:1,CXC,17.30,137,8.60,,,,,,,,
Cockatoo Coal,COK,0.38,3,8.57,,,,,,,,
Finders Res,FND,0.38,3,8.57,,,,,,,,
Gryphon Min Ltd,GRY,0.445,3.5,8.54,,,,,,,,
Mincor Res NL,MCR,1.53,12,8.51,,,,,,,,
Nexus Energy Ltd,NXS,0.255,2,8.51,,,,,,,,
Contl Coal Ltd,CCC,0.052,0.4,8.33,,,,,,,,
GBM Rsources Ltd,GBZ,0.195,1.5,8.33,,,,,,,,
Signature Metals,SBL,0.026,0.2,8.33,,,,,,,,
Anvil Min cdi,AVM,3.59,27,8.13,,,,,,,,
