Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5024.1 at 16:35 15/4/2010  Report at 19:05 Thursday 15/4/2010. Processed 19:12 Thursday 15/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Uramet Min,URM,0.06,1.5,33.33,,,,,,,,
Aust Gold Invest,AGV,0.035,0.8,29.63,,,,,,,,
Exoma Energy Ltd opt mar11,EXEO,0.12,2.6,27.66,,,,,,,,
Newland Res,NRL,0.019,0.4,26.67,,,,,,,,
Activex Ltd opt jul10,AIVO,0.05,1,25.00,,,,,,,,
Orion Pet Ltd opt sep10,OIPO,0.005,0.1,25.00,,,,,,,,
WCP Res Ltd opt jun10,WCPO,0.037,0.7,23.33,,,,,,,,
Alloy Res,AYR,0.035,0.6,20.69,,,,,,,,
Blackham Res opt oct11,BLKO,0.12,2,20.00,,,,,,,,
Chrysalis Res opt jun13,CYSO,0.12,2,20.00,,,,,,,,
Latin Gold Ltd,LAT,0.03,0.5,20.00,,,,,,,,
Mithril Res opt sep11,MTHO,0.08,1.3,19.40,,,,,,,,
Matilda Zircon,MZI,0.019,0.3,18.75,,,,,,,,
Laconia Res Ltd,LCR,0.17,2.5,17.24,,,,,,,,
Elemental Min opt jan12,ELMO,0.21,3,16.67,,,,,,,,
Hawthorn Res,HAW,0.007,0.1,16.67,,,,,,,,
Rialto Energy opt jun11,RIAO,0.07,1,16.67,,,,,,,,
Impress Energy,ITC,0.051,0.7,15.91,,,,,,,,
European Gas,EPG,0.115,1.5,15.00,,,,,,,,
Lodestar Min,LSR,0.115,1.5,15.00,,,,,,,,
Gascoyne Res Ltd,GCY,0.12,1.5,14.29,,,,,,,,
Integrated Res,IRG,0.016,0.2,14.29,,,,,,,,
Globe Metals & Mining,GBE,0.205,2.5,13.89,,,,,,,,
GBM Rsources Ltd,GBZ,0.125,1.5,13.64,,,,,,,,
Zinc Co Aust,ZNC,0.17,2,13.33,,,,,,,,
Buccaneer Energy opt nov12,BCCO,0.045,0.5,12.50,,,,,,,,
Gateway Min,GML,0.045,0.5,12.50,,,,,,,,
Latrobe Magnesium,LMG,0.018,0.2,12.50,,,,,,,,
Sirius Res NL,SIR,0.009,0.1,12.50,,,,,,,,
Sthn Uranium,SNU,0.225,2.5,12.50,,,,,,,,
Impact Min,IPT,0.185,2,12.12,,,,,,,,
Bauxite Resource,BAU,0.375,4,11.94,,,,,,,,
Victory West Moly,VWM,0.235,2.5,11.90,,,,,,,,
Corvette Res Ltd,CVX,0.095,1,11.76,,,,,,,,
Rimfire Pacific,RIM,0.019,0.2,11.76,,,,,,,,
Buru Energy opt oct10,BRUO,0.01,0.1,11.11,,,,,,,,
Buxton Res Ltd,BUX,0.10,1,11.11,,,,,,,,
Erongo Energy,ERN,0.08,0.8,11.11,,,,,,,,
Intermin Res,IRC,0.20,2,11.11,,,,,,,,
Resolute Min opt dec11,RSGO,0.61,6,10.91,,,,,,,,
Venus Res,VNS,0.825,8,10.74,,,,,,,,
Exoma Energy Ltd opt sep12,EXEOA,0.21,2,10.53,,,,,,,,
Whinnen Res,WWW,0.085,0.8,10.39,,,,,,,,
Reward Min Ltd,RWD,0.48,4.5,10.34,,,,,,,,
Grand Gulf Energy,GGE,0.011,0.1,10.00,,,,,,,,
Gulf Mines Ltd,GLM,0.033,0.3,10.00,,,,,,,,
Peak Res,PEK,0.165,1.5,10.00,,,,,,,,
Pepinnini Min,PNN,0.22,2,10.00,,,,,,,,
Planet Metals Ltd,PMQ,0.099,0.9,10.00,,,,,,,,
White Cliff Nickel opt jun11,WCNO,0.011,0.1,10.00,,,,,,,,
Ord River Res,ORD,0.045,0.4,9.76,,,,,,,,
Sth Boulder Mines,STB,0.925,8,9.47,,,,,,,,
Tasman Res Ltd,TAS,0.175,1.5,9.37,,,,,,,,
Enterprise Metals,ENT,0.295,2.5,9.26,,,,,,,,
Artemis Res,ARV,0.06,0.5,9.09,,,,,,,,
Blina Diamonds NL,BDI,0.012,0.1,9.09,,,,,,,,
Jupiter Energy opt jun10,JPROA,0.012,0.1,9.09,,,,,,,,
Marengo Min,MGO,0.12,1,9.09,,,,,,,,
Monto Min Ltd,MOO,0.012,0.1,9.09,,,,,,,,
Northern Uranium,NTU,0.12,1,9.09,,,,,,,,
Thundelarra Explor,THX,0.575,4.5,8.49,,,,,,,,
Agri Energy Ltd,AAE,0.013,0.1,8.33,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.65,5,8.33,,,,,,,,
Montezuma Min Co,MZM,0.26,2,8.33,,,,,,,,
Quest Pet,QPN,0.013,0.1,8.33,,,,,,,,
Hunnu Coal Ltd,HUN,0.72,5.5,8.27,,,,,,,,
Intrepid Mines,IAU,0.395,3,8.22,,,,,,,,
Luiri Gold Ltd cdi  1:1,LGM,0.40,3,8.11,,,,,,,,
Rubianna Res Ltd,RRE,0.27,2,8.00,,,,,,,,
Liontown Res,LTR,0.068,0.5,7.94,,,,,,,,
Activex Ltd,AIV,0.14,1,7.69,,,,,,,,
Greenearth Energy,GER,0.14,1,7.69,,,,,,,,
Mintails Ltd,MLI,0.028,0.2,7.69,,,,,,,,
Buru Energy,BRU,0.285,2,7.55,,,,,,,,
Carbon Energy,CNX,0.57,4,7.55,,,,,,,,
Clancy Explore,CLY,0.145,1,7.41,,,,,,,,
