Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4907.2 at 16:34 29/3/2010  Report at 19:06 Monday 29/3/2010. Processed 19:30 Monday 29/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
MGM Wireless Ltd,MWR,0.012,0.5,71.43,,,,,,,,
World Wide Ent Grp,WWG,0.09,3.5,63.64,,,,,,,,
Consolidated Global,CGI,0.035,1,40.00,,,,,,,,
GSF Corp Ltd,GSF,0.004,0.1,33.33,,,,,,,,
WAG Ltd,WAG,0.008,0.2,33.33,,,,,,,,
Eumundi Grp Ltd,EBG,0.065,1.5,30.00,,,,,,,,
Dromana Estate,DMY,0.029,0.6,26.09,,,,,,,,
Inventis Ltd,IVT,0.05,1,25.00,,,,,,,,
Medigard Ltd,MGZ,0.11,2,22.22,,,,,,,,
ING Real Est Ente unt,IEF,0.18,3,20.00,,,,,,,,
Comtel Corp Ltd,CMO,0.02,0.3,17.65,,,,,,,,
Brainz Instruments,BZI,0.14,2,16.67,,,,,,,,
Genetic Tech,GTG,0.043,0.6,16.22,,,,,,,,
E-Com Multi Ltd,ECE,0.008,0.1,14.29,,,,,,,,
Biotron Ltd opt dec11,BITO,0.025,0.3,13.64,,,,,,,,
Style Ltd,SYP,0.029,0.3,11.54,,,,,,,,
Digislide Hldgs,DGI,0.20,2,11.11,,,,,,,,
PPK Grp Ltd,PPK,0.50,5,11.11,,,,,,,,
Arafura Pearls,APB,0.021,0.2,10.53,,,,,,,,
Xiaoxiao Education,XXL,0.21,2,10.53,,,,,,,,
ASF Grp Ltd,AFA,0.175,1.5,9.37,,,,,,,,
Pharmanet Grp,PNO,0.012,0.1,9.09,,,,,,,,
MAX Tr unt,MXQ,0.064,0.5,8.47,,,,,,,,
Coote Industrial,CXG,0.26,2,8.33,,,,,,,,
Collection House,CLH,0.79,6,8.22,,,,,,,,
Axiom Prop,AXI,0.027,0.2,8.00,,,,,,,,
IPGA Ltd,IPP,0.28,2,7.69,,,,,,,,
Metal Storm Ltd,MST,0.014,0.1,7.69,,,,,,,,
Ainsworth Game Tech,AGI,0.145,1,7.41,,,,,,,,
Progen Pharmaceutic,PGL,0.52,3.5,7.22,,,,,,,,
Amcom Telecomm,AMM,0.30,2,7.14,,,,,,,,
Synergy Plus Ltd,SNR,0.045,0.3,7.14,,,,,,,,
Thomas & Coffey,THO,0.455,3,7.06,,,,,,,,
Clever Com Aus,CVA,0.077,0.5,6.94,,,,,,,,
iiNet Ltd,IIN,2.62,17,6.94,,,,,,,,
Staging Connections,STG,0.032,0.2,6.67,,,,,,,,
MMC Contrarian,MMA,0.57,3.5,6.54,,,,,,,,
RCR Tomlinson,RCR,1.26,7.5,6.33,,,,,,,,
Generator Income gennote2,GINHA,71.00,410,6.13,,,,,,,,
CO2 Grp Ltd,COZ,0.175,1,6.06,,,,,,,,
Capitol Health,CAJ,0.053,0.3,6.00,,,,,,,,
Genera Biosystems,GBI,0.74,4,5.71,,,,,,,,
Early Learning Serv,ELY,0.475,2.5,5.56,,,,,,,,
Galileo Japan Tr unt,GJT,0.038,0.2,5.56,,,,,,,,
Skywest Airlines cdi  1:1,SXR,0.38,2,5.56,,,,,,,,
Webfirm Grp Ltd,WFM,0.057,0.3,5.56,,,,,,,,
Fantastic Hldgs,FAN,3.65,19,5.49,,,,,,,,
Analytica Ltd,ALT,0.06,0.3,5.26,,,,,,,,
Prime Media Grp,PRT,0.80,4,5.26,,,,,,,,
Pulse Health Ltd,PHG,0.06,0.3,5.26,,,,,,,,
Supply Net,SNL,0.30,1.5,5.26,,,,,,,,
GoConnect Ltd,GCN,0.021,0.1,5.00,,,,,,,,
NeuroDiscovery,NDL,0.042,0.2,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Avanco Res Ltd opt jun10,AVBO,0.002,0.1,100.00,,,,,,,,
Beach Energy Ltd opt jun10,BPTO,0.005,0.2,66.67,,,,,,,,
Burleson Energy opt aug10,BURO,0.015,0.5,50.00,,,,,,,,
