Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4651.5 at 16:42 24/9/2010  Report at 19:06 Friday 24/9/2010. Processed 22:13 Sunday 26/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Olea Australis,OLE,0.004,0.1,33.33,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.225,5.5,32.35,,,,,,,,
Strathfield Grp,SRA,0.005,0.1,25.00,,,,,,,,
Transol Corp,TNC,0.005,0.1,25.00,,,,,,,,
C @ Ltd,CEO,0.018,0.3,20.00,,,,,,,,
E-Com Multi Ltd,ECE,0.008,0.1,14.29,,,,,,,,
Advanced Magnesium,ANM,0.049,0.6,13.95,,,,,,,,
Autodom Ltd,AIE,0.068,0.8,13.33,,,,,,,,
Quickflix Ltd,QFX,0.034,0.4,13.33,,,,,,,,
Greencap Ltd,GCG,0.09,1,12.50,,,,,,,,
Centrepoint Alliance,CAF,0.14,1.5,12.00,,,,,,,,
Apollo Cons,AOP,0.019,0.2,11.76,,,,,,,,
Consolidated Global,CGI,0.04,0.4,11.11,,,,,,,,
GBST Hldgs,GBT,1.00,10,11.11,,,,,,,,
Orbital Corp Ltd,OEC,0.03,0.3,11.11,,,,,,,,
Cabcharge Aust,CAB,5.95,57,10.59,,,,,,,,
Enerji Ltd,ERJ,0.021,0.2,10.53,,,,,,,,
Ideas Intl,IDE,0.755,6.5,9.42,,,,,,,,
Chemgenex Pharmac,CXS,0.38,3,8.57,,,,,,,,
Novogen Ltd,NRT,0.13,1,8.33,,,,,,,,
Oakajee Corp Ltd,OKJ,0.13,1,8.33,,,,,,,,
Vesture Ltd,VES,0.13,1,8.33,,,,,,,,
Ainsworth Game Tech,AGI,0.135,1,8.00,,,,,,,,
Biotech Capital,BTC,0.14,1,7.69,,,,,,,,
Bravura Solutions,BVA,0.14,1,7.69,,,,,,,,
Stratatel Ltd,STE,0.043,0.3,7.50,,,,,,,,
Cougar Energy,CXY,0.029,0.2,7.41,,,,,,,,
Emerson Stewart Grp,ESW,0.075,0.5,7.14,,,,,,,,
MobileActive Ltd,MBA,0.03,0.2,7.14,,,,,,,,
TPL Corp Ltd,TPL,0.015,0.1,7.14,,,,,,,,
Verus Invest,VIL,0.015,0.1,7.14,,,,,,,,
Thinksmart Ltd,TSM,0.685,4.5,7.03,,,,,,,,
Redcape Prop Grp stp,RPF,0.16,1,6.67,,,,,,,,
CathRx Ltd,CXD,0.25,1.5,6.38,,,,,,,,
DKN Financial Grp,DKN,0.585,3.5,6.36,,,,,,,,
Wasabi Energy Ltd,WAS,0.017,0.1,6.25,,,,,,,,
Energy Ventures,EVE,0.089,0.5,5.95,,,,,,,,
Mesoblast Ltd,MSB,2.70,15,5.88,,,,,,,,
Techniche Ltd,TCN,0.037,0.2,5.71,,,,,,,,
Antaria Ltd,ANO,0.038,0.2,5.56,,,,,,,,
Dyesol Ltd,DYE,0.865,4.5,5.49,,,,,,,,
Comtel Corp Ltd,CMO,0.02,0.1,5.26,,,,,,,,
Lindsay Aust,LAU,0.205,1,5.13,,,,,,,,
Aeris Environmental,AEI,0.315,1.5,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
ARC Explore Ltd opt jan11,ARXOA,0.002,0.1,100.00,,,,,,,,
Gondwana Res opt jun11,GDAO,0.006,0.3,100.00,,,,,,,,
Rimfire Pacific opt aug11,RIMO,0.002,0.1,100.00,,,,,,,,
Gondwana Res,GDA,0.015,0.6,66.67,,,,,,,,
Kasbah Res,KAS,0.21,7,50.00,,,,,,,,
Consolidated Tin Min,CSD,0.059,1.9,47.50,,,,,,,,
D'aguilar Gold,DGR,0.115,3.4,41.98,,,,,,,,
Goldsearch Ltd,GSE,0.028,0.6,27.27,,,,,,,,
Comet Res,CRL,0.05,1,25.00,,,,,,,,
Consolidated Tin Min opt dec13,CSDO,0.015,0.3,25.00,,,,,,,,
Strzelecki Metals,STZ,0.02,0.4,25.00,,,,,,,,
Uranium Equities,UEQ,0.115,2,21.05,,,,,,,,
YTC Res,YTC,0.29,5,20.83,,,,,,,,
Advance Energy,AVD,0.012,0.2,20.00,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.012,0.2,20.00,,,,,,,,
Octanex NL opt dec10,OXXO,0.12,2,20.00,,,,,,,,
Range Res Ltd opt dec11,RRSO,0.054,0.9,20.00,,,,,,,,
Malagasy Min,MGY,0.25,4,19.05,,,,,,,,
Forge Res Ltd opt jul14,FRGO,0.20,3,17.65,,,,,,,,
Ausamerican Min,AIW,0.042,0.6,16.67,,,,,,,,
Modena Res Ltd opt dec13,MDAOA,0.007,0.1,16.67,,,,,,,,
Phosphate Aus Ltd,POZ,0.14,2,16.67,,,,,,,,
Renison Cons 12% cn12,RSNG,0.07,1,16.67,,,,,,,,
Stellar Res,SRZ,0.082,1.1,15.49,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.225,3,15.38,,,,,,,,
Syngas Ltd,SYS,0.015,0.2,15.38,,,,,,,,
Victorian Gold Mines opt mar14,VGMO,0.075,1,15.38,,,,,,,,
Carpathian Res,CPN,0.023,0.3,15.00,,,,,,,,
Quantum Res,QUR,0.023,0.3,15.00,,,,,,,,
East Africa Res,EAF,0.20,2.5,14.29,,,,,,,,
Richmond Min opt dec10,RHMO,0.16,2,14.29,,,,,,,,
RMG Ltd,RMG,0.008,0.1,14.29,,,,,,,,
Sth American Cor,SAY,0.096,1.2,14.29,,,,,,,,
Whinnen Res,WWW,0.057,0.7,14.00,,,,,,,,
Macq Harbour opt aug12,MHMO,0.33,4,13.79,,,,,,,,
United Uranium,UUL,0.125,1.5,13.64,,,,,,,,
Avanco Res Ltd opt apr12,AVBOB,0.051,0.6,13.33,,,,,,,,
WHL Energy Ltd,WHN,0.017,0.2,13.33,,,,,,,,
Augur Res Ltd,AUK,0.175,2,12.90,,,,,,,,
Augustus Min,AUJ,0.18,2,12.50,,,,,,,,
Lachlan Star Ltd,LSA,0.009,0.1,12.50,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.027,0.3,12.50,,,,,,,,
Peninsula Min opt jun12,PENOA,0.018,0.2,12.50,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.009,0.1,12.50,,,,,,,,
Uran Ltd,URA,0.018,0.2,12.50,,,,,,,,
Liontown Res,LTR,0.11,1.2,12.24,,,,,,,,
ABM Res NL,ABU,0.038,0.4,11.76,,,,,,,,
Aussie Q Res,AQR,0.585,6,11.43,,,,,,,,
Azimuth Res Ltd,AZH,0.15,1.5,11.11,,,,,,,,
Cazaly Res opt feb11,CAZO,0.30,3,11.11,,,,,,,,
Crossland Uranium,CUX,0.15,1.5,11.11,,,,,,,,
Newera Uranium,NRU,0.03,0.3,11.11,,,,,,,,
Ormil Energy Ltd,OMX,0.06,0.6,11.11,,,,,,,,
Papillon Res Ltd opt dec10,PIRO,0.20,2,11.11,,,,,,,,
Iron Road Ltd,IRD,0.61,6,10.91,,,,,,,,
Alliance Res,AGS,0.415,4,10.67,,,,,,,,
Chalice Gold Mines,CHN,0.64,6,10.34,,,,,,,,
Adamus Res rts07octd,ADURA,0.11,1,10.00,,,,,,,,
Atlantic Gold NL,ATV,0.055,0.5,10.00,,,,,,,,
Carnavale Res,CAV,0.11,1,10.00,,,,,,,,
Geopacific Res,GPR,0.55,5,10.00,,,,,,,,
Helix Res opt may11,HLXOA,0.033,0.3,10.00,,,,,,,,
Vital Metals Ltd,VML,0.11,1,10.00,,,,,,,,
Monax Min Ltd,MOX,0.057,0.5,9.62,,,,,,,,
Range Res Ltd,RRS,0.105,0.9,9.37,,,,,,,,
West African Res,WAF,0.35,3,9.37,,,,,,,,
White Canyon Uranium,WCU,0.07,0.6,9.38,,,,,,,,
Papillon Res Ltd,PIR,0.415,3.5,9.21,,,,,,,,
Quest Pet,QPN,0.012,0.1,9.09,,,,,,,,
Heritage Gold Nz,HTM,0.025,0.2,8.70,,,,,,,,
Magnetic Res,MAU,0.38,3,8.57,,,,,,,,
Argonaut Res,ARE,0.13,1,8.33,,,,,,,,
Kairiki Energy,KIK,0.13,1,8.33,,,,,,,,
Po Valley Energy,PVE,0.26,2,8.33,,,,,,,,
Venture Min,VMS,0.525,4,8.25,,,,,,,,
Boulder Steel opt mar12,BGDO,0.04,0.3,8.11,,,,,,,,
Austex Oil Ltd,AOK,0.135,1,8.00,,,,,,,,
Neon Energy Ltd,NEN,0.135,1,8.00,,,,,,,,
North Aust Ltd,NAD,0.027,0.2,8.00,,,,,,,,
Uramet Min,URM,0.054,0.4,8.00,,,,,,,,
Sierra Min,SRM,0.205,1.5,7.89,,,,,,,,
Avanco Res Ltd,AVB,0.069,0.5,7.81,,,,,,,,
Amex Res,AXZ,0.14,1,7.69,,,,,,,,
Dragon Mountain Gold,DMG,0.28,2,7.69,,,,,,,,
Great Western Exp,GTE,0.28,2,7.69,,,,,,,,
Mantle Min Corp,MNM,0.042,0.3,7.69,,,,,,,,
Transerv Energy,TSV,0.014,0.1,7.69,,,,,,,,
Macq Harbour,MHM,0.44,3,7.32,,,,,,,,
Aphrodite Gold opt dec13,AQQO,0.03,0.2,7.14,,,,,,,,
Empire Oil & Gas,EGO,0.015,0.1,7.14,,,,,,,,
Latrobe Magnesium,LMG,0.015,0.1,7.14,,,,,,,,
Carpentaria Exp,CAP,0.47,3,6.82,,,,,,,,
