Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4847.5 at 16:36 22/3/2010  Report at 19:06 Monday 22/3/2010. Processed 19:08 Monday 22/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Authorised Invest,AIY,0.025,1.2,92.31,,,,,,,,
Datasquirt Ltd,DSQ,0.155,5.5,55.00,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.20,7,53.85,,,,,,,,
Eastland Medical opt jun11,EMSOB,0.035,1,40.00,,,,,,,,
Pienets Ltd,PIE,0.032,0.7,28.00,,,,,,,,
NewSat Ltd,NWT,0.005,0.1,25.00,,,,,,,,
Mesa Min Ltd,MAS,0.096,1.6,20.00,,,,,,,,
Pac Environment,PEH,0.18,3,20.00,,,,,,,,
Macq Fortress frn aug35,MFNHA,0.225,3.7,19.68,,,,,,,,
ECO Quest,ECQ,0.135,2,17.39,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.021,0.3,16.67,,,,,,,,
Ceramic Fuel Cells,CFU,0.21,3,16.67,,,,,,,,
Overseas & Gen cdi,OGL,0.07,1,16.67,,,,,,,,
E-Com Multi Ltd,ECE,0.008,0.1,14.29,,,,,,,,
Healthlinx Ltd opt dec13,HTXOA,0.13,1.5,13.04,,,,,,,,
Clean Seas Tuna,CSS,0.175,2,12.90,,,,,,,,
Apollo Cons,AOP,0.009,0.1,12.50,,,,,,,,
IFC Capital Ltd,IFC,0.135,1.5,12.50,,,,,,,,
World Reach Ltd,WRR,0.009,0.1,12.50,,,,,,,,
Living Cell Tech,LCT,0.235,2.5,11.90,,,,,,,,
Genetic Tech,GTG,0.038,0.4,11.76,,,,,,,,
Healthlinx Ltd,HTX,0.195,2,11.43,,,,,,,,
Wellcom Grp Ltd,WLL,2.13,21,10.94,,,,,,,,
Kresta Hldgs,KRS,0.46,4.5,10.84,,,,,,,,
Arafura Pearls,APB,0.021,0.2,10.53,,,,,,,,
Globe Sec,GTI,0.066,0.6,10.00,,,,,,,,
Techniche Ltd,TCN,0.08,0.7,9.59,,,,,,,,
Intermoco Ltd,INT,0.012,0.1,9.09,,,,,,,,
IPGA Ltd,IPP,0.30,2.5,9.09,,,,,,,,
Legend Corp,LGD,0.18,1.5,9.09,,,,,,,,
Quest Min Ltd,QNL,0.09,0.7,8.43,,,,,,,,
Mooter Media Ltd,MMZ,0.027,0.2,8.00,,,,,,,,
Resourc & En Grp,REZ,0.15,1,7.14,,,,,,,,
Souls Private Equity opt feb15,SOEOA,0.015,0.1,7.14,,,,,,,,
Tyrian Diagnostics,TDX,0.015,0.1,7.14,,,,,,,,
CathRx Ltd,CXD,0.235,1.5,6.82,,,,,,,,
Atlantic Ltd,ATI,0.032,0.2,6.67,,,,,,,,
Symex Hldgs,SYM,0.48,3,6.67,,,,,,,,
