Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5305.5 at 2015-11-20T16:37:05. Report at Friday, November 20, 2015. Processed Saturday at 2015-11-21T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Barrack St Invest opt aug16,BSTO,.02,+1,+100.0,,
AnaeCo,ANQ,.003,+.1,+50.00,,
DataDot Tech,DDT,.029,+.8,+38.10,,
Ecargo Hldgs cdi,ECG,.30,+6,+25.00,,
8common,8CO,.205,+3.5,+20.59,,
Future Gen Global Inv opt sep17,FGGO,.053,+.9,+20.45,,
Dubber Corp,DUB,.75,+11.5,+18.11,,
Bone Medical,BNE,.007,+.1,+16.67,,
LWP Tech,LWP,.007,+.1,+16.67,,
Kneomedia,KNM,.022,+.3,+15.79,,
Unilife Corp cdi,UNS,.23,+3,+15.00,,
BPH Energy,BPH,.008,+.1,+14.29,,
Future Generation Inv opt sep16,FGXO,.026,+.3,+13.04,,
HGL,HNG,.45,+5,+12.50,,
Managed Accts,MGP,.36,+4,+12.50,,
Senetas Corp,SEN,.18,+2,+12.50,,
Helloworld,HLO,.37,+4,+12.12,,
Mobile Embrace,MBE,.34,+3.5,+11.48,,
PBD Development,PBD,.01,+.1,+11.11,,
Maxsec Grp,MSP,.032,+.3,+10.34,,
Martin Aircraft,MJP,.86,+8,+10.26,,
Namoi Cotton ccu,NAM,.28,+2.5,+9.80,,
Urbanise.com,UBN,.57,+5,+9.62,,
SRG,STS,.69,+6,+9.52,,
Enice Hldg cdi,ENC,.35,+3,+9.37,,
Armidale Invest,AIK,.12,+1,+9.09,,
Lantern Hotel Grp stp,LTN,.085,+.7,+8.97,,
IQ3Corp,IQ3,.31,+2.5,+8.77,,
GBST Hldgs,GBT,4.70,+37,+8.55,,
UXC,UXC,1.15,+9,+8.49,,
Quest Invest,QST,.065,+.5,+8.33,,
Vita Life Sciences,VSC,1.19,+9,+8.18,,
Living Cell Tech,LCT,.054,+.4,+8.00,,
Empired,EPD,.895,+6.5,+7.83,,
World Reach,WRR,.43,+3,+7.50,,
ERM Power,EPW,1.555,+10.5,+7.24,,
Carbon Conscious,CCF,.075,+.5,+7.14,,
Diploma Grp,DGX,.015,+.1,+7.14,,
Farmaforce,FFC,.30,+2,+7.14,,
Genex Power,GNX,.15,+1,+7.14,,
Probiotec,PBP,.30,+2,+7.14,,
Bisalloy Steel,BIS,.61,+4,+7.02,,
IPH,IPH,7.78,+49,+6.72,,
CAQ Holdings,CAQ,.16,+1,+6.67,,
Draig Res,DRG,.032,+.2,+6.67,,
Primary Gold,PGO,.016,+.1,+6.67,,
Orbital Corp,OEC,.65,+4,+6.56,,
Phileo Aust,PHI,9.05,+55,+6.47,,
Adairs,ADH,2.49,+15,+6.41,,
RCG Corp,RCG,1.50,+9,+6.38,,
ENV Clean Tech opt jul17,ESIOA,.017,+.1,+6.25,,
Activistic,ACU,.175,+1,+6.06,,
Prescient Therapeut,PTX,.072,+.4,+5.88,,
Macq Telecom Grp,MAQ,8.50,+47,+5.85,,
Sthn X Elect Engnr,SXE,.37,+2,+5.71,,
Austal,ASB,2.43,+13,+5.65,,
InvoCare,IVC,11.43,+61,+5.64,,
Mineral Resources,MIN,4.90,+26,+5.60,,
1ST Available,1ST,.095,+.5,+5.56,,
IDT Aust,IDT,.38,+2,+5.56,,
Simavita cdi,SVA,.38,+2,+5.56,,
Market Vectors Gold cdi,GDX,19.40,+95,+5.15,,
RISES - MINING,,
Baraka Energy,BKP,.002,+.1,+100.0,,
Latin Res opt mar17,LRSO,.002,+.1,+100.0,,
Hannans Reward,HNR,.004,+.1,+33.33,,
India Res,IRL,.004,+.1,+33.33,,
Meteoric Res,MEI,.016,+.4,+33.33,,
Triple Energy,TNP,.012,+.3,+33.33,,
Venture Minerals,VMS,.026,+.6,+30.00,,
Tlou Energy,TOU,.14,+3,+27.27,,
Nexus Min,NXM,.088,+1.8,+25.71,,
Dourado Res,DUO,.011,+.2,+22.22,,
Greenland Min Engy opt sep18,GGGOB,.006,+.1,+20.00,,
Uranium Equities,UEQ,.006,+.1,+20.00,,
MHM Metals,MHM,.025,+.4,+19.05,,
Cove Res opt jun19,CVEO,.007,+.1,+16.67,,
Pan Asia Corp,PZC,.007,+.1,+16.67,,
Buru Energy,BRU,.26,+3.5,+15.56,,
Minquest,MNQ,.023,+.3,+15.00,,
