Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4156.4 at 2012-07-18T16:48:06. Report at Wednesday, July 18, 2012. Processed Thursday at 2012-07-19T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Multi Channel,MUT,.004,+.2,+100.0,,
Coretrack,CKK,.007,+.2,+40.00,,
Gerard Lighting,GLG,1.02,+21.5,+26.71,,
Ellex Medical Lasers,ELX,.20,+4,+25.00,,
Saferoads Hldgs,SRH,.095,+1.9,+25.00,,
Traffic Tech,TTI,.033,+.5,+17.86,,
Bioxyne,BXN,.045,+.6,+15.38,,
Eastland Medical,EMS,.016,+.2,+14.29,,
Ezeatm,EZA,.48,+6,+14.29,,
Frigrite,FRR,.009,+.1,+12.50,,
Geodynamics,GDY,.11,+1,+10.00,,
Facilitate Digital,FAC,.10,+.9,+9.89,,
Cadence Capital opt sep12,CDMO,.023,+.2,+9.52,,
RUN Corp,RNC,.175,+1.5,+9.37,,
Senetas Corp,SEN,.012,+.1,+9.09,,
Pro-Pac Packaging,PPG,.50,+4,+8.70,,
Legend Corp,LGD,.325,+2.5,+8.33,,
Neptune Marine,NMS,.026,+.2,+8.33,,
Engenco,EGN,.595,+4.5,+8.18,,
OnCard Int'l,ONC,.145,+1,+7.41,,
Centrepoint Alliance,CAF,.15,+1,+7.14,,
MacarthurCook PSF unt,MPS,.047,+.3,+6.82,,
Algae.Tec,AEB,.34,+2,+6.25,,
BPH Energy,BPH,.017,+.1,+6.25,,
OBJ,OBJ,.017,+.1,+6.25,,
Opus Grp,OPG,.53,+3,+6.00,,
Benitec,BLT,.018,+.1,+5.88,,
GoConnect,GCN,.018,+.1,+5.88,,
Gazal Corp,GZL,1.85,+10,+5.71,,
Analytica,ALT,.019,+.1,+5.56,,
Paperlinx Sps Tr pref,PXUPA,8.95,+46,+5.42,,
ENV Clean Tech,ESI,.02,+.1,+5.26,,
Mercantile Investment,MVT,.08,+.4,+5.26,,
United Overseas Aust,UOS,.41,+2,+5.13,,
Immuron,IMC,.021,+.1,+5.00,,
RISES - MINING,,
Newera Res opt jun13,NRUO,.007,+.5,+250.0,,
Energy & Minerals,EMA,.071,+2.1,+42.00,,
GB Energy,GBX,.009,+.2,+28.57,,
Strike Res,SRK,.14,+3,+27.27,,
Antipa Min,AZY,.054,+1,+22.73,,
Planet Gas,PGS,.022,+.4,+22.22,,
MHM Metals opt aug12,MHMO,.21,+3.5,+20.00,,
King Island,KIS,.095,+1.5,+18.75,,
A-Cap Res,ACB,.16,+2.5,+18.52,,
Impact Minerals,IPT,.047,+.7,+17.50,,
Anglo Aust Res,AAR,.007,+.1,+16.67,,
General Min Corp,GMM,.07,+1,+16.67,,
Petratherm,PTR,.05,+.7,+16.28,,
Ark Mines,AHK,.09,+1.2,+15.38,,
Leyshon Res,LRL,.195,+2.5,+14.71,,
Austral Gold,AGD,.16,+2,+14.29,,
Gunson Res,GUN,.12,+1.5,+14.29,,
Hawthorn Res,HAW,.008,+.1,+14.29,,
Lonrho Mining,LOM,.008,+.1,+14.29,,
Meteoric Res,MEI,.032,+.4,+14.29,,
World Oil Res,WLR,.016,+.2,+14.29,,
Norwest Energy,NWE,.065,+.8,+14.04,,
Gas2Grid,GGX,.053,+.6,+12.77,,
Marenica Energy,MEY,.018,+.2,+12.50,,
Carrick Gold,CRK,.275,+3,+12.24,,
Latin Res opt mar13,LRSO,.028,+.3,+12.00,,
Moly Mines,MOL,.14,+1.5,+12.00,,
Austin Explore,AKK,.019,+.2,+11.76,,
Hill End Gold,HEG,.019,+.2,+11.76,,
Triangle Energy,TEG,.01,+.1,+11.11,,
Gascoyne Res,GCY,.205,+2,+10.81,,
Accent Res,ACS,.275,+2.5,+10.00,,
White Rock Minerals,WRM,.11,+1,+10.00,,
Chinalco Yunnan Copper,CYU,.115,+1,+9.52,,
Cougar Metals,CGM,.046,+.4,+9.52,,
Golden Gate Pet,GGP,.012,+.1,+9.09,,
Top End Uranium,TEU,.036,+.3,+9.09,,
World Titanium Res,WTR,.24,+2,+9.09,,
Balamara Res,BMB,.125,+1,+8.70,,
Eurogold,EUG,.088,+.7,+8.64,,
Apollo Minerals,AON,.038,+.3,+8.57,,
Encounter Res,ENR,.39,+3,+8.33,,
Laconia Res,LCR,.026,+.2,+8.33,,
NuEnergy Gas,NGY,.078,+.6,+8.33,,
Potash Min,POK,.395,+3,+8.22,,
Central Petroleum,CTP,.135,+1,+8.00,,
Baraka Energy,BKP,.014,+.1,+7.69,,
MHM Metals,MHM,.42,+3,+7.69,,
Syndicated Metals,SMD,.07,+.5,+7.69,,
Triton Gold,TON,.086,+.6,+7.50,,
Metgasco,MEL,.22,+1.5,+7.32,,
Fairstar Res,FAS,.015,+.1,+7.14,,
Kaboko Min,KAB,.015,+.1,+7.14,,
Rey Resources,REY,.078,+.5,+6.85,,
Indo Mines,IDO,.16,+1,+6.67,,
Metallica Min,MLM,.245,+1.5,+6.52,,
Cobar Cons Res,CCU,.675,+4,+6.30,,
Iron Mountain,IRM,.034,+.2,+6.25,,
Quintessential Res,QRL,.26,+1.5,+6.12,,
Silver Mines,SVL,.053,+.3,+6.00,,
Dragon Mountain Gold,DMG,.018,+.1,+5.88,,
Oil Basins,OBL,.036,+.2,+5.88,,
Boss Resources,BOE,.055,+.3,+5.77,,
Aust-American Min,AIW,.038,+.2,+5.56,,
Hughes Drilling,HDX,.038,+.2,+5.56,,
MacPhersons Res,MRP,.38,+2,+5.56,,
Argentina Min,AVK,.077,+.4,+5.48,,
Burey Gold,BYR,.039,+.2,+5.41,,
Amex Res,AXZ,1.00,+5,+5.26,,
Central Pet opt mar14,CTPO,.04,+.2,+5.26,,
Texon Petroleum,TXN,.50,+2.5,+5.26,,
OM Hldgs,OMH,.415,+2,+5.06,,
Global Res Corp,GRM,.084,+.4,+5.00,,
Matrix Metals,MRX,.021,+.1,+5.00,,
Ord River Res,ORD,.021,+.1,+5.00,,
Pioneer Res,PIO,.021,+.1,+5.00,,
FALLS - INDUSTRIALS,,
Eastland Medical opt dec12,EMSOA,.001,-.2,-66.67,,
Verus Invest,VIL,.001,-.1,-50.00,,
Mobilarm,MBO,.021,-.9,-30.00,,
Agenix,AGX,.003,-.1,-25.00,,
Broad Invest,BRO,.003,-.1,-25.00,,
HealthLinx,HTX,.003,-.1,-25.00,,
Consegna Grp,CGP,.02,-.5,-20.00,,
Sunshine Heart cdi,SHC,.04,-1,-20.00,,
Clarity OSS,CYO,.025,-.5,-16.67,,
Structural Monitor cdi,SMN,.035,-.5,-12.50,,
Phylogica,PYC,.037,-.5,-11.90,,
Antisense Therapeut opt jul12,ANPO,.008,-.1,-11.11,,
Enerji,ERJ,.008,-.1,-11.11,,
Carnegie Wave Energy,CWE,.043,-.5,-10.42,,
Dolomatrix Int'l,DMX,.009,-.1,-10.00,,
Site Grp Int'l,SIT,.135,-1.5,-10.00,,
Antisense Therapeutic,ANP,.019,-.2,-9.52,,
Mariner Corp,MCX,.335,-3.5,-9.46,,
Digital Perf Grp,DIG,.01,-.1,-9.09,,
Green Invest,GNV,.05,-.5,-9.09,,
Trinity Grp stp,TCQ,.255,-2.5,-8.93,,
DataDot Tech,DDT,.021,-.2,-8.70,,
Rubik Financial,RFL,.064,-.6,-8.57,,
AdEffective,ABN,.011,-.1,-8.33,,
Electro Optic Sys,EOS,.55,-5,-8.33,,
Health Corp,HEA,.025,-.2,-7.41,,
Kresta Hldgs,KRS,.13,-1,-7.14,,
Jetset Travelworld,JET,.40,-3,-6.98,,
Cellmid,CDY,.014,-.1,-6.67,,
TWT Grp,TWT,.042,-.3,-6.67,,
Adv Braking Tech,ABV,.015,-.1,-6.25,,
IFS Construct,IFS,.033,-.2,-5.71,,
Onthehouse,OTH,.445,-2.5,-5.32,,
Avita Medical,AVH,.18,-1,-5.26,,
Solco,SOO,.036,-.2,-5.26,,
FALLS - MINING,,
Metals Aust opt sep13,MLSO,.007,-2.8,-80.00,,
Excalibur Min,EXM,.001,-.1,-50.00,,
Jervois Min,JRV,.001,-.1,-50.00,,
Republic Gold,RAU,.001,-.1,-50.00,,
Metminco opt dec12,MNCO,.002,-.1,-33.33,,
Contl Coal opt feb13,CCCO,.005,-.2,-28.57,,
Eden Energy,EDE,.008,-.3,-27.27,,
Buccaneer Energy,BCC,.046,-1.7,-26.98,,
Grand Gulf Energy,GGE,.003,-.1,-25.00,,
Oroya Mining,ORO,.003,-.1,-25.00,,
Resource And Invest opt may13,RNIO,.12,-4,-25.00,,
Exalt Res,ERD,.11,-3.5,-24.14,,
Metaliko Res,MKO,.03,-.9,-23.08,,
Jatenergy,JAT,.04,-1,-20.00,,
Paramount Min,PCP,.06,-1.5,-20.00,,
RMG,RMG,.004,-.1,-20.00,,
Royal Res opt oct13,ROYOA,.04,-1,-20.00,,
Havilah Res opt oct13,HAVO,.23,-5,-17.86,,
Takoradi,TKG,.023,-.5,-17.86,,
Northern Min,NMI,.028,-.6,-17.65,,
Aguia Res,AGR,.15,-3,-16.67,,
Caspian Oil & Gas,CIG,.005,-.1,-16.67,,
Shaw River Manganese,SRR,.02,-.4,-16.67,,
Condoto Platinum,CPD,.46,-9,-16.36,,
Barra Res,BAR,.016,-.3,-15.79,,
Manas Resources,MSR,.089,-1.6,-15.24,,
Eagle Nickel,ENL,.017,-.3,-15.00,,
Copper Range opt dec13,CRJOA,.006,-.1,-14.29,,
Credo Res,CRQ,.06,-1,-14.29,,
Quest Petroleum,QPN,.006,-.1,-14.29,,
Cuesta Coal,CQC,.095,-1.5,-13.64,,
Talisman Min,TLM,.26,-4,-13.33,,
Galaxy Res,GXY,.445,-6.5,-12.75,,
Venturex Res,VXR,.048,-.7,-12.73,,
Capital Min,CMY,.014,-.2,-12.50,,
Titan Energy opt dec12,TTEO,.007,-.1,-12.50,,
Zambezi Res cdi,ZRL,.007,-.1,-12.50,,
Raisama Energy,RAI,.03,-.4,-11.76,,
Zeta Pet opt jun13,ZTAO,.008,-.1,-11.11,,
Challenger Energy,CEL,.033,-.4,-10.81,,
Mintails,MLI,.125,-1.5,-10.71,,
Sovereign Gold,SOC,.25,-3,-10.71,,
ENK PLC cdi,ENK,.18,-2,-10.00,,
Mantle Min opt dec13,MNMOA,.09,-1,-10.00,,
Sth American Iron,SAY,.027,-.3,-10.00,,
Gold One Int'l,GDO,.415,-4.5,-9.78,,
Buxton Res,BUX,.095,-1,-9.52,,
MEO Aust,MEO,.24,-2.5,-9.43,,
Red Emperor Res,RMP,.29,-3,-9.38,,
Havilah Res,HAV,.68,-7,-9.33,,
Aura Energy opt dec14,AEEO,.04,-.4,-9.09,,
Forte Cons opt apr14,FRCO,.01,-.1,-9.09,,
Noble Min Res,NMG,.20,-2,-9.09,,
SmartTrans Hldgs,SMA,.01,-.1,-9.09,,
Range Res,RRS,.091,-.9,-9.00,,
Blackthorn Res,BTR,1.125,-11,-8.91,,
Renaissance Uranium,RNU,.041,-.4,-8.89,,
Heemskirk Cons,HSK,.105,-1,-8.70,,
Strategic Elements,SOR,.032,-.3,-8.57,,
Guildford Coal,GUF,.38,-3.5,-8.43,,
Cazaly Res,CAZ,.22,-2,-8.33,,
Global Petroleum,GBP,.165,-1.5,-8.33,,
Ridge Resources,RID,.11,-1,-8.33,,
Xanadu Mines,XAM,.22,-2,-8.33,,
Malagasy Min,MGY,.08,-.7,-8.05,,
Castle Minerals,CDT,.24,-2,-7.69,,
Golden Rim Res,GMR,.12,-1,-7.69,,
Octagonal Res,ORS,.12,-1,-7.69,,
Blackwood Corp,BWD,.185,-1.5,-7.50,,
Centrex Metals,CXM,.185,-1.5,-7.50,,
Alkane Res,ALK,.885,-7,-7.33,,
