Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4676.1 at 16:47 16/12/2009  Report at 19:05 Wednesday 16/12/2009. Processed 19:23 Wednesday 16/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Aquacarotene Ltd,AQL,0.016,0.4,33.33,,,,,,,,
World Reach Ltd,WRR,0.005,0.1,25.00,,,,,,,,
Noni B Ltd,NBL,1.35,25,22.73,,,,,,,,
Helicon Grp,HCG,0.042,0.7,20.00,,,,,,,,
Ideas Intl,IDE,0.25,4,19.05,,,,,,,,
Black Ridge Min,BRD,0.013,0.2,18.18,,,,,,,,
Alchemia Ltd rts 16dec,ACLR,0.047,0.7,17.50,,,,,,,,
Legend Corp,LGD,0.14,2,16.67,,,,,,,,
Stratatel Ltd,STE,0.07,1,16.67,,,,,,,,
Ainsworth Game Tech 8% cn11,AGIG,0.95,13,15.85,,,,,,,,
Oldfields Hldgs,OLH,0.24,3,14.29,,,,,,,,
Pac Enviromin,PEV,0.024,0.3,14.29,,,,,,,,
Pan Asia Corp Ltd,PZC,0.04,0.5,14.29,,,,,,,,
AMA Grp Ltd,AMA,0.051,0.6,13.33,,,,,,,,
Autodom Ltd,AIE,0.07,0.8,12.90,,,,,,,,
Select Vaccines,SLT,0.009,0.1,12.50,,,,,,,,
Blue Capital Ltd,BIV,0.019,0.2,11.76,,,,,,,,
Environment Grp,EGL,0.067,0.7,11.67,,,,,,,,
Atcor Medical,ACG,0.195,2,11.43,,,,,,,,
M2 Telecommun,MTU,1.67,17,11.33,,,,,,,,
China Steel,CNH,0.10,1,11.11,,,,,,,,
IPGA Ltd,IPP,0.10,1,11.11,,,,,,,,
RNY Prop Tr unt,RNY,0.105,1,10.53,,,,,,,,
Everest Financial,EFG,0.055,0.5,10.00,,,,,,,,
Medivac Ltd,MDV,0.011,0.1,10.00,,,,,,,,
Metals Finance,MFC,0.11,1,10.00,,,,,,,,
Mesoblast Ltd,MSB,1.37,12,9.60,,,,,,,,
AP Eagers Ltd,APE,12.90,108,9.14,,,,,,,,
Biota Hldgs,BTA,2.53,19,8.12,,,,,,,,
Bisalloy Steel,BIS,0.20,1.5,8.11,,,,,,,,
OBJ Ltd,OBJ,0.028,0.2,7.69,,,,,,,,
Essa Aust,ESS,0.22,1.5,7.32,,,,,,,,
Traffic Tech,TTI,0.044,0.3,7.32,,,,,,,,
Prima BioMed Ltd,PRR,0.15,1,7.14,,,,,,,,
Real Estate Cap unt,RCU,0.15,1,7.14,,,,,,,,
Tissue Therapies,TIS,0.15,1,7.14,,,,,,,,
Ipernica Ltd,IPR,0.16,1,6.67,,,,,,,,
Adv Braking Tech,ABV,0.033,0.2,6.45,,,,,,,,
Panorama Synergy,PSY,0.33,2,6.45,,,,,,,,
Globe Intl,GLB,0.50,3,6.38,,,,,,,,
APN European Retail stpld,AEZ,0.068,0.4,6.25,,,,,,,,
iShares S&P Mcap 400 cdi 1:1,IJH,79.83,461,6.13,,,,,,,,
iShares Russell 2000 cdi 1:1,IRU,68.20,391,6.08,,,,,,,,
APN Prop Grp,APD,0.36,2,5.88,,,,,,,,
Aust Leaders opt nov10,ALFO,0.054,0.3,5.88,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.018,0.1,5.88,,,,,,,,
