Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 5011.6 at 16:37 12/4/2010  Report at 19:06 Monday 12/4/2010. Processed 21:13 Monday 12/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Millepede Intl opt mar12,MPDO,0.002,0.1,100.00,,,,,,,,
Altera Res Ltd opt jan12,AEAO,0.12,4,50.00,,,,,,,,
Viridis Clean stp,VIR,0.08,2.2,37.93,,,,,,,,
Advanced Energy,AES,0.12,3,33.33,,,,,,,,
Carbon Conscious,CCF,0.175,4,29.63,,,,,,,,
Traffic Tech,TTI,0.036,0.8,28.57,,,,,,,,
Auto Tech Ltd,ATJ,0.052,1.1,26.83,,,,,,,,
Capitol Health,CAJ,0.065,1.2,22.64,,,,,,,,
Silex Systems,SLX,6.69,119,21.64,,,,,,,,
ASK Funding Ltd,AKF,0.25,4,19.05,,,,,,,,
BKM Management,BKM,0.013,0.2,18.18,,,,,,,,
C @ Ltd,CEO,0.013,0.2,18.18,,,,,,,,
HFA Hldgs Ltd,HFA,0.235,3.5,17.50,,,,,,,,
Konekt Ltd,KKT,0.21,3,16.67,,,,,,,,
Helicon Grp,HCG,0.03,0.4,15.38,,,,,,,,
Vietnam Industrial,VII,0.45,6,15.38,,,,,,,,
ENV Clean Tech,ESI,0.033,0.4,13.79,,,,,,,,
Webster Ltd,WBA,0.50,6,13.64,,,,,,,,
Powerlan Ltd,PWR,0.042,0.5,13.51,,,,,,,,
Sino Strategic Intl,SSI,0.465,5.5,13.41,,,,,,,,
Finbar Grp Ltd,FRI,1.20,14,13.21,,,,,,,,
Dyesol Ltd,DYE,1.30,15,13.04,,,,,,,,
Datadot Tech,DDT,0.044,0.5,12.82,,,,,,,,
Comtel Corp Ltd,CMO,0.019,0.2,11.76,,,,,,,,
National Leisure,NLG,0.019,0.2,11.76,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.02,0.2,11.11,,,,,,,,
Buderim Ginger,BUG,0.31,3,10.71,,,,,,,,
Sigma Pharmaceutical,SIP,0.52,5,10.64,,,,,,,,
UXC Ltd,UXC,0.59,5.5,10.28,,,,,,,,
Gazal Corp,GZL,1.575,14.5,10.14,,,,,,,,
MDS Financial Grp,MWS,0.022,0.2,10.00,,,,,,,,
Valad Prop forus,VPG,0.11,1,10.00,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.022,0.2,10.00,,,,,,,,
Money3 Corp,MNY,0.45,4,9.76,,,,,,,,
GoConnect Ltd,GCN,0.024,0.2,9.09,,,,,,,,
Intermoco Ltd,INT,0.012,0.1,9.09,,,,,,,,
Progen Pharmaceutic,PGL,0.60,5,9.09,,,,,,,,
Ausenco Ltd,AAX,4.79,39,8.86,,,,,,,,
RNY Prop Tr unt,RNY,0.10,0.8,8.70,,,,,,,,
ASF Grp Ltd,AFA,0.195,1.5,8.33,,,,,,,,
Cougar Energy,CXY,0.13,1,8.33,,,,,,,,
