Stocks that moved by more than 5% for the day,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4737.7 at 2011-03-22T16:37:56. Report at Tuesday, March 22, 2011. Processed Wednesday at 2011-03-23T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Payce Cons,PAY,2.90,+132,+83.54,,
Frankland River,FLR,.013,+.5,+62.50,,
Alinta Energy Ltd def,AEJDA,.006,+.2,+50.00,,
Strathfield Grp,SRA,.003,+.1,+50.00,,
Prana Biotech,PBT,.245,+8,+48.48,,
Leaf Energy Ltd,LER,.14,+4,+40.00,,
Alexium Int Grp,AJX,.135,+3.5,+35.00,,
Novogen Ltd,NRT,.17,+4,+30.77,,
Delecta Ltd opt dec11,DLCO,.01,+.2,+25.00,,
Intermoco Ltd,INT,.005,+.1,+25.00,,
Connxion Ltd,CXN,.011,+.2,+22.22,,
Inventis Ltd,IVT,.12,+2,+20.00,,
Tyrian Diagnostics,TDX,.006,+.1,+20.00,,
Adcorp Aust,AAU,.25,+4,+19.05,,
Agenix Ltd,AGX,.025,+.4,+19.05,,
Senetas Corp,SEN,.032,+.5,+18.52,,
Narhex Life Sciences,NLS,.02,+.3,+17.65,,
Blue Capital Ltd,BIV,.021,+.3,+16.67,,
Oakajee Corp Ltd,OKJ,.315,+4.5,+16.67,,
Staging Connections,STG,.18,+2.5,+16.13,,
Apollo Cons,AOP,.008,+.1,+14.29,,
Redhill Education,RDH,.20,+2.5,+14.29,,
Eneabba Gas Ltd,ENB,.059,+.7,+13.46,,
Prima Biomed Ltd opt dec11,PRRO,.215,+2.5,+13.16,,
Quickflix Ltd,QFX,.053,+.6,+12.77,,
CO2 Grp Ltd opt nov11,COZO,.045,+.5,+12.50,,
Folkestone Ltd,FLK,.135,+1.5,+12.50,,
Transaction Ltd,TSN,.039,+.4,+11.43,,
