Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:26 Wednesday 27/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
AFT Corp,AFT,0.002,0.1,100.00,,,,,,,,
Superwoman Grp,SPG,0.016,0.5,45.45,,,,,,,,
Mission Newenergy,MBT,0.45,10,28.57,,,,,,,,
Verus Invest opt jun10,VILO,0.009,0.2,28.57,,,,,,,,
Admerex Ltd,ADL,0.01,0.2,25.00,,,,,,,,
Metal Storm Ltd sec cn11,MSTGA,0.15,3,25.00,,,,,,,,
Millepede Intl,MPD,0.01,0.2,25.00,,,,,,,,
Kresta Hldgs,KRS,0.285,4.5,18.75,,,,,,,,
Advanced Engine,ACE,0.058,0.9,18.37,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.28,4,16.67,,,,,,,,
Marbletrend Grp,MBD,0.07,1,16.67,,,,,,,,
Verus Invest,VIL,0.049,0.7,16.67,,,,,,,,
XState Res,XST,0.07,1,16.67,,,,,,,,
Biotron Ltd opt dec11,BITO,0.037,0.5,15.62,,,,,,,,
Alpha Financial Prod ser1frn12,AFPHA,19.50,250,14.71,,,,,,,,
Freshtel Hldgs,FRE,0.008,0.1,14.29,,,,,,,,
Astivita Renewables,AIR,1.12,13,13.13,,,,,,,,
Cape Range Ltd,CAG,0.009,0.1,12.50,,,,,,,,
Environment Grp,EGL,0.065,0.7,12.07,,,,,,,,
Cell Aquaculture,CAQ,0.14,1.5,12.00,,,,,,,,
Aust China Hldgs,AAK,0.01,0.1,11.11,,,,,,,,
Mariner Corp Ltd,MCX,0.01,0.1,11.11,,,,,,,,
Bigair Grp Ltd,BGL,0.12,1,9.09,,,,,,,,
Macq Atlas Roads Grp def,MQA,0.67,5.5,8.94,,,,,,,,
Planet Platinum,PPN,0.25,2,8.70,,,,,,,,
Tandou Ltd,TAN,0.38,3,8.57,,,,,,,,
Stratatel Ltd,STE,0.065,0.5,8.33,,,,,,,,
Atlas Southsea Pearl,ATP,0.135,1,8.00,,,,,,,,
Quantum Energy,QTM,0.14,1,7.69,,,,,,,,
Somnomed Ltd,SOM,0.85,6,7.59,,,,,,,,
Cougar Energy,CXY,0.10,0.7,7.53,,,,,,,,
Hostech Ltd,HTC,0.029,0.2,7.41,,,,,,,,
Orbital Corp Ltd,OEC,0.045,0.3,7.14,,,,,,,,
Early Learning Serv,ELY,0.385,2.5,6.94,,,,,,,,
Maxitrans Ind,MXI,0.39,2.5,6.85,,,,,,,,
Clime Invest,CIW,0.48,3,6.67,,,,,,,,
Integrated Res,IRG,0.016,0.1,6.67,,,,,,,,
ITL Ltd,ITD,0.064,0.4,6.67,,,,,,,,
Probiotec Ltd,PBP,2.30,14,6.48,,,,,,,,
Acuvax Ltd,ACU,0.017,0.1,6.25,,,,,,,,
Hansen Tech,HSN,0.73,4,5.80,,,,,,,,
Arturus Capital,AKW,0.185,1,5.71,,,,,,,,
Manaccom Corp Ltd,MNL,0.37,2,5.71,,,,,,,,
Neuren Pharmaceut,NEU,0.038,0.2,5.56,,,,,,,,
Brain Resource,BRC,0.29,1.5,5.45,,,,,,,,
ING Real Est Ente unt,IEF,0.195,1,5.41,,,,,,,,
Norfolk Grp,NFK,0.895,4.5,5.29,,,,,,,,
MINING RISES,,,,,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.003,0.1,50.00,,,,,,,,
Anchor Res opt mar10,AHRO,0.01,0.3,42.86,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.07,2,40.00,,,,,,,,
Regal Res opt nov11,REROB,0.03,0.7,30.43,,,,,,,,
Crusader Res,CAS,0.35,8,29.63,,,,,,,,
Indo Mines Ltd,IDO,0.46,9.5,26.03,,,,,,,,
Austral Africa Res,AAF,0.005,0.1,25.00,,,,,,,,
Catalyst Metals,CYL,0.10,2,25.00,,,,,,,,
Cazaly Res opt feb11,CAZO,0.24,4.5,23.08,,,,,,,,
Envirogold Ltd opt dec11,EVGO,0.025,0.4,19.05,,,,,,,,
Red River Res,RVR,0.165,2.5,17.86,,,,,,,,
Artemis Res opt jun11,ARVOB,0.058,0.8,16.00,,,,,,,,
3D Res Ltd,DDD,0.022,0.3,15.79,,,,,,,,
Eldore Min,EDM,0.022,0.3,15.79,,,,,,,,
Coppermoly Ltd,COY,0.12,1.5,14.29,,,,,,,,
Target Energy opt oct12,TEXOB,0.024,0.3,14.29,,,,,,,,
Pelican Res,PEL,0.09,1.1,13.92,,,,,,,,
Vector Res Ltd,VEC,0.074,0.9,13.85,,,,,,,,
Greenland Min En opt jun11,GGGO,0.50,6,13.64,,,,,,,,
Northern Min,NMI,0.22,2.5,12.82,,,,,,,,
Peninsula Min opt jun12,PENOA,0.036,0.4,12.50,,,,,,,,
Auzex Res,AZX,0.19,2,11.76,,,,,,,,
