Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4460.5 at 16:38 23/8/2010  Report at 19:05 Monday 23/8/2010. Processed 19:28 Monday 23/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Cape Range Ltd opt feb13,CAGO,0.002,0.1,100.00,,,,,,,,
Global Prop,GPB,0.96,29,43.28,,,,,,,,
Prime Infr Grp stp,PIH,4.35,75,20.83,,,,,,,,
Ainsworth Game Tech,AGI,0.14,2,16.67,,,,,,,,
Cape Range Ltd,CAG,0.007,0.1,16.67,,,,,,,,
Strathfield Grp,SRA,0.007,0.1,16.67,,,,,,,,
QRSciences Hldgs,QRS,0.053,0.7,15.22,,,,,,,,
Argus Solutions,ASV,0.085,1,13.33,,,,,,,,
Enerji Ltd,ERJ,0.027,0.3,12.50,,,,,,,,
Robe Aust Ltd,ROB,0.009,0.1,12.50,,,,,,,,
Compass Hotel stp,CXH,0.028,0.3,12.00,,,,,,,,
Datadot Tech,DDT,0.038,0.4,11.76,,,,,,,,
Aust Vintage Ltd,AVG,0.35,3.5,11.11,,,,,,,,
Immuron Ltd,IMC,0.10,1,11.11,,,,,,,,
Apollo Cons,AOP,0.011,0.1,10.00,,,,,,,,
CI Res Ltd,CII,0.66,6,10.00,,,,,,,,
K2 Asset Mgmt,KAM,0.60,5,9.09,,,,,,,,
Zicom Grp Ltd,ZGL,0.185,1.5,8.82,,,,,,,,
Clean Teq Hldgs,CLQ,0.26,2,8.33,,,,,,,,
ITL Ltd,ITD,0.065,0.5,8.33,,,,,,,,
Xtek Ltd,XTE,0.026,0.2,8.33,,,,,,,,
Challenger FSG Ltd,CGF,3.81,29,8.24,,,,,,,,
Energy Ventures,EVE,0.042,0.3,7.69,,,,,,,,
Oaks Hotels & Resort,OAK,0.35,2.5,7.69,,,,,,,,
Foster's Grp,FGL,6.26,44,7.56,,,,,,,,
Compumedics Ltd,CMP,0.15,1,7.14,,,,,,,,
Altera Res Ltd,AEA,0.31,2,6.90,,,,,,,,
Intrapower Ltd,IPX,0.16,1,6.67,,,,,,,,
TPG Telecom Ltd,TPM,1.63,10,6.54,,,,,,,,
Bisalloy Steel,BIS,0.17,1,6.25,,,,,,,,
Primary Health Care,PRY,3.26,18,5.84,,,,,,,,
Trojan Equity,TJN,0.58,3,5.45,,,,,,,,
Bravura Solutions,BVA,0.10,0.5,5.26,,,,,,,,
Ellex Medical Lasers,ELX,0.20,1,5.26,,,,,,,,
Gale Pacific Ltd,GAP,0.20,1,5.26,,,,,,,,
Astron Ltd,ATR,1.95,9.5,5.12,,,,,,,,
