Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:05 Friday 20/8/2010. Processed 08:32 Saturday 21/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Global Prop,GPB,0.67,41,157.70,,,,,,,,
Essa Aust,ESS,0.34,13,61.90,,,,,,,,
Aust Leaders opt nov10,ALFO,0.003,0.1,50.00,,,,,,,,
Pharmanet Grp opt jun11,PNOO,0.003,0.1,50.00,,,,,,,,
Commstrat Ltd,COJ,0.005,0.1,25.00,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.005,0.1,25.00,,,,,,,,
Eneabba Gas Ltd,ENB,0.11,2,22.22,,,,,,,,
Energio Ltd,EIO,0.011,0.2,22.22,,,,,,,,
Richfield Internat,RIS,0.12,2,20.00,,,,,,,,
Aquacarotene Ltd,AQL,0.175,2.5,16.67,,,,,,,,
Hyro Ltd,HYO,0.022,0.3,15.79,,,,,,,,
UXC Ltd,UXC,0.55,7.5,15.79,,,,,,,,
E-Com Multi Ltd,ECE,0.008,0.1,14.29,,,,,,,,
Medivac Ltd,MDV,0.008,0.1,14.29,,,,,,,,
4C Sec Solution,FCS,0.034,0.4,13.33,,,,,,,,
Datadot Tech,DDT,0.034,0.4,13.33,,,,,,,,
Artist & Entertain,AEM,0.009,0.1,12.50,,,,,,,,
BKM Management,BKM,0.009,0.1,12.50,,,,,,,,
Sterling Biofuels,SBI,0.039,0.4,11.43,,,,,,,,
Aacl Hldgs Ltd,AAY,0.06,0.6,11.11,,,,,,,,
Hostech Ltd,HTC,0.02,0.2,11.11,,,,,,,,
Dolomatrix Intl,DMX,0.28,2.5,9.80,,,,,,,,
Ainsworth Game Tech,AGI,0.12,1,9.09,,,,,,,,
Prime Financial,PFG,0.18,1.5,9.09,,,,,,,,
Multiplex Prime Ppty ctg,MAFCB,0.98,8,8.89,,,,,,,,
Diploma Grp Ltd,DGX,0.325,2.5,8.33,,,,,,,,
Techniche Ltd,TCN,0.039,0.3,8.33,,,,,,,,
Scantech Ltd,SCD,0.27,2,8.00,,,,,,,,
Challenger Winetr unt,CWT,0.21,1.5,7.69,,,,,,,,
Wasabi Energy Ltd,WAS,0.014,0.1,7.69,,,,,,,,
Thomas & Coffey,THO,0.36,2.5,7.46,,,,,,,,
Novarise Renew Res,NOE,0.22,1.5,7.32,,,,,,,,
Ascent Pharmahealth,APH,0.295,2,7.27,,,,,,,,
Argus Solutions,ASV,0.075,0.5,7.14,,,,,,,,
Healthlinx Ltd,HTX,0.075,0.5,7.14,,,,,,,,
Chandler Macleod,CMG,0.32,2,6.67,,,,,,,,
Senetas Corp,SEN,0.048,0.3,6.67,,,,,,,,
Tranzact Fin Service,TFS,0.16,1,6.67,,,,,,,,
Enviromission Ltd,EVM,0.033,0.2,6.45,,,,,,,,
Dulhunty Power,DUL,0.035,0.2,6.06,,,,,,,,
Globe Intl,GLB,0.70,4,6.06,,,,,,,,
Maxitrans Ind,MXI,0.35,2,6.06,,,,,,,,
Solagran Ltd,SLA,0.175,1,6.06,,,,,,,,
Keycorp Ltd,KYC,0.53,3,6.00,,,,,,,,
VDM Grp Ltd,VMG,0.375,2,5.63,,,,,,,,
ING Private Equity,IPE,0.285,1.5,5.56,,,,,,,,
Forge Grp Ltd,FGE,3.47,18,5.47,,,,,,,,
Bigair Grp Ltd,BGL,0.20,1,5.26,,,,,,,,
Capitol Health,CAJ,0.04,0.2,5.26,,,,,,,,
Comtel Corp Ltd,CMO,0.02,0.1,5.26,,,,,,,,
E & A Ltd,EAL,0.20,1,5.26,,,,,,,,
Smarttrans Hldgs,SMA,0.02,0.1,5.26,,,,,,,,
Logicamms Ltd,LCM,0.91,4.5,5.20,,,,,,,,
Hansen Tech,HSN,0.715,3.5,5.15,,,,,,,,
MINING RISES,,,,,,,,,,,,
Aragon Res opt sep10,AAGO,0.01,0.4,66.67,,,,,,,,
Westralian Gas & Pwr opt oct11,WGPOA,0.003,0.1,50.00,,,,,,,,
Excalibur Min,EXM,0.004,0.1,33.33,,,,,,,,
Frontier Res opt dec10,FNTO,0.023,0.5,27.78,,,,,,,,
Gulf Mines Ltd,GLM,0.023,0.5,27.78,,,,,,,,
Silver Mines Ltd opt may11,SVLO,0.07,1.5,27.27,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.125,2.5,25.00,,,,,,,,
Corazon Ltd,CZN,0.11,2,22.22,,,,,,,,
Metals Aust,MLS,0.011,0.2,22.22,,,,,,,,
Peak Res opt dec10,PEKOA,0.11,2,22.22,,,,,,,,
Sihayo Gold Ltd opt jan11,SIHO,0.022,0.4,22.22,,,,,,,,
Octanex NL opt dec10,OXXO,0.085,1.5,21.43,,,,,,,,
A1 Min Ltd,AAM,0.15,2.5,20.00,,,,,,,,
Rubicon Res,RBR,0.049,0.8,19.51,,,,,,,,
Montezuma Min Co opt aug11,MZMO,0.155,2.5,19.23,,,,,,,,
Silver Mines Ltd,SVL,0.16,2.5,18.52,,,,,,,,
Aust Renewable,ARW,0.013,0.2,18.18,,,,,,,,
Castle Min,CDT,0.43,6,16.22,,,,,,,,
Westralian Gas & Pwr,WGP,0.015,0.2,15.38,,,,,,,,
Victorian Gold Mines ctg,VGMCA,0.086,1.1,14.67,,,,,,,,
Nullarbor Hldgs,NLB,0.40,5,14.29,,,,,,,,
Peak Res,PEK,0.16,2,14.29,,,,,,,,
Gippsland Ltd,GIP,0.05,0.6,13.64,,,,,,,,
Diatreme Res,DRX,0.087,1,12.99,,,,,,,,
Terrain Min,TMX,0.035,0.4,12.90,,,,,,,,
Kasbah Res,KAS,0.135,1.5,12.50,,,,,,,,
Gas2Grid Ltd,GGX,0.028,0.3,12.00,,,,,,,,
Aviva Corp,AVA,0.095,1,11.76,,,,,,,,
Siburan Res Ltd,SBU,0.24,2.5,11.63,,,,,,,,
Black Range Min,BLR,0.029,0.3,11.54,,,,,,,,
Octanex NL,OXX,0.29,3,11.54,,,,,,,,
Ausamerican Min,AIW,0.04,0.4,11.11,,,,,,,,
Greater Bendigo Gold,GBM,0.02,0.2,11.11,,,,,,,,
ORH Ltd,ORH,0.02,0.2,11.11,,,,,,,,
Red River Res,RVR,0.061,0.6,10.91,,,,,,,,
Azumah Res,AZM,0.51,5,10.87,,,,,,,,
Cobar Cons,CCU,0.165,1.5,10.00,,,,,,,,
Greenearth Energy,GER,0.11,1,10.00,,,,,,,,
Impact Min,IPT,0.11,1,10.00,,,,,,,,
Pacrim Energy,PRE,0.011,0.1,10.00,,,,,,,,
Northern Uranium opt mar12,NTUOB,0.056,0.5,9.80,,,,,,,,
Tasman Goldflds,TGX,0.09,0.8,9.76,,,,,,,,
Riviera Res opt dec14,RVEO,0.08,0.7,9.59,,,,,,,,
Eleckra Mines,EKM,0.094,0.8,9.30,,,,,,,,
Torrens Energy,TEY,0.095,0.8,9.20,,,,,,,,
General Min Corp,GMM,0.12,1,9.09,,,,,,,,
Pelican Res,PEL,0.12,1,9.09,,,,,,,,
Exco Res Ltd,EXS,0.485,4,8.99,,,,,,,,
Bathurst Res,BTU,0.245,2,8.89,,,,,,,,
Papillon Res Ltd,PIR,0.245,2,8.89,,,,,,,,
Elementos Ltd,ELT,0.185,1.5,8.82,,,,,,,,
Strategic Energy,SER,0.025,0.2,8.70,,,,,,,,
Coal FE Res,CES,0.065,0.5,8.33,,,,,,,,
Anglo Aust,AAR,0.04,0.3,8.11,,,,,,,,
WCP Res Ltd,WCP,0.07,0.5,7.69,,,,,,,,
Triton Gold Ltd,TON,0.145,1,7.41,,,,,,,,
Voyager Res,VOR,0.015,0.1,7.14,,,,,,,,
Northern Uranium,NTU,0.155,1,6.90,,,,,,,,
Indago Res Ltd opt oct14,IDGOA,0.16,1,6.67,,,,,,,,
Red Emperor Res,RMP,0.16,1,6.67,,,,,,,,
Reward Min Ltd,RWD,0.40,2.5,6.67,,,,,,,,
Rialto Energy opt jun11,RIAO,0.064,0.4,6.67,,,,,,,,
Sino Gas Energy,SEH,0.032,0.2,6.67,,,,,,,,
Sihayo Gold Ltd,SIH,0.165,1,6.45,,,,,,,,
Integrated Res,IRG,0.017,0.1,6.25,,,,,,,,
Malachite Res,MAR,0.051,0.3,6.25,,,,,,,,
Metrocoal Ltd,MTE,0.34,2,6.25,,,,,,,,
K2 Energy Ltd,KTE,0.055,0.3,5.77,,,,,,,,
Acclaim Explore,AEX,0.019,0.1,5.56,,,,,,,,
Copper Range Ltd,CRJ,0.019,0.1,5.56,,,,,,,,
Encounter Res,ENR,0.30,1.5,5.26,,,,,,,,
Imperial Corp Ltd,IMP,0.10,0.5,5.26,,,,,,,,
Ironbark Zinc Ltd,IBG,0.20,1,5.26,,,,,,,,
Riviera Res,RVE,0.20,1,5.26,,,,,,,,
Tanami Gold NL,TAM,0.02,0.1,5.26,,,,,,,,
Gold Anomaly Ltd,GOA,0.021,0.1,5.00,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Medical Aus Ltd,MLA,0.014,-0.7,-33.33,,,,,,,,
Emerson Stewart Grp,ESW,0.06,-2.5,-29.41,,,,,,,,
Adultshop Com opt dec11,ASCO,0.005,-0.2,-28.57,,,,,,,,
Structural Monitor cdi,SMN,0.009,-0.3,-25.00,,,,,,,,
Orbital Corp Ltd,OEC,0.031,-0.9,-22.50,,,,,,,,
Select Vaccines,SLT,0.004,-0.1,-20.00,,,,,,,,
Redisland Aust,RLA,0.02,-0.4,-16.67,,,,,,,,
Xiaoxiao Education,XXL,0.10,-2,-16.67,,,,,,,,
Cogstate Ltd,CGS,0.24,-4.5,-15.79,,,,,,,,
Murchison Hldgs,MCH,0.38,-7,-15.56,,,,,,,,
Aeris Environmental,AEI,0.12,-2,-14.29,,,,,,,,
Medic Vision Ltd,MVH,0.043,-0.7,-14.00,,,,,,,,
Farmworks Aust,FWA,0.14,-2,-12.50,,,,,,,,
Legacy Iron Ore,LCY,0.105,-1.5,-12.50,,,,,,,,
Quest Invest,QST,0.07,-1,-12.50,,,,,,,,
Flat Glass Ind,FGI,0.16,-2,-11.11,,,,,,,,
ING RE Com stp,ILF,0.07,-0.8,-10.26,,,,,,,,
Billabong Intl,BBG,8.03,-88,-9.88,,,,,,,,
India Equities Fund,INE,0.056,-0.6,-9.68,,,,,,,,
Vesture Ltd,VES,0.14,-1.5,-9.68,,,,,,,,
Ceramic Fuel Cells,CFU,0.19,-2,-9.52,,,,,,,,
MGM Wireless Ltd,MWR,0.01,-0.1,-9.09,,,,,,,,
Aust Vintage Ltd,AVG,0.315,-3,-8.70,,,,,,,,
RTL Corp Ltd,RTL,0.021,-0.2,-8.70,,,,,,,,
"""Sunshine Heart, cdi",SHC,0.032,-0.3,-8.57,"""",,,,,,,
