Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:33 Thursday 8/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.003,0.2,200.00,,,,,,,,
Millepede Intl,MPD,0.005,0.2,66.67,,,,,,,,
AWH Corp Ltd,AWL,0.004,0.1,33.33,,,,,,,,
Atcor Medical,ACG,0.15,3.5,30.43,,,,,,,,
Stanfield Funds,SFN,0.01,0.2,25.00,,,,,,,,
MDS Financial Grp,MWS,0.042,0.8,23.53,,,,,,,,
Senetas Corp,SEN,0.043,0.8,22.86,,,,,,,,
Analytica Ltd,ALT,0.028,0.5,21.74,,,,,,,,
Hostech Ltd,HTC,0.017,0.3,21.43,,,,,,,,
Comops Ltd,COM,0.07,1,16.67,,,,,,,,
EFTEL Ltd,EFT,0.014,0.2,16.67,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.14,2,16.67,,,,,,,,
Objective Corp,OCL,0.32,4,14.29,,,,,,,,
Sigma Pharmaceutical,SIP,0.45,5.5,13.92,,,,,,,,
Cardia Bioplastics,CNN,0.017,0.2,13.33,,,,,,,,
Symex Hldgs,SYM,0.62,7,12.73,,,,,,,,
Apollo Cons,AOP,0.011,0.1,10.00,,,,,,,,
ICSGlobal Ltd,ICS,0.011,0.1,10.00,,,,,,,,
Netcomm Ltd,NTC,0.22,2,10.00,,,,,,,,
Quickstep Hldgs,QHL,0.275,2.5,10.00,,,,,,,,
Adv Surg Dsgn & Mnft,AMT,0.46,4,9.52,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.049,0.4,8.89,,,,,,,,
Frigrite Ltd,FRR,0.125,1,8.70,,,,,,,,
Aust Education unt,AEU,0.595,4.5,8.18,,,,,,,,
CO2 Grp Ltd,COZ,0.135,1,8.00,,,,,,,,
Enviromission Ltd,EVM,0.028,0.2,7.69,,,,,,,,
Nomad Bld,NOD,0.14,1,7.69,,,,,,,,
Circadian Tech,CIR,0.565,4,7.62,,,,,,,,
Pro Medicus Ltd   ,PME,0.50,3.5,7.53,,,,,,,,
Ascent Pharmahealth,APH,0.295,2,7.27,,,,,,,,
Alexium Int Grp,AJX,0.15,1,7.14,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.03,0.2,7.14,,,,,,,,
Bell Financial Grp,BFG,0.90,6,7.14,,,,,,,,
Freedom Nutritional,FNP,0.30,2,7.14,,,,,,,,
Souls Private Equity opt feb15,SOEOA,0.015,0.1,7.14,,,,,,,,
Gage Roads Brewing,GRB,0.08,0.5,6.67,,,,,,,,
Pulse Health Ltd,PHG,0.052,0.3,6.12,,,,,,,,
Pearl Healthcare,PHL,0.09,0.5,5.88,,,,,,,,
Sirtex Medical,SRX,5.20,28,5.69,,,,,,,,
Viridis Clean Energy unt,VIR,0.058,0.3,5.45,,,,,,,,
Connxion Ventures,CXN,0.039,0.2,5.41,,,,,,,,
Cougar Energy,CXY,0.078,0.4,5.41,,,,,,,,
BT Invest Mngmnt,BTT,2.80,14,5.26,,,,,,,,
Ipernica Ltd,IPR,0.10,0.5,5.26,,,,,,,,
Karmelsonix Ltd,KSX,0.02,0.1,5.26,,,,,,,,
ZYL Ltd,ZYL,0.02,0.1,5.26,,,,,,,,
Warehouse Grp,WHS,2.85,14,5.17,,,,,,,,
Neuren Pharmaceut,NEU,0.021,0.1,5.00,,,,,,,,
Prima BioMed Ltd opt dec11,PRRO,0.063,0.3,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Nimrodel Res,NMR,0.03,1.4,87.50,,,,,,,,
Consolidated Tin Min opt dec13,CSDO,0.015,0.5,50.00,,,,,,,,
Quest Pet opt mar11,QPNO,0.003,0.1,50.00,,,,,,,,
Blaze Intl,BLZ,0.007,0.2,40.00,,,,,,,,
Millennium Min opt feb13,MOYOA,0.007,0.2,40.00,,,,,,,,
Eldore Min opt dec12,EDMOA,0.004,0.1,33.33,,,,,,,,
