Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4400.0 at 16:36 13/7/2010  Report at 19:05 Tuesday 13/7/2010. Processed 19:11 Tuesday 13/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Admerex Ltd,ADL,0.005,0.3,150.00,,,,,,,,
World Wide Ent Grp,WWG,0.10,3.5,53.85,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.019,0.6,46.15,,,,,,,,
NSL Cons Ltd,NSL,0.10,2.4,31.58,,,,,,,,
Antisense Therapeutic,ANP,0.02,0.4,25.00,,,,,,,,
Hydrotech Inter,HTI,0.005,0.1,25.00,,,,,,,,
Solagran Ltd,SLA,0.195,3.5,21.88,,,,,,,,
Apollo Cons,AOP,0.012,0.2,20.00,,,,,,,,
Resourc & En Grp,REZ,0.12,2,20.00,,,,,,,,
Pac Enviromin,PEV,0.019,0.3,18.75,,,,,,,,
Geodynamics Ltd,GDY,0.46,7,17.95,,,,,,,,
Globe Intl,GLB,0.49,7,16.67,,,,,,,,
OBJ Ltd,OBJ,0.029,0.4,16.00,,,,,,,,
Alexium Int Grp,AJX,0.15,2,15.38,,,,,,,,
Elders Ltd hybrids,ELDPA,45.00,497.9,12.44,,,,,,,,
Vita Grp Ltd,VTG,0.23,2.5,12.20,,,,,,,,
Adultshop Com,ASC,0.01,0.1,11.11,,,,,,,,
Analytica Ltd,ALT,0.03,0.3,11.11,,,,,,,,
Xceed Capital Ltd,XCD,0.01,0.1,11.11,,,,,,,,
Nexbis Ltd,NBS,0.086,0.8,10.26,,,,,,,,
BPH Corp Ltd,BPH,0.088,0.8,10.00,,,,,,,,
Brain Resource,BRC,0.22,2,10.00,,,,,,,,
Verus Invest,VIL,0.022,0.2,10.00,,,,,,,,
Penrice Soda,PSH,0.34,3,9.68,,,,,,,,
Netcomm Ltd,NTC,0.235,2,9.30,,,,,,,,
BSA Ltd,BSA,0.24,2,9.09,,,,,,,,
Mooter Media Ltd,MMZ,0.012,0.1,9.09,,,,,,,,
Adv Surg Dsgn & Mnft,AMT,0.50,4,8.70,,,,,,,,
Biodiem Ltd,BDM,0.13,1,8.33,,,,,,,,
Viagold Capital,VIA,0.65,5,8.33,,,,,,,,
Savcor Grp Ltd,SAV,0.135,1,8.00,,,,,,,,
RER Grp Ltd,RGD,0.345,2.5,7.81,,,,,,,,
Pro-Pac Packaging,PPG,0.35,2.5,7.69,,,,,,,,
Centrepoint Alliance,CAF,0.145,1,7.41,,,,,,,,
Enerji Ltd,ERJ,0.029,0.2,7.41,,,,,,,,
Astivita Renewables,AIR,0.945,6.5,7.39,,,,,,,,
Bionomics Ltd,BNO,0.30,2,7.14,,,,,,,,
Island Sky Aust,ISK,0.03,0.2,7.14,,,,,,,,
Ideas Intl,IDE,0.47,3,6.82,,,,,,,,
Asia Liver Trans,AJJ,0.08,0.5,6.67,,,,,,,,
Benitec Ltd,BLT,0.032,0.2,6.67,,,,,,,,
Centro Retail stp,CER,0.165,1,6.45,,,,,,,,
Downer EDI Ltd,DOW,3.95,23,6.18,,,,,,,,
Bigair Grp Ltd,BGL,0.18,1,5.88,,,,,,,,
Coffey Intl,COF,1.135,6,5.58,,,,,,,,
Coretrack Ltd,CKK,0.19,1,5.56,,,,,,,,
CTI Logistics,CLX,0.98,5,5.38,,,,,,,,
Mission Newenergy,MBT,0.295,1.5,5.36,,,,,,,,
Progen Pharmaceutic,PGL,0.40,2,5.26,,,,,,,,
Gage Roads Brewing,GRB,0.081,0.4,5.19,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.021,0.1,5.00,,,,,,,,
Mint Wireless,MNW,0.021,0.1,5.00,,,,,,,,
QRxPharma Ltd,QRX,1.05,5,5.00,,,,,,,,
Tutt Bryant Grp,TBG,0.63,3,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Cluff Res opt jul11,CFROB,0.002,0.1,100.00,,,,,,,,
Palace Res opt jun12,PXRO,0.002,0.1,100.00,,,,,,,,
Astro Res NL opt nov12,AROOB,0.003,0.1,50.00,,,,,,,,
Austin Explore opt nov11,AKKO,0.013,0.4,44.44,,,,,,,,
FYI Res Ltd,FYI,0.125,3.5,38.89,,,,,,,,
Excalibur Min,EXM,0.004,0.1,33.33,,,,,,,,
Pelican Res,PEL,0.05,1.2,31.58,,,,,,,,
A'asia Gold,AAO,0.06,1.4,30.43,,,,,,,,
Augustus Min opt jul10,AUJO,0.013,0.3,30.00,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.044,0.9,25.71,,,,,,,,
Cluff Res,CFR,0.005,0.1,25.00,,,,,,,,
Desert Energy,DSN,0.125,2.5,25.00,,,,,,,,
Gondwana Res,GDA,0.01,0.2,25.00,,,,,,,,
Macq Harbour opt aug12,MHMO,0.125,2.5,25.00,,,,,,,,
Union Res Ltd,UCL,0.005,0.1,25.00,,,,,,,,
Energy And Min,EMA,0.18,3.5,24.14,,,,,,,,
MEC Res opt jul13,MMRO,0.30,5.5,22.45,,,,,,,,
Millennium Min,MOY,0.028,0.5,21.74,,,,,,,,
Samson Oil & Gas,SSN,0.058,1,20.83,,,,,,,,
Kuth Energy Ltd,KEN,0.065,1.1,20.37,,,,,,,,
Grand Gulf Energy,GGE,0.018,0.3,20.00,,,,,,,,
Industrial Min,IDM,0.15,2.5,20.00,,,,,,,,
Lakes Oil NL,LKO,0.006,0.1,20.00,,,,,,,,
Deep Yellow Ltd,DYL,0.155,2.5,19.23,,,,,,,,
Norton Gold Fields opt oct10,NGFO,0.025,0.4,19.05,,,,,,,,
Petratherm Ltd,PTR,0.19,3,18.75,,,,,,,,
Newland Res,NRL,0.032,0.5,18.52,,,,,,,,
Talga Gold Ltd,TLG,0.235,3.5,17.50,,,,,,,,
Augustus Min,AUJ,0.305,4.5,17.31,,,,,,,,
Energia Min Ltd,EMX,0.105,1.5,16.67,,,,,,,,
Longreach Oil Ltd,LGO,0.007,0.1,16.67,,,,,,,,
Mutiny Gold Ltd,MYG,0.035,0.5,16.67,,,,,,,,
Pacrim Energy,PRE,0.007,0.1,16.67,,,,,,,,
Namibian Copper,NCO,0.145,2,16.00,,,,,,,,
Oilex Ltd,OEX,0.11,1.5,15.79,,,,,,,,
Syngas Ltd,SYS,0.015,0.2,15.38,,,,,,,,
ERO Min Ltd,ERO,0.023,0.3,15.00,,,,,,,,
Catalyst Metals,CYL,0.12,1.5,14.29,,,,,,,,
Uraniumsa Ltd,USA,0.20,2.5,14.29,,,,,,,,
Royal Res opt oct13,ROYOA,0.091,1.1,13.75,,,,,,,,
Exoma Energy Ltd,EXE,0.26,3,13.04,,,,,,,,
Argent Min,ARD,0.175,2,12.90,,,,,,,,
Avanco Res Ltd opt apr12,AVBOB,0.009,0.1,12.50,,,,,,,,
