Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4572.1 at 16:35 16/6/2010  Report at 19:05 Wednesday 16/6/2010. Processed 19:11 Wednesday 16/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Fall River Res cdi,FRV,0.016,0.2,14.29,,,,,,,,
Falcon Min Ltd,FCN,0.21,2.5,13.51,,,,,,,,
Coalspur Mines,CPL,0.895,10,12.58,,,,,,,,
Base Iron Ltd,BSE,0.09,1,12.50,,,,,,,,
Dragon Mountain Gold,DMG,0.18,2,12.50,,,,,,,,
Excelsior Gold,EXG,0.045,0.5,12.50,,,,,,,,
Greenearth Energy,GER,0.09,1,12.50,,,,,,,,
Metals Aust,MLS,0.009,0.1,12.50,,,,,,,,
Lodestone Energy,LOD,0.092,1,12.20,,,,,,,,
Ausgold Ltd,AUC,0.14,1.5,12.00,,,,,,,,
Red Sky Energy,ROG,0.019,0.2,11.76,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.067,0.7,11.67,,,,,,,,
Cauldron Energy,CXU,0.30,3,11.11,,,,,,,,
Eden Energy Ltd,EDE,0.07,0.7,11.11,,,,,,,,
Gippsland Ltd,GIP,0.04,0.4,11.11,,,,,,,,
Lachlan Star Ltd,LSA,0.01,0.1,11.11,,,,,,,,
Nimrodel Res,NMR,0.02,0.2,11.11,,,,,,,,
Strategic Min,SMC,0.02,0.2,11.11,,,,,,,,
Murchison Metals,MMX,2.16,21.5,11.05,,,,,,,,
Rubianna Res Ltd,RRE,0.155,1.5,10.71,,,,,,,,
Atlas Iron Ltd,AGO,2.15,20,10.26,,,,,,,,
Territory Res,TTY,0.215,2,10.26,,,,,,,,
ABM Res NL,ABU,0.022,0.2,10.00,,,,,,,,
Global Iron Ltd,GFE,0.495,4.5,10.00,,,,,,,,
Quantum Res,QUR,0.011,0.1,10.00,,,,,,,,
