Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4372.7 at 16:36 19/7/2010  Report at 19:05 Monday 19/7/2010. Processed 08:13 Tuesday 20/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Medical Aus Ltd,MLA,0.028,0.8,40.00,,,,,,,,
Moko Mobi Ltd,MKB,0.08,2,33.33,,,,,,,,
Select Vaccines,SLT,0.004,0.1,33.33,,,,,,,,
Macro Corp Ltd,MAC,0.03,0.6,25.00,,,,,,,,
Farmworks Aust,FWA,0.14,2.5,21.74,,,,,,,,
Advanced Engine,ACE,0.047,0.7,17.50,,,,,,,,
Ceramic Fuel Cells,CFU,0.205,3,17.14,,,,,,,,
Grandbridge Ltd,GBA,0.35,5,16.67,,,,,,,,
Ecsi Ltd,ECS,0.024,0.3,14.29,,,,,,,,
GLG Corp Ltd,GLE,0.32,4,14.29,,,,,,,,
Mesbon China Nylon,MES,0.12,1.5,14.29,,,,,,,,
Penrice Soda,PSH,0.37,4.5,13.85,,,,,,,,
Axiom Prop,AXI,0.028,0.3,12.00,,,,,,,,
Hexima Ltd,HXL,0.20,2,11.11,,,,,,,,
Stirling Products,STI,0.01,0.1,11.11,,,,,,,,
Healthscope Ltd,HSP,5.94,54,10.00,,,,,,,,
Optiscan Imaging,OIL,0.055,0.5,10.00,,,,,,,,
Sino Strategic Intl,SSI,0.22,2,10.00,,,,,,,,
Aust Vintage Ltd,AVG,0.23,2,9.52,,,,,,,,
TMA Grp Comp,TMA,0.23,2,9.52,,,,,,,,
Run Corp Ltd,RNC,0.047,0.4,9.30,,,,,,,,
Avita Medical Ltd,AVH,0.12,1,9.09,,,,,,,,
Folkestone Ltd,FLK,0.12,1,9.09,,,,,,,,
Mooter Media Ltd,MMZ,0.012,0.1,9.09,,,,,,,,
Chandler Macleod,CMG,0.25,2,8.70,,,,,,,,
APN Prop Grp,APD,0.19,1.5,8.57,,,,,,,,
E & A Ltd,EAL,0.26,2,8.33,,,,,,,,
Snowball Grp,SNO,0.39,3,8.33,,,,,,,,
Maxitrans Ind,MXI,0.285,2,7.55,,,,,,,,
Datadot Tech,DDT,0.03,0.2,7.14,,,,,,,,
Capral Ltd,CAA,0.17,1,6.25,,,,,,,,
"""Sunshine Heart, cdi",SHC,0.035,0.2,6.06,"""",,,,,,,
iShares MSCI Em Mkts,IEM,47.99,272,6.01,,,,,,,,
Investorfirst Ltd,INQ,0.053,0.3,6.00,,,,,,,,
Adcorp Aust,AAU,0.18,1,5.88,,,,,,,,
Rubik Financial,RFL,0.055,0.3,5.77,,,,,,,,
Arafura Pearls,APB,0.019,0.1,5.56,,,,,,,,
Oohmedia Grp Ltd,OOH,0.19,1,5.56,,,,,,,,
Nick Scali Ltd,NCK,1.45,7.5,5.45,,,,,,,,
Integrated Research,IRI,0.39,2,5.41,,,,,,,,
Ramsay Health Care,RHC,14.55,74,5.36,,,,,,,,
Greencross Ltd,GXL,0.79,4,5.33,,,,,,,,
Compass Hotel stp,CXH,0.02,0.1,5.26,,,,,,,,
Diploma Grp Ltd,DGX,0.305,1.5,5.17,,,,,,,,
Neuren Pharmaceut,NEU,0.021,0.1,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Malagasy Min,MGY,0.074,2.5,51.02,,,,,,,,
ARC Explore Ltd opt jan11,ARXOA,0.003,0.1,50.00,,,,,,,,
Magna Min NL,MAN,0.006,0.2,50.00,,,,,,,,
Blaze Intl,BLZ,0.011,0.3,37.50,,,,,,,,
Chrysalis Res opt jun13,CYSO,0.10,2.4,31.58,,,,,,,,
Agri Energy Ltd,AAE,0.013,0.3,30.00,,,,,,,,
EMU Nickel NL,EMU,0.135,3,28.57,,,,,,,,
Greater Bendigo Gold,GBM,0.024,0.5,26.32,,,,,,,,
Corazon Ltd,CZN,0.10,2,25.00,,,,,,,,
Norton Gold Fields,NGF,0.195,3.5,21.88,,,,,,,,
  opt oct10,NGFO,0.03,0.5,20.00,,,,,,,,
Lakes Oil NL,LKO,0.007,0.1,16.67,,,,,,,,
De Grey Min,DEG,0.036,0.5,16.13,,,,,,,,
RAM Res,RMR,0.022,0.3,15.79,,,,,,,,
Capital Min opt jul11,CMYOA,0.015,0.2,15.38,,,,,,,,
ELK Pet,ELK,0.115,1.5,15.00,,,,,,,,
Anchor Res,AHR,0.155,2,14.81,,,,,,,,
Western Plains Res,WPG,0.79,10,14.49,,,,,,,,
Cauldron Energy,CXU,0.28,3.5,14.29,,,,,,,,
Thundelarra Explor opt mar13,THXOA,0.40,5,14.29,,,,,,,,
Alcyone Res Ltd,AYN,0.025,0.3,13.64,,,,,,,,
GB Energy Ltd,GBX,0.025,0.3,13.64,,,,,,,,
Resource And Invest,RNI,0.31,3.5,12.73,,,,,,,,
Atomic Res opt aug11,ATQO,0.045,0.5,12.50,,,,,,,,
Argent Min,ARD,0.20,2,11.11,,,,,,,,
Redstone Res,RDS,0.205,2,10.81,,,,,,,,
Copper Range Ltd,CRJ,0.022,0.2,10.00,,,,,,,,
Globe Metals & Mining,GBE,0.17,1.5,9.68,,,,,,,,
Nimrodel Res,NMR,0.036,0.3,9.09,,,,,,,,
Eden Energy Ltd,EDE,0.074,0.6,8.82,,,,,,,,
Segue Res,SEG,0.025,0.2,8.70,,,,,,,,
Mineral Commodities,MRC,0.038,0.3,8.57,,,,,,,,
Liberty Resource,LBY,0.051,0.4,8.51,,,,,,,,
Padbury Min Ltd,PDY,0.013,0.1,8.33,,,,,,,,
Pelican Res,PEL,0.065,0.5,8.33,,,,,,,,
Talisman Min,TLM,0.73,5.5,8.15,,,,,,,,
  opt dec10,TLMO,0.465,3.5,8.14,,,,,,,,
Crossland Uranium,CUX,0.135,1,8.00,,,,,,,,
Intec Ltd,INL,0.027,0.2,8.00,,,,,,,,
Uramet Min,URM,0.054,0.4,8.00,,,,,,,,
Transerv Energy,TSV,0.014,0.1,7.69,,,,,,,,
Comet Res,CRL,0.043,0.3,7.50,,,,,,,,
Eldore Min,EDM,0.015,0.1,7.14,,,,,,,,
Atomic Res,ATQ,0.24,1.5,6.67,,,,,,,,
Beacon Min,BCN,0.016,0.1,6.67,,,,,,,,
Brumby Res opt sep11,BMYOA,0.08,0.5,6.67,,,,,,,,
Lindian Res,LIN,0.08,0.5,6.67,,,,,,,,
North Aust Ltd,NAD,0.032,0.2,6.67,,,,,,,,
Sino Gas Energy,SEH,0.032,0.2,6.67,,,,,,,,
Westralian Gas & Pwr,WGP,0.016,0.1,6.67,,,,,,,,
XState Res opt jun13,XSTO,0.08,0.5,6.67,,,,,,,,
Aust Bauxite Ltd,ABZ,0.41,2.5,6.49,,,,,,,,
Comet Ridge Ltd,COI,0.17,1,6.25,,,,,,,,
Energy And Min,EMA,0.18,1,5.88,,,,,,,,
Grand Gulf Energy,GGE,0.018,0.1,5.88,,,,,,,,
K2 Energy Ltd,KTE,0.072,0.4,5.88,,,,,,,,
Aurium Res,AGU,0.019,0.1,5.56,,,,,,,,
Fox Res opt nov10,FXRO,0.019,0.1,5.56,,,,,,,,
Thundelarra Explor,THX,0.58,3,5.45,,,,,,,,
Lodestar Min,LSR,0.08,0.4,5.26,,,,,,,,
Sabre Res,SBR,0.305,1.5,5.17,,,,,,,,
Innamincka Pet,INP,0.083,0.4,5.06,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Media Grp Int Ltd,MUI,0.005,-0.2,-28.57,,,,,,,,
Montec Intl,MTI,0.005,-0.2,-28.57,,,,,,,,
Argus Solutions,ASV,0.063,-2.2,-25.88,,,,,,,,
Multiplex Prime Ppty ctg,MAFCB,0.80,-20,-20.00,,,,,,,,
RTL Corp Ltd,RTL,0.022,-0.4,-15.38,,,,,,,,
NSL Cons Ltd,NSL,0.09,-1.5,-14.29,,,,,,,,
Pulse Health Ltd,PHG,0.043,-0.7,-14.00,,,,,,,,
Aacl Hldgs Ltd,AAY,0.095,-1.5,-13.64,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.019,-0.3,-13.64,,,,,,,,
Enerji Ltd,ERJ,0.026,-0.4,-13.33,,,,,,,,
Jumbuck Entertain,JMB,0.165,-2.5,-13.16,,,,,,,,
Consolidated Global,CGI,0.035,-0.5,-12.50,,,,,,,,
NSX Ltd,NSX,0.175,-2.5,-12.50,,,,,,,,
Prana Biotech,PBT,0.15,-2,-11.76,,,,,,,,
Bone Medical Ltd,BNE,0.08,-1,-11.11,,,,,,,,
CathRx Ltd,CXD,0.24,-3,-11.11,,,,,,,,
GBST Hldgs,GBT,0.865,-10.5,-10.82,,,,,,,,
Enviromission Ltd,EVM,0.025,-0.3,-10.71,,,,,,,,
Coote Industrial,CXG,0.17,-2,-10.53,,,,,,,,
TPL Corp Ltd,TPL,0.017,-0.2,-10.53,,,,,,,,
Medivac Ltd,MDV,0.009,-0.1,-10.00,,,,,,,,
Vocus Comms Ltd,VOC,0.585,-6.5,-10.00,,,,,,,,
Living Cell Tech,LCT,0.185,-2,-9.76,,,,,,,,
IDT Aust Ltd,IDT,0.70,-7.5,-9.68,,,,,,,,
Mission Newenergy,MBT,0.235,-2.5,-9.62,,,,,,,,
Rivercity Motorway stp,RCY,0.039,-0.4,-9.30,,,,,,,,
MobileActive Ltd,MBA,0.02,-0.2,-9.09,,,,,,,,
Eneabba Gas Ltd,ENB,0.105,-1,-8.70,,,,,,,,
Marbletrend Grp,MBD,0.063,-0.6,-8.70,,,,,,,,
Legend Corp,LGD,0.16,-1.5,-8.57,,,,,,,,
China Century Capitl,CCY,0.054,-0.5,-8.47,,,,,,,,
Aeris Environmental,AEI,0.055,-0.5,-8.33,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.011,-0.1,-8.33,,,,,,,,
Cardno Ltd rts26juld,CDDR,0.46,-4,-8.00,,,,,,,,
EVZ Ltd,EVZ,0.07,-0.6,-7.89,,,,,,,,
Cell Aquaculture,CAQ,0.12,-1,-7.69,,,,,,,,
Structural Monitor cdi,SMN,0.012,-0.1,-7.69,,,,,,,,
Centrebet Internat,CIL,1.29,-10.5,-7.53,,,,,,,,
Auto Tech Ltd,ATJ,0.05,-0.4,-7.41,,,,,,,,
Structural Systems,STS,0.52,-4,-7.14,,,,,,,,
APN European Retail stp,AEZ,0.028,-0.2,-6.67,,,,,,,,
PharmAust Ltd,PAA,0.056,-0.4,-6.67,,,,,,,,
