Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4856.7 at 16:34 29/12/2009  Report at 17:15 Tuesday 29/12/2009. Processed 17:19 Tuesday 29/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Verus Invest,VIL,0.035,1.2,52.17,,,,,,,,
AWH Corp Ltd,AWL,0.006,0.2,50.00,,,,,,,,
Chapmans Ltd,CHP,0.02,0.6,42.86,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.014,0.4,40.00,,,,,,,,
M2M Corp,MCL,0.004,0.1,33.33,,,,,,,,
Verus Invest opt jun10,VILO,0.009,0.2,28.57,,,,,,,,
Future Corp,FUT,0.005,0.1,25.00,,,,,,,,
Humanis Grp Ltd,HUM,0.025,0.5,25.00,,,,,,,,
Olea Australis,OLE,0.005,0.1,25.00,,,,,,,,
Medical Corp,MOD,0.022,0.4,22.22,,,,,,,,
Medivac Ltd,MDV,0.011,0.2,22.22,,,,,,,,
GSF Corp Ltd,GSF,0.006,0.1,20.00,,,,,,,,
Astivita Renewables,AIR,1.10,18,19.57,,,,,,,,
Scigen Ltd cdi,SIE,0.32,5,18.52,,,,,,,,
Centro Prop stpld,CNP,0.305,4.5,17.31,,,,,,,,
Anteo Diagnostics,ADO,0.007,0.1,16.67,,,,,,,,
China Steel,CNH,0.11,1.5,15.79,,,,,,,,
Genetic Tech,GTG,0.04,0.5,14.29,,,,,,,,
Quay Magnesium,QMG,0.025,0.3,13.64,,,,,,,,
Legend Corp,LGD,0.175,2,12.90,,,,,,,,
E-Com Multi Ltd,ECE,0.009,0.1,12.50,,,,,,,,
Transol Corp,TNC,0.009,0.1,12.50,,,,,,,,
OBJ Ltd,OBJ,0.029,0.3,11.54,,,,,,,,
Swick Min,SWK,0.545,5.5,11.22,,,,,,,,
Living & Leisure Grp stpld,LLA,0.03,0.3,11.11,,,,,,,,
Nexus Bonds Ltd nexus3,NXBHC,80.00,800,11.11,,,,,,,,
Aspermont Ltd,ASP,0.155,1.5,10.71,,,,,,,,
Forge Grp Ltd,FGE,2.50,23,10.13,,,,,,,,
