Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:11 Friday 18/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Sun Biomedical,SBN,0.002,0.1,100.00,,,,,,,,
Transol Corp opt may11,TNCOA,0.002,0.1,100.00,,,,,,,,
Viridis Clean Energy unt  def,VIRDA,0.051,1.8,54.55,,,,,,,,
Intrapower Ltd,IPX,0.155,5,47.62,,,,,,,,
Freshtel Hldgs,FRE,0.005,0.1,25.00,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.01,0.2,25.00,,,,,,,,
Telezon Ltd,TLZ,0.10,2,25.00,,,,,,,,
Transol Corp,TNC,0.005,0.1,25.00,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.011,0.2,22.22,,,,,,,,
Argus Solutions,ASV,0.105,1.9,22.09,,,,,,,,
MAX Tr unt,MXQ,0.045,0.8,21.62,,,,,,,,
Mnet Grp Ltd,MNZ,0.04,0.7,21.21,,,,,,,,
Autodom Ltd,AIE,0.063,1.1,21.15,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.012,0.2,20.00,,,,,,,,
AMA Grp Ltd,AMA,0.056,0.8,16.67,,,,,,,,
EVZ Ltd,EVZ,0.081,1.1,15.71,,,,,,,,
CathRx Ltd,CXD,0.30,4,15.38,,,,,,,,
Verus Invest,VIL,0.023,0.3,15.00,,,,,,,,
OBJ Ltd,OBJ,0.024,0.3,14.29,,,,,,,,
Clean Teq Hldgs,CLQ,0.295,3.5,13.46,,,,,,,,
Apollo Cons,AOP,0.009,0.1,12.50,,,,,,,,
Dexion Ltd,DEX,0.72,8,12.50,,,,,,,,
Robe Aust Ltd,ROB,0.009,0.1,12.50,,,,,,,,
Tissue Therapies,TIS,0.205,2,10.81,,,,,,,,
Genera Biosystems,GBI,0.55,5,10.00,,,,,,,,
Smarttrans Hldgs,SMA,0.022,0.2,10.00,,,,,,,,
Prana Biotech,PBT,0.17,1.5,9.68,,,,,,,,
Oakton Ltd,OKN,2.50,22,9.65,,,,,,,,
DWS Advanced,DWS,1.38,12,9.52,,,,,,,,
Universal Biosensors cdi,UBI,1.75,15,9.37,,,,,,,,
Advanced Share,ASW,0.415,3.5,9.21,,,,,,,,
ITX Grp Ltd,ITX,1.10,9,8.91,,,,,,,,
Pulse Health Ltd,PHG,0.049,0.4,8.89,,,,,,,,
Quest Invest,QST,0.087,0.7,8.75,,,,,,,,
Anteo Diagnostics,ADO,0.063,0.5,8.62,,,,,,,,
Chandler Macleod,CMG,0.26,2,8.33,,,,,,,,
China West Hldgs,CWH,0.195,1.5,8.33,,,,,,,,
Marine Produce Aust,MPA,0.026,0.2,8.33,,,,,,,,
Heartware Int Inc cdi,HIN,2.34,16,7.34,,,,,,,,
Keycorp Ltd,KYC,0.535,3.5,7.00,,,,,,,,
Saferoads Hldgs,SRH,0.46,3,6.98,,,,,,,,
Compass Hotel stp,CXH,0.016,0.1,6.67,,,,,,,,
